Release Date,Filming Locations,original_index,unique_index
2 September 1950 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3033,2997
20 April 1959 (Sweden),,3034,2998
13 August 1945 (Brazil),"Hollywood Bowl - 2301 N. Highland Avenue, Hollywood, Los Angeles, California, USA",3035,2999
8 July 1948 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3036,3000
26 December 1957 (Sweden),"London, England, UK",3037,3001
11 June 1948 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3038,3002
April 1949 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3039,3003
22 January 1951 (Sweden),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3040,3004
1 November 2012 (USA),"Leavenworth, Washington, USA",3041,3005
16 December 2014 (USA),,3042,3006
10 May 2012 (USA),"Manistee, Michigan, USA",3043,3007
24 December 1954 (USA),"Hollywood, Los Angeles, California, USA",3044,3008
10 September 2010 (USA),"Fox High School, Arnold, Missouri, USA",3045,3009
2011 (USA),,3046,3010
1 July 2010 (USA),"Beltzville State Park, Pennsylvania, USA",3047,3011
8 April 1946 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3048,3012
2 September 1955 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3049,3013
20 March 1998 (USA),"Bryn Mawr College - 101 N. Merion Avenue, Bryn Mawr, Pennsylvania, USA",3050,3014
28 May 2013 (USA),,3051,3015
30 October 2013 (USA),,3052,3016
25 August 2006 (USA),"Austin, Texas, USA",3053,3017
19 August 1943 (Australia),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3054,3018
2010 (USA),,3055,1281
6 May 2010 (USA),"Nashville, Tennessee, USA",3056,3019
18 December 2003 (USA),,3057,3020
14 January 2009 (USA),,3058,3021
,,3059,48
2 October 2015 (USA),,3060,3022
,"Los Angeles, California, USA",3061,188
20 December 1974 (USA),"Redmond, Oregon, USA",3062,3023
19 June 1957 (USA),"Rowland V. Lee Ranch - Fallbrook Avenue, Canoga Park, Los Angeles, California, USA",3063,3024
21 December 1960 (USA),,3064,3025
23 July 1953 (USA),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",3065,3026
25 May 1955 (USA),"Knoxville, Tennessee, USA",3066,3027
20 December 1956 (USA),"Janss Conejo Ranch, Thousand Oaks, California, USA",3067,3028
21 January 1960 (USA),"Santa Clarita, California, USA",3068,3029
8 July 1958 (USA),"Azusa, California, USA",3069,3030
27 February 1954 (USA),"Scotland, UK",3070,3031
8 June 1956 (USA),"Georgia, USA",3071,3032
18 July 1956 (USA),"Cave-In-Rock, Illinois, USA",3072,3033
10 November 1959 (USA),"Matterhorn, Kanton Wallis, Switzerland",3073,3034
28 August 1957 (USA),"Jackson Hole, Wyoming, USA",3074,3035
23 March 1960 (Japan),"Albertson Ranch, Triunfo, California, USA",3075,3036
25 December 1947 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3076,3037
11 June 1969 (USA),,3077,3038
11 February 1938 (USA),"Eastern Service Studios, Astoria, Queens, New York City, New York, USA",3078,3039
25 December 1951 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3079,3040
24 December 1948 (USA),"Paramount Ranch - 2813 Cornell Road, Agoura, California, USA",3080,3041
8 January 1999 (USA),,3081,3042
8 April 1953 (France),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3082,3043
11 April 1941 (USA),"Imperial County, California, USA",3083,3044
14 July 1952 (USA),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3084,3045
2 April 1951 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3085,3046
,,3086,48
20 April 1945 (Portugal),"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",3087,3047
21 June 1940 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3088,3048
30 October 1942 (Mexico),"Burbank, California, USA",3089,3049
24 September 1988 (USA),,3090,3050
25 December 1948 (USA),"Union Square, San Francisco, California, USA",3091,3051
7 July 1950 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3092,3052
24 February 2006 (USA),,3093,3053
19 June 1953 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3094,3054
16 February 1948 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3095,3055
29 June 1966 (USA),"Shimbashi, Tokyo, Japan",3096,3056
29 September 1939 (USA),"Metro-Goldwyn-Mayer Studios, Hollywood, Los Angeles, California, USA",3097,3057
10 January 1952 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3098,3058
28 May 1943 (USA),"George Washington Bridge, Manhattan, New York City, New York, USA",3099,3059
17 June 1938 (USA),"Piccadilly Circus, Piccadilly, London, England, UK",3100,3060
23 March 2007 (USA),"Boyle Heights, Los Angeles, California, USA",3101,3061
19 April 1919 (USA),,3102,3062
24 January 1926 (USA),,3103,3063
14 October 1926 (USA),"Black Rock Desert, Nevada, USA",3104,3064
19 April 1929 (Ireland),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3105,3065
14 April 1958 (Brazil),"Kaua'i, Hawaii, USA",3106,3066
27 August 1999 (USA),"Bokrijk, Belgium",3107,3067
27 March 1974 (USA),"Santa Clarita, California, USA",3108,3068
17 March 1959 (USA),"Cathedral of Our Lady, Antwerp, Flanders, Belgium",3109,3069
8 September 1973 (Italy),"Dino De Laurentiis Cinematografica Studios, Rome, Lazio, Italy",3110,3070
15 January 1954 (USA),"Luttrellstown Estate, Co Dublin, Republic of Ireland",3111,3071
"Jan 1, 1967 Wide","Square of Warriors, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3112,3072
May 1970 (USA),"Custer State Park - 13329 U.S. Highway 16A, Custer, South Dakota, USA",3113,3073
19 June 1962 (USA),"Kings Row, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3114,3074
29 June 1956 (USA),"Stage 16, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3115,3075
10 October 1966 (USA),"Makua Valley, Leeward Oahu, Hawaii, USA",3116,3076
15 December 1947 (USA),"Boston, Massachusetts, USA",3117,3077
28 July 1950 (USA),"Beacon Hill, Boston, Massachusetts, USA",3118,3078
6 March 1954 (USA),"Whiteman Airport - 12657 Osborne Street, Pacoima, Los Angeles, California, USA",3119,3079
26 December 1949 (Sweden),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3120,3080
14 November 1952 (USA),,3121,3081
25 November 1949 (USA),"Culver City, California, USA",3122,3082
3 September 1937 (USA),"California, USA",3123,3083
24 October 2014 (USA),"New York City, New York, USA",3124,3084
31 October 2014 (USA),"Los Angeles, California, USA",3125,3085
16 January 2015 (USA),"Northridge, Los Angeles, California, USA",3126,3086
2 November 2012 (USA),"Atlanta First United Methodist Church - 360 Peachtree Street NE, Atlanta, Georgia, USA",3127,3087
2 August 2013 (USA),"New Orleans, Louisiana, USA",3128,3088
23 March 1950 (USA),"32nd Street and First Avenue, Manhattan, New York City, New York, USA",3129,3089
10 January 2014 (USA),"New Mexico, USA",3130,3090
11 July 2014 (USA),"Barrandov Studios, Prague, Czech Republic",3131,3091
13 November 2007 (USA),"Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",3132,3092
"Jan 8, 2010 Wide",Australia,3133,3093
4 October 2013 (USA),"Lake Powell, Arizona, USA",3134,3094
6 August 2014 (USA),,3135,3095
21 December 1948 (USA),"City Hall - 200 N. Spring Street, Downtown, Los Angeles, California, USA",3136,3096
20 March 2015 (USA),"EUE/Screen Gems Studios Atlanta, 175 Lakewood Way, Atlanta, Georgia, USA",3137,3097
19 September 2014 (USA),"Baton Rouge, Louisiana, USA",3138,3098
"Jun 6, 2014 Wide","Amsterdam, Noord-Holland, Netherlands",3139,3099
16 March 1956 (France),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3140,3100
14 July 1950 (USA),,3141,3101
"Dec 1, 1950 Wide","Winston-Salem, North Carolina, USA",3142,3102
12 December 1951 (USA),,3143,3103
11 August 1995 (USA),"England, UK",3144,3104
29 July 1994 (USA),"Black Park Country Park, Wexham, Buckinghamshire, England, UK",3145,3105
17 October 1979 (USA),"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",3146,3106
25 August 1995 (USA),"Chengdu, China",3147,3107
26 November 1986 (USA),"Stage 2, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3148,3108
18 August 1989 (USA),Kenya,3149,3109
29 June 1990 (USA),"Boise, Idaho, USA",3150,3110
12 November 1993 (USA),"Boconnoc, Lostwithiel, Cornwall, England, UK",3151,3111
1 November 1996 (USA),"Denver, Colorado, USA",3152,3112
5 May 1989 (USA),"Boston, Massachusetts, USA",3153,3113
12 July 2002 (USA),"Canberra, Australian Capital Territory, Australia",3154,3114
25 December 1998 (USA),"Hawaii, USA",3155,3115
5 June 1981 (USA),"Buffalo, New York, USA",3156,3116
13 August 1993 (USA),"Allerton Park, Knaresborough, North Yorkshire, England, UK",3157,3117
10 July 1996 (USA),"Fort Lauderdale, Florida, USA",3158,3118
9 May 1957 (Australia),"Stage 33, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3159,3119
26 May 1966 (West Germany),India,3160,3120
June 1965 (USA),"Canyon Country, California, USA",3161,3121
30 June 1934 (USA),,3162,3122
25 September 1968 (Sweden),"California, USA",3163,3123
17 July 1961 (USA),"Edinburgh, Scotland, UK",3164,3124
12 July 1961 (USA),"Kananaskis Country, Alberta, Canada",3165,3125
January 1960 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3166,3126
20 November 1963 (USA),"Aspdin, Muskoka, Ontario, Canada",3167,3127
9 November 1961 (USA),"San Francisco, California, USA",3168,3128
21 August 1997 (USA),"Mt. Timpanogos, Utah and Alpine, Utah, USA",3169,3129
27 September 1991 (USA),"New York, USA",3170,3130
28 September 1984 (USA),"Valencia, California, USA",3171,3131
11 February 1938 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",3172,3132
20 April 1945 (USA),"Brentwood Bay and Patricia Bay, British Columbia, Canada",3173,3133
"Apr 29, 1959 Wide","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3174,3134
4 March 1955 (USA),"San Francisco, California, USA",3175,3135
24 August 1966 (USA),"Los Angeles Sports Arena - 3939 S. Figueroa Street, Exposition Park, Los Angeles, California, USA",3176,3136
14 June 1956 (USA),"Bronx, New York City, New York, USA",3177,3137
8 March 1996 (USA),"595 Wisconsin St, San Francisco, California, USA",3178,3138
17 April 1998 (USA),"Toronto, Ontario, Canada",3179,3139
17 August 1994 (USA),"Boston, Massachusetts, USA",3180,3140
16 December 2005 (USA),"Brooklyn College, City University of New York, Brooklyn, New York City, New York, USA",3181,3141
3 November 1971 (USA),"Gorica, Croatia",3182,3142
18 October 1967 (USA),"Broughton Log Flume, Columbia River Gorge, Washington, USA",3183,3143
16 February 1990 (USA),"Nice, Alpes-Maritimes, France",3184,3144
8 April 1943 (Mexico),"Imperial County, California, USA",3185,3145
27 January 1956 (USA),"Palos Verdes, California, USA",3186,3146
19 November 1958 (USA),"Fort Washington, Maryland, USA",3187,3147
4 December 1942 (USA),Cuba,3188,3148
29 June 2018 (USA),,3189,3149
22 December 2017 (USA),,3190,3150
14 August 1953 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3191,3151
3 February 1995 (USA),"County Donegal, Ireland",3192,3152
"Apr 4, 2007 Wide","Burnaby, British Columbia, Canada",3193,3153
13 November 1998 (USA),"Fort Langley, British Columbia, Canada",3194,3154
22 November 2006 (USA),"Holy Trinity Cathedral - 514 Carnarvon Street, New Westminster, British Columbia, Canada",3195,3155
3 July 2002 (USA),"First Union Center - 3601 S. Broad Street, Philadelphia, Pennsylvania, USA",3196,3156
10 June 2005 (USA),"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",3197,3157
4 November 1955 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3198,3158
1 March 1991 (USA),Fiji,3199,3159
"Sep 1, 2006 Wide","Clancy Barracks, Dublin, County Dublin, Ireland",3200,3160
17 May 1950 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3201,3161
12 July 1950 (USA),,3202,3162
26 November 2003 (USA),"New Mexico, USA",3203,3163
10 February 1995 (USA),"Arizona, USA",3204,3164
22 January 1999 (USA),"Ashland, Wisconsin, USA",3205,3165
1968 (USA),"Vieques, Puerto Rico",3206,3166
21 July 2000 (USA),"Burlington, Vermont, USA",3207,3167
12 August 2005 (USA),"Bayou Gauche, Louisiana, USA",3208,3168
9 December 2008 (USA),,3209,3169
22 October 2010 (India),"Chennai, Tamil Nadu, India",3210,3170
28 April 1989 (USA),"New Jersey, USA",3211,3171
31 July 2008 (Germany),"Canada Saskatchewan Production Studios, Regina, Saskatchewan, Canada",3212,3172
14 December 2007 (UK),"Binghamton, New York, USA",3213,3173
30 April 1993 (USA),"New York City, New York, USA",3214,3174
15 October 2011 (USA),"Los Angeles, California, USA",3215,3175
25 April 1979 (USA),"Washington Mews, Manhattan, New York City, New York, USA",3216,3176
29 June 2012 (USA),"Narragansett Bay, Rhode Island, USA",3217,3177
15 August 2008 (USA),"Avilés, Asturias, Spain",3218,3178
20 January 2006 (USA),"Belgravia, London, England, UK",3219,3179
17 December 2010 (USA),"Bowling Green, Lower Manhattan, Manhattan, New York City, New York, USA",3220,3180
6 July 2012 (USA),"Rome, Lazio, Italy",3221,3181
28 July 2006 (USA),"CityPoint, Moorgate, London, England, UK",3222,3182
25 December 2012 (USA),"Upper Darby, Pennsylvania, USA",3223,3183
20 April 1977 (USA),"W. Century Blvd. & Airport Blvd, Los Angeles, California, USA",3224,3184
3 July 2009 (USA),"Grant's Tomb, Riverside Drive, New York City, New York, USA",3225,3185
23 August 2013 (USA),"New York City, New York, USA",3226,3186
12 October 2012 (USA),"McLean, Virginia, USA",3227,3187
31 July 2009 (USA),"British Columbia, Canada",3228,3188
28 January 2005 (USA),"Hollywood Athletic Club - 6525 W. Sunset Blvd., Hollywood, Los Angeles, California, USA",3229,3189
8 November 2013 (USA),"New Orleans, Louisiana, USA",3230,3190
12 October 2007 (USA),"Manhattan, New York City, New York, USA",3231,3191
3 October 2003 (USA),"Omote-Sando, Tokyo, Japan",3232,3192
18 August 2006 (USA),"Acton, California, USA",3233,3193
25 December 2007 (USA),"Burnaby, British Columbia, Canada",3234,3194
29 October 2004 (USA),"Baton Rouge, Louisiana, USA",3235,3195
11 January 2008 (USA),"British Steel works, now Tata Steel works, Redcar, England, UK",3236,3196
4 November 2005 (USA),"CBS Television City - 7800 Beverly Blvd., Fairfax, Los Angeles, California, USA",3237,3197
21 January 2005 (USA),"1785 South Broadway, Santa Maria, California, USA",3238,3198
13 January 2006 (USA),"Calgary, Alberta, Canada",3239,3199
25 December 2011 (USA),"Ditsworthy Warren House, Sheepstor, Devon, England, UK",3240,3200
25 January 2008 (USA),"Shafter, Texas, USA",3241,3201
2 February 2007 (USA),"Iwo Jima, Japan",3242,3202
25 July 2003 (USA),"New York City, New York, USA",3243,3203
6 January 2006 (USA),"Aulich Street, Budapest, Hungary",3244,3204
3 February 2006 (USA),"Malibu, California, USA",3245,3205
25 December 2004 (USA),"Los Angeles, California, USA",3246,3206
7 October 2010 (USA),"New York, USA",3247,3207
24 September 1993 (USA),"Valencia, California, USA",3248,3208
29 April 1988 (USA),"Los Angeles County, California, USA",3249,3209
27 September 1996 (USA),"Los Angeles National Cemetery - 950 S Sepulveda Blvd., Los Angeles, California, USA",3250,3210
6 September 2002 (USA),"Asbury Park, New Jersey, USA",3251,3211
20 September 2002 (USA),"Courtenay, British Columbia, Canada",3252,3212
28 May 1993 (USA),"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",3253,3213
6 October 2000 (USA),"Los Angeles, California, USA",3254,3214
17 January 2002 (Germany),"Los Angeles, California, USA",3255,3215
23 May 1986 (USA),"Dell Ave, Venice, Los Angeles, California, USA",3256,3216
6 October 1995 (USA),"Casino de Puerto Rico, Avenida Juan Ponce De León, San Juan, Puerto Rico",3257,3217
13 February 1987 (USA),"Flagstaff, Arizona, USA",3258,3218
4 August 1989 (USA),"East Jersey State Prison, Rahway, New Jersey, USA",3259,3219
15 November 1935 (USA),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3260,3220
14 January 2014 (USA),,3261,3221
21 February 2012 (UK),,3262,3222
5 June 2015 (UK),,3263,3223
18 October 2013 (USA),,3264,479
12 June 2012 (USA),"Indianapolis, Indiana, USA",3265,3224
14 June 1985 (USA),"4400 N Alafaya Trail, Orlando, Florida, USA",3266,3225
21 November 1997 (USA),"Alameda, California, USA",3267,3226
14 April 2000 (USA),"17 State Street, Financial District, Manhattan, New York City, New York, USA",3268,3227
12 July 1996 (USA),"Austin, Texas, USA",3269,3228
5 July 2012 (Russia),"Louisiana, USA",3270,3229
2014 (USA),,3271,1722
7 January 2010 (USA),,3272,3230
17 September 2010 (USA),"Plain Dealing, Louisiana, USA",3273,3231
3 August 2014 (USA),,3274,3232
9 December 2005 (Sweden),"Los Angeles, California, USA",3275,3233
24 June 1970 (USA),"Guaymas, Sonora, Mexico",3276,3234
23 November 1951 (USA),"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",3277,3235
26 November 2010 (UK),"Dulwich, London, England, UK",3278,3236
28 September 1951 (USA),"RKO Encino Ranch - Balboa Boulevard & Burbank Boulevard, Encino, Los Angeles, California, USA",3279,3237
22 October 2010 (USA),"15 E Michigan Ave, Ypsilanti, Michigan, USA",3280,3238
28 June 1991 (USA),"1400 Tower Grove Drive, Beverly Hills, California, USA",3281,3239
8 February 1967 (USA),"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3282,3240
30 January 2002 (USA),"Provo, Utah, USA",3283,3241
16 March 1961 (USA),"Renwick Gym, Pomona College - 333 N. College Way, Claremont, California, USA",3284,3242
6 February 1921 (USA),"Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA",3285,3243
26 August 2005 (USA),"Ledec nad Sázavou, Czech Republic",3286,3244
24 January 1997 (USA),"England, UK",3287,3245
7 May 1993 (USA),"National Mall, Washington, District of Columbia, USA",3288,3246
2 December 1988 (USA),"Brand Library - 1601 West moutain Street, Glendale, California, USA",3289,3247
19 September 1997 (USA),"Pompton Lakes, New Jersey, USA",3290,3248
14 December 1988 (USA),"Alpes-Maritimes, France",3291,3249
15 May 1979 (USA),"Isandlwana, Natal, South Africa",3292,3250
18 March 1971 (USA),"Horden Beach, Peterlee, County Durham, England, UK",3293,3251
17 December 1975 (USA),"Atlas Mountains, Morocco",3294,3252
22 May 1987 (USA),,3295,3253
28 June 2002 (USA),,3296,3254
3 February 2006 (USA),"Los Angeles, California, USA",3297,3255
5 October 2012 (UK),"Gambier, Ohio, USA",3298,3256
9 May 2014 (USA),,3299,3257
17 January 2009 (USA),"Winsted, Connecticut, USA",3300,3258
8 October 2010 (USA),"Brooklyn, New York City, New York, USA",3301,3259
18 October 2012 (Australia),"Ocean Shores, Washington, USA",3302,3260
3 October 2008 (USA),"Manhattan, New York City, New York, USA",3303,3261
25 July 2013 (USA),"Empty Bottle Bar, 1035 N Western Avenue, Chicago, Illinois, USA",3304,3262
17 June 2011 (USA),"New York, USA",3305,3263
6 September 2012 (Portugal),"Big Sur, California, USA",3306,3264
22 July 1949 (Brazil),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3307,3265
April 1949 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3308,3003
17 March 1939 (USA),"Stage 8, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3309,3266
25 December 1936 (USA),"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3310,3267
3 March 2006 (UK),"Black Island Studios, Alliance Road, Acton, London, England, UK",3311,3268
April 1955 (USA),"Atlanta, Georgia, USA",3312,3269
September 1945 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3313,3270
14 February 1944 (Sweden),"Clarence Brown Ranch - Las Virgenes Road, Calabasas, California, USA",3314,3271
30 July 1937 (USA),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3315,3272
21 November 1931 (USA),"Agua Caliente Racetrack, Baja California Norte, Mexico",3316,3273
28 December 1934 (USA),"Glendale Grand Central Air Terminal - Grandview Avenue, Glendale, California, USA",3317,3274
21 October 1938 (USA),,3318,3275
2017 (USA),,3319,106
,,3320,48
4 November 2016 (USA),,3321,3276
4 August 2010 (Belgium),,3322,3277
20 April 2015 (Germany),,3323,3278
9 December 1944 (USA),"Argyle Hotel - 8358 Sunset Blvd., West Hollywood, California, USA",3324,3279
16 December 1938 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3325,3280
November 2005 (USA),"Scarborough Faire - 2511 FM 66, Waxahachie, Texas, USA",3326,3281
22 March 1946 (USA),"June Lake, California, USA",3327,3282
15 October 1937 (USA),"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3328,3283
December 1943 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",3329,3284
14 August 2001 (USA),"Montréal, Québec, Canada",3330,3285
8 February 2007 (Israel),"Brentwood, Los Angeles, California, USA",3331,3286
26 July 1995 (USA),"Bucharest, Romania",3332,3287
17 February 2012 (USA),"Bridgeport, Connecticut, USA",3333,3288
21 December 2018 (USA),,3334,3289
1 July 2016 (USA),"Vancouver, British Columbia, Canada",3335,3290
7 April 1976 (USA),"Mason Ave. at Devonshire St., Chatsworth, California, USA",3336,3291
November 1997 (USA),,3337,3292
9 August 1985 (USA),"Santa Clarita, California, USA",3338,3293
21 March 1980 (USA),,3339,3294
25 December 1987 (USA),,3340,3295
20 December 2002 (USA),,3341,3296
16 February 2001 (USA),,3342,3297
18 November 1994 (USA),"Chicago, Illinois, USA",3343,3298
9 November 2007 (USA),"Chicago, Illinois, USA",3344,3299
3 November 2006 (USA),"British Columbia, Canada",3345,3300
18 March 2014 (USA),"Los Angeles, California, USA",3346,3301
2010 (USA),"Acton, California, USA",3347,3302
2 November 2007 (USA),"Vancouver, British Columbia, Canada",3348,3303
27 October 2013 (USA),"Arizona, USA",3349,3304
5 April 2001 (Singapore),"East Los Angeles, California, USA",3350,3305
4 February 1994 (USA),"Brooklyn, New York City, New York, USA",3351,3306
20 April 1990 (USA),"Columbia, South Carolina, USA",3352,3307
13 October 1995 (USA),"British Columbia, Canada",3353,3308
20 January 1995 (USA),"Triscenic Production Services Inc - 13042 Bradley Ave, Sylmar, Los Angeles, California, USA",3354,3309
8 March 2007 (Hungary),"Budapest, Hungary",3355,3310
14 September 1990 (USA),"Little Italy, Manhattan, New York City, New York, USA",3356,3311
5 April 1985 (USA),"Tyl Theatre, Plzen, Czech Republic",3357,3312
23 November 2011 (USA),"Santa Barbara, California, USA",3358,3313
19 July 2014 (Japan),"Los Angeles, California, USA",3359,3314
21 March 2014 (USA),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",3360,3315
15 February 2002 (USA),,3361,3316
3 September 2009 (Argentina),,3362,3317
15 April 1968 (Denmark),"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3363,3318
24 November 1993 (USA),"New York City, New York, USA",3364,3319
21 January 1977 (USA),"Burbank, California, USA",3365,3320
10 March 1995 (USA),"Arcata, California, USA",3366,3321
15 November 2000 (France),"San Juan, Puerto Rico",3367,3322
27 February 2004 (USA),"Crissy Field, Golden Gate Memorial Recreation Area, San Francisco, California, USA",3368,3323
5 November 1999 (USA),"380 Lafayette Street, New York City, New York, USA",3369,3324
27 October 1995 (USA),"Golden Gate National Recreation Area, San Francisco, California, USA",3370,3325
6 April 2001 (USA),"Vancouver Art Gallery, Vancouver, British Columbia, Canada",3371,3326
31 May 2002 (USA),"Baltimore, Maryland, USA",3372,3327
24 September 1999 (USA),"Maison De Ville, 727 Rue Toulouse , New Orleans , Louisiana , USA",3373,3328
20 July 1994 (USA),"Clinton, Mississippi, USA",3374,3329
3 March 2000 (USA),"Canton, Mississippi, USA",3375,3330
1 February 2011 (USA),"Big Bear City, San Bernardino National Forest, California, USA",3376,3331
20 December 1961 (USA),"Benidorm, Alicante, Comunidad Valenciana, Spain",3377,3332
June 1997 (Hungary),"Los Angeles, California, USA",3378,3333
19 June 1963 (USA),"Campania, Italy",3379,3334
23 December 1958 (USA),"Caves of Arta, Mallorca, Balearic Islands, Spain",3380,3335
29 June 1994 (USA),,3381,3336
16 December 1988 (USA),,3382,3337
14 August 1998 (USA),"GM Place, Vancouver, British Columbia, Canada",3383,3338
20 November 2012 (USA),"Fernie, British Columbia, Canada",3384,3339
25 December 2004 (USA),"Santa Clarita, California, USA",3385,3340
7 March 2008 (USA),"Bridgeport, Connecticut, USA",3386,3341
1 July 2005 (USA),"Columbus, Ohio, USA",3387,3342
22 August 2008 (USA),"Minden, Louisiana, USA",3388,3343
27 January 2012 (USA),,3389,3344
13 January 2010 (France),"Los Angeles, California, USA",3390,3345
30 November 1951 (Finland),"Calabasas, California, USA",3391,3346
21 December 1979 (USA),"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3392,3347
21 August 1974 (West Germany),Mexico,3393,3348
21 December 1960 (USA),"Bacolet Beach, Tobago, Trinidad and Tobago",3394,3349
14 March 2003 (USA),"Burnaby, British Columbia, Canada",3395,3350
8 February 2002 (USA),"Culver City, California, USA",3396,3351
12 March 2010 (UK),"Bristol, Rhode Island, USA",3397,3352
27 March 1998 (USA),"O'ahu, Hawaii, USA",3398,3353
20 October 2000 (USA),"Rogers Arena, Vancouver, British Columbia, Canada",3399,3354
16 July 2015 (USA),"Rhode Island, USA",3400,3355
16 May 2003 (USA),,3401,3356
22 July 1994 (USA),"Alaska, USA",3402,3357
15 December 2012 (Belgium),"Ann Sobrato Performing Arts Center, Morgan Hill, California, USA",3403,3358
July 1994 (USA),,3404,3359
22 April 1949 (USA),"Pasadena, Los Angeles, California, USA",3405,3360
15 February 1954 (Sweden),,3406,3361
2 June 1960 (West Germany),"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",3407,3362
17 May 1976 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3408,3363
21 December 1984 (USA),"39-26 62nd Street, Queens, New York City, New York, USA",3409,3364
1 November 1996 (USA),"Union Station, 800 North Alameda Street, Los Angeles, California, USA",3410,3365
11 May 2007 (USA),"Halfway House Café - 15564 Sierra Highway, Santa Clarita, California, USA",3411,3366
26 February 1999 (USA),"All Saint's Episcopal Church - 132 N. Euclid Avenue, Pasadena, California, USA",3412,3367
2016 (USA),"Deming, New Mexico, USA",3413,3368
,,3414,48
2016 (USA),"Ventura, California, USA",3415,3369
