Year,Release Date,original_index,unique_index
1995,17 October 1995 (USA),3639,2891
1991,1991 (Hungary),3640,2892
2014 2015 2016,"Oct 23, 2015 Wide",3641,2893
2015,23 October 2015 (USA),3642,2894
2015,16 October 2015 (USA),3643,377
2015,27 November 2015 (USA),3644,2895
2001,9 November 2001 (USA),3645,2896
2015,8 April 2016 (USA),3646,2897
2015,20 November 2015 (USA),3647,1008
2015,30 October 2015 (USA),3648,2898
2014,7 August 2014 (Hungary),3649,2899
2015,2 October 2015 (USA),3650,2514
2015,16 October 2015 (USA),3651,377
2015,14 September 2015 (Canada),3652,2900
2015,4 September 2015 (USA),3653,269
2015,16 October 2015 (USA),3654,377
2014,10 July 2015 (USA),3655,2901
2016,15 January 2016 (USA),3656,2414
2015,16 October 2015 (USA),3657,377
2016,31 October 2016 (USA),3658,2902
1952,12 December 1952 (USA),3659,2903
2015,18 September 2015 (USA),3660,195
2014,25 May 2015 (USA),3661,2904
2015,9 October 2015 (USA),3662,751
2013,22 March 2013 (USA),3663,775
2016,30 May 2016 (USA),3664,2905
2015,30 June 2015 (USA),3665,2441
2015,2016 (USA),3666,2906
2015,2 October 2015 (USA),3667,2514
2013,20 December 2013 (USA),3668,2907
2011,20 January 2012 (USA),3669,2908
1996,4 October 1996 (USA),3670,1365
1993,25 June 1993 (USA),3671,2210
2007,21 December 2007 (USA),3672,1125
2008,10 April 2009 (USA),3673,2909
2004,18 June 2004 (USA),3674,1277
2013,15 March 2013 (USA),3675,590
2007,13 April 2007 (USA),3676,1922
2011,18 October 2011 (USA),3677,2910
2016,26 February 2016 (USA),3678,2911
1992 1993 1994,"Jun 1, 1993 Wide",3679,2912
2011,2 September 2011 (USA),3680,2913
2007,19 October 2007 (USA),3681,1396
1996,13 September 1996 (USA),3682,1204
2011,10 November 2011 (South Korea),3683,2914
2013,25 December 2013 (USA),3684,1573
2014,10 April 2015 (USA),3685,2915
2014,13 February 2015 (USA),3686,2916
2013,23 August 2013 (USA),3687,2645
2014,19 September 2014 (USA),3688,368
2007,28 March 2008 (USA),3689,2878
2007,5 January 2007 (USA),3690,2917
2009,26 June 2009 (USA),3691,2918
2010,30 July 2010 (USA),3692,961
2012,27 April 2012 (USA),3693,1413
2016,2016 (USA),3694,438
1940,30 August 1940 (USA),3695,2919
2007,26 September 2008 (USA),3696,2920
2005,3 June 2005 (Hungary),3697,2921
2006,27 January 2006 (USA),3698,2922
2013,31 October 2013 (Hong Kong),3699,2923
2002,23 August 2002 (UK),3700,2924
2014,14 March 2014 (USA),3701,2925
2012,14 December 2012 (UK),3702,2926
2014,24 October 2014 (USA),3703,2145
2014,14 March 2014 (USA),3704,2925
2014,20 April 2014 (USA),3705,2927
2014,25 July 2014 (USA),3706,2928
2012,18 July 2013 (Netherlands),3707,2929
2014,13 June 2014 (USA),3708,838
2008,19 November 2009 (Germany),3709,2930
2011,5 January 2012 (Kuwait),3710,2931
2008,1 May 2009 (Sweden),3711,2932
2006,10 October 2006 (USA),3712,2933
2011,April 2011 (USA),3713,2934
2002,12 April 2002 (USA),3714,2335
2002,7 November 2002 (USA),3715,2935
2010,20 August 2010 (USA),3716,758
2007,January 2007 (USA),3717,2936
1973,,3718,2937
1952,26 June 1952 (USA),3719,2938
2014,8 August 2014 (USA),3720,1850
2014,11 September 2014 (New Zealand),3721,2939
2014,7 March 2014 (USA),3722,829
2014,8 August 2014 (UK),3723,2940
2013,6 June 2014 (USA),3724,2941
2014,29 August 2014 (UK),3725,2942
1985,1985 (USA),3726,2943
2013,12 June 2014 (Israel),3727,2944
2000,12 January 2000 (USA),3728,2945
1991,12 July 1991 (USA),3729,2045
1997,29 January 1997 (USA),3730,2946
1997,8 October 1997 (USA),3731,2947
2002,25 October 2002 (USA),3732,2948
1999,22 October 1999 (USA),3733,278
2001,23 March 2001 (USA),3734,2949
1998,14 August 1998 (USA),3735,2754
1999,16 July 1999 (USA),3736,39
2002,11 October 2002 (USA),3737,1440
1995,22 December 1995 (USA),3738,1350
2001,7 September 2001 (USA),3739,2950
2003,7 February 2003 (USA),3740,1609
1995,11 January 1995 (USA),3741,2951
1993,25 February 1994 (USA),3742,1913
1994,22 April 1994 (USA),3743,2952
1996,12 January 1996 (USA),3744,2953
2006,31 March 2006 (USA),3745,850
2006,23 June 2006 (USA),3746,2062
2002,13 September 2002 (USA),3747,2954
2015,14 August 2015 (USA),3748,471
2002,22 November 2002 (USA),3749,2232
2001,21 December 2001 (USA),3750,999
2008,22 February 2008 (USA),3751,1948
1996,13 March 1997 (Australia),3752,2955
2013,3 July 2013 (USA),3753,565
2012,20 April 2012 (USA),3754,1009
2011,20 May 2011 (USA),3755,1832
2010,August 2010 (USA),3756,2956
2014,20 June 2014 (USA),3757,2957
2000,21 April 2000 (USA),3758,1653
1998,28 August 1998 (USA),3759,2958
1992,6 November 1992 (USA),3760,2959
1995,19 April 1995 (USA),3761,2960
1998,6 March 1998 (USA),3762,1994
2001,26 October 2001 (USA),3763,334
1962,21 December 1962 (USA),3764,2961
2010,19 February 2010 (USA),3765,2962
2005,17 March 2006 (USA),3766,2963
2006,20 October 2006 (USA),3767,2278
1956,6 June 1956 (USA),3768,2964
1975,18 December 1975 (USA),3769,2965
1995,5 January 1996 (USA),3770,1160
1982,25 June 1982 (USA),3771,1565
2011,20 September 2011 (USA),3772,2966
1999,31 March 1999 (USA),3773,1038
2007,23 June 2007 (USA),3774,2967
2009,18 March 2009 (USA),3775,2968
2011,30 September 2011 (USA),3776,2863
2004,1 April 2008 (USA),3777,2969
1989,November 1989 (USA),3778,2970
2012,12 October 2012 (USA),3779,2646
2000,22 November 2000 (USA),3780,2216
2008,9 May 2008 (UK),3781,2971
2012,24 November 2012 (Spain),3782,2972
2010,3 September 2010 (USA),3783,1984
2011,23 November 2012 (Poland),3784,2973
2007,20 April 2008 (USA),3785,2974
2005,6 May 2005 (USA),3786,2975
2006,2006 (Australia),3787,2976
1998,15 January 1999 (USA),3788,2977
1999,7 January 2000 (USA),3789,2978
1998,19 February 1999 (USA),3790,2979
1973,22 February 1973 (USA),3791,2980
2013,19 March 2013 (USA),3792,2981
2010,12 March 2010 (USA),3793,1921
2015,20 March 2015 (USA),3794,2579
1971,30 June 1971 (USA),3795,879
2015,24 February 2015 (USA),3796,2982
2011,,3797,2983
2014,20 May 2014 (USA),3798,2984
2013,15 October 2013 (USA),3799,2985
1997,9 January 1998 (USA),3800,2986
1979,19 December 1979 (USA),3801,2987
1971,9 October 1971 (USA),3802,2988
1994,14 October 1994 (USA),3803,1015
2009,6 August 2009 (USA),3804,2989
2011,29 April 2011 (USA),3805,1840
1984,16 November 1984 (USA),3806,2990
1988,19 August 1988 (USA),3807,2991
1987,27 February 1987 (USA),3808,382
2015,12 June 2015 (USA),3809,2285
1951,20 February 1952 (USA),3810,2992
1976,17 December 1976 (USA),3811,1677
1956,13 March 1956 (USA),3812,2993
1972,1 August 1972 (USA),3813,2994
1969,18 June 1969 (USA),3814,2995
1966,19 October 1966 (USA),3815,1744
1969,29 April 1969 (Japan),3816,2996
1968,17 October 1968 (USA),3817,2997
1992,4 September 1992 (USA),3818,2998
1967,22 December 1967 (USA),3819,2999
1984,10 August 1984 (USA),3820,3000
1996,3 May 1996 (USA),3821,362
1986,23 January 1987 (USA),3822,3001
1983,10 June 1983 (Australia),3823,3002
2001,1 June 2001 (USA),3824,3003
1930,24 August 1930 (USA),3825,3004
1967,12 December 1967 (USA),3826,3005
1949,30 December 1949 (USA),3827,3006
1929,6 June 1929 (USA),3828,3007
1936,8 April 1936 (USA),3829,3008
1997,25 December 1997 (USA),3830,276
1959,19 March 1959 (USA),3831,3009
2008,18 July 2008 (USA),3832,1575
2002,10 May 2002 (USA),3833,15
1936,3 September 1936 (USA),3834,3010
1968,8 February 1968 (USA),3835,3011
2003,31 October 2003 (USA),3836,3012
1967,13 August 1967 (USA),3837,3013
1976,9 April 1976 (USA),3838,6
1969,26 June 1969 (Sweden),3839,3014
1966,16 February 1966 (USA),3840,3015
1972,12 February 1973 (UK),3841,3016
1977,16 December 1977 (USA),3842,3017
1963,16 January 1963 (USA),3843,3018
1979,27 June 1979 (USA),3844,3019
1975,1 July 1975 (USA),3845,3020
2015,30 October 2015 (Turkey),3846,3021
1957,25 December 1957 (USA),3847,3022
1997,17 January 1997 (USA),3848,1269
1999,16 April 1999 (USA),3849,2333
1939,31 March 1939 (USA),3850,3023
1992,29 May 1992 (USA),3851,3024
1983,15 April 1983 (USA),3852,3025
1993,10 December 1993 (USA),3853,901
1984,17 February 1984 (USA),3854,3026
1997,25 April 1997 (USA),3855,3027
1997,7 February 1997 (USA),3856,3028
1996,10 May 1996 (USA),3857,3029
2003,28 March 2003 (USA),3858,3030
2006,12 May 2006 (USA),3859,518
2000,30 June 2000 (USA),3860,3031
1986,12 December 1986 (USA),3861,2374
2000,28 July 2000 (USA),3862,3032
1990,8 June 1990 (USA),3863,3033
1992,4 December 1992 (USA),3864,3034
2011,10 November 2011 (USA),3865,3035
1999,13 August 1999 (USA),3866,3036
1996,28 June 1996 (USA),3867,1927
1992,1 July 1992 (USA),3868,3037
2002,16 August 2002 (USA),3869,2370
2002,1 November 2002 (USA),3870,2259
1985,6 September 1985 (USA),3871,3038
1993,16 July 1993 (USA),3872,1236
2013,14 March 2014 (UK),3873,3039
2010,28 November 2010 (USA),3874,714
2003,26 January 2003 (USA),3875,3040
2002,January 2002 (USA),3876,3041
2006,3 January 2006 (USA),3877,3042
2008,9 October 2008 (Thailand),3878,3043
2011,23 March 2011 (Brazil),3879,3044
2001,11 May 2001 (USA),3880,3045
2010,2010 (USA),3881,2409
2007,2 August 2007 (Israel),3882,3046
2002,17 August 2002 (USA),3883,3047
2006,28 April 2006 (USA),3884,287
2014,10 July 2014 (Germany),3885,3048
2014,2 October 2014 (USA),3886,3049
2012,15 June 2012 (USA),3887,3050
2014,28 August 2014 (USA),3888,3051
2013,15 December 2013 (USA),3889,3052
2014,24 October 2014 (USA),3890,2145
2014,14 November 2014 (USA),3891,943
2014,12 September 2014 (USA),3892,884
2014,17 October 2014 (USA),3893,1831
2015,11 November 2015 (USA),3894,3053
2014,17 October 2014 (Bulgaria),3895,3054
2013,3 October 2014 (USA),3896,3055
2001,14 December 2001 (USA),3897,3056
2012,21 December 2012 (USA),3898,3057
2010,23 June 2010 (USA),3899,3058
2001,29 June 2001 (USA),3900,3059
2009,17 April 2009 (USA),3901,2787
2002,12 April 2002 (USA),3902,2335
1996,9 February 1996 (USA),3903,2067
2000,25 February 2000 (USA),3904,3060
1993,12 March 1993 (USA),3905,3061
1998,6 November 1998 (USA),3906,550
1994,23 September 1994 (USA),3907,3062
2000,10 March 2000 (USA),3908,974
2013,7 February 2013 (USA),3909,3063
1994,4 March 1994 (USA),3910,1817
2000,10 November 2000 (USA),3911,2034
1998,13 February 1998 (USA),3912,2222
2008,26 November 2008 (USA),3913,3064
2012,7 June 2013 (USA),3914,672
2006,2 June 2006 (USA),3915,3065
1988,,3916,3066
2012,20 January 2012 (USA),3917,651
2007,23 March 2007 (USA),3918,583
2009,October 2009 (USA),3919,3067
1997,13 January 2004 (Finland),3920,3068
2015,25 December 2015 (USA),3921,2881
1976,13 May 1977 (USA),3922,3069
2011,24 March 2011 (Kuwait),3923,3070
1977,July 1977 (USA),3924,3071
1976,21 May 1976 (USA),3925,3072
2008,16 October 2009 (USA),3926,3073
1984,5 October 1984 (USA),3927,3074
1977,13 May 1977 (USA),3928,3075
1981,2 October 1981 (USA),3929,3076
1980,May 1980 (USA),3930,3077
2013,9 May 2014 (USA),3931,2693
1977,18 November 1977 (USA),3932,3078
2005,12 March 2005 (USA),3933,3079
2014,13 May 2014 (USA),3934,2147
2015,2015 (USA),3935,260
2013,24 September 2013 (USA),3936,3080
2007,11 April 2008 (UK),3937,3081
2013,6 April 2013 (USA),3938,3082
1959,24 June 1959 (USA),3939,3083
2015,2 May 2015 (USA),3940,3084
2014,4 November 2014 (USA),3941,2438
2011,24 January 2011 (USA),3942,3085
2006,12 January 2007 (USA),3943,3086
2001,26 February 2003 (France),3944,3087
2004,4 February 2005 (USA),3945,3088
1963,17 June 1964 (France),3946,3089
2006,10 February 2006 (USA),3947,123
2009,10 July 2009 (Denmark),3948,3090
1990,16 February 1990 (USA),3949,1441
1990,26 July 1990 (West Germany),3950,3091
1982,9 September 1982 (Netherlands),3951,3092
1978,14 April 1979 (Japan),3952,3093
1989,1 July 1989 (USA),3953,3094
1989,2 June 1989 (USA),3954,3095
2001,28 May 2001 (USA),3955,3096
2002,14 February 2003 (USA),3956,2818
1997,11 April 1997 (USA),3957,2327
1999,28 July 1999 (USA),3958,3097
1990,19 January 1990 (USA),3959,3098
2002,17 July 2002 (USA),3960,3099
2004,27 August 2004 (USA),3961,746
1990,18 July 1990 (USA),3962,3100
1995,9 June 1995 (USA),3963,3101
1989,14 October 1989 (USA),3964,3102
1994,21 October 1994 (USA),3965,3103
1995,7 July 1995 (USA),3966,1968
2004,12 May 2006 (Canada),3967,3104
1998,23 January 1998 (USA),3968,3105
2003,24 December 2003 (Bahrain),3969,3106
2014,1 October 2014 (USA),3970,3107
2009,11 September 2009 (USA),3971,3108
2015,1 July 2015 (USA),3972,2289
2011,13 April 2012 (USA),3973,3109
2013,1 July 2014 (USA),3974,3110
2015,9 October 2015 (USA),3975,751
2009,10 January 2009 (USA),3976,11
2015,29 May 2015 (USA),3977,2299
2002,,3978,3111
2006,October 2006 (USA),3979,3112
1974,October 1974 (USA),3980,3113
2006,5 May 2006 (USA),3981,1855
1985,23 August 1985 (USA),3982,3114
1989,7 April 1989 (USA),3983,1207
1981,24 July 1981 (USA),3984,3115
2015,6 November 2015 (USA),3985,765
1997,31 January 1997 (USA),3986,3116
1994,16 September 1994 (USA),3987,3117
1995,22 December 1995 (USA),3988,1350
2014,2015 (USA),3989,2808
2013,7 November 2013 (Germany),3990,3118
2009,22 April 2011 (UK),3991,3119
2012,6 September 2013 (UK),3992,3120
2010,23 August 2010 (USA),3993,3121
2013,12 December 2014 (UK),3994,3122
2009,18 March 2011 (USA),3995,3123
1998,27 February 1998 (USA),3996,3124
1977,25 December 1977 (USA),3997,2337
1997,11 July 1997 (USA),3998,3125
2013,1 November 2013 (USA),3999,1890
1997,24 October 1997 (USA),4000,2323
1997,15 August 1997 (USA),4001,255
2007,27 July 2007 (USA),4002,909
1981,13 March 1981 (USA),4003,3126
1986,22 August 1986 (USA),4004,126
1985,16 August 1985 (USA),4005,1437
1986,6 June 1986 (USA),4006,1291
1993,27 August 1996 (USA),4007,3127
1988,5 August 1988 (USA),4008,1476
1987,2 October 1987 (USA),4009,448
1984,16 November 1984 (USA),4010,2990
1986,21 February 1986 (USA),4011,1923
1993,1993 (Canada),4012,3128
1985,30 August 1985 (USA),4013,3129
2009,11 September 2009 (USA),4014,3108
1987,16 January 1987 (USA),4015,3130
2010,7 April 2010 (USA),4016,3131
1989,16 March 1990 (USA),4017,3132
1990,5 October 1990 (USA),4018,109
1992,3 September 1993 (USA),4019,3133
1981,4 April 1981 (USA),4020,3134
1989,23 February 1990 (USA),4021,3135
1994,3 February 1995 (USA),4022,2622
1988,September 1988 (Italy),4023,3136
2011,19 May 2011 (USA),4024,3137
2005,7 October 2005 (USA),4025,769
2015,2 October 2015 (USA),4026,2514
1998,11 December 1998 (USA),4027,1492
1998,30 March 1999 (USA),4028,3138
2012,11 March 2012 (USA),4029,3139
1993,25 February 1994 (Brazil),4030,3140
1958 1959 1960,"Oct 21, 1959 Wide",4031,3141
2013,1 May 2014 (USA),4032,3142
1991,27 June 1991 (USA),4033,3143
2007,14 June 2007 (USA),4034,3144
1989,8 July 1990 (UK),4035,3145
1985,18 October 1985 (USA),4036,3146
2014,January 2014 (USA),4037,3147
1982,18 June 1982 (USA),4038,784
1973,14 December 1973 (USA),4039,3148
1986,7 November 1986 (USA),4040,3149
1986,7 February 1986 (USA),4041,3150
2013,1 March 2013 (USA),4042,3151
1987,5 August 1987 (USA),4043,3152
1991,8 March 1991 (USA),4044,1559
1974,9 February 1979 (West Germany),4045,3153
1990,23 February 1990 (USA),4046,3154
2005,23 March 2006 (Thailand),4047,3155
1965,27 October 1965 (USA),4048,3156
2015,10 April 2015 (USA),4049,2011
2015,18 August 2015 (USA),4050,3157
1963,28 August 1963 (USA),4051,3158
2014,1 May 2015 (USA),4052,3159
1932,5 November 1932 (USA),4053,3160
2013,5 October 2013 (USA),4054,3161
1993,2 April 1993 (USA),4055,3162
1981,14 October 1981 (USA),4056,3163
1981,6 November 1981 (USA),4057,3164
1981,8 May 1981 (USA),4058,3165
2008,2008 (USA),4059,194
2008,23 May 2008 (USA),4060,3166
2015,13 August 2015 (USA),4061,3167
2003,9 October 2003 (USA),4062,3168
2010,1 August 2010 (USA),4063,3169
2006,24 July 2006 (USA),4064,3170
2004,9 April 2004 (USA),4065,549
1987,18 September 1987 (USA),4066,1155
1988,15 January 1988 (USA),4067,125
1997,3 December 1997 (USA),4068,3171
1988,18 November 1988 (USA),4069,954
2012,11 April 2014 (USA),4070,3172
1994 1995 1996,"Apr 1, 1995 Wide",4071,3173
2005,13 May 2005 (USA),4072,1597
2013,15 February 2013 (USA),4073,1313
2006,6 June 2006 (USA),4074,3174
2008,24 July 2008 (USA),4075,3175
2009,3 October 2009 (USA),4076,3176
1992,10 March 1993 (USA),4077,3177
2003,18 April 2003 (USA),4078,3178
2008,1 March 2008 (USA),4079,3179
1979,7 December 1979 (USA),4080,3180
2015,17 July 2015 (USA),4081,214
2015,14 August 2015 (USA),4082,471
2012,6 December 2013 (USA),4083,3181
2002,11 September 2002 (France),4084,3182
2007,22 April 2009 (USA),4085,3183
2015,15 May 2015 (USA),4086,2298
2011 2012 2013,"Nov 13, 2012 Wide",4087,3184
2011,22 April 2011 (USA),4088,3185
1947,9 June 1948 (USA),4089,3186
1950,23 May 1950 (USA),4090,3187
1946,26 November 1946 (Argentina),4091,3188
1954 1955 1956,"Apr 23, 1955 Limited",4092,3189
1944,30 March 1944 (USA),4093,3190
1946,2 May 1946 (USA),4094,3191
1945,20 October 1945 (USA),4095,3192
2012,14 December 2012 (UK),4096,2926
2014,26 September 2014 (USA),4097,768
2003,19 September 2003 (USA),4098,18
2001,12 December 2001 (France),4099,3193
2014,22 October 2014 (USA),4100,3194
1997,24 November 1997 (Australia),4101,3195
2002,3 April 2003 (Netherlands),4102,3196
2012,March 2013 (France),4103,3197
1995,28 July 1995 (USA),4104,1439
1977,17 April 1978 (Sweden),4105,3198
2011,6 April 2011 (Egypt),4106,3199
2006,7 April 2006 (USA),4107,1950
2012,26 April 2014 (Japan),4108,3200
1988,9 September 1988 (USA),4109,3201
1990,6 April 1990 (USA),4110,1375
1993,16 July 1993 (USA),4111,1236
1991,4 October 1991 (USA),4112,3202
1988,15 January 1988 (Japan),4113,3203
2014,8 February 2014 (Germany),4114,3204
2000,6 October 2000 (USA),4115,910
2008,30 January 2009 (USA),4116,496
1993,29 September 1995 (Spain),4117,3205
1988,15 April 1988 (USA),4118,3206
2005,5 April 2006 (France),4119,3207
1995,19 July 1995 (USA),4120,3208
2012,4 January 2013 (USA),4121,3209
1998,22 May 1998 (USA),4122,402
2009,26 June 2009 (Spain),4123,3210
2016,,4124,536
2006,2 March 2007 (USA),4125,3211
1997,8 August 1997 (USA),4126,1448
2003,14 November 2003 (Austria),4127,3212
2001,21 September 2001 (USA),4128,3213
1998,16 October 1998 (USA),4129,2207
2003,11 June 2004 (USA),4130,3214
2010,7 September 2010 (Italy),4131,3215
2012,9 September 2013 (UK),4132,3216
2008,14 June 2008 (USA),4133,3217
2013,27 June 2013 (USA),4134,3218
2004,29 October 2004 (USA),4135,506
1993,1 October 1993 (USA),4136,519
2001,1 February 2002 (USA),4137,3219
2007,5 October 2007 (UK),4138,3220
2003,23 April 2004 (USA),4139,3221
2006,3 October 2007 (USA),4140,3222
1982,September 1982 (USA),4141,3223
1988,23 September 1988 (USA),4142,3224
1978 1979 1980,"Jan 1, 1979 Wide",4143,3225
1980,21 March 1980 (USA),4144,2726
1993,17 November 1993 (USA),4145,3226
1980,29 February 1980 (USA),4146,3227
1983,25 March 1983 (USA),4147,197
1993,15 October 1993 (USA),4148,1373
1985,8 November 1985 (USA),4149,1705
1988,12 August 1988 (USA),4150,1170
1986,10 October 1986 (USA),4151,3228
1984,14 December 1984 (USA),4152,130
1969,27 August 1969 (USA),4153,3229
1985,16 August 1985 (USA),4154,1437
1981,6 August 1982 (Sweden),4155,3230
1987,8 May 1987 (USA),4156,3231
2000,12 January 2001 (USA),4157,1174
2005,16 November 2005 (France),4158,3232
2008,3 October 2008 (USA),4159,2188
2005,18 January 2007 (Singapore),4160,3233
1977 1978 1979,"Nov 15, 1978 Wide",4161,3234
2010,2010 (USA),4162,2409
2015,,4163,1514
1993,4 March 1994 (USA),4164,3235
1993,15 January 1993 (USA),4165,3236
1980,2 July 1980 (USA),4166,2359
1996,11 October 1996 (USA),4167,3237
1997,12 June 1997 (Singapore),4168,3238
1997,26 September 1997 (USA),4169,1550
1972,30 July 1972 (USA),4170,3239
2011,8 July 2011 (USA),4171,1310
1986 1987 1988,"Sep 15, 1987 Wide",4172,3240
2015,December 2015 (USA),4173,2859
2014 2015 2016,"Jul 24, 2015 Wide",4174,3241
1990,18 January 1991 (USA),4175,3242
1971,13 October 1971 (USA),4176,3243
2014,19 September 2014 (South Africa),4177,3244
2004,27 May 2005 (Spain),4178,3245
1978,13 September 1978 (USA),4179,3246
1971,22 October 1971 (USA),4180,3247
2006 2007 2008,"Aug 17, 2007 Wide",4181,3248
2014,15 August 2014 (Ireland),4182,3249
2015,18 September 2015 (USA),4183,195
2006,22 November 2006 (USA),4184,2250
1971,21 July 1971 (France),4185,3250
2011,15 June 2012 (Spain),4186,3251
2009,17 June 2010 (South Korea),4187,3252
1972,16 October 1972 (Sweden),4188,3253
1982,3 December 1982 (UK),4189,3254
2009,9 October 2009 (UK),4190,3255
1956,September 1956 (USA),4191,3256
2011,3 August 2012 (UK),4192,3257
1968,17 February 1968 (USA),4193,3258
2013,28 June 2013 (UK),4194,3259
2011,8 April 2011 (USA),4195,1518
2013,3 September 2014 (Netherlands),4196,3260
2011,9 December 2011 (USA),4197,1517
2004,22 October 2004 (USA),4198,3261
1973,9 May 1973 (USA),4199,3262
1986,15 August 1986 (USA),4200,3263
1982,22 October 1982 (USA),4201,254
2006,28 July 2006 (USA),4202,1314
1971,11 March 1971 (USA),4203,3264
2015,25 June 2015 (Italy),4204,3265
2011,13 October 2012 (Brazil),4205,3266
2003,7 March 2003 (USA),4206,3267
2002,15 February 2002 (USA),4207,410
2002,1 March 2002 (USA),4208,3268
2002,19 July 2002 (USA),4209,900
2001,30 November 2001 (USA),4210,3269
1995,12 May 1995 (USA),4211,3270
2005,20 January 2006 (USA),4212,2642
2013,6 December 2013 (USA),4213,3271
2000,14 April 2000 (USA),4214,2235
2010,15 January 2010 (USA),4215,929
1993,8 October 1993 (USA),4216,948
2010,22 December 2010 (USA),4217,1287
2013,20 December 2013 (USA),4218,2907
1971,2 July 1971 (USA),4219,3272
1996,11 October 1996 (USA),4220,3237
1997,30 July 1997 (USA),4221,3273
2000,16 June 2000 (USA),4222,1657
2004,11 June 2004 (USA),4223,139
2012 2013 2014,"Sep 6, 2013 Wide",4224,3274
2003,17 October 2003 (USA),4225,3275
1997,25 December 1997 (USA),4226,276
1996,8 November 1996 (USA),4227,801
2006,7 April 2006 (USA),4228,1950
2003,21 February 2003 (USA),4229,2233
2009,4 September 2009 (USA),4230,1958
1997,14 November 1997 (USA),4231,3276
2010,15 October 2010 (USA),4232,3277
1998,3 April 1998 (USA),4233,3278
2004 2005 2006,"Mar 11, 2005 Wide",4234,3279
1936,1938 (USA),4235,3280
2002,21 February 2003 (USA),4236,3281
2011 2012 2013,"Sep 21, 2012 Wide",4237,3282
1976,15 December 1976 (USA),4238,3283
1978,16 June 1978 (USA),4239,3284
2000,January 2000 (USA),4240,3285
2011,25 July 2011 (USA),4241,3286
2009,5 February 2010 (USA),4242,3287
1968,9 October 1968 (USA),4243,3288
1978,6 October 1978 (USA),4244,564
1982,17 December 1982 (USA),4245,951
1971,22 December 1971 (USA),4246,3289
1970,23 December 1970 (USA),4247,3290
1974,10 November 1974 (USA),4248,3291
1975,24 September 1975 (USA),4249,3292
1975,21 May 1975 (USA),4250,3293
1998,20 May 1998 (USA),4251,3294
2004,11 March 2005 (USA),4252,3295
2007,23 January 2009 (Brazil),4253,3296
2006,25 December 2006 (USA),4254,3297
2009,20 November 2009 (USA),4255,928
2003,23 January 2004 (Finland),4256,3298
2008,8 December 2009 (USA),4257,3299
1972,30 August 1972 (USA),4258,3300
2007,31 October 2007 (USA),4259,3301
1933,21 January 1933 (USA),4260,3302
1986,19 December 1986 (USA),4261,3303
2007,5 October 2007 (USA),4262,239
1953,13 June 1953 (USA),4263,3304
2006,22 February 2007 (Netherlands),4264,3305
1949,29 August 1949 (Sweden),4265,3306
2006,16 February 2007 (UK),4266,3307
1939,17 November 1939 (USA),4267,100
1991,3 July 1991 (USA),4268,1011
1999,13 April 2000 (Australia),4269,3308
1972,13 December 1972 (USA),4270,3309
2014,20 February 2015 (UK),4271,3310
2011,18 May 2012 (USA),4272,3311
1940,27 December 1940 (USA),4273,3312
1940,26 January 1940 (USA),4274,3313
1944,7 July 1944 (USA),4275,3314
1944,9 June 1944 (USA),4276,3315
1942,7 August 1942 (USA),4277,3316
1945,1946 (Turkey),4278,3317
1936,20 January 1936 (USA),4279,3318
1935,8 July 1935 (USA),4280,3319
1932,December 1932 (USA),4281,3320
1932,21 February 1932 (USA),4282,3321
1934,7 May 1934 (USA),4283,3322
1946,17 May 1946 (USA),4284,3323
1920,18 February 1921 (Japan),4285,3324
2015,30 October 2015 (USA),4286,2898
1941,September 1941 (USA),4287,3325
2015,26 August 2015 (USA),4288,3326
2015,19 June 2015 (USA),4289,823
2007,11 April 2008 (USA),4290,3327
2004,13 March 2004 (USA),4291,3328
2004,18 March 2005 (Austria),4292,3329
2002,11 January 2002 (USA),4293,3330
2006,22 May 2007 (USA),4294,3331
2007,13 July 2007 (USA),4295,3332
2013,31 January 2014 (USA),4296,3333
2012,10 August 2012 (USA),4297,395
2012,2012 (USA),4298,3334
2006 2007 2008,"Feb 16, 2007 Wide",4299,3335
2008,29 July 2009 (Philippines),4300,3336
2009,20 November 2009 (USA),4301,928
2011,4 March 2011 (USA),4302,150
2008,21 November 2008 (USA),4303,781
2010,12 March 2010 (USA),4304,1921
2012,1 June 2012 (USA),4305,3337
2010,30 June 2010 (USA),4306,3338
2010,5 February 2010 (USA),4307,3339
2013,29 March 2013 (USA),4308,3340
2013,21 August 2013 (USA),4309,3341
2003,5 March 2004 (USA),4310,3342
1999,14 January 2000 (USA),4311,53
1978,October 1978 (USA),4312,3343
1994,14 October 1994 (USA),4313,1015
2013,16 January 2014 (Italy),4314,3344
1983,21 October 1983 (USA),4315,198
1985,2 August 1985 (USA),4316,384
1981,8 October 1981 (USA),4317,3345
1930,1930 (Germany),4318,3346
2012,22 November 2012 (Portugal),4319,3347
2010,2010 (USA),4320,2409
1996,26 July 1996 (USA),4321,2399
2008,30 August 2011 (USA),4322,3348
1999,7 October 1999 (Germany),4323,3349
2006,2006 (USA),4324,3350
2014,1 April 2015 (USA),4325,3351
2004,May 2004 (USA),4326,3352
2004,30 May 2004 (USA),4327,3353
2008,2008 (USA),4328,194
2014,18 March 2015 (Belgium),4329,3354
2010,20 May 2011 (UK),4330,3355
2005,31 August 2005 (USA),4331,3356
2004,4 September 2004 (Germany),4332,3357
2012,21 December 2012 (USA),4333,3057
1927,5 January 1929 (USA),4334,3358
1936,25 February 1936 (USA),4335,3359
1995,22 September 1995 (USA),4336,419
