Release Date,Country,original_index,unique_index
27 February 2004 (USA),"Germany,USA",3368,2933
5 November 1999 (USA),"USA,Canada",3369,2934
27 October 1995 (USA),USA,3370,2935
6 April 2001 (USA),"USA,Germany,Canada",3371,2936
31 May 2002 (USA),"USA,Germany",3372,2937
24 September 1999 (USA),"USA,Germany,Canada",3373,2938
20 July 1994 (USA),USA,3374,2939
3 March 2000 (USA),USA,3375,2940
1 February 2011 (USA),"Czech Republic,USA",3376,2941
20 December 1961 (USA),"UK,USA",3377,2942
June 1997 (Hungary),USA,3378,2943
19 June 1963 (USA),"UK,USA",3379,2944
23 December 1958 (USA),USA,3380,2945
29 June 1994 (USA),USA,3381,2559
16 December 1988 (USA),USA,3382,2057
14 August 1998 (USA),"USA,Canada",3383,2946
20 November 2012 (USA),USA,3384,2947
25 December 2004 (USA),USA,3385,2948
7 March 2008 (USA),USA,3386,2949
1 July 2005 (USA),USA,3387,1530
22 August 2008 (USA),USA,3388,1683
27 January 2012 (USA),USA,3389,2950
13 January 2010 (France),USA,3390,2951
30 November 1951 (Finland),USA,3391,2952
21 December 1979 (USA),USA,3392,1882
21 August 1974 (West Germany),USA,3393,2953
21 December 1960 (USA),USA,3394,2689
14 March 2003 (USA),"USA,Canada",3395,2954
8 February 2002 (USA),"USA,Germany",3396,2955
12 March 2010 (UK),"USA,UK",3397,2956
27 March 1998 (USA),USA,3398,2957
20 October 2000 (USA),"Canada,USA",3399,2958
16 July 2015 (USA),USA,3400,2959
16 May 2003 (USA),"Japan,USA",3401,2960
22 July 1994 (USA),USA,3402,2961
15 December 2012 (Belgium),USA,3403,2962
July 1994 (USA),USA,3404,2963
22 April 1949 (USA),USA,3405,2964
15 February 1954 (Sweden),USA,3406,2965
2 June 1960 (West Germany),USA,3407,2966
17 May 1976 (USA),USA,3408,2967
21 December 1984 (USA),USA,3409,2968
1 November 1996 (USA),USA,3410,2764
11 May 2007 (USA),USA,3411,2969
26 February 1999 (USA),USA,3412,2970
2016 (USA),USA,3413,441
,USA,3414,47
2016 (USA),USA,3415,441
2016 (USA),USA,3416,441
26 April 2015 (USA),USA,3417,2971
28 August 2015 (USA),USA,3418,113
31 May 1985 (USA),USA,3419,2972
17 March 1989 (USA),USA,3420,2973
12 February 2016 (USA),"USA,Canada",3421,2974
8 October 2015 (Netherlands),USA,3422,2975
21 June 1974 (USA),USA,3423,2976
9 March 2012 (USA),USA,3424,739
23 November 1929 (USA),USA,3425,2977
13 February 2015 (USA),USA,3426,2978
March 2016 (USA),USA,3427,2979
12 February 2016 (USA),"USA,Romania,Spain",3428,2980
5 January 1919 (USA),USA,3429,2981
,USA,3430,47
9 January 2009 (USA),USA,3431,2982
9 May 2008 (USA),USA,3432,2983
4 June 2010 (USA),USA,3433,1435
17 April 2009 (USA),USA,3434,2984
8 October 2010 (USA),USA,3435,634
23 April 2004 (USA),USA,3436,2985
24 November 2010 (USA),USA,3437,801
21 January 2011 (USA),USA,3438,2986
2016 (USA),USA,3439,441
15 April 2016 (USA),"UK,USA",3440,2987
2016 (USA),USA,3441,441
25 December 2010 (USA),USA,3442,2988
30 July 2010 (USA),"USA,Canada",3443,2989
20 April 2012 (USA),USA,3444,1035
7 August 2013 (USA),USA,3445,1360
30 April 2004 (USA),"USA,Canada",3446,2990
29 August 2014 (Bahamas),USA,3447,2991
21 August 2015 (USA),"Germany,USA",3448,2992
24 February 2012 (USA),USA,3449,2448
21 April 2006 (USA),USA,3450,325
23 January 2015 (USA),USA,3451,738
15 April 2005 (USA),USA,3452,2993
2016 (USA),"USA,Canada",3453,2994
,"USA,Sweden",3454,2995
,USA,3455,47
26 August 2011 (USA),"Australia,USA",3456,2996
19 December 2014 (USA),USA,3457,752
December 1960 (Austria),USA,3458,2997
2009 (USA),USA,3459,2605
12 October 2001 (Poland),"USA,Poland",3460,2998
9 January 2015 (USA),USA,3461,644
12 October 2012 (USA),USA,3462,132
,USA,3463,47
2016 (USA),USA,3464,441
7 November 2014 (USA),USA,3465,834
2015 (USA),USA,3466,258
6 December 2013 (Mexico),"USA,Mexico",3467,2999
2015 (USA),USA,3468,258
9 June 2014 (USA),USA,3469,3000
5 December 1941 (USA),USA,3470,3001
3 April 1942 (USA),"USA,UK",3471,3002
1 September 1978 (Denmark),USA,3472,3003
1 November 2015 (USA),USA,3473,3004
8 November 1946 (USA),USA,3474,3005
17 August 2013 (USA),USA,3475,2297
15 June 1961 (Mexico),USA,3476,3006
4 November 2016 (USA),USA,3477,2894
2015 (Spain),"Spain,USA",3478,3007
2015 (USA),"USA,China",3479,3008
2015 (USA),"USA,Colombia",3480,3009
,USA,3481,47
,USA,3482,47
19 September 2014 (USA),USA,3483,369
6 July 1966 (France),USA,3484,3010
,"UK,USA",3485,2412
7 July 2017 (USA),"USA,Australia",3486,3011
2016 (USA),USA,3487,441
8 January 1965 (USA),USA,3488,3012
2015 (USA),USA,3489,258
2016 (Faroe Islands),"France,USA",3490,3013
10 January 1992 (USA),USA,3491,2504
14 August 1992 (USA),USA,3492,3014
4 August 1995 (USA),USA,3493,3015
17 December 1993 (USA),USA,3494,2260
7 August 2009 (USA),USA,3495,44
8 December 2006 (USA),USA,3496,2282
10 December 2004 (USA),"USA,UK",3497,3016
14 May 2010 (USA),USA,3498,3017
27 August 2008 (USA),USA,3499,3018
18 December 1998 (USA),USA,3500,1355
13 April 2001 (USA),"UK,France,USA,Ireland",3501,3019
21 April 1995 (USA),USA,3502,2092
19 November 2004 (USA),"UK,France,Germany,Ireland,USA",3503,3020
14 February 2007 (USA),USA,3504,3021
14 February 2003 (USA),"UK,France,USA",3505,3022
24 March 2005 (USA),"USA,Australia",3506,3023
24 January 1992 (USA),USA,3507,3024
13 January 1989 (USA),USA,3508,1694
21 October 1988 (USA),USA,3509,3025
19 December 1980 (USA),USA,3510,1656
16 May 1963 (USA),USA,3511,3026
14 November 2003 (USA),"UK,USA,France",3512,3027
17 May 2002 (USA),"UK,USA,France,Germany",3513,3028
30 June 2006 (USA),"USA,France",3514,3029
21 August 1987 (USA),USA,3515,3030
12 February 2009 (Singapore),"UK,USA,India",3516,3031
20 March 2009 (USA),USA,3517,3032
"Jul 29, 2005 Wide",USA,3518,2428
30 July 1999 (USA),USA,3519,1595
5 October 2001 (USA),USA,3520,3033
23 February 1996 (USA),"USA,UK",3521,3034
29 June 1994 (USA),USA,3522,2559
4 December 2015 (USA),"UK,France,USA",3523,3035
21 June 1961 (USA),USA,3524,3036
7 August 1968 (USA),USA,3525,3037
28 March 1980 (USA),USA,3526,3038
22 April 1983 (USA),USA,3527,3039
14 October 2011 (UK),USA,3528,3040
30 October 1987 (USA),USA,3529,3041
19 May 2011 (Germany),"USA,United Arab Emirates",3530,3042
3 November 1995 (USA),USA,3531,3043
1 November 1991 (USA),USA,3532,3044
January 1984 (USA),USA,3533,3045
22 May 1985 (USA),USA,3534,3046
17 January 1986 (USA),"USA,Italy",3535,3047
4 March 2016 (USA),USA,3536,826
March 1988 (USA),USA,3537,3048
5 February 2016 (USA),USA,3538,3049
27 May 1994 (USA),USA,3539,3050
30 August 1986 (USA),"USA,Finland",3540,3051
17 May 1991 (USA),USA,3541,1550
22 December 1995 (USA),"USA,France,Italy,Germany",3542,3052
8 December 1987 (UK),USA,3543,3053
25 September 2012 (USA),USA,3544,3054
24 May 1991 (USA),USA,3545,380
13 January 2017 (USA),USA,3546,3055
17 February 2017 (USA),USA,3547,3056
4 April 2008 (USA),"USA,Germany",3548,3057
2 August 2002 (UK),"UK,USA",3549,3058
26 April 2013 (USA),USA,3550,1473
24 September 2010 (USA),USA,3551,1190
28 January 2011 (USA),"Mexico,USA",3552,3059
18 July 2003 (USA),USA,3553,1940
2016 (USA),USA,3554,441
2017 (USA),"USA,Chile",3555,3060
2015 (USA),USA,3556,258
15 August 2003 (USA),USA,3557,2105
20 June 2003 (USA),USA,3558,1907
,"UK,USA",3559,2412
2016 (USA),USA,3560,441
10 October 2015 (USA),USA,3561,3061
18 December 1937 (USA),USA,3562,3062
"Apr 8, 2011 Limited",USA,3563,3063
16 September 2005 (USA),USA,3564,3064
16 July 2009 (Portugal),USA,3565,3065
8 January 2010 (USA),"USA,Ireland",3566,3066
6 May 2011 (USA),USA,3567,1116
30 May 2008 (USA),"USA,India",3568,3067
17 April 2009 (USA),USA,3569,2984
,USA,3570,47
27 July 2007 (USA),"USA,Australia",3571,3068
18 October 2014 (USA),USA,3572,3069
24 August 2007 (USA),USA,3573,3070
17 July 2015 (USA),USA,3574,212
4 May 2012 (USA),USA,3575,1110
7 February 2013 (Russia),USA,3576,3071
24 June 2014 (USA),USA,3577,3072
26 September 2014 (USA),USA,3578,772
December 2015 (USA),USA,3579,3073
2016 (USA),USA,3580,441
16 September 2005 (USA),USA,3581,3064
25 April 2015 (USA),USA,3582,3074
31 March 1995 (USA),USA,3583,1317
7 October 2005 (USA),USA,3584,884
12 January 2015 (Japan),USA,3585,3075
10 July 2009 (UK),USA,3586,3076
30 September 2011 (USA),USA,3587,3077
2 July 2010 (Spain),"USA,Spain",3588,3078
"Oct 13, 2006 Wide",USA,3589,3079
28 May 2013 (USA),USA,3590,2681
9 May 1997 (USA),USA,3591,3080
12 November 2005 (USA),USA,3592,3081
31 January 1986 (USA),USA,3593,3082
25 December 1998 (USA),USA,3594,1032
17 December 1999 (USA),"USA,Germany",3595,3083
March 1978 (USA),USA,3596,3084
8 March 1978 (USA),USA,3597,3085
12 July 1995 (USA),USA,3598,3086
22 June 1977 (USA),USA,3599,1402
9 August 1996 (USA),USA,3600,2627
10 November 2010 (USA),USA,3601,3087
9 March 1990 (USA),USA,3602,3088
12 January 1994 (USA),USA,3603,3089
"Oct 23, 1991 Wide",USA,3604,3090
5 June 1992 (USA),USA,3605,2113
2015 (USA),USA,3606,258
25 December 2005 (USA),"USA,Germany,Australia",3607,3091
28 March 2008 (USA),"USA,Canada",3608,3092
26 September 2008 (USA),USA,3609,3093
14 August 2009 (USA),USA,3610,3094
26 December 2006 (UK),"USA,UK,Canada",3611,3095
16 October 2004 (USA),USA,3612,3096
15 April 2016 (USA),USA,3613,3097
25 December 2015 (USA),"Germany,China,USA",3614,3098
9 October 2015 (USA),"UK,USA",3615,3099
4 December 2015 (USA),USA,3616,3100
18 March 2016 (USA),USA,3617,3101
11 December 2015 (USA),USA,3618,3102
15 January 2016 (USA),USA,3619,3103
26 February 2016 (USA),"Canada,USA",3620,3104
17 July 2015 (USA),USA,3621,212
21 August 2015 (USA),USA,3622,3105
25 January 2015 (USA),USA,3623,3106
25 September 2015 (USA),USA,3624,473
25 September 2015 (USA),USA,3625,473
12 November 2015 (Brazil),USA,3626,3107
29 May 2015 (USA),USA,3627,3108
15 July 2011 (USA),USA,3628,3109
11 February 2000 (USA),"USA,Japan",3629,3110
4 September 2015 (USA),USA,3630,266
21 March 2003 (USA),USA,3631,3111
17 May 2015 (France),USA,3632,3112
17 July 2015 (USA),USA,3633,212
24 July 2015 (USA),USA,3634,472
25 September 2015 (USA),USA,3635,473
9 June 2017 (USA),USA,3636,3113
2016 (USA),USA,3637,441
15 August 1946 (USA),USA,3638,2253
17 October 1995 (USA),USA,3639,3114
1991 (Hungary),USA,3640,3115
"Oct 23, 2015 Wide",USA,3641,3116
23 October 2015 (USA),USA,3642,3117
16 October 2015 (USA),USA,3643,378
27 November 2015 (USA),"UK,Germany,USA",3644,3118
9 November 2001 (USA),"USA,Germany",3645,3119
8 April 2016 (USA),USA,3646,1033
20 November 2015 (USA),"UK,USA,France",3647,3120
30 October 2015 (USA),USA,3648,3121
7 August 2014 (Hungary),USA,3649,3122
2 October 2015 (USA),USA,3650,2687
16 October 2015 (USA),"Australia,USA",3651,3123
14 September 2015 (Canada),USA,3652,3124
4 September 2015 (USA),"France,USA",3653,3125
16 October 2015 (USA),"USA,Australia",3654,3126
10 July 2015 (USA),"USA,Germany,Norway,UK,Montenegro",3655,3127
15 January 2016 (USA),USA,3656,3103
16 October 2015 (USA),USA,3657,378
31 October 2016 (USA),USA,3658,3128
12 December 1952 (USA),USA,3659,3129
18 September 2015 (USA),USA,3660,42
25 May 2015 (USA),"France,USA,Belgium,Italy,Switzerland",3661,3130
9 October 2015 (USA),"Chile,USA",3662,3131
22 March 2013 (USA),USA,3663,779
30 May 2016 (USA),USA,3664,3132
30 June 2015 (USA),USA,3665,2613
2016 (USA),"USA,Morocco",3666,3133
2 October 2015 (USA),"Canada,USA",3667,3134
20 December 2013 (USA),"UK,Australia,USA",3668,3135
20 January 2012 (USA),USA,3669,655
4 October 1996 (USA),USA,3670,1421
25 June 1993 (USA),USA,3671,2345
21 December 2007 (USA),"USA,Germany",3672,3136
10 April 2009 (USA),USA,3673,796
18 June 2004 (USA),USA,3674,3137
15 March 2013 (USA),USA,3675,592
13 April 2007 (USA),USA,3676,2033
18 October 2011 (USA),USA,3677,3138
26 February 2016 (USA),USA,3678,3139
"Jun 1, 1993 Wide",USA,3679,3140
2 September 2011 (USA),USA,3680,650
19 October 2007 (USA),"USA,UK,Canada",3681,3141
13 September 1996 (USA),USA,3682,1243
10 November 2011 (South Korea),USA,3683,3142
25 December 2013 (USA),"USA,Canada",3684,3143
10 April 2015 (USA),"USA,Australia",3685,3144
13 February 2015 (USA),USA,3686,2978
23 August 2013 (USA),"UK,USA,Japan",3687,3145
19 September 2014 (USA),USA,3688,369
28 March 2008 (USA),"UK,USA",3689,3146
5 January 2007 (USA),USA,3690,3147
26 June 2009 (USA),"USA,UK",3691,3148
30 July 2010 (USA),USA,3692,3149
27 April 2012 (USA),USA,3693,3150
2016 (USA),USA,3694,441
30 August 1940 (USA),USA,3695,3151
26 September 2008 (USA),USA,3696,3093
3 June 2005 (Hungary),USA,3697,3152
27 January 2006 (USA),USA,3698,3153
31 October 2013 (Hong Kong),USA,3699,3154
23 August 2002 (UK),USA,3700,3155
14 March 2014 (USA),"USA,UK",3701,3156
14 December 2012 (UK),USA,3702,3157
24 October 2014 (USA),USA,3703,2279
14 March 2014 (USA),"USA,UK,France,Philippines",3704,3158
20 April 2014 (USA),USA,3705,3159
25 July 2014 (USA),USA,3706,3160
18 July 2013 (Netherlands),USA,3707,3161
13 June 2014 (USA),USA,3708,848
19 November 2009 (Germany),USA,3709,3162
5 January 2012 (Kuwait),"USA,Canada",3710,3163
1 May 2009 (Sweden),USA,3711,3164
10 October 2006 (USA),"UK,USA",3712,3165
April 2011 (USA),USA,3713,3166
12 April 2002 (USA),USA,3714,2489
7 November 2002 (USA),USA,3715,3167
20 August 2010 (USA),USA,3716,761
January 2007 (USA),USA,3717,3168
,USA,3718,47
26 June 1952 (USA),"USA,UK",3719,3169
8 August 2014 (USA),USA,3720,1938
11 September 2014 (New Zealand),USA,3721,3170
7 March 2014 (USA),USA,3722,838
8 August 2014 (UK),USA,3723,3171
6 June 2014 (USA),USA,3724,2508
29 August 2014 (UK),USA,3725,3172
1985 (USA),USA,3726,3173
12 June 2014 (Israel),USA,3727,3174
12 January 2000 (USA),USA,3728,3175
12 July 1991 (USA),USA,3729,3176
29 January 1997 (USA),USA,3730,3177
8 October 1997 (USA),USA,3731,3178
25 October 2002 (USA),USA,3732,3179
22 October 1999 (USA),USA,3733,275
23 March 2001 (USA),USA,3734,3180
14 August 1998 (USA),USA,3735,3181
16 July 1999 (USA),USA,3736,1695
11 October 2002 (USA),USA,3737,1500
22 December 1995 (USA),USA,3738,1403
7 September 2001 (USA),USA,3739,3182
7 February 2003 (USA),USA,3740,3183
11 January 1995 (USA),USA,3741,3184
25 February 1994 (USA),USA,3742,3185
22 April 1994 (USA),USA,3743,3186
12 January 1996 (USA),USA,3744,3187
31 March 2006 (USA),USA,3745,860
23 June 2006 (USA),USA,3746,2189
13 September 2002 (USA),USA,3747,3188
14 August 2015 (USA),USA,3748,474
22 November 2002 (USA),USA,3749,3189
21 December 2001 (USA),USA,3750,1025
22 February 2008 (USA),"UK,France,USA",3751,3190
13 March 1997 (Australia),USA,3752,3191
3 July 2013 (USA),USA,3753,568
20 April 2012 (USA),USA,3754,1035
20 May 2011 (USA),USA,3755,3192
August 2010 (USA),USA,3756,3193
20 June 2014 (USA),USA,3757,3194
21 April 2000 (USA),USA,3758,3195
28 August 1998 (USA),USA,3759,3196
6 November 1992 (USA),USA,3760,3197
19 April 1995 (USA),USA,3761,3198
6 March 1998 (USA),"USA,UK",3762,3199
26 October 2001 (USA),USA,3763,3200
21 December 1962 (USA),USA,3764,3201
19 February 2010 (USA),USA,3765,3202
17 March 2006 (USA),"USA,UK,Germany",3766,3203
20 October 2006 (USA),"USA,UK",3767,2431
6 June 1956 (USA),USA,3768,3204
18 December 1975 (USA),"UK,USA,Ireland",3769,3205
5 January 1996 (USA),USA,3770,1196
25 June 1982 (USA),USA,3771,3206
20 September 2011 (USA),USA,3772,3207
31 March 1999 (USA),USA,3773,3208
23 June 2007 (USA),USA,3774,3209
18 March 2009 (USA),USA,3775,3210
30 September 2011 (USA),USA,3776,3077
1 April 2008 (USA),USA,3777,3211
November 1989 (USA),USA,3778,3212
12 October 2012 (USA),USA,3779,132
22 November 2000 (USA),USA,3780,3213
9 May 2008 (UK),"France,USA",3781,3214
24 November 2012 (Spain),USA,3782,3215
3 September 2010 (USA),USA,3783,725
23 November 2012 (Poland),USA,3784,3216
20 April 2008 (USA),USA,3785,3217
6 May 2005 (USA),"USA,UK,Spain,Germany,Morocco",3786,3218
2006 (Australia),USA,3787,3219
15 January 1999 (USA),USA,3788,3220
7 January 2000 (USA),USA,3789,3221
19 February 1999 (USA),"UK,USA",3790,3222
22 February 1973 (USA),USA,3791,3223
19 March 2013 (USA),USA,3792,3224
12 March 2010 (USA),USA,3793,3225
20 March 2015 (USA),USA,3794,2751
30 June 1971 (USA),USA,3795,891
24 February 2015 (USA),USA,3796,3226
,USA,3797,47
20 May 2014 (USA),USA,3798,3227
15 October 2013 (USA),USA,3799,3228
9 January 1998 (USA),USA,3800,3229
19 December 1979 (USA),USA,3801,3230
9 October 1971 (USA),USA,3802,3231
14 October 1994 (USA),USA,3803,1042
6 August 2009 (USA),USA,3804,3232
29 April 2011 (USA),USA,3805,1928
16 November 1984 (USA),USA,3806,3233
19 August 1988 (USA),USA,3807,3234
27 February 1987 (USA),USA,3808,384
12 June 2015 (USA),USA,3809,3235
20 February 1952 (USA),"USA,UK",3810,3236
17 December 1976 (USA),USA,3811,1753
13 March 1956 (USA),USA,3812,3237
1 August 1972 (USA),USA,3813,3238
18 June 1969 (USA),USA,3814,3239
19 October 1966 (USA),"Spain,USA",3815,3240
29 April 1969 (Japan),USA,3816,3241
17 October 1968 (USA),USA,3817,3242
4 September 1992 (USA),"USA,UK",3818,3243
22 December 1967 (USA),USA,3819,3244
10 August 1984 (USA),USA,3820,3245
3 May 1996 (USA),USA,3821,363
23 January 1987 (USA),USA,3822,3246
10 June 1983 (Australia),USA,3823,3247
1 June 2001 (USA),"USA,Australia",3824,3248
24 August 1930 (USA),USA,3825,3249
12 December 1967 (USA),USA,3826,3250
30 December 1949 (USA),USA,3827,3251
6 June 1929 (USA),USA,3828,3252
8 April 1936 (USA),USA,3829,3253
25 December 1997 (USA),USA,3830,273
19 March 1959 (USA),USA,3831,3254
18 July 2008 (USA),"USA,UK,Germany",3832,3255
10 May 2002 (USA),USA,3833,3256
3 September 1936 (USA),USA,3834,3257
8 February 1968 (USA),USA,3835,3258
31 October 2003 (USA),"USA,Germany,France",3836,3259
13 August 1967 (USA),USA,3837,3260
9 April 1976 (USA),USA,3838,6
26 June 1969 (Sweden),USA,3839,3261
16 February 1966 (USA),USA,3840,3262
12 February 1973 (UK),USA,3841,3263
16 December 1977 (USA),USA,3842,3264
16 January 1963 (USA),USA,3843,3265
27 June 1979 (USA),USA,3844,3266
1 July 1975 (USA),USA,3845,3267
30 October 2015 (Turkey),"USA,Germany",3846,3268
25 December 1957 (USA),USA,3847,3269
17 January 1997 (USA),USA,3848,1313
16 April 1999 (USA),USA,3849,813
31 March 1939 (USA),USA,3850,3270
29 May 1992 (USA),USA,3851,3271
15 April 1983 (USA),USA,3852,3272
10 December 1993 (USA),USA,3853,915
17 February 1984 (USA),USA,3854,3273
25 April 1997 (USA),USA,3855,3274
7 February 1997 (USA),USA,3856,3275
10 May 1996 (USA),USA,3857,3276
28 March 2003 (USA),"USA,Germany,Canada,UK",3858,3277
12 May 2006 (USA),USA,3859,522
30 June 2000 (USA),USA,3860,3278
12 December 1986 (USA),USA,3861,2536
28 July 2000 (USA),USA,3862,3279
8 June 1990 (USA),USA,3863,3280
4 December 1992 (USA),USA,3864,3281
10 November 2011 (USA),USA,3865,3282
13 August 1999 (USA),USA,3866,3283
28 June 1996 (USA),USA,3867,2039
1 July 1992 (USA),USA,3868,3284
16 August 2002 (USA),"USA,Australia",3869,3285
1 November 2002 (USA),USA,3870,2408
6 September 1985 (USA),USA,3871,3286
16 July 1993 (USA),USA,3872,3287
14 March 2014 (UK),"UK,USA,Switzerland",3873,3288
28 November 2010 (USA),USA,3874,717
26 January 2003 (USA),USA,3875,3289
January 2002 (USA),USA,3876,3290
3 January 2006 (USA),USA,3877,3291
9 October 2008 (Thailand),USA,3878,3292
23 March 2011 (Brazil),USA,3879,3293
11 May 2001 (USA),USA,3880,3294
2010 (USA),USA,3881,2580
2 August 2007 (Israel),USA,3882,3295
17 August 2002 (USA),USA,3883,3296
28 April 2006 (USA),USA,3884,285
10 July 2014 (Germany),USA,3885,3297
2 October 2014 (USA),"Spain,USA",3886,3298
15 June 2012 (USA),USA,3887,3299
28 August 2014 (USA),"USA,Mexico",3888,3300
15 December 2013 (USA),USA,3889,3301
24 October 2014 (USA),USA,3890,2279
14 November 2014 (USA),"USA,Belgium",3891,3302
12 September 2014 (USA),USA,3892,896
17 October 2014 (USA),"Canada,USA",3893,3303
11 November 2015 (USA),USA,3894,3304
17 October 2014 (Bulgaria),"Bulgaria,USA,Spain,Canada",3895,3305
3 October 2014 (USA),"USA,Canada",3896,3306
14 December 2001 (USA),"USA,Spain",3897,3307
21 December 2012 (USA),USA,3898,3308
23 June 2010 (USA),USA,3899,3309
29 June 2001 (USA),USA,3900,3310
17 April 2009 (USA),"USA,UK,France",3901,3311
12 April 2002 (USA),USA,3902,2489
9 February 1996 (USA),USA,3903,1564
25 February 2000 (USA),USA,3904,3312
12 March 1993 (USA),USA,3905,3313
6 November 1998 (USA),"Canada,USA",3906,3314
23 September 1994 (USA),"USA,Canada",3907,3315
10 March 2000 (USA),USA,3908,1000
7 February 2013 (USA),USA,3909,3316
4 March 1994 (USA),USA,3910,1904
10 November 2000 (USA),"USA,Australia",3911,3317
13 February 1998 (USA),USA,3912,2359
26 November 2008 (USA),"Germany,USA",3913,3318
7 June 2013 (USA),"USA,Armenia",3914,3319
2 June 2006 (USA),USA,3915,3320
,USA,3916,47
20 January 2012 (USA),USA,3917,655
23 March 2007 (USA),"Germany,USA",3918,3321
October 2009 (USA),USA,3919,3322
13 January 2004 (Finland),USA,3920,3323
25 December 2015 (USA),USA,3921,3324
13 May 1977 (USA),USA,3922,3325
24 March 2011 (Kuwait),USA,3923,3326
July 1977 (USA),USA,3924,3327
21 May 1976 (USA),USA,3925,3328
16 October 2009 (USA),USA,3926,558
5 October 1984 (USA),USA,3927,3329
13 May 1977 (USA),USA,3928,3325
2 October 1981 (USA),USA,3929,3330
May 1980 (USA),USA,3930,3331
9 May 2014 (USA),"USA,India",3931,3332
18 November 1977 (USA),"USA,Japan",3932,3333
12 March 2005 (USA),USA,3933,3334
13 May 2014 (USA),USA,3934,2281
2015 (USA),USA,3935,258
24 September 2013 (USA),USA,3936,3335
11 April 2008 (UK),USA,3937,3336
6 April 2013 (USA),USA,3938,3337
24 June 1959 (USA),"Ireland,USA",3939,3338
2 May 2015 (USA),USA,3940,3339
4 November 2014 (USA),USA,3941,2610
24 January 2011 (USA),"USA,France",3942,3340
12 January 2007 (USA),USA,3943,3341
26 February 2003 (France),"France,USA",3944,3342
4 February 2005 (USA),"UK,USA,Italy,South Africa,Canada",3945,3343
17 June 1964 (France),USA,3946,3344
10 February 2006 (USA),USA,3947,2206
10 July 2009 (Denmark),USA,3948,3345
16 February 1990 (USA),USA,3949,3346
26 July 1990 (West Germany),"Spain,USA",3950,3347
9 September 1982 (Netherlands),USA,3951,3348
14 April 1979 (Japan),USA,3952,3349
1 July 1989 (USA),USA,3953,3350
2 June 1989 (USA),USA,3954,3351
28 May 2001 (USA),USA,3955,3352
14 February 2003 (USA),USA,3956,3353
11 April 1997 (USA),"USA,Brazil,Peru",3957,3354
28 July 1999 (USA),"USA,Australia",3958,3355
19 January 1990 (USA),USA,3959,3356
17 July 2002 (USA),"USA,Australia",3960,3357
27 August 2004 (USA),USA,3961,2392
18 July 1990 (USA),USA,3962,3358
9 June 1995 (USA),USA,3963,3359
14 October 1989 (USA),USA,3964,3360
21 October 1994 (USA),USA,3965,3361
7 July 1995 (USA),USA,3966,2085
12 May 2006 (Canada),USA,3967,3362
23 January 1998 (USA),"USA,Japan",3968,3363
24 December 2003 (Bahrain),"USA,Canada",3969,3364
1 October 2014 (USA),USA,3970,3365
11 September 2009 (USA),"USA,Australia",3971,3366
1 July 2015 (USA),USA,3972,2444
13 April 2012 (USA),USA,3973,3367
1 July 2014 (USA),USA,3974,3368
9 October 2015 (USA),USA,3975,3369
10 January 2009 (USA),USA,3976,11
29 May 2015 (USA),USA,3977,3108
,USA,3978,47
October 2006 (USA),USA,3979,3370
October 1974 (USA),USA,3980,3371
5 May 2006 (USA),USA,3981,3372
23 August 1985 (USA),USA,3982,3373
7 April 1989 (USA),USA,3983,1246
24 July 1981 (USA),USA,3984,3374
6 November 2015 (USA),USA,3985,768
31 January 1997 (USA),USA,3986,3375
16 September 1994 (USA),"Canada,USA,Japan",3987,3376
22 December 1995 (USA),USA,3988,1403
2015 (USA),USA,3989,258
7 November 2013 (Germany),USA,3990,3377
22 April 2011 (UK),"France,UK,USA",3991,3378
6 September 2013 (UK),"Austria,USA",3992,3379
23 August 2010 (USA),USA,3993,3380
12 December 2014 (UK),"Nepal,USA",3994,3381
18 March 2011 (USA),USA,3995,1220
27 February 1998 (USA),"Australia,USA",3996,3382
25 December 1977 (USA),USA,3997,2491
11 July 1997 (USA),USA,3998,3383
1 November 2013 (USA),USA,3999,1913
24 October 1997 (USA),USA,4000,3384
15 August 1997 (USA),"UK,USA",4001,3385
27 July 2007 (USA),"UK,USA",4002,3386
13 March 1981 (USA),USA,4003,3387
22 August 1986 (USA),USA,4004,126
16 August 1985 (USA),USA,4005,1497
6 June 1986 (USA),USA,4006,1338
27 August 1996 (USA),"Canada,Egypt,USA",4007,3388
5 August 1988 (USA),USA,4008,3389
2 October 1987 (USA),USA,4009,451
16 November 1984 (USA),USA,4010,3233
21 February 1986 (USA),USA,4011,2034
1993 (Canada),"USA,Canada",4012,3390
30 August 1985 (USA),"Spain,USA,Netherlands",4013,3391
11 September 2009 (USA),USA,4014,3392
16 January 1987 (USA),USA,4015,3393
7 April 2010 (USA),USA,4016,3394
16 March 1990 (USA),USA,4017,1728
5 October 1990 (USA),USA,4018,109
3 September 1993 (USA),"Australia,USA",4019,3395
4 April 1981 (USA),USA,4020,3396
23 February 1990 (USA),"Australia,USA",4021,3397
3 February 1995 (USA),USA,4022,3398
September 1988 (Italy),USA,4023,3399
19 May 2011 (USA),USA,4024,3400
7 October 2005 (USA),USA,4025,884
2 October 2015 (USA),USA,4026,2687
11 December 1998 (USA),USA,4027,1561
30 March 1999 (USA),USA,4028,3401
11 March 2012 (USA),USA,4029,3402
25 February 1994 (Brazil),"USA,Japan",4030,3403
"Oct 21, 1959 Wide",USA,4031,3404
1 May 2014 (USA),USA,4032,3405
27 June 1991 (USA),USA,4033,3406
14 June 2007 (USA),USA,4034,3407
8 July 1990 (UK),USA,4035,3408
