style,original_index,unique_index,count
American Pale Wheat Ale,1637,22,97.0
American Pale Wheat Ale,1638,22,97.0
American Pale Wheat Ale,1639,22,97.0
American Pale Lager,1640,0,39.0
American Amber / Red Ale,1641,19,133.0
Dubbel,1642,70,5.0
American IPA,1643,2,424.0
American IPA,1644,2,424.0
American Pale Ale (APA),1645,1,245.0
American Amber / Red Ale,1646,19,133.0
American IPA,1647,2,424.0
Milk / Sweet Stout,1648,28,10.0
American Pale Ale (APA),1649,1,245.0
Chile Beer,1650,95,3.0
American Black Ale,1651,16,36.0
Fruit / Vegetable Beer,1652,14,49.0
American Blonde Ale,1653,18,108.0
American Porter,1654,5,68.0
American Dark Wheat Ale,1655,84,7.0
American Amber / Red Ale,1656,19,133.0
American IPA,1657,2,424.0
American Amber / Red Ale,1658,19,133.0
American IPA,1659,2,424.0
American Pale Ale (APA),1660,1,245.0
American IPA,1661,2,424.0
American Amber / Red Ale,1662,19,133.0
American IPA,1663,2,424.0
American Pilsner,1664,32,25.0
American Pale Ale (APA),1665,1,245.0
American Barleywine,1666,11,3.0
American IPA,1667,2,424.0
American Amber / Red Ale,1668,19,133.0
American Pale Wheat Ale,1669,22,97.0
Munich Helles Lager,1670,42,20.0
Munich Dunkel Lager,1671,60,4.0
Czech Pilsener,1672,52,28.0
American Pale Ale (APA),1673,1,245.0
Czech Pilsener,1674,52,28.0
American Pale Wheat Ale,1675,22,97.0
Hefeweizen,1676,48,40.0
Hefeweizen,1677,48,40.0
Belgian Pale Ale,1678,31,24.0
American Porter,1679,5,68.0
Munich Helles Lager,1680,42,20.0
American Pale Ale (APA),1681,1,245.0
Gose,1682,37,10.0
Witbier,1683,40,51.0
American Black Ale,1684,16,36.0
American Blonde Ale,1685,18,108.0
English Pale Ale,1686,25,12.0
German Pilsener,1687,29,36.0
American Blonde Ale,1688,18,108.0
American Blonde Ale,1689,18,108.0
American Brown Ale,1690,21,70.0
American IPA,1691,2,424.0
Czech Pilsener,1692,52,28.0
American Blonde Ale,1693,18,108.0
American IPA,1694,2,424.0
Belgian IPA,1695,7,18.0
American Porter,1696,5,68.0
Rye Beer,1697,46,18.0
Cider,1698,8,37.0
American IPA,1699,2,424.0
American IPA,1700,2,424.0
American Amber / Red Ale,1701,19,133.0
Mead,1702,54,5.0
Mead,1703,54,5.0
Mead,1704,54,5.0
Witbier,1705,40,51.0
American Pale Ale (APA),1706,1,245.0
Russian Imperial Stout,1707,72,11.0
American IPA,1708,2,424.0
American Double / Imperial IPA,1709,3,105.0
American Blonde Ale,1710,18,108.0
American IPA,1711,2,424.0
American Stout,1712,13,39.0
American Stout,1713,13,39.0
American Porter,1714,5,68.0
American Blonde Ale,1715,18,108.0
Vienna Lager,1716,39,20.0
American Pale Ale (APA),1717,1,245.0
American Amber / Red Ale,1718,19,133.0
American Blonde Ale,1719,18,108.0
American Pale Ale (APA),1720,1,245.0
Belgian Pale Ale,1721,31,24.0
Herbed / Spiced Beer,1722,75,9.0
Herbed / Spiced Beer,1723,75,9.0
Märzen / Oktoberfest,1724,44,30.0
American Porter,1725,5,68.0
American IPA,1726,2,424.0
Witbier,1727,40,51.0
American Amber / Red Ale,1728,19,133.0
American Pale Ale (APA),1729,1,245.0
American Amber / Red Ale,1730,19,133.0
American Porter,1731,5,68.0
Märzen / Oktoberfest,1732,44,30.0
American Pale Ale (APA),1733,1,245.0
American IPA,1734,2,424.0
American Blonde Ale,1735,18,108.0
Cream Ale,1736,38,29.0
Gose,1737,37,10.0
American Pale Ale (APA),1738,1,245.0
Witbier,1739,40,51.0
American Amber / Red Ale,1740,19,133.0
American IPA,1741,2,424.0
American Pale Ale (APA),1742,1,245.0
American IPA,1743,2,424.0
Märzen / Oktoberfest,1744,44,30.0
Pumpkin Ale,1745,30,23.0
American IPA,1746,2,424.0
Oatmeal Stout,1747,4,18.0
American White IPA,1748,56,11.0
American Pale Ale (APA),1749,1,245.0
American Amber / Red Ale,1750,19,133.0
American Amber / Red Ale,1751,19,133.0
American Blonde Ale,1752,18,108.0
Scottish Ale,1753,77,19.0
Witbier,1754,40,51.0
American Amber / Red Lager,1755,26,29.0
American IPA,1756,2,424.0
Fruit / Vegetable Beer,1757,14,49.0
American Amber / Red Lager,1758,26,29.0
Czech Pilsener,1759,52,28.0
American Porter,1760,5,68.0
American Adjunct Lager,1761,76,18.0
American Amber / Red Ale,1762,19,133.0
Milk / Sweet Stout,1763,28,10.0
American IPA,1764,2,424.0
American Adjunct Lager,1765,76,18.0
American Amber / Red Ale,1766,19,133.0
American Strong Ale,1767,53,14.0
American IPA,1768,2,424.0
American Stout,1769,13,39.0
Saison / Farmhouse Ale,1770,6,52.0
Belgian Strong Pale Ale,1771,69,7.0
American Pale Ale (APA),1772,1,245.0
English Brown Ale,1773,34,18.0
American Black Ale,1774,16,36.0
American IPA,1775,2,424.0
Kölsch,1776,24,42.0
American Amber / Red Ale,1777,19,133.0
American Black Ale,1778,16,36.0
American Amber / Red Lager,1779,26,29.0
American Black Ale,1780,16,36.0
American Amber / Red Ale,1781,19,133.0
Witbier,1782,40,51.0
American IPA,1783,2,424.0
American Pale Ale (APA),1784,1,245.0
Kölsch,1785,24,42.0
American Porter,1786,5,68.0
Winter Warmer,1787,12,15.0
American Double / Imperial IPA,1788,3,105.0
Märzen / Oktoberfest,1789,44,30.0
American Blonde Ale,1790,18,108.0
American Pale Wheat Ale,1791,22,97.0
Belgian IPA,1792,7,18.0
American Amber / Red Ale,1793,19,133.0
Hefeweizen,1794,48,40.0
American IPA,1795,2,424.0
American Porter,1796,5,68.0
American Pale Ale (APA),1797,1,245.0
Herbed / Spiced Beer,1798,75,9.0
Fruit / Vegetable Beer,1799,14,49.0
American Pale Ale (APA),1800,1,245.0
American IPA,1801,2,424.0
Hefeweizen,1802,48,40.0
American Pale Ale (APA),1803,1,245.0
American Amber / Red Ale,1804,19,133.0
Saison / Farmhouse Ale,1805,6,52.0
American Black Ale,1806,16,36.0
American Double / Imperial IPA,1807,3,105.0
American Brown Ale,1808,21,70.0
English India Pale Ale (IPA),1809,51,13.0
Saison / Farmhouse Ale,1810,6,52.0
American Black Ale,1811,16,36.0
Irish Red Ale,1812,64,12.0
Märzen / Oktoberfest,1813,44,30.0
Russian Imperial Stout,1814,72,11.0
German Pilsener,1815,29,36.0
American IPA,1816,2,424.0
American Blonde Ale,1817,18,108.0
Cider,1818,8,37.0
Cider,1819,8,37.0
Cider,1820,8,37.0
American Pale Wheat Ale,1821,22,97.0
Schwarzbier,1822,43,9.0
American IPA,1823,2,424.0
American Brown Ale,1824,21,70.0
Hefeweizen,1825,48,40.0
Munich Helles Lager,1826,42,20.0
Fruit / Vegetable Beer,1827,14,49.0
American IPA,1828,2,424.0
Cider,1829,8,37.0
Cider,1830,8,37.0
American IPA,1831,2,424.0
American Porter,1832,5,68.0
American Strong Ale,1833,53,14.0
English Brown Ale,1834,34,18.0
American Amber / Red Ale,1835,19,133.0
American Pale Ale (APA),1836,1,245.0
American IPA,1837,2,424.0
American Black Ale,1838,16,36.0
English Pale Ale,1839,25,12.0
American IPA,1840,2,424.0
American Pale Wheat Ale,1841,22,97.0
Pumpkin Ale,1842,30,23.0
American Blonde Ale,1843,18,108.0
German Pilsener,1844,29,36.0
American IPA,1845,2,424.0
Maibock / Helles Bock,1846,74,5.0
Rye Beer,1847,46,18.0
American Pale Ale (APA),1848,1,245.0
American Pale Wheat Ale,1849,22,97.0
Czech Pilsener,1850,52,28.0
American IPA,1851,2,424.0
American Pale Ale (APA),1852,1,245.0
Cider,1853,8,37.0
American Brown Ale,1854,21,70.0
American Amber / Red Ale,1855,19,133.0
American IPA,1856,2,424.0
Baltic Porter,1857,9,6.0
Gose,1858,37,10.0
Belgian Pale Ale,1859,31,24.0
Fruit / Vegetable Beer,1860,14,49.0
American IPA,1861,2,424.0
American Pale Ale (APA),1862,1,245.0
American Double / Imperial IPA,1863,3,105.0
American Strong Ale,1864,53,14.0
American IPA,1865,2,424.0
German Pilsener,1866,29,36.0
Cream Ale,1867,38,29.0
Rye Beer,1868,46,18.0
American IPA,1869,2,424.0
Baltic Porter,1870,9,6.0
American Brown Ale,1871,21,70.0
American Pale Wheat Ale,1872,22,97.0
Saison / Farmhouse Ale,1873,6,52.0
American Double / Imperial IPA,1874,3,105.0
American Stout,1875,13,39.0
Pumpkin Ale,1876,30,23.0
German Pilsener,1877,29,36.0
Cream Ale,1878,38,29.0
Rye Beer,1879,46,18.0
American IPA,1880,2,424.0
American IPA,1881,2,424.0
Doppelbock,1882,67,7.0
American IPA,1883,2,424.0
American Stout,1884,13,39.0
American Stout,1885,13,39.0
Foreign / Export Stout,1886,49,6.0
American Stout,1887,13,39.0
American Pale Lager,1888,0,39.0
American Blonde Ale,1889,18,108.0
American Pale Ale (APA),1890,1,245.0
Extra Special / Strong Bitter (ESB),1891,45,20.0
American IPA,1892,2,424.0
American Amber / Red Ale,1893,19,133.0
American IPA,1894,2,424.0
Belgian IPA,1895,7,18.0
Tripel,1896,10,11.0
English Pale Ale,1897,25,12.0
American IPA,1898,2,424.0
Winter Warmer,1899,12,15.0
Grisette,1900,96,1.0
American IPA,1901,2,424.0
Munich Helles Lager,1902,42,20.0
Winter Warmer,1903,12,15.0
American Double / Imperial IPA,1904,3,105.0
Märzen / Oktoberfest,1905,44,30.0
American IPA,1906,2,424.0
Munich Dunkel Lager,1907,60,4.0
Hefeweizen,1908,48,40.0
German Pilsener,1909,29,36.0
American Pale Ale (APA),1910,1,245.0
American IPA,1911,2,424.0
American Amber / Red Ale,1912,19,133.0
Saison / Farmhouse Ale,1913,6,52.0
American Pilsner,1914,32,25.0
American Pale Ale (APA),1915,1,245.0
Foreign / Export Stout,1916,49,6.0
English Brown Ale,1917,34,18.0
Vienna Lager,1918,39,20.0
American Pale Ale (APA),1919,1,245.0
American IPA,1920,2,424.0
Kölsch,1921,24,42.0
American Double / Imperial IPA,1922,3,105.0
American IPA,1923,2,424.0
American IPA,1924,2,424.0
Märzen / Oktoberfest,1925,44,30.0
American Double / Imperial IPA,1926,3,105.0
American Double / Imperial Stout,1927,41,9.0
Saison / Farmhouse Ale,1928,6,52.0
Witbier,1929,40,51.0
Maibock / Helles Bock,1930,74,5.0
American Barleywine,1931,11,3.0
American Blonde Ale,1932,18,108.0
American Pale Ale (APA),1933,1,245.0
American Pale Wheat Ale,1934,22,97.0
American Porter,1935,5,68.0
American Strong Ale,1936,53,14.0
American IPA,1937,2,424.0
Bock,1938,62,7.0
American IPA,1939,2,424.0
Saison / Farmhouse Ale,1940,6,52.0
Kölsch,1941,24,42.0
Light Lager,1942,80,12.0
Czech Pilsener,1943,52,28.0
American IPA,1944,2,424.0
American IPA,1945,2,424.0
American IPA,1946,2,424.0
Extra Special / Strong Bitter (ESB),1947,45,20.0
American Pale Ale (APA),1948,1,245.0
American Blonde Ale,1949,18,108.0
American Amber / Red Ale,1950,19,133.0
Oatmeal Stout,1951,4,18.0
American Blonde Ale,1952,18,108.0
American Pale Ale (APA),1953,1,245.0
American Pale Ale (APA),1954,1,245.0
Saison / Farmhouse Ale,1955,6,52.0
Bière de Garde,1956,66,7.0
American Double / Imperial IPA,1957,3,105.0
American Double / Imperial IPA,1958,3,105.0
American Double / Imperial IPA,1959,3,105.0
Old Ale,1960,86,2.0
American Blonde Ale,1961,18,108.0
American Double / Imperial IPA,1962,3,105.0
Saison / Farmhouse Ale,1963,6,52.0
Bière de Garde,1964,66,7.0
Foreign / Export Stout,1965,49,6.0
American Pale Ale (APA),1966,1,245.0
American Blonde Ale,1967,18,108.0
American IPA,1968,2,424.0
English India Pale Ale (IPA),1969,51,13.0
American Pale Ale (APA),1970,1,245.0
American Double / Imperial IPA,1971,3,105.0
American Porter,1972,5,68.0
American Double / Imperial IPA,1973,3,105.0
American Amber / Red Ale,1974,19,133.0
American Stout,1975,13,39.0
American Double / Imperial IPA,1976,3,105.0
American Pale Ale (APA),1977,1,245.0
American IPA,1978,2,424.0
American Pale Ale (APA),1979,1,245.0
Irish Red Ale,1980,64,12.0
American Pale Wheat Ale,1981,22,97.0
Vienna Lager,1982,39,20.0
Vienna Lager,1983,39,20.0
American Pale Ale (APA),1984,1,245.0
Cider,1985,8,37.0
German Pilsener,1986,29,36.0
American IPA,1987,2,424.0
Märzen / Oktoberfest,1988,44,30.0
American IPA,1989,2,424.0
American Pale Ale (APA),1990,1,245.0
Kölsch,1991,24,42.0
American Amber / Red Lager,1992,26,29.0
American IPA,1993,2,424.0
American Adjunct Lager,1994,76,18.0
American Adjunct Lager,1995,76,18.0
American Pale Ale (APA),1996,1,245.0
American Adjunct Lager,1997,76,18.0
American Black Ale,1998,16,36.0
American IPA,1999,2,424.0
American Adjunct Lager,2000,76,18.0
American Adjunct Lager,2001,76,18.0
American Adjunct Lager,2002,76,18.0
Winter Warmer,2003,12,15.0
Märzen / Oktoberfest,2004,44,30.0
American Pale Wheat Ale,2005,22,97.0
American Pale Wheat Ale,2006,22,97.0
American Pale Wheat Ale,2007,22,97.0
American Blonde Ale,2008,18,108.0
Kölsch,2009,24,42.0
Märzen / Oktoberfest,2010,44,30.0
American Brown Ale,2011,21,70.0
American Pale Wheat Ale,2012,22,97.0
American Pale Ale (APA),2013,1,245.0
American Amber / Red Lager,2014,26,29.0
American Adjunct Lager,2015,76,18.0
American Amber / Red Ale,2016,19,133.0
American Black Ale,2017,16,36.0
American Black Ale,2018,16,36.0
Saison / Farmhouse Ale,2019,6,52.0
American Blonde Ale,2020,18,108.0
Kölsch,2021,24,42.0
Milk / Sweet Stout,2022,28,10.0
American IPA,2023,2,424.0
American Adjunct Lager,2024,76,18.0
American Adjunct Lager,2025,76,18.0
American Amber / Red Lager,2026,26,29.0
Light Lager,2027,80,12.0
American Pale Ale (APA),2028,1,245.0
Extra Special / Strong Bitter (ESB),2029,45,20.0
American Pale Ale (APA),2030,1,245.0
American Double / Imperial IPA,2031,3,105.0
Altbier,2032,35,13.0
Scottish Ale,2033,77,19.0
American Porter,2034,5,68.0
Belgian Pale Ale,2035,31,24.0
Scotch Ale / Wee Heavy,2036,59,15.0
Belgian Dark Ale,2037,17,11.0
Scotch Ale / Wee Heavy,2038,59,15.0
Scotch Ale / Wee Heavy,2039,59,15.0
American IPA,2040,2,424.0
American IPA,2041,2,424.0
American IPA,2042,2,424.0
American IPA,2043,2,424.0
Belgian IPA,2044,7,18.0
Scotch Ale / Wee Heavy,2045,59,15.0
Extra Special / Strong Bitter (ESB),2046,45,20.0
American IPA,2047,2,424.0
American Pale Ale (APA),2048,1,245.0
Russian Imperial Stout,2049,72,11.0
Flanders Oud Bruin,2050,97,1.0
American Porter,2051,5,68.0
German Pilsener,2052,29,36.0
Irish Dry Stout,2053,58,5.0
Scottish Ale,2054,77,19.0
English Barleywine,2055,27,3.0
American Brown Ale,2056,21,70.0
Quadrupel (Quad),2057,71,4.0
Märzen / Oktoberfest,2058,44,30.0
Dortmunder / Export Lager,2059,57,6.0
Dortmunder / Export Lager,2060,57,6.0
Belgian Strong Pale Ale,2061,69,7.0
American Double / Imperial IPA,2062,3,105.0
Scotch Ale / Wee Heavy,2063,59,15.0
American IPA,2064,2,424.0
Märzen / Oktoberfest,2065,44,30.0
English Barleywine,2066,27,3.0
Scottish Ale,2067,77,19.0
Cream Ale,2068,38,29.0
American Pale Ale (APA),2069,1,245.0
American Amber / Red Lager,2070,26,29.0
American IPA,2071,2,424.0
American IPA,2072,2,424.0
Extra Special / Strong Bitter (ESB),2073,45,20.0
American Black Ale,2074,16,36.0
American IPA,2075,2,424.0
American IPA,2076,2,424.0
English Bitter,2077,94,3.0
Rye Beer,2078,46,18.0
American Brown Ale,2079,21,70.0
American Brown Ale,2080,21,70.0
American Double / Imperial IPA,2081,3,105.0
Keller Bier / Zwickel Bier,2082,89,3.0
Saison / Farmhouse Ale,2083,6,52.0
American IPA,2084,2,424.0
American IPA,2085,2,424.0
Witbier,2086,40,51.0
American Pale Ale (APA),2087,1,245.0
Oatmeal Stout,2088,4,18.0
Cream Ale,2089,38,29.0
Herbed / Spiced Beer,2090,75,9.0
German Pilsener,2091,29,36.0
Hefeweizen,2092,48,40.0
American IPA,2093,2,424.0
American Pale Ale (APA),2094,1,245.0
American Double / Imperial IPA,2095,3,105.0
Saison / Farmhouse Ale,2096,6,52.0
American IPA,2097,2,424.0
American IPA,2098,2,424.0
Hefeweizen,2099,48,40.0
American Blonde Ale,2100,18,108.0
American Blonde Ale,2101,18,108.0
Hefeweizen,2102,48,40.0
Tripel,2103,10,11.0
Saison / Farmhouse Ale,2104,6,52.0
American Porter,2105,5,68.0
Saison / Farmhouse Ale,2106,6,52.0
Oatmeal Stout,2107,4,18.0
American IPA,2108,2,424.0
American Brown Ale,2109,21,70.0
Extra Special / Strong Bitter (ESB),2110,45,20.0
Milk / Sweet Stout,2111,28,10.0
American Pale Wheat Ale,2112,22,97.0
American Pale Ale (APA),2113,1,245.0
Tripel,2114,10,11.0
American Pale Wheat Ale,2115,22,97.0
German Pilsener,2116,29,36.0
American Double / Imperial IPA,2117,3,105.0
American Brown Ale,2118,21,70.0
Milk / Sweet Stout,2119,28,10.0
American IPA,2120,2,424.0
American IPA,2121,2,424.0
American Amber / Red Ale,2122,19,133.0
Altbier,2123,35,13.0
American IPA,2124,2,424.0
American Porter,2125,5,68.0
American IPA,2126,2,424.0
Witbier,2127,40,51.0
Dubbel,2128,70,5.0
American Brown Ale,2129,21,70.0
American IPA,2130,2,424.0
American Pale Ale (APA),2131,1,245.0
Extra Special / Strong Bitter (ESB),2132,45,20.0
Fruit / Vegetable Beer,2133,14,49.0
English India Pale Ale (IPA),2134,51,13.0
American Pale Ale (APA),2135,1,245.0
Saison / Farmhouse Ale,2136,6,52.0
American Brown Ale,2137,21,70.0
Dunkelweizen,2138,68,4.0
English India Pale Ale (IPA),2139,51,13.0
American Wild Ale,2140,33,6.0
American Double / Imperial IPA,2141,3,105.0
American Double / Imperial Stout,2142,41,9.0
American IPA,2143,2,424.0
American Double / Imperial IPA,2144,3,105.0
American Double / Imperial IPA,2145,3,105.0
American Amber / Red Ale,2146,19,133.0
American IPA,2147,2,424.0
English Brown Ale,2148,34,18.0
American Pale Wheat Ale,2149,22,97.0
Belgian Pale Ale,2150,31,24.0
Belgian Pale Ale,2151,31,24.0
Dubbel,2152,70,5.0
American Pale Ale (APA),2153,1,245.0
American Black Ale,2154,16,36.0
American Pale Ale (APA),2155,1,245.0
American Pale Ale (APA),2156,1,245.0
Kölsch,2157,24,42.0
American IPA,2158,2,424.0
English Brown Ale,2159,34,18.0
American Double / Imperial IPA,2160,3,105.0
American IPA,2161,2,424.0
American Pilsner,2162,32,25.0
American Amber / Red Lager,2163,26,29.0
American Pale Ale (APA),2164,1,245.0
American Amber / Red Ale,2165,19,133.0
American Stout,2166,13,39.0
American Pale Ale (APA),2167,1,245.0
Shandy,2168,91,3.0
American Pale Wheat Ale,2169,22,97.0
American Pale Ale (APA),2170,1,245.0
Cream Ale,2171,38,29.0
American Brown Ale,2172,21,70.0
Fruit / Vegetable Beer,2173,14,49.0
American Blonde Ale,2174,18,108.0
American Porter,2175,5,68.0
American IPA,2176,2,424.0
Irish Red Ale,2177,64,12.0
American IPA,2178,2,424.0
American Pale Wheat Ale,2179,22,97.0
Oatmeal Stout,2180,4,18.0
American Pale Ale (APA),2181,1,245.0
California Common / Steam Beer,2182,36,6.0
American Amber / Red Ale,2183,19,133.0
American IPA,2184,2,424.0
Braggot,2185,98,1.0
American Dark Wheat Ale,2186,84,7.0
American Porter,2187,5,68.0
Fruit / Vegetable Beer,2188,14,49.0
Russian Imperial Stout,2189,72,11.0
Roggenbier,2190,82,2.0
American Double / Imperial IPA,2191,3,105.0
American IPA,2192,2,424.0
Irish Red Ale,2193,64,12.0
American Porter,2194,5,68.0
Czech Pilsener,2195,52,28.0
American Blonde Ale,2196,18,108.0
American IPA,2197,2,424.0
American Porter,2198,5,68.0
Fruit / Vegetable Beer,2199,14,49.0
American Blonde Ale,2200,18,108.0
American Pale Ale (APA),2201,1,245.0
American Amber / Red Ale,2202,19,133.0
American IPA,2203,2,424.0
Vienna Lager,2204,39,20.0
Shandy,2205,91,3.0
American IPA,2206,2,424.0
American IPA,2207,2,424.0
Milk / Sweet Stout,2208,28,10.0
American Amber / Red Ale,2209,19,133.0
American IPA,2210,2,424.0
Witbier,2211,40,51.0
Belgian Strong Pale Ale,2212,69,7.0
Doppelbock,2213,67,7.0
American Amber / Red Ale,2214,19,133.0
American Pilsner,2215,32,25.0
Doppelbock,2216,67,7.0
American IPA,2217,2,424.0
American Pale Ale (APA),2218,1,245.0
American IPA,2219,2,424.0
American Amber / Red Lager,2220,26,29.0
American IPA,2221,2,424.0
American Adjunct Lager,2222,76,18.0
American IPA,2223,2,424.0
American IPA,2224,2,424.0
American Amber / Red Ale,2225,19,133.0
American IPA,2226,2,424.0
Czech Pilsener,2227,52,28.0
American IPA,2228,2,424.0
American Pale Ale (APA),2229,1,245.0
American Brown Ale,2230,21,70.0
American Amber / Red Ale,2231,19,133.0
American IPA,2232,2,424.0
American IPA,2233,2,424.0
American Pale Wheat Ale,2234,22,97.0
American IPA,2235,2,424.0
American Dark Wheat Ale,2236,84,7.0
American Dark Wheat Ale,2237,84,7.0
Dortmunder / Export Lager,2238,57,6.0
American Pale Ale (APA),2239,1,245.0
Märzen / Oktoberfest,2240,44,30.0
Bière de Garde,2241,66,7.0
American Pale Ale (APA),2242,1,245.0
American Strong Ale,2243,53,14.0
American IPA,2244,2,424.0
Munich Helles Lager,2245,42,20.0
Hefeweizen,2246,48,40.0
American White IPA,2247,56,11.0
American Double / Imperial IPA,2248,3,105.0
Saison / Farmhouse Ale,2249,6,52.0
German Pilsener,2250,29,36.0
Pumpkin Ale,2251,30,23.0
American Amber / Red Lager,2252,26,29.0
American IPA,2253,2,424.0
American IPA,2254,2,424.0
American Blonde Ale,2255,18,108.0
Schwarzbier,2256,43,9.0
American IPA,2257,2,424.0
American Pale Ale (APA),2258,1,245.0
American Pale Ale (APA),2259,1,245.0
German Pilsener,2260,29,36.0
American IPA,2261,2,424.0
Maibock / Helles Bock,2262,74,5.0
Cider,2263,8,37.0
Cider,2264,8,37.0
Cider,2265,8,37.0
Low Alcohol Beer,2266,99,1.0
American Brown Ale,2267,21,70.0
Belgian Pale Ale,2268,31,24.0
Baltic Porter,2269,9,6.0
Dubbel,2270,70,5.0
American Double / Imperial IPA,2271,3,105.0
Gose,2272,37,10.0
American Pale Ale (APA),2273,1,245.0
Altbier,2274,35,13.0
American IPA,2275,2,424.0
Witbier,2276,40,51.0
American IPA,2277,2,424.0
Quadrupel (Quad),2278,71,4.0
Rye Beer,2279,46,18.0
American Wild Ale,2280,33,6.0
American Double / Imperial Stout,2281,41,9.0
American Brown Ale,2282,21,70.0
Saison / Farmhouse Ale,2283,6,52.0
American White IPA,2284,56,11.0
American Wild Ale,2285,33,6.0
American Double / Imperial IPA,2286,3,105.0
Winter Warmer,2287,12,15.0
Pumpkin Ale,2288,30,23.0
Belgian Pale Ale,2289,31,24.0
Foreign / Export Stout,2290,49,6.0
Vienna Lager,2291,39,20.0
Vienna Lager,2292,39,20.0
English Brown Ale,2293,34,18.0
American Pale Ale (APA),2294,1,245.0
American IPA,2295,2,424.0
American Brown Ale,2296,21,70.0
American IPA,2297,2,424.0
American Pale Ale (APA),2298,1,245.0
American Double / Imperial IPA,2299,3,105.0
Doppelbock,2300,67,7.0
American White IPA,2301,56,11.0
American White IPA,2302,56,11.0
Fruit / Vegetable Beer,2303,14,49.0
American Double / Imperial IPA,2304,3,105.0
American Pale Ale (APA),2305,1,245.0
Cider,2306,8,37.0
Cider,2307,8,37.0
Cider,2308,8,37.0
Cider,2309,8,37.0
Cider,2310,8,37.0
American Stout,2311,13,39.0
Tripel,2312,10,11.0
Witbier,2313,40,51.0
American Brown Ale,2314,21,70.0
Belgian Strong Pale Ale,2315,69,7.0
American IPA,2316,2,424.0
American Double / Imperial Pilsner,2317,87,2.0
American IPA,2318,2,424.0
American IPA,2319,2,424.0
American IPA,2320,2,424.0
Witbier,2321,40,51.0
American Double / Imperial IPA,2322,3,105.0
American Pale Wheat Ale,2323,22,97.0
English Pale Ale,2324,25,12.0
American IPA,2325,2,424.0
Pumpkin Ale,2326,30,23.0
Fruit / Vegetable Beer,2327,14,49.0
American IPA,2328,2,424.0
American Amber / Red Ale,2329,19,133.0
American IPA,2330,2,424.0
Cream Ale,2331,38,29.0
Oatmeal Stout,2332,4,18.0
American IPA,2333,2,424.0
Herbed / Spiced Beer,2334,75,9.0
American Porter,2335,5,68.0
American Amber / Red Ale,2336,19,133.0
American IPA,2337,2,424.0
American Pale Ale (APA),2338,1,245.0
Gose,2339,37,10.0
Witbier,2340,40,51.0
American IPA,2341,2,424.0
Märzen / Oktoberfest,2342,44,30.0
American Amber / Red Lager,2343,26,29.0
American IPA,2344,2,424.0
American Pale Lager,2345,0,39.0
Bock,2346,62,7.0
English Stout,2347,85,2.0
American IPA,2348,2,424.0
Cream Ale,2349,38,29.0
Chile Beer,2350,95,3.0
American Amber / Red Ale,2351,19,133.0
Berliner Weissbier,2352,20,11.0
American IPA,2353,2,424.0
Berliner Weissbier,2354,20,11.0
Berliner Weissbier,2355,20,11.0
American IPA,2356,2,424.0
Radler,2357,61,3.0
Hefeweizen,2358,48,40.0
Hefeweizen,2359,48,40.0
American Double / Imperial IPA,2360,3,105.0
Pumpkin Ale,2361,30,23.0
American Brown Ale,2362,21,70.0
American Blonde Ale,2363,18,108.0
American Double / Imperial IPA,2364,3,105.0
American Double / Imperial IPA,2365,3,105.0
Witbier,2366,40,51.0
Oatmeal Stout,2367,4,18.0
Pumpkin Ale,2368,30,23.0
American Pale Ale (APA),2369,1,245.0
Belgian Pale Ale,2370,31,24.0
Scotch Ale / Wee Heavy,2371,59,15.0
American Pilsner,2372,32,25.0
American Pale Ale (APA),2373,1,245.0
Irish Dry Stout,2374,58,5.0
Bock,2375,62,7.0
Munich Helles Lager,2376,42,20.0
American Pale Ale (APA),2377,1,245.0
American Blonde Ale,2378,18,108.0
American IPA,2379,2,424.0
American Porter,2380,5,68.0
American Amber / Red Lager,2381,26,29.0
American IPA,2382,2,424.0
American Porter,2383,5,68.0
American IPA,2384,2,424.0
Saison / Farmhouse Ale,2385,6,52.0
American IPA,2386,2,424.0
American Pilsner,2387,32,25.0
American IPA,2388,2,424.0
American Brown Ale,2389,21,70.0
American IPA,2390,2,424.0
American Pale Lager,2391,0,39.0
Cider,2392,8,37.0
American IPA,2393,2,424.0
American Pilsner,2394,32,25.0
American IPA,2395,2,424.0
American IPA,2396,2,424.0
Kölsch,2397,24,42.0
American Double / Imperial IPA,2398,3,105.0
American IPA,2399,2,424.0
American Pale Ale (APA),2400,1,245.0
Chile Beer,2401,95,3.0
American Strong Ale,2402,53,14.0
Pumpkin Ale,2403,30,23.0
American Stout,2404,13,39.0
Belgian IPA,2405,7,18.0
American Amber / Red Ale,2406,19,133.0
Schwarzbier,2407,43,9.0
American Pale Ale (APA),2408,1,245.0
American Amber / Red Ale,2409,19,133.0
