article_title,author_list,original_index,unique_index,count
[Clinical and histologic results of treatment of serous pulp inflammations with Ledermix].,"{""H Zakrzewska-Jastrzebska""}",507,507,1.0
Application of a model based on fuzzy logic for evaluating nursing diagnostic accuracy of students,"{""R. Jensen"",""F. G. Matos"",""A. da Cruz Dde"",""P. S. Silveira"",""M. H. Lopes"",""N. R. Ortega""}",508,508,1.0
The effectiveness of N-acetylcysteine in preventing contrast-induced nephropathy in patients undergoing contrast-enhanced computed tomography: a meta-analysis of randomized controlled trials (Provisional abstract),"{""Yh Hsu"",""Ms Yao"",""Cs Wong"",""Ch Bai"",""My Wu"",""Yf Lin"",""Cy Hsiang"",""Kw Tam"",""Yw Li"",""Hf Hsiang""}",509,509,1.0
"[Commentary on] Gait changes in children with cerebral palsy following a neuro-developmental treatment course. Adams M, Chandler L, Shuhmann K, PEDIATRIC PHYSICAL THERAPY, 2000;12:114-120","{""J. Slusarski""}",510,510,1.0
Cognitive Outcome of Pediatric Moyamoya Disease.,"{""Ju-Seong Kim"",""Dong-Seok Kim"",""Eun-Kyung Park"",""Kyu-Won Shim""}",511,511,1.0
Fruit consumption and risk of type 2 diabetes: results from three prospective longitudinal cohort studies.,"{""Rob M van Dam"",""Frank B Hu"",""Isao Muraki"",""Joann E Manson"",""Fumiaki Imamura"",""Qi Sun"",""Walter C Willett""}",512,512,1.0
A biomechanical study of replacement of the posterior cruciate ligament with a graft. Part II: Forces in the graft compared with forces in the intact ligament,"{""K.L. Armstrong"",""G.A.M. Finerman"",""K.L. Markolf"",""M.S. Shapiro"",""J.R. Slauterbeck""}",513,513,1.0
The safety and immunogenicity of rotavirus vaccination in infants with intestinal failure,"{""McNeal M.M."",""Sanchez S.E."",""Jacob S."",""Javid P.J."",""Englund J.A."",""Horslen S.P.""}",514,514,1.0
A growing lesion on the cheek.,"{""Eric J Lentsch"",""Jordan Whitney Rawl"",""Michael J Caplan""}",515,515,1.0
Protective effect of ginsenoside Rb1 against myocardial ischemia/reperfusion injury in streptozotocin-induced diabetic rats,"{""Y. Wu"",""Z. Y. Xia"",""H. M. Liu"",""S. Q. Lei"",""L. Zhang"",""J. J. Xu"",""B. Zhao"",""J. Dou""}",516,516,1.0
Comparative in vitro performance of three small-volume valved holding chambers with beclomethasone/formoterol pressurized metered dose inhaler.,"{""Kamel Alhanout"",""Jean-Christophe Dubus"",""Talita Mota Goncalves"",""Veronique Andrieu"",""Alain Nicolay"",""Davi Pereira de Santana""}",517,517,1.0
The effectiveness of anti-illicit-drug public-service announcements: a systematic review and meta-analysis.,"{""Julio S G Montaner"",""Kora Debeck"",""Evan Wood"",""Thomas Kerr"",""Edward J Mills"",""Dan Werb""}",518,518,1.0
[Use of statins prior to or following invasive therapy for coronary artery disease].,"{""Wei Gao""}",519,519,1.0
Malignant lymphomas of the oral region.,"{""J R Trott"",""D J Morrow"",""D W Buntine""}",520,520,1.0
Women's experiences of acupuncture during labour,"{""Irena Anna Frei"",""Katharina Fierz"",""Angela Poat"",""Martina Gisin""}",521,521,1.0
Nutritional supplementation for hip fracture aftercare in the elderly.,"{""A Avenell"",""H H Handoll""}",522,522,1.0
Quality of life factors and survival after total or extended maxillectomy for sinonasal malignancies.,"{""James Murphy"",""Amal Isaiah"",""Joshua E Lubek"",""Jeffrey S Wolf""}",523,523,1.0
Epithelial Splicing Regulatory Proteins 1 (ESRP1) and 2 (ESRP2) Suppress Cancer Cell Motility via Different Mechanisms.,"{""Mitsuyoshi Motizuki"",""Keiji Miyazawa"",""Tetsuo Kondo"",""Keisuke Masuyama"",""Masao Saitoh"",""Hiroki Ishii"",""Ryohei Katoh"",""Kei Sakamoto"",""Shota Tanaka""}",524,524,1.0
Combined and sequential treatment of oral and maxillofacial malignancies: an evolving concept and clinical protocol.,"{""Zhi-yuan Zhang"",""Wei-liu Qiu"",""Jia-wei Zheng""}",525,525,1.0
Evaluation of a workshop on evidence-based medicine for social insurance physicians.,"{""Jos H Verbeek"",""Rob Kok"",""Jan L Hoving"",""Frederieke G Schaafsma"",""Frank J H van Dijk"",""Paul B A Smits""}",526,526,1.0
Neurocognitive assessment in 13 patients affected by muchopolysaccharidosis IVA (MPS IVA),"{""M. Rigoldi"",""S. Gasperini"",""B. M. Del Menico"",""F. Nichelli"",""A. Boncimino"",""M. Calabria"",""P. Meregalli"",""R. Parini""}",527,527,1.0
Evaluation of the protective effect of Ilex paraguariensis and Camellia sinensis extracts on the prevention of oxidative damage caused by ultraviolet radiation.,"{""Marlon Barg"",""Emilio L Streck"",""Lara M Gomes"",""Vanessa M Andrade"",""Daniela D Leffa"",""Felipe Dal-Pizzol"",""Fabricia Petronilho"",""Francieli Vuolo"",""Milena Carvalho-Silva"",""Fernanda Balbinot"",""Gislaine T Rezin""}",528,528,1.0
New anticoagulants for atrial fibrillation.,"{""Raffaele De Caterina"",""Giulia Renda"",""Steen Dalby Kristensen""}",529,529,1.0
Our Health Counts -- Unmasking Health and Social Disparities among Urban Aboriginal People in Ontario.,"{""Michelle Firestone""}",530,530,1.0
A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity.,"{""George Davey Smith"",""Amanda J Bennett"",""Eleftheria Zeggini"",""Marjo-Riitta Jarvelin"",""Nicholas J Wareham"",""Lorna W Harries"",""Colin N A Palmer"",""Shah Ebrahim"",""Timothy M Frayling"",""Susan M Ring"",""Bridget Knight"",""Sian Ellard"",""Katharine R Owen"",""Rachel M Freathy"",""Hana Lango"",""Debbie A Lawlor"",""Lon R Cardon"",""John R B Perry"",""Jeffrey C Barrett"",""Andrew D Morris"",""Graham A Hitman"",""Katherine S Elliott"",""Ulla Sovio"",""Mark I McCarthy"",""David Melzer"",""Alex S F Doney"",""Andrew R Ness"",""Yoav Ben-Shlomo"",""Andrew T Hattersley"",""Ann-Marie Patch"",""Nicholas J Timpson"",""Nigel W Rayner"",""Mark Walker"",""Michael N Weedon"",""Ruth J F Loos"",""Fredrik Karpe"",""In̻s Barroso"",""Luigi Ferrucci"",""Christopher J Groves"",""Cecilia M Lindgren"",""Beverley Shields""}",531,531,1.0
"The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits �1, �_2, and � along their extrasynaptic cell membrane.","{""H H̦ger"",""W Sieghart"",""T Klausberger"",""I Milenkovic"",""M Vasiljevic"",""D Maurer""}",532,532,1.0
Glial cells in amyotrophic lateral sclerosis.,"{""T Philips"",""J D Rothstein""}",533,533,1.0
Diagnosing acute cardiac ischemia in the emergency department: a systematic review of the accuracy and clinical effect of current technologies.,"{""J P Ioannidis"",""J Lau"",""C Milch"",""D Salem"",""P W Chew"",""N Terrin"",""E M Balk""}",534,534,1.0
Eczema - quiz.,{NULL},535,535,1.0
"Stroke in children with posterior fossa brain malformations, hemangiomas, arterial anomalies, coarctation of the aorta and cardiac defects, and eye abnormalities (PHACE) syndrome: A systematic review of the literature.",{NULL},536,536,1.0
"Employing a youth-led adult-guided framework: ""why drive high?"" social marketing campaign.","{""Terry-Lynne Marko"",""Tyler Watt""}",537,537,1.0
Review of Handbook for Working with Children and Youth: Pathways to Resilience across Cultures and Contexts,"{""Robert J. Flynn""}",538,538,1.0
Helicobacter pylori antibiotic resistance patterns and genotypes in adult dyspeptic patients from a regional population in North Wales,"{""A. M. Walker"",""J. Xerry"",""K. Davies"",""N. C. Elviss"",""R. J. Owen""}",539,539,1.0
Sonographically guided biopsy of focal lesions: a comparison of freehand and probe-guided techniques using a phantom.,"{""Duncan M Brooks"",""Pramit M Phal"",""Rory Wolfe""}",540,540,1.0
Splinting osseointegrated implants and natural teeth in partially edentulous patients: a systematic review of the literature. [Review],{NULL},541,541,1.0
Long-term subcutaneous recombinant interleukin-2 as maintenance therapy: Biological effects and clinical implications,"{""V. Lorusso"",""M. De Lena"",""M. Guida"",""M. Correale"",""I. Abbate"",""A. Latorre"",""A. Casamassima"",""M. D. Musci""}",542,542,1.0
School soft drink intervention study,"{""S. A. French"",""M. Story"",""P. J. Hannan""}",543,543,1.0
Hoarse voice in adults: An evidence-based approach to the 12 minute consultation.,{NULL},544,544,1.0
"Chronic compartment syndrome, an important cause of work-related upper limb disorder","{""J. P. Heath"",""R. L. Williams"",""M. H. Pritchard""}",545,545,1.0
"Sleep, sleep-dependent procedural learning and vigilance in chronic cocaine users: Evidence for occult insomnia","{""R. T. Malison"",""E. F. Pace-Schott"",""V. Coric"",""P. T. Morgan"",""R. Stickgold"",""Z. H. Sahul""}",546,546,1.0
A screening methodology for crowdsourcing video QoE evaluation,"{""E. Anegekuh, L., Sun, L., Ifeachor""}",547,547,1.0
Potential for inter-observer and intra-observer variability in x-ray review to establish stone-free rates after lithotripsy.,"{""D Caron"",""S J Witchell"",""M A Jewett"",""E L St Louis"",""R R Gray"",""C Bombardier"",""S Kumra"",""K E Psihramis"",""M R Ryan""}",548,548,1.0
Situating universal design architecture: designing with whom?,"{""Paul Jones""}",549,549,1.0
Endovascular Treatment of Ruptured Large or Wide-Neck Basilar Tip Aneurysms Associated with Moyamoya Disease Using the Stent-Assisted Coil Technique.,"{""Yibin Fang"",""Pengfei Yang"",""Jianmin Liu"",""Yi Xu"",""Qinghai Huang"",""Wenyuan Zhao"",""Dongwei Dai"",""Yan Chen""}",550,550,1.0
Subjective states: A more robust model,"{""K. Seo"",""L. G. Epstein""}",551,551,1.0
The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,{NULL},552,552,1.0
Giant-cell tumour of the knee: the condition of the cartilage after treatment by curettage and cementing,"{""K. Jonsson"",""A. Rydholm"",""I. Kristiansson"",""D. Heinegard"",""F. V. von Steyern"",""P. Mannfolk""}",553,553,1.0
Diagnostic accuracy of endoscopic ultrasound-guided fine-needle aspiration for solid pancreatic lesion: a systematic review.,"{""Hangcheng Zhou"",""Renbao Yang"",""Jiong Chen"",""Yunlian Xia"",""Yin Lu""}",554,554,1.0
"Safety, tolerability and sustained weight loss over 2 years with the once-daily human GLP-1 analog, liraglutide.","{""R Carraro"",""M F Rasmussen"",""L Niskanen"",""A Harper"",""N Finer"",""S R̦ssner"",""M Kunesova"",""L Van Gaal"",""M E J Lean"",""A Astrup"",""A Rissanen"",""M J Savolainen"",""[Collective Name] NN8022-1807 Investigators""}",555,555,1.0
Web-based nutrition education intervention improves self-efficacy and self-regulation related to increased dairy intake in college students,"{""Kathy W Hosig"",""Sharon M Nickols-Richardson"",""Kavita H Poddar"",""Susan E Duncan"",""Eileen S Anderson""}",556,556,1.0
Three Abstracts on Chinese Research,{NULL},557,557,1.0
Retrograde nailing of humeral shaft fractures,"{""M. Runkel"",""J. Blum"",""P. M. Rommens""}",558,558,1.0
Behavioral and cognitive measurements predict scores on the MAST: a 3-year prospective study.,"{""V Hesselbrock"",""A W Deckel""}",559,559,1.0
Development of a SNP genotyping panel and a medical decision support algorithm to predict drug response in schizophrenia,"{""Y. A. Son"",""G. Ustunkar"",""M. A. Doke"",""H. A. Dom"",""Y. Y. Tuncel""}",560,560,1.0
ELDERLY AND PHYSICAL ACTIVITY: BENEFITS AND CHALLENGES IN SEARCH FOR LIFE QUALITY.,"{""Gerlane ��ngela da Costa Moreira"",""Denyse Dutra Alencar Vasconcelos"",""Amanda Costa de Freitas"",""Carla Cristina Braga Maranh���o"",""Danielle Figueiredo Patricio""}",561,561,1.0
Neighbourhood characteristics and mortality in the Atherosclerosis Risk in Communities Study,"{""L. N. Borrell"",""K. Rose"",""B. L. Clark"",""D. Catellier"",""A. V. D. Roux""}",562,562,1.0
Transference-focused psychotherapy v. treatment by community psychotherapists for borderline personality disorder: randomised controlled trial.,"{""Philipp Martius"",""Anna Buchheim"",""Peter Buchheim"",""Susanne H���rz"",""Michael Rentrop"",""Cord Benecke"",""Peter Schuster"",""Melitta Fischer-Kern"",""Stephan Doering""}",563,563,1.0
The changing residential environments of older people,"{""Basta Beard Beard Beel-Bates Bierman Bowling Cagney Calkins Carder Carlsson Chan Clark Clarke Cutchin Cutler Davidoff Diehl Doty Durrett Feldman Foote Freedman Gaugler Gitlin Gitlin Glass Golant Golant Golant Golant Golant Golant Golant Grafova Gross Hunt Alley"",""Stephen M. Golant""}",564,564,1.0
A systematic review of the surgical treatment of large incisional hernia.,"{""L Timmermans"",""J C Slieker"",""J F Lange"",""E B Deerenberg"",""J Jeekel"",""D P Hogerzeil"",""P H C Eilers""}",565,565,1.0
"Fast-food habits, weight gain, and insulin resistance (the CARDIA study): 15-year prospective analysis.","{""David R Jacobs"",""David S Ludwig"",""Cara B Ebbeling"",""Alex I Kartashov"",""Martha L Slattery"",""Linda Van Horn"",""Mark A Pereira""}",566,566,1.0
Early prenatal survival in relation to the parental environment in sheep: A review,"{""E Decuypere"",""E Dewil"",""D Vanmontfort"",""H Michels""}",567,567,1.0
Changing tides: improving outcomes through mentorship on all levels of nursing,"{""J. Skees"",""T. K. Race""}",568,568,1.0
Tracking cognitive decline in Alzheimer's disease using the mini-mental state examination: a meta-analysis.,"{""J McCusker"",""F Primeau"",""M Cole"",""L Han"",""F Bellavance""}",569,569,1.0
Pulmonary rehabilitation programs for patients with COPD.,"{""Ana Maria Baptista Menezes"",""David Alejandro Gonz��lez"",""Elaine Cardozo Macedo"",""Pedro Curi Hallal"",""Maria de F��tima Maia"",""Marli Knorst"",""Samuel Carvalho Dumith"",""Jeovany Mart�_nez-Mesa"",""Ricardo Bica Noal"",""Fernando C̩sar Wehrmeister"",""Jos̩ Roberto Jardim""}",570,570,1.0
The Impact of Nursing Case Management on Women With Diabetes in Pregnancy,"{""Corinn Taylor""}",571,571,1.0
[Pharmacotherapy for conduct disorder in children and adolescents],"{""T. Levy"",""Y. Bloch""}",572,572,1.0
Monteggia lesions in adults. A multicenter Bota study,"{""W. De Groote"",""D. Stoffelen"",""K. Govaerts"",""P. Reynders"",""P. L. Broos"",""J. Rondia""}",573,573,1.0
Progesterone receptor PROGINS and +331G/A polymorphisms confer susceptibility to ovarian cancer: a meta-analysis based on 17 studies.,"{""Xinran Wang"",""Chenhuan Ding"",""Lilan Chen"",""Shu Li"",""Ting Liu"",""Xia Yin"",""You Wang"",""Xiangjun Sun"",""Wen Di"",""He Li""}",574,574,1.0
Gene analysis of steroid 5 alpha-reductase 1 in hyperandrogenic women,"{""B. Heljic"",""R. Komel"",""I. Eminovic"",""F. Gavrankapetanovic"",""J. Prezelj"",""J. Karamehic""}",575,575,1.0
Intravenous insulin treatment in acute stroke: a systematic review and meta-analysis of randomized controlled trials.,"{""P Michel"",""V Papavasileiou"",""G Ntaios"",""A Bargiota"",""K Makaritsis""}",576,576,1.0
"Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai, United Arab Emirates: a prospective     study","{""Al Sayed Hussain A"",""Saheb Sharif-Askari N"",""Sulaiman SA"",""Al-Mulla AA"",""Tabatabai S"",""Saheb Sharif-Askari F""}",577,577,1.0
Multiple endocrine neoplasia type 1 with multiple leiomyomas linked to a novel mutation in the MEN1 gene,"{""H. Choi"",""E. S. Kang"",""S. K. Lim"",""S. Y. Jeong"",""H. C. Lee"",""H. J. Kim"",""S. Kim"",""Y. Rhee"",""Y. H. Lee"",""J. H. Moon"",""K. R. Kim"",""C. W. Ahn"",""B. S. Cha"",""E. J. Lee""}",578,578,1.0
[Anesthetic gases exposure: findings from a 13 year environmental and biological monitoring in a hospital company].,"{""M A Sanchez"",""S Ritzu"",""V Capelli"",""P Boccalon"",""G Arcangeli""}",579,579,1.0
Out-of-hospital cardiac arrests occurring in southern Ontario health care clinics: bystander cardiopulmonary resuscitation and automated external defibrillator use.,"{""Karen K Lam"",""Steven C Brooks"",""Laurie J Morrison""}",580,580,1.0
Diffusion tensor imaging of deep gray matter in children treated for brain malignancies.,"{""Anna Nidecker"",""Siamak Ardekani"",""E Mark Mahone"",""Firouzeh Tannazi"",""Jarunee Intrapiromkul"",""Moody Wharam"",""Larry J Brant"",""Alena Horsk��""}",581,581,1.0
A randomized controlled trial of paracetamol versus morphine for the treatment of acute painful crisis of sickle cell disease,"{""R. Rehmani""}",582,582,1.0
Puberty suppression in adolescents with gender identity disorder: a prospective follow-up study,"{""T. A. Doreleijers"",""P. T. Cohen-Kettenis"",""A. L. de Vries"",""T. D. Steensma""}",583,583,1.0
A meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder.,{NULL},584,584,1.0
Group physiotherapy provides similar outcomes for participants after joint replacement surgery as 1-to-1 physiotherapy: a sequential cohort study.,"{""Corinne L Coulter"",""Jennie M Scarvell"",""Jeanie M Weber""}",585,585,1.0
Sevoflurane postconditioning converts persistent ventricular fibrillation into regular rhythm.,"{""Fengjiang Zhang"",""Gang Chen"",""Min Yan"",""Congcong Chen""}",586,586,1.0
Frontal and sagittal plane analyses of the stair climbing task in healthy adults aged over 40 years: what are the challenges compared to level walking?,"{""S Nadeau"",""F Malouin"",""B.J McFadyen""}",587,587,1.0
DPYD IVS14+1G>A and 2846A>T genotyping for the prediction of severe fluoropyrimidine-related toxicity: A meta-analysis,"{""R. Danesi"",""S. Terrazzino"",""P. L. Canonico"",""A. A. Genazzani"",""S. Cargnin"",""M. Del Re""}",588,588,1.0
[Methicillin-resistant Staphylococcus aureus forming the fried egg appearance colonies isolated from a patient with septicemia],"{""K. Iijima"",""A. Tanimoto"",""Y. Kitagaki"",""M. Hiura"",""H. Fujiwara"",""S. Ikawa""}",589,589,1.0
Support for nutrition from the older Americans act programs: a clarification on its 40th anniversary,"{""J. L. Lloyd""}",590,590,1.0
Measures of exposure to the Well London Phase-1 intervention and their association with health well-being and social outcomes,"{""C. Bottomley"",""K. Lock"",""S. Lais"",""A. Clow"",""G. Yu"",""R. Lynch"",""A. Renton"",""G. Phillips"",""M. Petticrew"",""A. Draper"",""P. Tobi"",""E. Schmidt"",""R. Hayes"",""D. Moore""}",591,591,1.0
The Effects of Cognitive Coaching and Nonverbal Classroom Management on Teacher Efficacy and Perceptions of School Culture.,"{""Jennifer L. Edwards"",""Cherie A. Lyons"",""Marcia E. Swords"",""Mary S. Rogers"",""Kathy E. Green""}",592,592,1.0
Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study,"{""A. DA  - Jun DO  - jc.2004-1843 [pii] 10.1210/jc.2004-1843 [doi] DP  - Nlm ET  - 2005/03/31 Dunaif"",""A. R. Kunselman"",""R. S. Legro"",""C. L. Gnatuk""}",593,593,1.0
Effects of Test Administrator Characteristics on Achievement Test Scores,"{""Maria Papapolydorou"",""Taslima Rahman"",""William D. Schafer"",""Lori Parker""}",594,594,1.0
Distal radius fracture arthroscopic intraarticular displacement measurement after open reduction and internal fixation from a volar approach,"{""T. Katayama"",""K. Furuta"",""M. Akahane"",""H. Ono"",""R. Fujitani""}",595,595,1.0
Age-related driving disorders: screening in hospitals and outpatients settings.,"{""Kevin Patrick"",""Jill Rybar"",""Linda Hill"",""Sara Baird"",""Raul Coimbra"",""Susanna Concha-Garcia""}",596,596,1.0
[Effect of a dialysis solution with icodextrin on ultrafiltration and selected metabolic parameters in patients treated with peritoneal dialysis],"{""S. Opatrna"",""P. Stehlik"",""J. Racek"",""Jr. Opatrny, K."",""V. Senft"",""F. Sefrna"",""O. Topolcan""}",597,597,1.0
Evidence based practice and advanced competencies in a MHS-CLS program,"{""L. Pretlow"",""A. Ranne"",""B. Kraj"",""E. K. Leibach"",""B. Russell""}",598,598,1.0
Effect of QVA149 on lung volumes and exercise tolerance in COPD patients: the BRIGHT study,"{""Jutta Beier"",""Peter D'Andrea"",""Michelle Henley"",""Stephanie Korn"",""Kai-Michael Beeh"",""Donald Banerji"",""Dalal Jadayel""}",599,599,1.0
Disseminated lymphoma with large granular lymphocyte morphology diagnosed in a horse via abdominal fluid and transtracheal wash cytology.,"{""Fernanda Cesar"",""Anne A Wooldridge"",""Cinzia Mastrorilli"",""Pete W Christopherson"",""Kellye Joiner""}",600,600,1.0
Outcome of patients with severe PH due to lung disease with     and without targeted therapy,"{""Seiler I"",""Baron M"",""Arzt M"",""Pfeifer M"",""Lange TJ""}",601,601,1.0
A comprehensive assessment of maternal deaths in Argentina: translating multicentre collaborative research into action.,"{""Romero M"",""Mercer R"",""Ramos S"",""Karolinski A""}",602,602,1.0
"Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.","{""Victor Kande"",""Epco Hasker"",""Veerle Lejon"",""Jean-Jacques Muyembe"",""Patrick Mitashi"",""Marleen Boelaert"",""Pascal Lutumba""}",603,603,1.0
Overlap of food addiction and substance use disorders definitions: analysis of animal and human studies.,"{""Antoine Hone-Blanchet"",""Shirley Fecteau""}",604,604,1.0
Efficacy of prolonged administration of intravenous erythromycin in an ambulatory setting as treatment of severe gastroparesis: one center's experience,"{""E. M. Quigley"",""J. K. DiBaise""}",605,605,1.0
Bound for success: a systematic review of constraint-induced movement therapy in children with cerebral palsy supports improved arm and hand use (Structured abstract),"{""H. H. Huang"",""J. Hale"",""L. Fetters"",""A. McBride""}",606,606,1.0
"Optical turbulence: weak turbulence, condensates and collapsing filaments in the nonlinear Schr̦dinger equation","{""V.E. Zakharov"",""S. Dyachenko"",""A.C. Newell"",""A. Pushkarev""}",607,607,1.0
"[Progress in joint international research of demographic and geographic distribution of insignificant, middle and high-grade tuberculin skin sensitivity].","{""M A Bleiker""}",608,608,1.0
Efficacy of Class 1 elastic compression stockings in the early stages of chronic venous disease. A comparative study.,"{""F Vin"",""F A Allaert"",""J P Benigni"",""S Sadoun""}",609,609,1.0
The future of JAK inhibition in myelofibrosis and beyond,"{""R.A. Mesa"",""N.C.P. Cross"",""J.O. Mascarenhas""}",610,610,1.0
Reinventing the wheel? Or the emperor's new clothes.,"{""George Vithoulkas"",""Menachem Oberbaum"",""Shepherd Singer"",""Robbert van Haselen""}",611,611,1.0
A study of out-of-hospital cardiac arrests in northeastern Minnesota,"{""G. S. McDonald"",""J. W. Bachman"",""P. C. O'Brien""}",612,612,1.0
"The Chinese medicine construct ""stagnation"" in mind-body connection mediates the effects of mindfulness training on depression and anxiety","{""K. F. Lam"",""S. M. Ng"",""B. H. P. Lau"",""H. H. M. Lo"",""C. L. W. Chan""}",613,613,1.0
Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,"{""Gilles Montalescot"",""Gordon FitzGerald"",""Kurt G Barringhaus"",""[Collective Name] GRACE Investigators"",""Frans Van de Werf"",""Joel M Gore"",""David D McManus"",""Jos̩ L�_pez-Send�_n"",""Philippe Gabriel Steg"",""Kay Lee Park""}",614,614,1.0
Modelling the effects of subjective and objective decision making in scientific peer review.,"{""Marcus R Munaf�_"",""Mike W Peacey"",""In-Uck Park""}",615,615,1.0
"Exercise-induced flow limitation, dynamic hyperinflation and exercise capacity in patients with bronchial asthma.","{""A Polychronaki"",""Ch Roussos"",""A Koutsoukou"",""I Dimitroulis"",""J Milic-Emili"",""N G Koulouris"",""S Retsou"",""E N Kosmas"",""M Gaga""}",616,616,1.0
The combined role of serotonin and interleukin-6 as biomarker for autism,"{""Y.-J. Du"",""X.-M. Zhu"",""B. Sang"",""C.-J. Yang"",""C.-L. Liu""}",617,617,1.0
General public's and physicians' perception of health risk associated with radon exposure in the state of Azad Jammu and Kashmir,"{""Muhammad Rafique"",""M. Ikram Shahzad"",""Shahida Jabeen""}",618,618,1.0
Cost-effectiveness of statins for primary prevention in patients newly diagnosed with type 2 diabetes in the Netherlands,"{""S. T. Visser"",""M. J. Postma"",""P. Denig"",""F. M. De Vries"",""E. Hak""}",619,619,1.0
Women's sexuality in the South African constitutional court,"{""E. Bonthuys""}",620,620,1.0
[Medical and psychosocial care needs of cancer patients: a systematic review comparing urban and rural provisions].,"{""R Schwarz"",""J Ernst"",""M Zenger"",""E Br�_hler"",""R Schmidt""}",621,621,1.0
"A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain","{""M. Rossignol"",""F. A. Allaert"",""B. Bannwarth"",""J. P. C1  - Fr̴n RCT-șkningen CN  - Pubmed DA  - Jun DP  - NLM ET  - 2005/06/09 Valat"",""S. Rozenberg"",""B. Avouac""}",622,622,1.0
Efficacy and safety of NMDA receptor antagonists augmentation therapy for schizophrenia: An updated meta-analysis of randomized placebo-controlled trials,"{""Yuki Matsuda"",""Taro Kishi"",""Nakao Iwata""}",623,623,1.0
"Taste, olfactory and food texture reward processing in the brain and obesity","{""E. T. Rolls""}",624,624,1.0
Prefrontal hypoactivation and recovery in insomnia.,"{""Joost P A Kuijer"",""Thom A Voorn"",""Ernesto J Sanz-Arigita"",""Ellemarije Altena"",""Eus J W Van Someren"",""Serge A R B Rombouts"",""Ysbrand D Van Der Werf""}",625,625,1.0
Determinants of drug response in a cisplatin-resistant human lung cancer cell line.,"{""N Saijo"",""M Yamakido"",""K D Tew"",""Y Fujiwara"",""K Kasahara"",""M Bungo"",""Y Sugimoto""}",626,626,1.0
"Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis, a pre-cancerous condition of oral cancer.","{""L J Hahn"",""C J Chiu"",""M L Chang"",""L L Hsieh"",""Y S Kuo"",""H M Chen"",""C P Chiang"",""C J Chen""}",627,627,1.0
Improving end-of-life care for patients with chronic obstructive pulmonary disease.,"{""Helen M Sorenson""}",628,628,1.0
Diabetes and other comorbidities in breast cancer survival by race/ethnicity: The California breast cancer survivorship consortium (CBCSC),"{""B. J. Caan"",""E. M. John"",""T. H. M. Keegan"",""A. H. Wu"",""L. Bernstein"",""S. Shariff-Marco"",""R. Sposto"",""C. C. Tseng"",""J. Sullivan-Halley"",""Y. Lu"",""C. Vigen"",""M. L. Kwan"",""S. L. Gomez"",""A. W. Kurian"",""I. Cheng"",""V. S. Lee""}",629,629,1.0
Effect of e-health on medical expenditures of outpatients with lifestyle-related diseases,"{""Y. Akematsu"",""M. Tsuji"",""K. Minetaki""}",630,630,1.0
Fiscal impact of a potential legislative ban on second trimester elective terminations for prenatally diagnosed abnormalities (Structured abstract),"{""E. L. Krivchenia"",""M. I. Evans"",""M. A. Ayoub"",""V. L. Miller"",""S. B. Ransom""}",631,631,1.0
Phase III randomized sequential open-label study to evaluate the efficacy and safety of sorafenib followed by pazopanib vs pazopanib followed by sorafenib in the treatment of advanced / metastatic renal cell carcinoma-design of the SWITCH-2 Study (NCT01613846),"{""J. Gschwend"",""S. Schirrmacher-Memmel"",""A. Beeker"",""M. O. Grimm"",""B. Brehmer"",""M. Zaiss"",""U. Von Verschuer"",""S. Pahernik"",""M. Bos"",""M. De Santis"",""M. Retz"",""S. Krause""}",632,632,1.0
Epidemiology of sporting injuries among elite soccer players: A longitudinal study,"{""M Gimpel"",""S Gadola"",""P Cooper"",""K Jameson"",""G Deakin"",""M Godtschailk"",""M Stokes"",""C Cooper""}",633,633,1.0
Mental health symptoms in a population based survey of minority farm operators,"{""A. L. Steege"",""T. Alterman"",""M. R. Petersen"",""J. Li""}",634,634,1.0
Motor cortex stimulation in patients with post-stroke pain: conscious somatosensory response and pain control,"{""H. Oshima"",""K. Kobayashi"",""T. Yamamoto"",""M. Kasai"",""C. Fukaya"",""Y. Katayama""}",635,635,1.0
Antimicrobial resistance of H. pylori isolates in alaska native persons from 2000-2008: Results from the alaska sentinel surveillance project,"{""M. G. Bruce"",""J. Morris"",""B. McMahon"",""A. Tveit"",""D. Hurlburt"",""D. Bruden""}",636,636,1.0
