Release Date,Language,original_index,unique_index
1 June 2001 (USA),"English,French,Spanish",3824,3243
24 August 1930 (USA),"English,French,German,Latin",3825,3244
12 December 1967 (USA),English,3826,3245
30 December 1949 (USA),English,3827,3246
6 June 1929 (USA),English,3828,3247
8 April 1936 (USA),English,3829,3248
25 December 1997 (USA),English,3830,2077
19 March 1959 (USA),English,3831,3249
18 July 2008 (USA),"English,Greek",3832,3250
10 May 2002 (USA),English,3833,3251
3 September 1936 (USA),English,3834,3252
8 February 1968 (USA),English,3835,3253
31 October 2003 (USA),English,3836,3254
13 August 1967 (USA),English,3837,3255
9 April 1976 (USA),"English,Spanish",3838,3256
26 June 1969 (Sweden),"English,Spanish",3839,3257
16 February 1966 (USA),"English,Japanese",3840,3258
12 February 1973 (UK),English,3841,3259
16 December 1977 (USA),"English,Italian",3842,3260
16 January 1963 (USA),English,3843,3261
27 June 1979 (USA),English,3844,3262
1 July 1975 (USA),English,3845,3263
30 October 2015 (Turkey),English,3846,3264
25 December 1957 (USA),English,3847,3265
17 January 1997 (USA),English,3848,1307
16 April 1999 (USA),English,3849,808
31 March 1939 (USA),English,3850,3266
29 May 1992 (USA),English,3851,3267
15 April 1983 (USA),English,3852,3268
10 December 1993 (USA),English,3853,3269
17 February 1984 (USA),English,3854,3270
25 April 1997 (USA),"English,Spanish,German",3855,3271
7 February 1997 (USA),English,3856,3272
10 May 1996 (USA),English,3857,3273
28 March 2003 (USA),English,3858,3274
12 May 2006 (USA),"English,Spanish",3859,3275
30 June 2000 (USA),English,3860,3276
12 December 1986 (USA),English,3861,3277
28 July 2000 (USA),English,3862,3278
8 June 1990 (USA),"English,Cantonese",3863,3279
4 December 1992 (USA),English,3864,3280
10 November 2011 (USA),English,3865,3281
13 August 1999 (USA),English,3866,3282
28 June 1996 (USA),English,3867,2030
1 July 1992 (USA),"English,French",3868,3283
16 August 2002 (USA),English,3869,2531
1 November 2002 (USA),"English,Hungarian,Russian",3870,3284
6 September 1985 (USA),English,3871,3285
16 July 1993 (USA),English,3872,1272
14 March 2014 (UK),English,3873,3286
28 November 2010 (USA),English,3874,712
26 January 2003 (USA),English,3875,3287
January 2002 (USA),English,3876,3288
3 January 2006 (USA),English,3877,3289
9 October 2008 (Thailand),English,3878,3290
23 March 2011 (Brazil),English,3879,3291
11 May 2001 (USA),English,3880,3292
2010 (USA),English,3881,1208
2 August 2007 (Israel),English,3882,3293
17 August 2002 (USA),English,3883,3294
28 April 2006 (USA),"English,Hebrew,Spanish",3884,3295
10 July 2014 (Germany),English,3885,3296
2 October 2014 (USA),"English,Spanish,French",3886,3297
15 June 2012 (USA),English,3887,3298
28 August 2014 (USA),English,3888,3299
15 December 2013 (USA),English,3889,3300
24 October 2014 (USA),English,3890,2274
14 November 2014 (USA),English,3891,958
12 September 2014 (USA),English,3892,891
17 October 2014 (USA),English,3893,2582
11 November 2015 (USA),English,3894,3301
17 October 2014 (Bulgaria),English,3895,3302
3 October 2014 (USA),English,3896,3303
14 December 2001 (USA),"English,Spanish",3897,3304
21 December 2012 (USA),English,3898,3305
23 June 2010 (USA),"English,German,Spanish",3899,3306
29 June 2001 (USA),English,3900,3307
17 April 2009 (USA),"English,Cantonese",3901,3308
12 April 2002 (USA),English,3902,1701
9 February 1996 (USA),English,3903,2190
25 February 2000 (USA),English,3904,3309
12 March 1993 (USA),English,3905,3310
6 November 1998 (USA),English,3906,2181
23 September 1994 (USA),English,3907,3311
10 March 2000 (USA),English,3908,993
7 February 2013 (USA),English,3909,3312
4 March 1994 (USA),English,3910,1891
10 November 2000 (USA),English,3911,2151
13 February 1998 (USA),English,3912,2358
26 November 2008 (USA),English,3913,3313
7 June 2013 (USA),English,3914,673
2 June 2006 (USA),English,3915,3314
,English,3916,47
20 January 2012 (USA),English,3917,652
23 March 2007 (USA),English,3918,586
October 2009 (USA),English,3919,3315
13 January 2004 (Finland),English,3920,3316
25 December 2015 (USA),English,3921,3109
13 May 1977 (USA),English,3922,3317
24 March 2011 (Kuwait),English,3923,3318
July 1977 (USA),English,3924,3319
21 May 1976 (USA),English,3925,3320
16 October 2009 (USA),"English,French,Cantonese,Gujarati,Yiddish",3926,3321
5 October 1984 (USA),English,3927,3322
13 May 1977 (USA),English,3928,3317
2 October 1981 (USA),English,3929,3323
May 1980 (USA),English,3930,3324
9 May 2014 (USA),English,3931,689
18 November 1977 (USA),English,3932,3325
12 March 2005 (USA),"English,Spanish",3933,3326
13 May 2014 (USA),English,3934,2276
2015 (USA),English,3935,258
24 September 2013 (USA),English,3936,3327
11 April 2008 (UK),"English,Arabic",3937,3328
6 April 2013 (USA),English,3938,3329
24 June 1959 (USA),English,3939,3330
2 May 2015 (USA),English,3940,3331
4 November 2014 (USA),English,3941,2613
24 January 2011 (USA),"English,Kinyarwanda",3942,3332
12 January 2007 (USA),English,3943,3333
26 February 2003 (France),English,3944,3334
4 February 2005 (USA),"English,French",3945,3335
17 June 1964 (France),English,3946,3336
10 February 2006 (USA),English,3947,123
10 July 2009 (Denmark),English,3948,3337
16 February 1990 (USA),English,3949,2801
26 July 1990 (West Germany),"English,Spanish",3950,3338
9 September 1982 (Netherlands),English,3951,3339
14 April 1979 (Japan),English,3952,3340
1 July 1989 (USA),English,3953,3341
2 June 1989 (USA),English,3954,3342
28 May 2001 (USA),English,3955,3343
14 February 2003 (USA),"English,Latin",3956,3344
11 April 1997 (USA),English,3957,2483
28 July 1999 (USA),"English,Spanish",3958,3345
19 January 1990 (USA),English,3959,3346
17 July 2002 (USA),English,3960,3347
27 August 2004 (USA),"English,Indonesian",3961,3348
18 July 1990 (USA),"English,Spanish",3962,3349
9 June 1995 (USA),English,3963,3350
14 October 1989 (USA),English,3964,3351
21 October 1994 (USA),English,3965,3352
7 July 1995 (USA),English,3966,2074
12 May 2006 (Canada),English,3967,3353
23 January 1998 (USA),English,3968,3354
24 December 2003 (Bahrain),English,3969,3355
1 October 2014 (USA),English,3970,3356
11 September 2009 (USA),English,3971,3357
1 July 2015 (USA),English,3972,2443
13 April 2012 (USA),English,3973,3358
1 July 2014 (USA),English,3974,3359
9 October 2015 (USA),English,3975,751
10 January 2009 (USA),English,3976,11
29 May 2015 (USA),English,3977,2456
,English,3978,47
October 2006 (USA),English,3979,3360
October 1974 (USA),English,3980,3361
5 May 2006 (USA),English,3981,3362
23 August 1985 (USA),English,3982,3363
7 April 1989 (USA),English,3983,3364
24 July 1981 (USA),English,3984,3365
6 November 2015 (USA),English,3985,765
31 January 1997 (USA),English,3986,3366
16 September 1994 (USA),English,3987,3367
22 December 1995 (USA),English,3988,1396
2015 (USA),English,3989,258
7 November 2013 (Germany),English,3990,3368
22 April 2011 (UK),English,3991,3369
6 September 2013 (UK),"German,English",3992,3370
23 August 2010 (USA),"English,Swedish",3993,3371
12 December 2014 (UK),"Nepali,English",3994,3372
18 March 2011 (USA),English,3995,1215
27 February 1998 (USA),English,3996,3373
25 December 1977 (USA),"English,French,Spanish,Hindi",3997,3374
11 July 1997 (USA),"English,Spanish,German,Russian",3998,3375
1 November 2013 (USA),English,3999,1901
24 October 1997 (USA),"English,Esperanto",4000,3376
15 August 1997 (USA),"English,Latin",4001,3377
27 July 2007 (USA),English,4002,920
13 March 1981 (USA),English,4003,3378
22 August 1986 (USA),English,4004,126
16 August 1985 (USA),English,4005,1487
6 June 1986 (USA),English,4006,1332
27 August 1996 (USA),English,4007,3379
5 August 1988 (USA),English,4008,3380
2 October 1987 (USA),English,4009,452
16 November 1984 (USA),English,4010,3228
21 February 1986 (USA),English,4011,3381
1993 (Canada),English,4012,3382
30 August 1985 (USA),"English,Latin",4013,3383
11 September 2009 (USA),English,4014,3357
16 January 1987 (USA),English,4015,3384
7 April 2010 (USA),English,4016,3385
16 March 1990 (USA),English,4017,1713
5 October 1990 (USA),English,4018,3386
3 September 1993 (USA),English,4019,2209
4 April 1981 (USA),"English,German,French,Swedish",4020,3387
23 February 1990 (USA),English,4021,3388
3 February 1995 (USA),English,4022,3389
September 1988 (Italy),English,4023,3390
19 May 2011 (USA),English,4024,3391
7 October 2005 (USA),"English,French,Spanish,Italian,German",4025,3392
2 October 2015 (USA),English,4026,2692
11 December 1998 (USA),English,4027,1549
30 March 1999 (USA),English,4028,3393
11 March 2012 (USA),English,4029,3394
25 February 1994 (Brazil),"English,Spanish",4030,3395
"Oct 21, 1959 Wide",English,4031,3396
1 May 2014 (USA),English,4032,3397
27 June 1991 (USA),English,4033,3398
14 June 2007 (USA),English,4034,3399
8 July 1990 (UK),English,4035,3400
18 October 1985 (USA),"English,German",4036,3401
January 2014 (USA),English,4037,3402
18 June 1982 (USA),"English,Russian",4038,3403
14 December 1973 (USA),English,4039,3404
7 November 1986 (USA),English,4040,3405
7 February 1986 (USA),English,4041,3406
1 March 2013 (USA),English,4042,3407
5 August 1987 (USA),English,4043,3408
8 March 1991 (USA),English,4044,1618
9 February 1979 (West Germany),English,4045,3409
23 February 1990 (USA),English,4046,3388
23 March 2006 (Thailand),English,4047,3410
27 October 1965 (USA),English,4048,3411
10 April 2015 (USA),English,4049,2123
18 August 2015 (USA),English,4050,3412
28 August 1963 (USA),English,4051,3413
1 May 2015 (USA),English,4052,3414
5 November 1932 (USA),English,4053,3415
5 October 2013 (USA),English,4054,3416
2 April 1993 (USA),"English,French",4055,3417
14 October 1981 (USA),English,4056,3418
6 November 1981 (USA),English,4057,3419
8 May 1981 (USA),English,4058,3420
2008 (USA),English,4059,193
23 May 2008 (USA),English,4060,3421
13 August 2015 (USA),English,4061,3422
9 October 2003 (USA),English,4062,3423
1 August 2010 (USA),English,4063,3424
24 July 2006 (USA),English,4064,3425
9 April 2004 (USA),English,4065,938
18 September 1987 (USA),English,4066,1186
15 January 1988 (USA),"English,French",4067,3426
3 December 1997 (USA),English,4068,3427
18 November 1988 (USA),English,4069,973
11 April 2014 (USA),English,4070,1750
"Apr 1, 1995 Wide",English,4071,3428
13 May 2005 (USA),"English,Italian",4072,3429
15 February 2013 (USA),"Spanish,English",4073,3430
6 June 2006 (USA),English,4074,3431
24 July 2008 (USA),English,4075,3432
3 October 2009 (USA),English,4076,3433
10 March 1993 (USA),English,4077,3434
18 April 2003 (USA),English,4078,3435
1 March 2008 (USA),English,4079,3436
7 December 1979 (USA),"English,Klingon",4080,3437
17 July 2015 (USA),"English,Japanese,French",4081,3438
14 August 2015 (USA),English,4082,475
6 December 2013 (USA),English,4083,3439
11 September 2002 (France),"English,Spanish,French,Arabic,Hebrew,Persian,French Sign Language,Japanese",4084,3440
22 April 2009 (USA),English,4085,3441
15 May 2015 (USA),English,4086,2617
"Nov 13, 2012 Wide",English,4087,3442
22 April 2011 (USA),English,4088,3443
9 June 1948 (USA),"English,Cantonese",4089,3444
23 May 1950 (USA),"English,German",4090,3445
26 November 1946 (Argentina),English,4091,3446
"Apr 23, 1955 Limited","English,Italian,Spanish",4092,3447
30 March 1944 (USA),English,4093,3448
2 May 1946 (USA),English,4094,3449
20 October 1945 (USA),English,4095,3450
14 December 2012 (UK),English,4096,3155
26 September 2014 (USA),English,4097,768
19 September 2003 (USA),"English,Spanish,Portuguese",4098,3451
12 December 2001 (France),English,4099,3452
22 October 2014 (USA),"English,German,Arabic,Russian,French",4100,3453
24 November 1997 (Australia),English,4101,3454
3 April 2003 (Netherlands),English,4102,3455
March 2013 (France),English,4103,3456
28 July 1995 (USA),English,4104,1719
17 April 1978 (Sweden),English,4105,3457
6 April 2011 (Egypt),English,4106,3458
7 April 2006 (USA),English,4107,2055
26 April 2014 (Japan),English,4108,3459
9 September 1988 (USA),English,4109,3460
6 April 1990 (USA),"English,Italian,Serbo-Croatian",4110,3461
16 July 1993 (USA),English,4111,1272
4 October 1991 (USA),English,4112,3462
15 January 1988 (Japan),English,4113,3463
8 February 2014 (Germany),English,4114,3464
6 October 2000 (USA),English,4115,2854
30 January 2009 (USA),English,4116,500
29 September 1995 (Spain),English,4117,3465
15 April 1988 (USA),"English,Russian",4118,3466
5 April 2006 (France),"Spanish,English",4119,3467
19 July 1995 (USA),"English,Malay,Indonesian",4120,3468
4 January 2013 (USA),English,4121,3469
22 May 1998 (USA),English,4122,405
26 June 2009 (Spain),"English,Spanish,French",4123,3470
,English,4124,47
2 March 2007 (USA),English,4125,572
8 August 1997 (USA),English,4126,1499
14 November 2003 (Austria),English,4127,3471
21 September 2001 (USA),English,4128,3472
16 October 1998 (USA),"English,Russian",4129,3473
11 June 2004 (USA),"English,French",4130,3474
7 September 2010 (Italy),English,4131,3475
9 September 2013 (UK),English,4132,3476
14 June 2008 (USA),English,4133,3477
27 June 2013 (USA),"English,Russian,Chinese",4134,3478
29 October 2004 (USA),English,4135,510
1 October 1993 (USA),English,4136,523
1 February 2002 (USA),"English,Russian",4137,3479
5 October 2007 (UK),English,4138,3480
23 April 2004 (USA),English,4139,3481
3 October 2007 (USA),English,4140,3482
September 1982 (USA),English,4141,3483
23 September 1988 (USA),English,4142,3484
"Jan 1, 1979 Wide",English,4143,3485
21 March 1980 (USA),English,4144,3486
17 November 1993 (USA),English,4145,3487
29 February 1980 (USA),English,4146,3488
25 March 1983 (USA),English,4147,195
15 October 1993 (USA),English,4148,1420
8 November 1985 (USA),English,4149,1771
12 August 1988 (USA),English,4150,1201
10 October 1986 (USA),English,4151,3489
14 December 1984 (USA),"English,Italian",4152,130
27 August 1969 (USA),English,4153,3490
16 August 1985 (USA),"Mandarin,English,Cantonese,Vietnamese,Polish",4154,3491
6 August 1982 (Sweden),"English,German",4155,3492
8 May 1987 (USA),English,4156,2165
12 January 2001 (USA),English,4157,3493
16 November 2005 (France),English,4158,3494
3 October 2008 (USA),English,4159,2895
18 January 2007 (Singapore),English,4160,3495
"Nov 15, 1978 Wide","English,Sindarin",4161,3496
2010 (USA),English,4162,1208
,English,4163,47
4 March 1994 (USA),English,4164,1891
15 January 1993 (USA),English,4165,3497
2 July 1980 (USA),English,4166,2520
11 October 1996 (USA),"English,Hindi",4167,3498
12 June 1997 (Singapore),English,4168,3499
26 September 1997 (USA),English,4169,1609
30 July 1972 (USA),English,4170,3500
8 July 2011 (USA),English,4171,1355
"Sep 15, 1987 Wide","French,English,Russian,Japanese",4172,3501
December 2015 (USA),English,4173,3084
"Jul 24, 2015 Wide",English,4174,3502
18 January 1991 (USA),English,4175,3503
13 October 1971 (USA),English,4176,3504
19 September 2014 (South Africa),"English,Hindi",4177,3505
27 May 2005 (Spain),"English,French",4178,3506
13 September 1978 (USA),"English,Italian",4179,3507
22 October 1971 (USA),English,4180,3508
"Aug 17, 2007 Wide",English,4181,3509
15 August 2014 (Ireland),English,4182,3510
18 September 2015 (USA),English,4183,42
22 November 2006 (USA),"English,Maya",4184,3511
21 July 1971 (France),English,4185,3512
15 June 2012 (Spain),"English,Filipino,Spanish",4186,3513
17 June 2010 (South Korea),English,4187,3514
16 October 1972 (Sweden),"English,Yiddish",4188,3515
3 December 1982 (UK),English,4189,3516
9 October 2009 (UK),"English,German,French",4190,3517
September 1956 (USA),English,4191,3518
3 August 2012 (UK),English,4192,3519
17 February 1968 (USA),English,4193,3520
28 June 2013 (UK),English,4194,3521
8 April 2011 (USA),English,4195,1574
3 September 2014 (Netherlands),English,4196,3522
9 December 2011 (USA),English,4197,1573
22 October 2004 (USA),"German,English,Spanish",4198,3523
9 May 1973 (USA),"English,Spanish",4199,3524
15 August 1986 (USA),English,4200,3525
22 October 1982 (USA),English,4201,252
28 July 2006 (USA),English,4202,1359
11 March 1971 (USA),English,4203,3526
25 June 2015 (Italy),English,4204,3527
13 October 2012 (Brazil),English,4205,3528
7 March 2003 (USA),English,4206,3529
15 February 2002 (USA),"English,German",4207,3530
1 March 2002 (USA),"English,Vietnamese,French",4208,3531
19 July 2002 (USA),"English,Russian",4209,3532
30 November 2001 (USA),"English,Serbo-Croatian,Spanish,Czech",4210,3533
12 May 1995 (USA),English,4211,3534
20 January 2006 (USA),"English,Algonquin",4212,3535
6 December 2013 (USA),English,4213,3439
14 April 2000 (USA),"English,Spanish,Cantonese",4214,3536
15 January 2010 (USA),English,4215,945
8 October 1993 (USA),English,4216,1894
22 December 2010 (USA),English,4217,1328
20 December 2013 (USA),"English,Arabic",4218,3537
2 July 1971 (USA),English,4219,3538
11 October 1996 (USA),English,4220,3539
30 July 1997 (USA),"English,Spanish",4221,3540
16 June 2000 (USA),"English,Mandarin",4222,3541
11 June 2004 (USA),English,4223,139
"Sep 6, 2013 Wide",English,4224,3542
17 October 2003 (USA),"English,French,Italian",4225,3543
25 December 1997 (USA),"English,Mende,Spanish",4226,3544
8 November 1996 (USA),English,4227,803
7 April 2006 (USA),"English,Spanish",4228,3545
21 February 2003 (USA),"English,Spanish",4229,3546
4 September 2009 (USA),English,4230,2065
14 November 1997 (USA),"English,Russian",4231,3547
15 October 2010 (USA),"English,Russian",4232,3548
3 April 1998 (USA),English,4233,3549
"Mar 11, 2005 Wide",English,4234,3550
1938 (USA),English,4235,3551
21 February 2003 (USA),English,4236,2372
"Sep 21, 2012 Wide","English,Spanish",4237,3552
15 December 1976 (USA),English,4238,3553
16 June 1978 (USA),English,4239,3554
January 2000 (USA),English,4240,3555
25 July 2011 (USA),English,4241,3556
5 February 2010 (USA),"English,Spanish",4242,3557
9 October 1968 (USA),"English,French",4243,3558
6 October 1978 (USA),English,4244,567
17 December 1982 (USA),English,4245,969
22 December 1971 (USA),English,4246,3559
23 December 1970 (USA),English,4247,3560
10 November 1974 (USA),English,4248,3561
24 September 1975 (USA),"English,French",4249,3562
21 May 1975 (USA),"English,French",4250,3563
20 May 1998 (USA),"English,French,Japanese,Russian,Spanish",4251,3564
11 March 2005 (USA),"Bengali,English",4252,3565
23 January 2009 (Brazil),English,4253,3566
25 December 2006 (USA),English,4254,3567
20 November 2009 (USA),"English,Italian",4255,3568
23 January 2004 (Finland),English,4256,3569
8 December 2009 (USA),English,4257,3570
30 August 1972 (USA),English,4258,3571
31 October 2007 (USA),English,4259,3572
21 January 1933 (USA),English,4260,3573
19 December 1986 (USA),English,4261,3574
5 October 2007 (USA),English,4262,3575
13 June 1953 (USA),"English,French",4263,3576
22 February 2007 (Netherlands),English,4264,3577
29 August 1949 (Sweden),"English,Swahili",4265,3578
16 February 2007 (UK),English,4266,3579
17 November 1939 (USA),"English,Latin,French",4267,3580
3 July 1991 (USA),English,4268,3581
13 April 2000 (Australia),English,4269,3582
13 December 1972 (USA),"English,Hebrew",4270,3583
20 February 2015 (UK),"English,Japanese",4271,3584
18 May 2012 (USA),English,4272,3585
27 December 1940 (USA),English,4273,3586
26 January 1940 (USA),English,4274,3587
7 July 1944 (USA),English,4275,3588
9 June 1944 (USA),English,4276,3589
7 August 1942 (USA),English,4277,3590
1946 (Turkey),English,4278,3591
20 January 1936 (USA),"English,French",4279,3592
8 July 1935 (USA),English,4280,3593
December 1932 (USA),English,4281,3594
21 February 1932 (USA),"English,Danish,German",4282,3595
7 May 1934 (USA),"English,Latin,Hungarian",4283,3596
17 May 1946 (USA),English,4284,3597
18 February 1921 (Japan),English,4285,3598
30 October 2015 (USA),English,4286,3599
September 1941 (USA),English,4287,3600
26 August 2015 (USA),English,4288,3601
19 June 2015 (USA),English,4289,232
11 April 2008 (USA),"Korean,English",4290,3602
13 March 2004 (USA),English,4291,3603
18 March 2005 (Austria),English,4292,3604
11 January 2002 (USA),English,4293,3605
22 May 2007 (USA),English,4294,3606
13 July 2007 (USA),English,4295,3607
31 January 2014 (USA),English,4296,392
10 August 2012 (USA),English,4297,398
2012 (USA),English,4298,3608
"Feb 16, 2007 Wide","English,Serbo-Croatian",4299,3609
29 July 2009 (Philippines),English,4300,3610
20 November 2009 (USA),"English,Italian",4301,3568
4 March 2011 (USA),English,4302,150
21 November 2008 (USA),English,4303,782
12 March 2010 (USA),"English,Chinese",4304,3611
1 June 2012 (USA),English,4305,3612
30 June 2010 (USA),English,4306,3613
5 February 2010 (USA),English,4307,3614
29 March 2013 (USA),English,4308,1603
21 August 2013 (USA),English,4309,3615
5 March 2004 (USA),English,4310,3616
14 January 2000 (USA),English,4311,53
October 1978 (USA),English,4312,3617
14 October 1994 (USA),English,4313,1414
16 January 2014 (Italy),English,4314,3618
21 October 1983 (USA),"English,Russian",4315,3619
2 August 1985 (USA),English,4316,387
8 October 1981 (USA),English,4317,3620
1930 (Germany),English,4318,3621
22 November 2012 (Portugal),English,4319,3622
2010 (USA),English,4320,1208
26 July 1996 (USA),"Italian,English",4321,3623
30 August 2011 (USA),English,4322,3624
7 October 1999 (Germany),"German,English,Spanish",4323,3625
2006 (USA),English,4324,3626
1 April 2015 (USA),English,4325,3627
May 2004 (USA),English,4326,3628
30 May 2004 (USA),"English,Spanish",4327,3629
2008 (USA),English,4328,193
18 March 2015 (Belgium),English,4329,3630
20 May 2011 (UK),English,4330,3631
31 August 2005 (USA),"English,Italian,Swahili,German",4331,3632
4 September 2004 (Germany),English,4332,3633
21 December 2012 (USA),English,4333,3305
5 January 1929 (USA),English,4334,3634
25 February 1936 (USA),English,4335,3635
22 September 1995 (USA),English,4336,423
1925 (Germany),English,4337,3636
15 June 1997 (USA),English,4338,3637
23 June 1955 (USA),"English,French",4339,3638
8 August 1941 (USA),English,4340,3639
7 March 1951 (USA),English,4341,3640
6 April 1953 (USA),English,4342,3641
1 August 1953 (USA),English,4343,3642
25 September 1950 (Sweden),English,4344,3643
"Jul 16, 1958 Wide","English,French",4345,3644
27 April 1951 (USA),English,4346,3645
12 September 1958 (USA),English,4347,3646
5 February 1956 (USA),English,4348,3647
July 1955 (USA),English,4349,3648
April 1957 (USA),English,4350,700
25 May 1953 (USA),English,4351,3649
January 1988 (USA),English,4352,3650
7 December 2000 (Germany),English,4353,3651
27 March 2006 (Germany),English,4354,3652
1 August 2014 (USA),"English,Hebrew,Arabic,German",4355,3653
27 April 1990 (USA),English,4356,3654
3 March 1999 (USA),English,4357,3655
16 August 1985 (USA),English,4358,1487
September 1985 (USA),English,4359,3656
8 September 1988 (West Germany),English,4360,3657
16 March 1999 (USA),English,4361,3658
30 October 1981 (USA),English,4362,526
12 May 1989 (USA),English,4363,3659
October 1989 (USA),English,4364,1057
30 October 1987 (USA),English,4365,3051
15 November 1985 (USA),English,4366,2403
23 July 1982 (USA),English,4367,3660
10 August 1984 (USA),English,4368,3239
27 April 1979 (USA),English,4369,3661
"Aug 5, 1988 Wide",English,4370,3662
25 July 1986 (USA),English,4371,3663
30 September 1988 (USA),English,4372,382
March 1984 (USA),English,4373,3664
29 October 1964 (USA),English,4374,3665
11 September 1963 (USA),English,4375,3666
28 August 1987 (USA),"English,French",4376,3667
6 June 2005 (USA),English,4377,3668
12 October 1990 (USA),English,4378,3669
13 December 2013 (USA),English,4379,1127
21 December 2011 (Sweden),English,4380,3670
15 May 1968 (USA),"English,German",4381,3671
20 May 1953 (USA),"English,German",4382,3672
9 July 2014 (France),English,4383,3673
1 October 2008 (France),English,4384,3674
20 July 2007 (UK),English,4385,3675
11 January 2009 (USA),English,4386,3676
24 February 1960 (USA),"English,Scottish Gaelic,Scots",4387,3677
1 September 2000 (USA),English,4388,3678
30 August 2013 (UK),English,4389,3679
16 March 1963 (USA),English,4390,3680
22 July 2011 (USA),English,4391,3681
1 December 1951 (West Germany),"English,Spanish",4392,3682
22 August 1973 (USA),English,4393,3683
20 December 1978 (USA),English,4394,3684
28 June 1985 (USA),English,4395,3685
9 December 1983 (USA),English,4396,1653
13 July 1988 (USA),English,4397,3686
22 June 1979 (USA),English,4398,536
30 June 1976 (USA),"English,Navajo,Spanish",4399,3687
9 July 1993 (USA),English,4400,3688
21 December 1977 (USA),English,4401,3689
14 August 2015 (USA),English,4402,475
28 May 1971 (Finland),English,4403,3690
21 May 1975 (USA),English,4404,3691
17 December 1980 (USA),English,4405,3692
14 February 1997 (USA),"English,Spanish",4406,3693
7 December 1990 (USA),English,4407,3694
14 September 1990 (USA),English,4408,2937
11 June 1980 (USA),English,4409,3695
12 November 1971 (USA),English,4410,3696
17 August 1984 (USA),English,4411,3697
24 May 1974 (USA),English,4412,3698
14 September 2005 (Philippines),English,4413,3699
31 August 2001 (USA),English,4414,2641
8 November 1962 (USA),"English,Polynesian,French",4415,3700
December 1956 (USA),English,4416,640
18 August 1960 (Japan),English,4417,3701
11 February 1955 (Belgium),"English,Swedish",4418,3702
September 1965 (Austria),English,4419,3703
2 April 1963 (USA),English,4420,3704
February 1954 (USA),English,4421,3705
22 August 1952 (West Germany),"English,Spanish",4422,3706
October 1966 (Austria),"English,Spanish",4423,3707
30 March 1961 (USA),"English,Spanish",4424,3708
September 1950 (Italy),"English,Spanish",4425,3709
20 December 1957 (Japan),"English,Japanese",4426,3710
17 May 1953 (USA),English,4427,3711
18 February 1953 (France),English,4428,3712
1 March 1935 (USA),English,4429,3713
2 October 1963 (USA),English,4430,3714
20 January 1950 (USA),"English,French,German",4431,3715
27 January 1951 (USA),English,4432,3716
15 August 1945 (France),English,4433,3717
26 October 1950 (USA),English,4434,3718
25 November 1932 (USA),English,4435,3719
8 April 1932 (USA),English,4436,3720
8 January 1958 (Japan),English,4437,3721
11 November 1943 (USA),English,4438,3722
,English,4439,47
30 July 1943 (USA),English,4440,3723
26 November 1945 (Denmark),English,4441,3724
,English,4442,47
27 May 1942 (USA),"English,German,Italian,Japanese,Amharic,Russian",4443,3725
6 October 1995 (USA),English,4444,1620
12 January 1984 (Australia),English,4445,3726
November 1987 (UK),English,4446,3727
20 December 1978 (USA),English,4447,3684
4 October 1985 (USA),English,4448,1366
23 November 1979 (USA),English,4449,3728
18 March 2011 (UK),English,4450,3729
14 September 1979 (USA),English,4451,3730
21 September 1984 (USA),English,4452,1455
26 March 2010 (USA),English,4453,27
23 August 2013 (USA),English,4454,2835
10 October 1999 (USA),English,4455,3731
10 July 2015 (USA),English,4456,472
"Jul 3, 2015 Limited",English,4457,3732
31 July 2015 (USA),English,4458,1380
10 July 2015 (USA),English,4459,472
16 August 2014 (Japan),English,4460,3733
7 June 2012 (Germany),English,4461,3734
13 July 2012 (UK),English,4462,730
21 June 2013 (Canada),"English,Italian,German,French",4463,3735
26 December 2001 (UK),English,4464,3736
17 June 1997 (USA),English,4465,3737
4 August 2015 (USA),English,4466,3738
"May 1, 1988 Wide",English,4467,3739
2015 (USA),English,4468,258
15 May 2015 (USA),English,4469,2617
24 April 2015 (USA),English,4470,376
15 September 1993 (USA),English,4471,3740
12 November 2010 (Brazil),"English,Portuguese,French,Japanese",4472,3741
,English,4473,47
13 September 2013 (USA),"English,French",4474,3742
24 July 2015 (USA),"English,Aramaic",4475,3743
19 January 2014 (USA),English,4476,3744
1 August 1936 (USA),English,4477,3745
October 1987 (USA),English,4478,3746
9 April 1943 (USA),English,4479,3747
29 November 1940 (USA),English,4480,3748
28 December 1940 (USA),English,4481,3749
9 March 1979 (USA),"English,Italian",4482,3750
November 1979 (USA),English,4483,3751
9 October 1947 (USA),English,4484,3752
24 May 1940 (USA),English,4485,3753
24 July 1939 (USA),"English,Arabic",4486,3754
9 June 1939 (USA),English,4487,3755
25 March 1956 (USA),English,4488,3756
13 November 1976 (USA),English,4489,3757
December 1978 (USA),English,4490,3758
2 April 2004 (USA),"English,Mandarin",4491,3759
14 February 2003 (USA),English,4492,3760
24 January 1999 (USA),English,4493,3761
15 June 1994 (France),English,4494,3762
27 June 1958 (West Germany),English,4495,3763
10 May 1940 (USA),English,4496,3764
20 June 1935 (Argentina),English,4497,3765
17 September 1947 (France),English,4498,3766
April 1956 (USA),English,4499,3767
1 March 1940 (USA),English,4500,3768
18 May 1960 (USA),English,4501,3769
16 March 1951 (USA),English,4502,3770
15 January 1943 (USA),English,4503,3771
7 November 2009 (Argentina),English,4504,3772
22 October 1949 (USA),English,4505,3773
2 March 1939 (USA),English,4506,3774
5 June 2015 (USA),English,4507,2596
