style,ounces,original_index,unique_index
American Porter,12.0 oz.,1322,113
American Amber / Red Ale,12.0 oz,1323,154
American Pale Ale (APA),12.0 ounce,1324,11
Fruit / Vegetable Beer,12.0 oz,1325,50
American Brown Ale,12.0 ounce,1326,109
American IPA,12.0 oz.,1327,23
American Blonde Ale,12.0 oz,1328,32
American Amber / Red Ale,12.0 oz.,1329,30
American IPA,12.0 oz.,1330,23
American IPA,12.0 oz.,1331,23
Witbier,12.0 oz.,1332,108
American Brown Ale,12.0 ounce,1333,109
American IPA,12.0 oz.,1334,23
American Double / Imperial IPA,16.0 oz.,1335,46
American IPA,16.0 oz.,1336,39
Wheat Ale,16.0 ounce,1337,399
American Double / Imperial IPA,16.0 oz.,1338,46
Cream Ale,16.0 oz,1339,400
Kölsch,16.0 OZ.,1340,401
American Double / Imperial IPA,24.0 ounce,1341,402
American IPA,24.0 oz,1342,403
American IPA,24.0 ounce,1343,404
Belgian IPA,24.0 oz,1344,405
Saison / Farmhouse Ale,24.0 oz.,1345,406
Berliner Weissbier,24.0 oz. Alumi-Tek,1346,407
American IPA,24.0 oz,1347,403
American Pale Ale (APA),24.0 ounce,1348,408
American Pilsner,12.0 ounce,1349,357
American IPA,12.0 oz. Alumi-Tek,1350,73
Witbier,16.0 oz.,1351,131
Irish Red Ale,16.0 oz.,1352,409
American Pale Ale (APA),16.0 OZ.,1353,65
American Double / Imperial IPA,16.0 ounce,1354,53
American Amber / Red Ale,16.0 oz.,1355,215
American IPA,16.0 oz.,1356,39
Saison / Farmhouse Ale,16.0 oz,1357,190
Witbier,16.0 ounce,1358,204
Vienna Lager,16.0 oz.,1359,410
American Amber / Red Ale,16.0 oz,1360,142
American Malt Liquor,24.0 oz.,1361,411
Bock,16.0 ounce,1362,412
Light Lager,12.0 oz.,1363,273
American Pale Lager,12.0 ounce,1364,121
American Pale Lager,16.0 oz.,1365,413
American Pale Lager,12.0 oz.,1366,287
American Pale Lager,16.0 oz.,1367,413
American Pale Lager,12.0 oz. Alumi-Tek,1368,319
American Pale Lager,12.0 oz.,1369,287
American Adjunct Lager,24.0 oz.,1370,414
Light Lager,12.0 oz.,1371,273
American Adjunct Lager,12.0 OZ.,1372,415
American Adjunct Lager,12.0 OZ.,1373,415
Belgian Pale Ale,32.0 oz. Alumi-Tek,1374,416
American IPA,32.0 OZ.,1375,417
American Pale Ale (APA),32.0 oz.,1376,418
American Double / Imperial IPA,32.0 oz.,1377,419
American Brown Ale,16.0 OZ.,1378,235
American Pale Wheat Ale,16.0 oz.,1379,132
California Common / Steam Beer,16.0 ounce,1380,420
American IPA,16.0 oz.,1381,39
English Brown Ale,24.0 ounce,1382,421
American Pale Ale (APA),24.0 oz. Alumi-Tek,1383,422
American Pale Ale (APA),12.0 oz.,1384,1
American IPA,16.0 oz.,1385,39
American IPA,16.0 oz.,1386,39
American Pale Ale (APA),16.0 ounce,1387,150
American Amber / Red Ale,16.0 ounce,1388,189
Saison / Farmhouse Ale,16.0 oz.,1389,220
American Pale Wheat Ale,16.0 ounce,1390,237
American Stout,16.0 oz.,1391,144
American Amber / Red Ale,16.0 ounce,1392,189
American Amber / Red Ale,12.0 oz,1393,154
American Brown Ale,16.0 OZ.,1394,235
American Double / Imperial IPA,16.0 ounce,1395,53
American Pale Ale (APA),16.0 oz,1396,85
American Blonde Ale,12.0 oz.,1397,29
Extra Special / Strong Bitter (ESB),12.0 ounce,1398,136
Munich Helles Lager,12.0 ounce,1399,322
Märzen / Oktoberfest,12.0 oz.,1400,111
American Pale Wheat Ale,12.0 oz,1401,74
Schwarzbier,12.0 oz.,1402,123
German Pilsener,12.0 oz,1403,156
Cream Ale,12.0 oz,1404,82
American Pale Ale (APA),12.0 oz,1405,20
Hefeweizen,12.0 oz.,1406,186
American Blonde Ale,12.0 oz,1407,32
American IPA,12.0 ounce,1408,2
American Amber / Red Ale,16.0 oz.,1409,215
Witbier,12.0 ounce,1410,90
American IPA,12.0 oz.,1411,23
Light Lager,12.0 ounce,1412,423
Witbier,12.0 oz.,1413,108
Hefeweizen,12.0 OZ.,1414,424
American Amber / Red Lager,12.0 ounce,1415,49
American Pale Lager,12.0 ounce,1416,121
American Pale Lager,12.0 oz.,1417,287
American Blonde Ale,12.0 oz,1418,32
American Pale Wheat Ale,12.0 OZ.,1419,425
Light Lager,16.0 oz,1420,426
American Pilsner,16.0 oz.,1421,60
Milk / Sweet Stout,16.0 oz.,1422,427
German Pilsener,16.0 ounce,1423,277
American Pale Wheat Ale,12.0 oz.,1424,36
Cream Ale,16.0 ounce,1425,428
American Pale Wheat Ale,16.0 oz.,1426,132
American Porter,16.0 oz,1427,205
Bock,16.0 oz.,1428,429
Märzen / Oktoberfest,16.0 oz. Alumi-Tek,1429,347
American Blonde Ale,16.0 oz.,1430,178
American Black Ale,16.0 oz,1431,105
American Double / Imperial IPA,16.0 oz,1432,211
American Double / Imperial IPA,16.0 ounce,1433,53
American Black Ale,16.0 oz.,1434,229
American Blonde Ale,16.0 oz.,1435,178
Pumpkin Ale,12.0 oz,1436,77
American IPA,12.0 ounce,1437,2
Hefeweizen,12.0 ounce,1438,152
English Brown Ale,12.0 oz,1439,430
American Pale Ale (APA),12.0 oz. Alumi-Tek,1440,67
American IPA,12.0 ounce,1441,2
German Pilsener,12.0 oz.,1442,106
American IPA,12.0 oz.,1443,23
American IPA,12.0 ounce,1444,2
American Pale Lager,12.0 oz,1445,0
Euro Dark Lager,12.0 oz.,1446,376
Czech Pilsener,12.0 oz.,1447,138
American Amber / Red Lager,12.0 oz.,1448,51
American Pale Wheat Ale,16.0 ounce,1449,237
American Pale Wheat Ale,12.0 oz.,1450,36
American Amber / Red Ale,12.0 oz.,1451,30
American Pale Lager,12.0 oz.,1452,287
American Amber / Red Ale,12.0 oz.,1453,30
American Pale Lager,16.0 oz,1454,326
American IPA,16.0 oz.,1455,39
American Amber / Red Ale,16.0 oz.,1456,215
American IPA,12.0 oz.,1457,23
American Pale Wheat Ale,12.0 ounce,1458,112
American Amber / Red Ale,12.0 ounce,1459,83
Berliner Weissbier,12.0 oz.,1460,47
American IPA,12.0 oz.,1461,23
American Pilsner,12.0 ounce,1462,357
American Amber / Red Ale,12.0 OZ.,1463,101
Belgian Pale Ale,12.0 oz.,1464,89
American Double / Imperial IPA,12.0 ounce,1465,7
Belgian Pale Ale,16.0 oz.,1466,191
American Double / Imperial IPA,16.0 oz.,1467,46
American Pilsner,12.0 oz,1468,269
American Amber / Red Ale,12.0 ounce,1469,83
American IPA,12.0 OZ.,1470,4
American Pale Ale (APA),12.0 oz.,1471,1
American Stout,16.0 oz.,1472,144
American Double / Imperial IPA,16.0 oz.,1473,46
American IPA,16.0 oz.,1474,39
English Dark Mild Ale,12.0 OZ.,1475,431
American Blonde Ale,12.0 oz,1476,32
Dunkelweizen,12.0 oz. Alumi-Tek,1477,432
American Blonde Ale,12.0 oz.,1478,29
American Amber / Red Ale,12.0 oz. Alumi-Tek,1479,187
English Brown Ale,12.0 oz,1480,430
Witbier,12.0 ounce,1481,90
Cream Ale,12.0 oz,1482,82
American IPA,12.0 oz,1483,35
Witbier,12.0 oz.,1484,108
American Pale Ale (APA),12.0 oz.,1485,1
American Amber / Red Ale,16.0 oz,1486,142
American Pale Ale (APA),16.0 oz.,1487,56
American IPA,16.0 oz.,1488,39
English India Pale Ale (IPA),12.0 ounce,1489,137
American Stout,12.0 oz.,1490,19
Irish Red Ale,12.0 oz,1491,291
German Pilsener,12.0 oz,1492,156
American IPA,16.0 ounce,1493,37
Milk / Sweet Stout,16.0 oz,1494,433
English Brown Ale,16.0 oz.,1495,265
Pumpkin Ale,16.0 oz.,1496,247
American Porter,16.0 oz,1497,205
Extra Special / Strong Bitter (ESB),16.0 oz.,1498,298
American IPA,16.0 oz.,1499,39
American IPA,16.0 oz.,1500,39
American Pale Ale (APA),16.0 oz.,1501,56
German Pilsener,12.0 ounce,1502,387
American Pale Wheat Ale,12.0 oz.,1503,36
American IPA,12.0 ounce,1504,2
Czech Pilsener,12.0 oz.,1505,138
Pumpkin Ale,12.0 ounce,1506,388
American IPA,12.0 oz,1507,35
Fruit / Vegetable Beer,12.0 oz.,1508,22
American IPA,12.0 ounce,1509,2
American Amber / Red Ale,12.0 oz,1510,154
American Stout,12.0 oz,1511,384
American IPA,12.0 ounce,1512,2
Baltic Porter,16.0 oz,1513,434
English Bitter,12.0 oz.,1514,435
Keller Bier / Zwickel Bier,12.0 OZ.,1515,436
American Pale Ale (APA),12.0 oz,1516,20
American Pale Wheat Ale,16.0 ounce,1517,237
Dunkelweizen,16.0 ounce,1518,437
Altbier,16.0 oz,1519,438
Kölsch,16.0 ounce,1520,41
Belgian Strong Dark Ale,12.0 oz.,1521,395
Scotch Ale / Wee Heavy,12.0 oz.,1522,439
American Porter,12.0 oz,1523,98
Hefeweizen,12.0 oz.,1524,186
American Pale Ale (APA),12.0 oz,1525,20
American Pale Ale (APA),12.0 ounce,1526,11
Hefeweizen,12.0 oz,1527,139
Scottish Ale,16.0 oz,1528,283
American Brown Ale,16.0 oz.,1529,133
Saison / Farmhouse Ale,16.0 oz,1530,190
American Pale Ale (APA),16.0 ounce,1531,150
American Stout,16.0 oz,1532,209
Rye Beer,16.0 oz.,1533,130
American Pale Lager,16.0 oz.,1534,413
American Brown Ale,16.0 oz.,1535,133
American Stout,16.0 oz.,1536,144
American Porter,16.0 oz,1537,205
Pumpkin Ale,16.0 ounce,1538,58
American Pale Wheat Ale,16.0 oz.,1539,132
American Blonde Ale,16.0 OZ.,1540,440
American IPA,16.0 oz,1541,43
American Pale Ale (APA),16.0 ounce,1542,150
American Pale Wheat Ale,16.0 oz,1543,271
American Pale Lager,16.0 oz.,1544,413
American Amber / Red Lager,16.0 oz.,1545,226
American Pale Lager,16.0 oz,1546,326
Euro Dark Lager,16.0 oz.,1547,441
Light Lager,16.0 oz,1548,426
Saison / Farmhouse Ale,12.0 oz.,1549,8
Saison / Farmhouse Ale,12.0 ounce,1550,143
American IPA,12.0 oz,1551,35
American Pale Ale (APA),19.2 oz. Alumi-Tek,1552,442
Scotch Ale / Wee Heavy,16.0 oz,1553,296
,32.0 oz.,1554,443
,12.0 ounce,1555,444
American IPA,16.0 ounce,1556,37
English Brown Ale,12.0 oz. Alumi-Tek,1557,445
American IPA,12.0 ounce,1558,2
American Pale Ale (APA),12.0 OZ.,1559,69
American Pale Ale (APA),12.0 oz,1560,20
Czech Pilsener,19.2 OZ.,1561,446
American IPA,19.2 oz.,1562,447
American IPA,16.0 ounce,1563,37
American Pale Ale (APA),19.2 OZ.,1564,448
American Brown Ale,16.0 oz,1565,449
American Pale Ale (APA),12.0 ounce,1566,11
American Pale Ale (APA),12.0 oz,1567,20
American Double / Imperial IPA,12.0 oz,1568,3
American Pale Ale (APA),12.0 oz.,1569,1
American Pale Ale (APA),12.0 ounce,1570,11
American Double / Imperial IPA,16.0 oz.,1571,46
Belgian Dark Ale,16.0 oz,1572,42
Belgian Strong Pale Ale,16.0 oz.,1573,200
American Strong Ale,12.0 ounce,1574,371
American Double / Imperial IPA,16.0 ounce,1575,53
American Double / Imperial IPA,12.0 ounce,1576,7
American Double / Imperial IPA,12.0 oz.,1577,25
Russian Imperial Stout,12.0 ounce,1578,341
Czech Pilsener,12.0 OZ.,1579,450
American Double / Imperial IPA,12.0 ounce,1580,7
Scottish Ale,12.0 oz.,1581,308
American Double / Imperial IPA,12.0 oz,1582,3
American Pale Ale (APA),12.0 oz.,1583,1
American Double / Imperial IPA,12.0 oz.,1584,25
Russian Imperial Stout,12.0 oz.,1585,451
Russian Imperial Stout,12.0 oz.,1586,451
Scottish Ale,12.0 oz.,1587,308
Scottish Ale,12.0 oz.,1588,308
Scottish Ale,12.0 oz,1589,377
American Pale Ale (APA),12.0 ounce,1590,11
American Pale Ale (APA),12.0 oz.,1591,1
American Pale Ale (APA),12.0 oz,1592,20
American Pale Ale (APA),12.0 oz.,1593,1
American Pale Ale (APA),12.0 oz,1594,20
American Brown Ale,12.0 oz,1595,33
American Double / Imperial IPA,12.0 ounce,1596,7
American Double / Imperial IPA,12.0 OZ.,1597,375
Russian Imperial Stout,12.0 oz,1598,452
American Double / Imperial IPA,16.0 oz,1599,211
Scottish Ale,12.0 oz,1600,377
American Pale Ale (APA),19.2 oz.,1601,453
American Pale Ale (APA),12.0 oz.,1602,1
American White IPA,12.0 oz,1603,454
American Pale Ale (APA),12.0 oz,1604,20
American Pale Ale (APA),12.0 oz.,1605,1
American IPA,12.0 oz. Alumi-Tek,1606,73
American Dark Wheat Ale,12.0 oz,1607,455
Irish Red Ale,16.0 ounce,1608,343
American Pale Ale (APA),16.0 ounce,1609,150
Kölsch,16.0 oz.,1610,240
English Bitter,16.0 ounce,1611,456
American Porter,16.0 oz.,1612,102
American Pale Ale (APA),12.0 oz.,1613,1
American IPA,12.0 oz,1614,35
American Pale Lager,12.0 oz,1615,0
American Pale Ale (APA),12.0 oz.,1616,1
American Brown Ale,12.0 oz.,1617,146
Kölsch,12.0 ounce,1618,275
American Pilsner,12.0 OZ.,1619,66
American Pale Wheat Ale,12.0 oz.,1620,36
Light Lager,12.0 ounce,1621,423
American Pilsner,12.0 oz.,1622,245
American IPA,12.0 oz.,1623,23
American IPA,12.0 ounce,1624,2
American Pale Wheat Ale,12.0 ounce,1625,112
German Pilsener,12.0 oz,1626,156
American Brown Ale,12.0 oz,1627,33
American Blonde Ale,12.0 oz.,1628,29
American Black Ale,12.0 oz.,1629,34
American IPA,12.0 ounce,1630,2
American Pale Ale (APA),12.0 oz.,1631,1
American IPA,12.0 oz.,1632,23
American Pale Lager,12.0 OZ.,1633,367
American Pale Wheat Ale,12.0 ounce,1634,112
Czech Pilsener,12.0 oz. Alumi-Tek,1635,394
American Pale Ale (APA),12.0 oz,1636,20
American Pale Wheat Ale,12.0 ounce,1637,112
American Pale Wheat Ale,12.0 oz,1638,74
American Pale Wheat Ale,12.0 oz,1639,74
American Pale Lager,16.0 oz.,1640,413
American Amber / Red Ale,16.0 oz.,1641,215
Dubbel,16.0 oz.,1642,201
American IPA,16.0 oz. Alumi-Tek,1643,99
American IPA,12.0 oz.,1644,23
American Pale Ale (APA),16.0 oz.,1645,56
American Amber / Red Ale,16.0 oz,1646,142
American IPA,12.0 oz.,1647,23
Milk / Sweet Stout,12.0 oz.,1648,457
American Pale Ale (APA),12.0 ounce,1649,11
Chile Beer,16.0 oz,1650,458
American Black Ale,16.0 ounce,1651,212
Fruit / Vegetable Beer,16.0 oz.,1652,207
American Blonde Ale,16.0 oz.,1653,178
American Porter,16.0 oz,1654,205
American Dark Wheat Ale,16.0 oz,1655,459
American Amber / Red Ale,16.0 ounce,1656,189
American IPA,16.0 ounce,1657,37
American Amber / Red Ale,16.0 oz.,1658,215
American IPA,12.0 oz.,1659,23
American Pale Ale (APA),12.0 ounce,1660,11
American IPA,16.0 oz,1661,43
American Amber / Red Ale,16.0 oz,1662,142
American IPA,16.0 ounce,1663,37
American Pilsner,12.0 OZ.,1664,66
American Pale Ale (APA),12.0 ounce,1665,11
American Barleywine,12.0 ounce,1666,460
American IPA,12.0 oz.,1667,23
American Amber / Red Ale,12.0 oz.,1668,30
American Pale Wheat Ale,12.0 OZ.,1669,425
Munich Helles Lager,12.0 oz.,1670,104
Munich Dunkel Lager,12.0 ounce,1671,461
Czech Pilsener,12.0 oz.,1672,138
American Pale Ale (APA),12.0 OZ.,1673,69
Czech Pilsener,12.0 oz.,1674,138
American Pale Wheat Ale,12.0 oz.,1675,36
Hefeweizen,12.0 oz.,1676,186
Hefeweizen,16.0 oz.,1677,381
Belgian Pale Ale,12.0 oz,1678,462
American Porter,12.0 oz,1679,98
Munich Helles Lager,12.0 ounce,1680,322
American Pale Ale (APA),12.0 OZ.,1681,69
Gose,12.0 oz.,1682,76
Witbier,12.0 oz.,1683,108
American Black Ale,12.0 OZ.,1684,135
American Blonde Ale,12.0 oz,1685,32
English Pale Ale,12.0 oz.,1686,274
German Pilsener,12.0 oz,1687,156
American Blonde Ale,12.0 oz.,1688,29
American Blonde Ale,12.0 oz.,1689,29
American Brown Ale,12.0 oz,1690,33
American IPA,12.0 oz.,1691,23
Czech Pilsener,12.0 oz.,1692,138
American Blonde Ale,16.0 oz.,1693,178
American IPA,16.0 oz,1694,43
Belgian IPA,16.0 oz.,1695,195
American Porter,16.0 oz.,1696,102
Rye Beer,16.0 ounce,1697,148
Cider,16.0 ounce,1698,397
American IPA,16.0 oz.,1699,39
American IPA,12.0 oz.,1700,23
American Amber / Red Ale,12.0 oz,1701,154
Mead,16.0 ounce,1702,463
Mead,16.0 oz.,1703,464
Mead,16.0 ounce,1704,463
Witbier,16.0 ounce,1705,204
American Pale Ale (APA),12.0 ounce,1706,11
Russian Imperial Stout,12.0 oz.,1707,451
American IPA,16.0 ounce,1708,37
American Double / Imperial IPA,12.0 OZ.,1709,375
American Blonde Ale,16.0 oz.,1710,178
American IPA,16.0 oz.,1711,39
American Stout,16.0 oz.,1712,144
American Stout,16.0 oz.,1713,144
American Porter,16.0 oz.,1714,102
American Blonde Ale,16.0 oz.,1715,178
Vienna Lager,16.0 oz.,1716,410
American Pale Ale (APA),16.0 oz.,1717,56
American Amber / Red Ale,12.0 oz,1718,154
American Blonde Ale,12.0 oz,1719,32
American Pale Ale (APA),12.0 ounce,1720,11
Belgian Pale Ale,12.0 ounce,1721,286
Herbed / Spiced Beer,12.0 ounce,1722,465
Herbed / Spiced Beer,12.0 ounce,1723,465
Märzen / Oktoberfest,12.0 oz.,1724,111
American Porter,12.0 oz.,1725,113
American IPA,12.0 oz,1726,35
Witbier,12.0 ounce,1727,90
American Amber / Red Ale,12.0 oz.,1728,30
American Pale Ale (APA),12.0 oz,1729,20
American Amber / Red Ale,12.0 oz.,1730,30
American Porter,12.0 oz.,1731,113
Märzen / Oktoberfest,12.0 oz. Alumi-Tek,1732,466
American Pale Ale (APA),12.0 oz.,1733,1
American IPA,12.0 oz.,1734,23
American Blonde Ale,12.0 oz.,1735,29
Cream Ale,16.0 oz. Alumi-Tek,1736,467
Gose,16.0 oz,1737,96
American Pale Ale (APA),16.0 oz.,1738,56
Witbier,16.0 ounce,1739,204
American Amber / Red Ale,16.0 oz.,1740,215
American IPA,16.0 ounce,1741,37
American Pale Ale (APA),16.0 oz,1742,85
American IPA,12.0 oz,1743,35
Märzen / Oktoberfest,12.0 OZ.,1744,468
Pumpkin Ale,12.0 oz. Alumi-Tek,1745,110
American IPA,12.0 oz,1746,35
Oatmeal Stout,12.0 oz. Alumi-Tek,1747,80
American White IPA,12.0 oz.,1748,163
American Pale Ale (APA),12.0 oz.,1749,1
American Amber / Red Ale,12.0 OZ.,1750,101
American Amber / Red Ale,12.0 oz.,1751,30
American Blonde Ale,12.0 oz. Alumi-Tek,1752,174
Scottish Ale,12.0 oz,1753,377
Witbier,12.0 oz.,1754,108
American Amber / Red Lager,12.0 oz.,1755,51
American IPA,12.0 ounce,1756,2
Fruit / Vegetable Beer,12.0 ounce,1757,21
American Amber / Red Lager,16.0 oz,1758,316
Czech Pilsener,16.0 oz.,1759,358
American Porter,16.0 oz.,1760,102
American Adjunct Lager,16.0 ounce,1761,304
American Amber / Red Ale,16.0 oz. Alumi-Tek,1762,312
Milk / Sweet Stout,16.0 oz.,1763,427
American IPA,16.0 ounce,1764,37
American Adjunct Lager,12.0 oz. Alumi-Tek,1765,469
American Amber / Red Ale,16.0 oz,1766,142
American Strong Ale,16.0 oz.,1767,363
American IPA,16.0 ounce,1768,37
American Stout,16.0 OZ.,1769,390
Saison / Farmhouse Ale,12.0 ounce,1770,143
Belgian Strong Pale Ale,12.0 ounce,1771,470
American Pale Ale (APA),12.0 oz.,1772,1
English Brown Ale,12.0 oz.,1773,330
American Black Ale,12.0 oz,1774,248
American IPA,12.0 oz.,1775,23
Kölsch,12.0 oz.,1776,251
American Amber / Red Ale,12.0 oz,1777,154
American Black Ale,12.0 oz.,1778,34
American Amber / Red Lager,12.0 oz.,1779,51
American Black Ale,16.0 oz.,1780,229
American Amber / Red Ale,16.0 ounce,1781,189
Witbier,12.0 oz,1782,234
American IPA,12.0 oz.,1783,23
American Pale Ale (APA),12.0 oz.,1784,1
Kölsch,12.0 ounce,1785,275
American Porter,12.0 oz.,1786,113
Winter Warmer,16.0 ounce,1787,349
American Double / Imperial IPA,16.0 oz,1788,211
Märzen / Oktoberfest,12.0 oz.,1789,111
American Blonde Ale,12.0 ounce,1790,147
American Pale Wheat Ale,12.0 oz.,1791,36
Belgian IPA,12.0 oz,1792,471
American Amber / Red Ale,12.0 OZ.,1793,101
Hefeweizen,12.0 oz.,1794,186
American IPA,12.0 ounce,1795,2
American Porter,12.0 oz.,1796,113
American Pale Ale (APA),12.0 oz,1797,20
Herbed / Spiced Beer,12.0 oz.,1798,472
Fruit / Vegetable Beer,12.0 ounce,1799,21
American Pale Ale (APA),12.0 ounce,1800,11
American IPA,12.0 oz,1801,35
Hefeweizen,12.0 oz.,1802,186
American Pale Ale (APA),12.0 ounce,1803,11
American Amber / Red Ale,12.0 oz.,1804,30
Saison / Farmhouse Ale,12.0 ounce,1805,143
American Black Ale,12.0 oz,1806,248
American Double / Imperial IPA,16.0 ounce,1807,53
American Brown Ale,12.0 ounce,1808,109
English India Pale Ale (IPA),16.0 ounce,1809,173
Saison / Farmhouse Ale,12.0 ounce,1810,143
American Black Ale,12.0 oz,1811,248
Irish Red Ale,12.0 oz.,1812,188
Märzen / Oktoberfest,12.0 oz.,1813,111
Russian Imperial Stout,12.0 oz.,1814,451
German Pilsener,12.0 oz.,1815,106
American IPA,12.0 oz.,1816,23
American Blonde Ale,16.0 oz.,1817,178
Cider,12.0 oz,1818,301
Cider,12.0 oz.,1819,13
Cider,12.0 oz.,1820,13
American Pale Wheat Ale,12.0 oz,1821,74
Schwarzbier,12.0 oz.,1822,123
American IPA,12.0 ounce,1823,2
American Brown Ale,12.0 oz.,1824,146
Hefeweizen,12.0 oz. Alumi-Tek,1825,378
Munich Helles Lager,12.0 oz.,1826,104
Fruit / Vegetable Beer,12.0 oz.,1827,22
American IPA,12.0 oz.,1828,23
Cider,16.0 oz,1829,253
Cider,16.0 oz,1830,253
American IPA,16.0 oz.,1831,39
American Porter,16.0 ounce,1832,93
American Strong Ale,16.0 oz,1833,365
English Brown Ale,16.0 ounce,1834,473
American Amber / Red Ale,16.0 ounce,1835,189
American Pale Ale (APA),16.0 oz.,1836,56
American IPA,16.0 oz.,1837,39
American Black Ale,12.0 oz.,1838,34
English Pale Ale,12.0 ounce,1839,474
American IPA,12.0 oz.,1840,23
American Pale Wheat Ale,12.0 oz,1841,74
Pumpkin Ale,12.0 oz.,1842,352
American Blonde Ale,12.0 oz.,1843,29
German Pilsener,12.0 ounce,1844,387
American IPA,12.0 oz.,1845,23
Maibock / Helles Bock,12.0 oz.,1846,382
Rye Beer,12.0 oz.,1847,475
American Pale Ale (APA),16.0 oz.,1848,56
American Pale Wheat Ale,12.0 ounce,1849,112
Czech Pilsener,12.0 oz.,1850,138
American IPA,16.0 oz.,1851,39
American Pale Ale (APA),12.0 oz. Alumi-Tek,1852,67
Cider,16.0 oz,1853,253
American Brown Ale,12.0 oz.,1854,146
American Amber / Red Ale,12.0 oz.,1855,30
American IPA,12.0 oz,1856,35
Baltic Porter,12.0 oz. Alumi-Tek,1857,476
Gose,12.0 oz,1858,477
Belgian Pale Ale,12.0 OZ.,1859,478
Fruit / Vegetable Beer,16.0 ounce,1860,302
American IPA,24.0 ounce,1861,404
American Pale Ale (APA),12.0 oz.,1862,1
American Double / Imperial IPA,12.0 oz.,1863,25
American Strong Ale,12.0 ounce,1864,371
American IPA,16.0 OZ.,1865,71
German Pilsener,16.0 ounce,1866,277
Cream Ale,16.0 oz.,1867,259
Rye Beer,16.0 oz.,1868,130
American IPA,16.0 oz,1869,43
Baltic Porter,12.0 oz. Alumi-Tek,1870,476
American Brown Ale,16.0 oz.,1871,133
American Pale Wheat Ale,16.0 oz.,1872,132
Saison / Farmhouse Ale,16.0 ounce,1873,198
American Double / Imperial IPA,12.0 oz,1874,3
American Stout,16.0 OZ.,1875,390
Pumpkin Ale,16.0 ounce,1876,58
German Pilsener,16.0 ounce,1877,277
Cream Ale,16.0 oz.,1878,259
Rye Beer,16.0 oz.,1879,130
American IPA,16.0 ounce,1880,37
American IPA,12.0 oz,1881,35
Doppelbock,12.0 oz,1882,479
American IPA,12.0 OZ.,1883,4
American Stout,12.0 ounce,1884,157
American Stout,12.0 oz.,1885,19
Foreign / Export Stout,12.0 oz,1886,480
American Stout,12.0 oz.,1887,19
American Pale Lager,12.0 ounce,1888,121
American Blonde Ale,12.0 oz.,1889,29
American Pale Ale (APA),12.0 oz,1890,20
Extra Special / Strong Bitter (ESB),12.0 oz,1891,481
American IPA,12.0 oz.,1892,23
American Amber / Red Ale,12.0 oz,1893,154
American IPA,12.0 ounce,1894,2
Belgian IPA,24.0 ounce,1895,482
Tripel,24.0 ounce,1896,483
English Pale Ale,12.0 ounce,1897,474
American IPA,12.0 oz. Alumi-Tek,1898,73
Winter Warmer,12.0 oz,1899,484
Grisette,12.0 ounce,1900,485
American IPA,12.0 oz.,1901,23
Munich Helles Lager,12.0 ounce,1902,322
Winter Warmer,12.0 oz.,1903,176
American Double / Imperial IPA,12.0 oz.,1904,25
Märzen / Oktoberfest,12.0 oz. Alumi-Tek,1905,466
American IPA,12.0 oz.,1906,23
Munich Dunkel Lager,12.0 oz. Alumi-Tek,1907,486
Hefeweizen,12.0 OZ.,1908,424
German Pilsener,12.0 ounce,1909,387
American Pale Ale (APA),12.0 oz.,1910,1
American IPA,12.0 oz,1911,35
American Amber / Red Ale,12.0 oz.,1912,30
Saison / Farmhouse Ale,12.0 oz,1913,325
American Pilsner,12.0 ounce,1914,357
American Pale Ale (APA),12.0 oz. Alumi-Tek,1915,67
Foreign / Export Stout,12.0 oz.,1916,126
English Brown Ale,12.0 oz.,1917,330
Vienna Lager,12.0 oz,1918,487
American Pale Ale (APA),12.0 oz.,1919,1
American IPA,12.0 oz.,1920,23
Kölsch,12.0 ounce,1921,275
American Double / Imperial IPA,12.0 oz. Alumi-Tek,1922,488
American IPA,12.0 OZ.,1923,4
American IPA,12.0 oz,1924,35
Märzen / Oktoberfest,16.0 oz,1925,489
American Double / Imperial IPA,12.0 oz,1926,3
American Double / Imperial Stout,12.0 OZ.,1927,490
Saison / Farmhouse Ale,16.0 oz.,1928,220
Witbier,16.0 oz,1929,335
Maibock / Helles Bock,12.0 oz,1930,491
American Barleywine,12.0 OZ.,1931,492
American Blonde Ale,12.0 oz. Alumi-Tek,1932,174
American Pale Ale (APA),12.0 oz.,1933,1
American Pale Wheat Ale,12.0 oz.,1934,36
American Porter,12.0 OZ.,1935,493
American Strong Ale,16.0 oz.,1936,363
American IPA,12.0 ounce,1937,2
Bock,16.0 ounce,1938,412
American IPA,16.0 oz. Alumi-Tek,1939,99
Saison / Farmhouse Ale,16.0 oz.,1940,220
Kölsch,16.0 oz.,1941,240
Light Lager,12.0 oz.,1942,273
Czech Pilsener,16.0 oz.,1943,358
American IPA,16.0 ounce,1944,37
American IPA,16.0 oz,1945,43
American IPA,16.0 oz.,1946,39
Extra Special / Strong Bitter (ESB),12.0 oz,1947,481
American Pale Ale (APA),12.0 oz.,1948,1
American Blonde Ale,12.0 OZ.,1949,114
American Amber / Red Ale,16.0 oz,1950,142
Oatmeal Stout,16.0 oz,1951,278
American Blonde Ale,16.0 oz. Alumi-Tek,1952,92
American Pale Ale (APA),16.0 ounce,1953,150
American Pale Ale (APA),12.0 oz,1954,20
Saison / Farmhouse Ale,12.0 ounce,1955,143
Bière de Garde,12.0 oz.,1956,494
American Double / Imperial IPA,12.0 oz.,1957,25
