article_title,article_jissue,original_index,unique_index,count
A randomized controlled trial of paracetamol versus morphine for the treatment of acute painful crisis of sickle cell disease,5.0,582,582,1.0
Puberty suppression in adolescents with gender identity disorder: a prospective follow-up study,8.0,583,583,1.0
A meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder.,0.0,584,584,1.0
Group physiotherapy provides similar outcomes for participants after joint replacement surgery as 1-to-1 physiotherapy: a sequential cohort study.,10.0,585,585,1.0
Sevoflurane postconditioning converts persistent ventricular fibrillation into regular rhythm.,9.0,586,586,1.0
Frontal and sagittal plane analyses of the stair climbing task in healthy adults aged over 40 years: what are the challenges compared to level walking?,10.0,587,587,1.0
DPYD IVS14+1G>A and 2846A>T genotyping for the prediction of severe fluoropyrimidine-related toxicity: A meta-analysis,11.0,588,588,1.0
[Methicillin-resistant Staphylococcus aureus forming the fried egg appearance colonies isolated from a patient with septicemia],10.0,589,589,1.0
Support for nutrition from the older Americans act programs: a clarification on its 40th anniversary,1.0,590,590,1.0
Measures of exposure to the Well London Phase-1 intervention and their association with health well-being and social outcomes,7.0,591,591,1.0
The Effects of Cognitive Coaching and Nonverbal Classroom Management on Teacher Efficacy and Perceptions of School Culture.,0.0,592,592,1.0
Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study,0.0,593,593,1.0
Effects of Test Administrator Characteristics on Achievement Test Scores,0.0,594,594,1.0
Distal radius fracture arthroscopic intraarticular displacement measurement after open reduction and internal fixation from a volar approach,4.0,595,595,1.0
Age-related driving disorders: screening in hospitals and outpatients settings.,4.0,596,596,1.0
[Effect of a dialysis solution with icodextrin on ultrafiltration and selected metabolic parameters in patients treated with peritoneal dialysis],9.0,597,597,1.0
Evidence based practice and advanced competencies in a MHS-CLS program,4.0,598,598,1.0
Effect of QVA149 on lung volumes and exercise tolerance in COPD patients: the BRIGHT study,4.0,599,599,1.0
Disseminated lymphoma with large granular lymphocyte morphology diagnosed in a horse via abdominal fluid and transtracheal wash cytology.,3.0,600,600,1.0
Outcome of patients with severe PH due to lung disease with     and without targeted therapy,5.0,601,601,1.0
A comprehensive assessment of maternal deaths in Argentina: translating multicentre collaborative research into action.,8.0,602,602,1.0
"Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.",11.0,603,603,1.0
Overlap of food addiction and substance use disorders definitions: analysis of animal and human studies.,,604,604,
Efficacy of prolonged administration of intravenous erythromycin in an ambulatory setting as treatment of severe gastroparesis: one center's experience,2.0,605,605,1.0
Bound for success: a systematic review of constraint-induced movement therapy in children with cerebral palsy supports improved arm and hand use (Structured abstract),11.0,606,606,1.0
"Optical turbulence: weak turbulence, condensates and collapsing filaments in the nonlinear Schr̦dinger equation",1.0,607,607,1.0
"[Progress in joint international research of demographic and geographic distribution of insignificant, middle and high-grade tuberculin skin sensitivity].",1.0,608,608,1.0
Efficacy of Class 1 elastic compression stockings in the early stages of chronic venous disease. A comparative study.,4.0,609,609,1.0
The future of JAK inhibition in myelofibrosis and beyond,5.0,610,610,1.0
Reinventing the wheel? Or the emperor's new clothes.,5.0,611,611,1.0
A study of out-of-hospital cardiac arrests in northeastern Minnesota,4.0,612,612,1.0
"The Chinese medicine construct ""stagnation"" in mind-body connection mediates the effects of mindfulness training on depression and anxiety",4.0,613,613,1.0
Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,5.0,614,614,1.0
Modelling the effects of subjective and objective decision making in scientific peer review.,7486.0,615,615,1.0
"Exercise-induced flow limitation, dynamic hyperinflation and exercise capacity in patients with bronchial asthma.",3.0,616,616,1.0
The combined role of serotonin and interleukin-6 as biomarker for autism,0.0,617,617,1.0
General public's and physicians' perception of health risk associated with radon exposure in the state of Azad Jammu and Kashmir,4.0,618,618,1.0
Cost-effectiveness of statins for primary prevention in patients newly diagnosed with type 2 diabetes in the Netherlands,2.0,619,619,1.0
Women's sexuality in the South African constitutional court,3.0,620,620,1.0
[Medical and psychosocial care needs of cancer patients: a systematic review comparing urban and rural provisions].,31.0,621,621,1.0
"A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain",0.0,622,622,1.0
Efficacy and safety of NMDA receptor antagonists augmentation therapy for schizophrenia: An updated meta-analysis of randomized placebo-controlled trials,12.0,623,623,1.0
"Taste, olfactory and food texture reward processing in the brain and obesity",4.0,624,624,1.0
Prefrontal hypoactivation and recovery in insomnia.,9.0,625,625,1.0
Determinants of drug response in a cisplatin-resistant human lung cancer cell line.,5.0,626,626,1.0
"Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis, a pre-cancerous condition of oral cancer.",12.0,627,627,1.0
Improving end-of-life care for patients with chronic obstructive pulmonary disease.,6.0,628,628,1.0
Diabetes and other comorbidities in breast cancer survival by race/ethnicity: The California breast cancer survivorship consortium (CBCSC),2.0,629,629,1.0
Effect of e-health on medical expenditures of outpatients with lifestyle-related diseases,8.0,630,630,1.0
Fiscal impact of a potential legislative ban on second trimester elective terminations for prenatally diagnosed abnormalities (Structured abstract),5.0,631,631,1.0
Phase III randomized sequential open-label study to evaluate the efficacy and safety of sorafenib followed by pazopanib vs pazopanib followed by sorafenib in the treatment of advanced / metastatic renal cell carcinoma-design of the SWITCH-2 Study (NCT01613846),0.0,632,632,1.0
Epidemiology of sporting injuries among elite soccer players: A longitudinal study,0.0,633,633,1.0
Mental health symptoms in a population based survey of minority farm operators,0.0,634,634,1.0
Motor cortex stimulation in patients with post-stroke pain: conscious somatosensory response and pain control,2.0,635,635,1.0
Antimicrobial resistance of H. pylori isolates in alaska native persons from 2000-2008: Results from the alaska sentinel surveillance project,4.0,636,636,1.0
Results of the phase II NCRI CLL206 trial of alemtuzumab in combination with high-dose methylprednisolone for high-risk (17P-) CLL,0.0,637,637,1.0
Timely access to specialist medical oncology services closer to home for rural patients: experience from the Townsville Teleoncology Model.,4.0,638,638,1.0
Bioavailability and tolerability of intranasal diazepam in healthy adult volunteers,0.0,639,639,1.0
Protein kinase CK-1 inhibitors as new potential drugs for amyotrophic lateral sclerosis.,6.0,640,640,1.0
The Prevalence and Age-Related Characteristics of Pain in a Sample of Women Veterans Receiving Primary Care,7.0,641,641,1.0
Experiences of African-American Women with Smartphone-Based Ecological Momentary Assessment.,,642,642,
"Letter by Raposeiras-Roubin et al regarding article, ""mortality associated with atrial fibrillation in patients with myocardial infarction: a systematic review and meta-analysis"".",18.0,643,643,1.0
Preferential expression of T-cell receptor V beta-chains in atopic eczema.,3.0,644,644,1.0
Evidence-based evaluation of therapeutic measures for amyotrophic lateral sclerosis. [Chinese],0.0,645,645,1.0
Enhanced meta-analysis of acetylcholine binding protein structures reveals conformational signatures of agonism in nicotinic receptors.,3.0,646,646,1.0
Factors associated with orthodontic patient compliance with intraoral elastic and headgear wear.,4.0,647,647,1.0
"A 23-year-old Hispanic migrant fieldworker who presents with a painful rash on his limbs, trunk, and face. Guttate psoriasis.",1.0,648,648,1.0
Influence of two handwashing frequencies on reduction in colonizing flora with three handwashing products used by health care personnel.,2.0,649,649,1.0
Impact of diet restriction and/or resistance training on physical capacity in obese older women...7th World Congress on Aging and Physical Activity,0.0,650,650,1.0
Meta-analysis of the influence of I148M variant of patatin-like phospholipase domain containing 3 gene (PNPLA3) on the susceptibility and histological severity of nonalcoholic fatty liver disease.,6.0,651,651,1.0
"Prevalence, molecular characterization, and phenotypic confirmation of extended-spectrum beta-lactamases in Escherichia coli, Klebsiella pneumoniae, and Klebsiella oxytoca at the Radboud University Nijmegen Medical Centre in The Netherlands",1.0,652,652,1.0
Diagnosis of Stroke-Associated Pneumonia: Recommendations From the Pneumonia in Stroke Consensus Group.,8.0,653,653,1.0
A narrative review of surgical resident duty hour limits: where do we go from here?,1.0,654,654,1.0
FACTORS ASSOCIATED WITH SELF-WORTH IN YOUNG PEOPLE WITH PHYSICAL DISABILITIES,3.0,655,655,1.0
Different renal toxicity profiles in the association of cyclosporine and tacrolimus with sirolimus in rats.,10.0,656,656,1.0
A meta-analysis of alcohol drinking and oral and pharyngeal cancers. Part 2: results by subsites.,10.0,657,657,1.0
Genetic overlap between diagnostic subtypes of ischemic stroke.,3.0,658,658,1.0
Serum S100B represents a new biomarker for mood disorders.,11.0,659,659,1.0
Serial postoperative awake and sleep EEG and long-term seizure outcome after anterior temporal lobectomy for hippocampal sclerosis.,5.0,660,660,1.0
Remote area indigenous psychiatry - Reflections on nine years as a visiting psychiatrist,0.0,661,661,1.0
Right ventricular outflow tract reconstruction with decellularized porcine xenografts in patients with congenital heart disease.,3.0,662,662,1.0
"Pooled analysis of non-union, re-operation, infection, and approach related complications after anterior odontoid screw fixation.",7.0,663,663,1.0
"Accuracy, risk and the intrinsic value of diagnostic imaging: a review of the cost-utility literature.",5.0,664,664,1.0
Swabbing Surgical Sites Does Not Improve the Detection of Staphylococcus aureus Carriage in High-Risk Surgical Patients,0.0,665,665,1.0
Effect of chewing gun on the promotion of intestinal function recovery after colorectal cancer surgery: A meta-analysis. [Chinese],5.0,666,666,1.0
School Climate and Students' Early Mathematics Learning: Another Search for Contextual Effects.,2.0,667,667,1.0
Chronic hypokalemia due to excessive cola consumption: a case report,1.0,668,668,1.0
Constructing differences: A qualitative analysis of teachers�۪ perspectives on linguistic and cultural diversity,2.0,669,669,1.0
"Wirkungen und Risiken neuartiger psychoaktiver Substanzen: Fehldeklaration und Verkauf als ""Badesalze"", ""Spice"" und ""Forschungschemikalien""",9.0,670,670,1.0
[New guidelines for bariatric surgery care: practical implications],288.0,671,671,1.0
Inosiplex for treatment of alopecia areata: A randomized placebo-controlled study,5.0,672,672,1.0
Fungal flora in indoor and outdoor air of different residential houses in Tekirdag City (Turkey): seasonal distribution and relationship with climatic factors,1.0,673,673,1.0
The psychiatric comorbidity of epilepsy.,4.0,674,674,1.0
Obesity and obstructive sleep apnea: Carry the torch of awareness,2.0,675,675,1.0
Aerobic fitness testing in patients with chronic low back pain: which test is best?,0.0,676,676,1.0
"Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina",0.0,677,677,1.0
A review of cyanoacrylate liquid skin protectant and its efficacy on pedal fissures,4.0,678,678,1.0
The special status of actions in causal reasoning in rats.,3.0,679,679,1.0
How Much Trash Do You Trash?,7.0,680,680,1.0
"Implementing pharmacogenetics: Pharmarray, acodose and pharmacogenetic consultation",0.0,681,681,1.0
Designing in the social context: Using the social contextual model of health behavior change to develop a tobacco control intervention for teachers in India,1.0,682,682,1.0
Association of interleukin-10 cytokine expression status with HLA non-DRB1*02 and Mycobacterium bovis BCG scar-negative status in south Indian pulmonary tuberculosis patients.,9.0,683,683,1.0
Abstracts 15,0.0,684,684,1.0
"Outcome of Er,Cr:YSGG laser-assisted treatment of teeth with apical periodontitis: a blind randomized clinical trial.",1.0,685,685,1.0
Causes of death in Tunisia: Estimates of years of life lost. [French],4.0,686,686,1.0
Anterior olecranon fracture-dislocations of the elbow in children. A report of four cases,6.0,687,687,1.0
Changes in the temporomandibular joint disc position after orthognathic surgery.,1.0,688,688,1.0
[Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)],0.0,689,689,1.0
Isolated cerebellar involvement in a case of posterior reversible leukoencephalopathy.,11.0,690,690,1.0
The rocky road to rational prescribing,0.0,691,691,1.0
Defining interaction interfaces important for the establishment of cell polarity in Drosophila neuroblasts,1.0,692,692,1.0
The exercise prescription: focus on vascular mechanisms.,3.0,693,693,1.0
Child social skills training in developmental crime prevention: effects on antisocial behavior and social competence.,3.0,694,694,1.0
Soda and cell aging: associations between sugar-sweetened beverage consumption and leukocyte telomere length in healthy adults from the National Health and Nutrition Examination Surveys,12.0,695,695,1.0
Unsuspected ethanol ingestion through soft drinks and flavored beverages,5.0,696,696,1.0
Altering existing buildings in the UK,12.0,697,697,1.0
The concept of neurosis in a cross-cultural perspective,0.0,698,698,1.0
internetQueryObject to Partner With DataFlux; iQO to Provide Enhanced Application Scalability through QueryObject System; DataFlux to Enhance Data Accuracy through dfPower,0.0,699,699,1.0
Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,0.0,700,700,1.0
Lung function efficacy of olodaterol qd delivered via respimat� vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract],0.0,701,701,1.0
Antenatal lower genital tract infection screening and treatment programs for preventing preterm delivery,0.0,702,702,1.0
Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule.,0.0,703,703,1.0
Bladder cancer and urothelial impairment: the role of TRPV1 as potential drug target.,,704,704,
Effect of a cooling hood on physiological responses to work in a hot environment,1.0,705,705,1.0
A novel approach to control hyperglycemia in type 2 diabetes: sodium glucose co-transport (SGLT) inhibitors: systematic review and meta-analysis of randomized trials.,4.0,706,706,1.0
"Obesity, weight change and risks for hypertension, diabetes and hypercholesterolemia in Japanese men.",7.0,707,707,1.0
Delayed costs of suppressed pain.,2.0,708,708,1.0
Osteoarthritis of the thumb carpometacarpal joint in women and occupational risk factors: a case-control study,4.0,709,709,1.0
"A comparative outcome study of body awareness therapy, feldenkrais, and conventional physiotherapy for patients with nonspecific musculoskeletal disorders: Changes in psychological symptoms, pain, and self-image",2.0,710,710,1.0
Use of implantable cardioverter-defibrillators for primary prevention in older patients: A systematic literature review and meta-analysis.,0.0,711,711,1.0
Incidence of and risk factors for motor neurone disease in UK women: a prospective study.,,712,712,
Burkholderia cepacia complex infection in a case of sinonasal polyposis recurrence without cystic fibrosis,3.0,713,713,1.0
Pilot randomized controlled trial of web-based acceptance and commitment therapy for smoking cessation.,10.0,714,714,1.0
Anti-hypertensive medicines prescribing for medical outpatients in a premier teaching hospital in Nigeria: a probable shift of paradigm.,2.0,715,715,1.0
"Agitation, aggression, and disinhibition syndromes after traumatic brain injury",4.0,716,716,1.0
The effect of lymphatico-venous anastomosis for an intractable ulcer at the lower leg in a marked obese patient.,1.0,717,717,1.0
Effects of multifunctional fabrics on cardiac autonomic tone and psychological state,8.0,718,718,1.0
Manual versus electric vacuum aspiration for first-trimester abortion: a systematic review,1.0,719,719,1.0
Behaviour Research and Therapy Outcome predictors in guided and unguided self-help for social anxiety disorder,1.0,720,720,1.0
Probiotics for the treatment of upper and lower respiratory-tract infections in children: systematic review based on randomized clinical trials,5.0,721,721,1.0
"Bradykinin is a mediator, but unlikely a trigger, of antiarrhythmic effects of ischemic preconditioning",1.0,722,722,1.0
The NADPH oxidase-mediated production of hydrogen peroxide (H(2)O(2)) and resistance to oxidative stress in the necrotrophic pathogen Alternaria alternata of citrus.,8.0,723,723,1.0
Review of epidemiology and management of atrial fibrillation in developing countries.,0.0,724,724,1.0
"William H. Taft High School Project HOLA, 1985-1986. OEA Evaluation Report.",0.0,725,725,1.0
The lung cancer management guidelines 2012.,0.0,726,726,1.0
Special problems in the prosthetic rehabilitation of deep bite,2.0,727,727,1.0
The potential impact of bias in studies of residential exposure to magnetic fields and childhood leukemia,9.0,728,728,1.0
Changes of interaction during the development of a mathematical learning environment.,5.0,729,729,1.0
An internet-based program to enhance motivation to change in females with symptoms of an eating disorder: A randomized controlled trial,0.0,730,730,1.0
Air pollution and risk of urinary bladder cancer in a case-control study in Spain,1.0,731,731,1.0
Remission rates following antidepressant therapy with bupropion or selective serotonin reuptake inhibitors: a meta-analysis of original data from 7 randomized controlled trials.,8.0,732,732,1.0
Adaptive convex combination approach for the identification of improper quaternion processes,1.0,733,733,1.0
Inappropriate use of emergency services: a systematic review of prevalence and associated factors.,1.0,734,734,1.0
Use of episiotomy in the United States,1.0,735,735,1.0
"The Diversion of Ultram, Ultracet, and generic tramadol HCL.",2.0,736,736,1.0
Aberrances in autonomic cardiovascular regulation in fibromyalgia syndrome and their relevance for clinical pain reports,5.0,737,737,1.0
Sorafenib and pegylated interferon-alpha-2b in advanced metastatic melanoma: A multicenter phase II DeCOG trial,15.0,738,738,1.0
Dispersal of methicillin-resistant Staphylococcus epidermidis by staff in an operating suite for thoracic and cardiovascular surgery: relation to skin carriage and clothing,2.0,739,739,1.0
Psychometric validation of the Growth and Empowerment Measure (GEM) applied with Indigenous Australians,9.0,740,740,1.0
Alveolar soft part sarcoma of the uterine corpus. Report of two cases and review of the literature,1.0,741,741,1.0
It's Time Practitioners Help Families Clear the Air of Secondhand Smoke: A Commentary on Pyle et al. (2005),0.0,742,742,1.0
Hemostatic resuscitation for massive bleeding: The paradigm of plasma and platelets - A review of the current literature.,0.0,743,743,1.0
Studies on the biological activity of two strains of BCG: influence of production conditions.,,744,744,
Myocardial fibrosis by T1 mapping is an early indicator of severe cardiac allograft vasculopathy,22.0,745,745,1.0
Follistatin-like protein 1 regulates chondrocyte proliferation and chondrogenic differentiation of mesenchymal stem cells,0.0,746,746,1.0
Structural brain changes associated with antipsychotic treatment in schizophrenia      as revealed by voxel-based morphometric MRI: an activation likelihood estimation       meta-analysis.,0.0,747,747,1.0
"Insights in public health: taxing sugar sweetened beverages to improve public health: policy action in Hawai'i. Doctoral Health Policy Seminar, Spring 2013",8.0,748,748,1.0
[Evidence-based therapy guideline of the German Working Group on Obesity in Childhood and Adolescence].,5.0,749,749,1.0
The cost of national service frameworks,0.0,750,750,1.0
"Simple steps to fitness. Secrets of strength. Strength training is as important to weight loss and fitness as aerobic exercise is, but many people ignore it. Here's how to get started.",8.0,751,751,1.0
Homeplace and Housing in the Lives of Low-Income Urban African American Families,0.0,752,752,1.0
"Lack of association between the connexin 37 C1019T gene polymorphism and coronary artery disease in a Chinese population: Meta-analysis of 2,206 subjects.",3.0,753,753,1.0
[Effects of tobacco advertising regulations in various countries],12.0,754,754,1.0
Intensive glucose control in the management of diabetes mellitus and inpatient hyperglycemia,10.0,755,755,1.0
The value of breast self-examination: meta-analysis of the research literature.,5.0,756,756,1.0
Palliative sedation therapy in the last weeks of life: a literature review and recommendations for standards.,0.0,757,757,1.0
Understanding depression in palliative and end-of-life care,12.0,758,758,1.0
Inhaled anticholinergics and risk for acute urinary retention: A case-crossover and case-time-control study,7.0,759,759,1.0
Compartmentalization of Fas and Fas ligand may prevent auto- or paracrine apoptosis in epithelial cells,2.0,760,760,1.0
Rituximab-related viral infections in lymphoma patients.,7.0,761,761,1.0
Fetal lung volume measurements: determination with MR imaging--effect of various factors.,1.0,762,762,1.0
Intra-operative change of gastric ph during laparotomic cholecystectomy under general anaesthesia: A prospective case-control study,0.0,763,763,1.0
The CARE guidelines: consensus-based clinical case reporting guideline development.,10.0,764,764,1.0
Effect of a creative-bonding intervention on Taiwanese nursing students' self-transcendence and attitudes toward elders.,2.0,765,765,1.0
Fc receptor-like 3 (FCRL3) -169 C/T polymorphism and systemic lupus erythematosus: A meta-analysis.,0.0,766,766,1.0
[Indirect anastomoses for moyamoya disease].,9.0,767,767,1.0
Ulcer Healing After Peripheral Intervention.,,768,768,
Measuring the bright side of being blue: a new tool for assessing analytical rumination in depression.,11.0,769,769,1.0
[Mammographic density: a valid risk factor for breast cancer?].,9.0,770,770,1.0
High-dose sequential (HDS) chemotherapy for high-risk non-Hodgkin's lymphoma: long-term analysis and future developments.,,771,771,
Core symptom measures in cancer clinical trials.,7.0,772,772,1.0
Human papillomavirus infection and increased risk of HIV acquisition. A systematic review and meta-analysis.,17.0,773,773,1.0
Prevalence of different morphologic forms of the human tongue in young Finns.,2.0,774,774,1.0
Osteoporosis in men,2.0,775,775,1.0
Neurolymphatische Bahnen: neue wissenschaftliche Nachweise untermauern die Perrin-Technik,2.0,776,776,1.0
Long term follow-up of conservative treatment of severely traumatized maxillary incisors,4.0,777,777,1.0
Magnetic resonance imaging evaluation of bone marrow changes in obstructive sleep apnoea syndrome in adults,4.0,778,778,1.0
Pulpal response to a fluoride-releasing all-in-one resin bonding system.,3.0,779,779,1.0
Improvement of action tremor by chronic cortical stimulation,1.0,780,780,1.0
Validity of Rorschach Inkblot scores for discriminating psychopaths from non-psychopaths in forensic populations: a meta-analysis.,2.0,781,781,1.0
Use of a Brief Phone Call After ED Discharge,0.0,782,782,1.0
The Effects of Pre-Reading and Sharing Mechanisms on Learning with the Use of Annotations,2.0,783,783,1.0
[Occupational exposure to sevoflurane in pediatric operating rooms: the multi-point sampling method for risk assessment].,3.0,784,784,1.0
Impact of crizotinib on patient-reported symptoms and global quality of life (QoL) compared with chemotherapy in a phase III study of advanced alk-positive non-small cell lung cancer (NSCLC),0.0,785,785,1.0
A systematic review and meta-analysis of trials of treatment of depression from India,0.0,786,786,1.0
[The use of ethonium paste in the treatment of deep dental caries].,2.0,787,787,1.0
Reporting methods in studies developing prognostic models in cancer: a review.,0.0,788,788,1.0
Hospital discharge after ambulatory knee arthroscopy: a comparison of epidural 2-chloroprocaine versus lidocaine,1.0,789,789,1.0
p16(INK4) Expression is not associated with human papillomavirus in oral lichen planus.,6.0,790,790,1.0
"Association of bleeding, mortality and sex in acute coronary syndromes: the missing triangle.",,791,791,
"[Severe exposure to environmental lead in a child population in Antofagasta, Chile]",2.0,792,792,1.0
Tracheostomy Care and Complications in the Intensive Care Unit,5.0,793,793,1.0
"Monitoring of fluid changes in hospitalized, Malnourished, Guatemalan children using bioelectrical impedance spectroscopy (BIS).",5.0,794,794,1.0
Preliminary state of development of prediction models for primary care physical therapy: a systematic review.,12.0,795,795,1.0
Bruxismo em crian̤as Bruxism in children,2.0,796,796,1.0
A cadaver model to evaluate the accuracy and reproducibility of plain radiograph step and gap measurements for intra-articular fracture of the distal radius.,5.0,797,797,1.0
"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",0.0,798,798,1.0
"A systematic review on the application of cardiovascular risk prediction models in pharmacoeconomics, with a focus on primary prevention.",2.0,799,799,1.0
Pan-Canadian study of mammography screening and mortality from breast cancer.,11.0,800,800,1.0
Alcohol-related morbidity and mortality.,1.0,801,801,1.0
Clinical outcome following ICD removal. The Bilitch Registry Group,0.0,802,802,1.0
Eliciting relative preferences for two methods of colorectal cancer screening,2.0,803,803,1.0
Bilingual speech: Bilateral control?,1.0,804,804,1.0
Tiao-She nursing of traditional Chinese medicine for mild cognitive disorder: An assessment of clinical evidence,3.0,805,805,1.0
One-pot semisynthesis of exon 1 of the Huntingtin protein: new tools for elucidating the role of posttranslational modifications in the pathogenesis of Huntington's disease.,7.0,806,806,1.0
Pathophysiology of paradoxical embolism: evaluation of the role of interatrial septum anatomy based on the intracardiac echocardiography assessment of patients with right-to-left shunting.,1.0,807,807,1.0
Impact of physical abuse on adulthood depressive symptoms among women.,3.0,808,808,1.0
[The microclimate of apartments and its hygienic norms],10.0,809,809,1.0
Prediction Study of Complications After Severe Trauma,0.0,810,810,1.0
"American Society of Clinical Oncology clinical practice guideline update on the use of pharmacologic interventions including tamoxifen, raloxifene, and aromatase inhibition for breast cancer risk reduction.",0.0,811,811,1.0
Preliminary validity and reliability of a Thai Berlin questionnaire in stroke patients,0.0,812,812,1.0
Spectrum and frequency of illness presenting to a pediatric emergency department.,4.0,813,813,1.0
Organization of ribosomes and nucleoids in escherichia coli cells during growth and in quiescence,16.0,814,814,1.0
"Ventricular arrhythmias in the North American multidisciplinary study of ARVC: predictors, characteristics, and treatment",0.0,815,815,1.0
Maxillofacial metastases: a retrospective review of one institution's 15-year experience,1.0,816,816,1.0
Precocious and delayed sexual development in children,0.0,817,817,1.0
Premature androgenic alopecia and insulin resistance. Male equivalent of polycystic ovary syndrome?,0.0,818,818,1.0
Pancytopenia : A rare presentation of legionella pneumonia,12.0,819,819,1.0
Mold contamination in a controlled hospital environment: a 3-year surveillance in southern Italy,0.0,820,820,1.0
Effect of (D)-fagomine on excreted Enterobacteria and weight gain in rats fed a high-fat high-sucrose diet.,4.0,821,821,1.0
CSM2004 best platform,0.0,822,822,1.0
"The importance, and important limitations, of ultrasound imaging for evaluating thyroid nodules.",19.0,823,823,1.0
Blood 25-hydroxyvitamin D concentration and hypertension: a meta-analysis.,4.0,824,824,1.0
CT features of pulmonary arterial hypertension and its major subtypes: a systematic CT evaluation of 292 patients from the ASPIRE Registry.,4.0,825,825,1.0
Clinical effect observation of fule cream to cure dermatitis eczemal,14.0,826,826,1.0
A randomized controlled trial of the effects of vitamin D on muscle strength and mobility in older women with vitamin D insufficiency.,11.0,827,827,1.0
Sleep and sleep disorders in the hospital,5.0,828,828,1.0
Doppler-derived flow pattern in the descending aorta does not predict systemic to pulmonary arterial collateral flow in patients with single ventricle palliation: a cross-sectional study.,2.0,829,829,1.0
Sleep-disordered breathing associated with long-term opioid therapy,2.0,830,830,1.0
Efficacy of allogeneic hematopoietic stem cell transplantation depends on cytogenetic risk for acute myeloid leukemia in first disease remission: a metaanalysis.,8.0,831,831,1.0
[Case management for moderate-need patients and recovery: what can we learn from experimental and quasi-experimental studies?]. [Review] [French],0.0,832,832,1.0
Considerations for the diagnosis and treatment of testosterone deficiency in elderly men.,10.0,833,833,1.0
A comparison of early gastric and post-pyloric feeding in critically ill patients: a meta-analysis.,5.0,834,834,1.0
Definitive radiotherapy for T1 glottic squamous cell carcinoma: a 15-year Cruces University Hospital experience,0.0,835,835,1.0
Comparison of methods for defining prevalent vertebral deformities: the Study of Osteoporotic Fractures.,6.0,836,836,1.0
Children are pharmaco-therapeutic orphans.,2.0,837,837,1.0
Prehospital hypertonic saline resuscitation attenuates the activation and promotes apoptosis of neutrophils in patients with severe traumatic brain injury.,5.0,838,838,1.0
Value of intravenous cholangiography prior to laparoscopic cholecystectomy,0.0,839,839,1.0
Systematic review of occupational engagement and health outcomes among community-dwelling older adults,0.0,840,840,1.0
Fractional flow reserve for guiding PCI.,19.0,841,841,1.0
Difference in postural control between patients with functional and mechanical ankle instability,10.0,842,842,1.0
"Early ankle mobilization, Part I: The immediate effect on acute, lateral ankle sprains (a randomized clinical trial)",1.0,843,843,1.0
Importance of Arsenic and pesticides in epidemic chronic kidney disease in Sri Lanka,0.0,844,844,1.0
Chiropractic vertebral subluxations,1.0,845,845,1.0
Effect of infliximab on the healing of intestinal anastomosis. An experimental study in rats.,9.0,846,846,1.0
How to appraise the effectiveness of treatment,0.0,847,847,1.0
Non-steroidal anti-inflammatory drugs and myocardial infarctions: comparative systematic review of evidence from observational studies and randomised controlled trials.,10.0,848,848,1.0
Using a social communication intervention to improve the social interactions and employment experiences of adolescents with high functioning autism spectrum disorders,0.0,849,849,1.0
Is there evidence that barrier membranes prevent bone resorption in autologous bone grafts during the healing period? A systematic review.,3.0,850,850,1.0
"Recognizing, naming, and measuring a family intensive care unit syndrome",3.0,851,851,1.0
"Association of diet, exercise, and smoking modification with risk of early cardiovascular events after acute coronary syndromes.",6.0,852,852,1.0
Retrovirus-mediated WASP gene transfer corrects Wiskott-Aldrich syndrome T-cell dysfunction.,9.0,853,853,1.0
Complication rate of endosonography (endobronchial and endoscopic ultrasound): a systematic review.,4.0,854,854,1.0
Comparison of serum and renal gentamicin concentrations with fractional urinary excretion tests as indicators of nephrotoxicity,4.0,855,855,1.0
The Antiseptic Efficacy and Tolerability of Lavasept� 0.04% on Acute Traumatic Wounds,0.0,856,856,1.0
Determinants of arterial wall remodeling during lipid-lowering therapy: serial intravascular ultrasound observations from the Reversal of Atherosclerosis with Aggressive Lipid Lowering Therapy (REVERSAL) trial,24.0,857,857,1.0
Economic evaluation of inhaled nitric oxide in preterm infants undergoing mechanical ventilation,5.0,858,858,1.0
"The impact of emotional and social support on the quality of life, depression, and disability among us adults with chronic obstructive pulmonary disorder (COPD): A propensity score analysis",3.0,859,859,1.0
Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],0.0,860,860,1.0
Differential dendritic cell-mediated activation and functions of invariant NKT-cell subsets in oral cancer.,,861,861,
[Use of probiotics and prebiotics in infant formulas].,,862,862,
[Postacute care].,1.0,863,863,1.0
