Filming Locations,original_index,unique_index
"Fort Lauderdale, Florida, USA",3158,281
"Stage 33, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3159,1643
India,3160,1094
"Canyon Country, California, USA",3161,1644
,3162,3
"California, USA",3163,27
"Edinburgh, Scotland, UK",3164,1645
"Kananaskis Country, Alberta, Canada",3165,1646
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3166,54
"Aspdin, Muskoka, Ontario, Canada",3167,1647
"San Francisco, California, USA",3168,338
"Mt. Timpanogos, Utah and Alpine, Utah, USA",3169,1648
"New York, USA",3170,314
"Valencia, California, USA",3171,1649
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",3172,68
"Brentwood Bay and Patricia Bay, British Columbia, Canada",3173,1650
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3174,54
"San Francisco, California, USA",3175,338
"Los Angeles Sports Arena - 3939 S. Figueroa Street, Exposition Park, Los Angeles, California, USA",3176,1651
"Bronx, New York City, New York, USA",3177,315
"595 Wisconsin St, San Francisco, California, USA",3178,1652
"Toronto, Ontario, Canada",3179,87
"Boston, Massachusetts, USA",3180,174
"Brooklyn College, City University of New York, Brooklyn, New York City, New York, USA",3181,1653
"Gorica, Croatia",3182,1654
"Broughton Log Flume, Columbia River Gorge, Washington, USA",3183,1655
"Nice, Alpes-Maritimes, France",3184,1656
"Imperial County, California, USA",3185,1440
"Palos Verdes, California, USA",3186,1657
"Fort Washington, Maryland, USA",3187,1658
Cuba,3188,1659
,3189,3
,3190,3
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3191,54
"County Donegal, Ireland",3192,1660
"Burnaby, British Columbia, Canada",3193,840
"Fort Langley, British Columbia, Canada",3194,1661
"Holy Trinity Cathedral - 514 Carnarvon Street, New Westminster, British Columbia, Canada",3195,1662
"First Union Center - 3601 S. Broad Street, Philadelphia, Pennsylvania, USA",3196,1663
"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",3197,145
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3198,54
Fiji,3199,1664
"Clancy Barracks, Dublin, County Dublin, Ireland",3200,1665
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3201,54
,3202,3
"New Mexico, USA",3203,965
"Arizona, USA",3204,188
"Ashland, Wisconsin, USA",3205,1666
"Vieques, Puerto Rico",3206,1667
"Burlington, Vermont, USA",3207,1668
"Bayou Gauche, Louisiana, USA",3208,1669
,3209,3
"Chennai, Tamil Nadu, India",3210,1670
"New Jersey, USA",3211,139
"Canada Saskatchewan Production Studios, Regina, Saskatchewan, Canada",3212,1671
"Binghamton, New York, USA",3213,1672
"New York City, New York, USA",3214,9
"Los Angeles, California, USA",3215,10
"Washington Mews, Manhattan, New York City, New York, USA",3216,1673
"Narragansett Bay, Rhode Island, USA",3217,1674
"Avilés, Asturias, Spain",3218,1675
"Belgravia, London, England, UK",3219,1676
"Bowling Green, Lower Manhattan, Manhattan, New York City, New York, USA",3220,1677
"Rome, Lazio, Italy",3221,1678
"CityPoint, Moorgate, London, England, UK",3222,1679
"Upper Darby, Pennsylvania, USA",3223,1680
"W. Century Blvd. & Airport Blvd, Los Angeles, California, USA",3224,1681
"Grant's Tomb, Riverside Drive, New York City, New York, USA",3225,1682
"New York City, New York, USA",3226,9
"McLean, Virginia, USA",3227,1683
"British Columbia, Canada",3228,400
"Hollywood Athletic Club - 6525 W. Sunset Blvd., Hollywood, Los Angeles, California, USA",3229,1684
"New Orleans, Louisiana, USA",3230,48
"Manhattan, New York City, New York, USA",3231,200
"Omote-Sando, Tokyo, Japan",3232,1685
"Acton, California, USA",3233,906
"Burnaby, British Columbia, Canada",3234,840
"Baton Rouge, Louisiana, USA",3235,229
"British Steel works, now Tata Steel works, Redcar, England, UK",3236,1686
"CBS Television City - 7800 Beverly Blvd., Fairfax, Los Angeles, California, USA",3237,1687
"1785 South Broadway, Santa Maria, California, USA",3238,1688
"Calgary, Alberta, Canada",3239,631
"Ditsworthy Warren House, Sheepstor, Devon, England, UK",3240,1689
"Shafter, Texas, USA",3241,1690
"Iwo Jima, Japan",3242,1691
"New York City, New York, USA",3243,9
"Aulich Street, Budapest, Hungary",3244,1692
"Malibu, California, USA",3245,1438
"Los Angeles, California, USA",3246,10
"New York, USA",3247,314
"Valencia, California, USA",3248,1649
"Los Angeles County, California, USA",3249,1693
"Los Angeles National Cemetery - 950 S Sepulveda Blvd., Los Angeles, California, USA",3250,1694
"Asbury Park, New Jersey, USA",3251,591
"Courtenay, British Columbia, Canada",3252,1695
"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",3253,646
"Los Angeles, California, USA",3254,10
"Los Angeles, California, USA",3255,10
"Dell Ave, Venice, Los Angeles, California, USA",3256,1696
"Casino de Puerto Rico, Avenida Juan Ponce De León, San Juan, Puerto Rico",3257,1697
"Flagstaff, Arizona, USA",3258,837
"East Jersey State Prison, Rahway, New Jersey, USA",3259,1306
"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3260,186
,3261,3
,3262,3
,3263,3
,3264,3
"Indianapolis, Indiana, USA",3265,1698
"4400 N Alafaya Trail, Orlando, Florida, USA",3266,1699
"Alameda, California, USA",3267,28
"17 State Street, Financial District, Manhattan, New York City, New York, USA",3268,1700
"Austin, Texas, USA",3269,203
"Louisiana, USA",3270,25
,3271,3
,3272,3
"Plain Dealing, Louisiana, USA",3273,1701
,3274,3
"Los Angeles, California, USA",3275,10
"Guaymas, Sonora, Mexico",3276,1702
"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",3277,102
"Dulwich, London, England, UK",3278,1703
"RKO Encino Ranch - Balboa Boulevard & Burbank Boulevard, Encino, Los Angeles, California, USA",3279,1704
"15 E Michigan Ave, Ypsilanti, Michigan, USA",3280,1705
"1400 Tower Grove Drive, Beverly Hills, California, USA",3281,868
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3282,355
"Provo, Utah, USA",3283,1706
"Renwick Gym, Pomona College - 333 N. College Way, Claremont, California, USA",3284,1707
"Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA",3285,1137
"Ledec nad Sázavou, Czech Republic",3286,1708
"England, UK",3287,45
"National Mall, Washington, District of Columbia, USA",3288,1283
"Brand Library - 1601 West moutain Street, Glendale, California, USA",3289,1709
"Pompton Lakes, New Jersey, USA",3290,1710
"Alpes-Maritimes, France",3291,1220
"Isandlwana, Natal, South Africa",3292,1711
"Horden Beach, Peterlee, County Durham, England, UK",3293,1712
"Atlas Mountains, Morocco",3294,1713
,3295,3
,3296,3
"Los Angeles, California, USA",3297,10
"Gambier, Ohio, USA",3298,1714
,3299,3
"Winsted, Connecticut, USA",3300,1715
"Brooklyn, New York City, New York, USA",3301,33
"Ocean Shores, Washington, USA",3302,1716
"Manhattan, New York City, New York, USA",3303,200
"Empty Bottle Bar, 1035 N Western Avenue, Chicago, Illinois, USA",3304,1717
"New York, USA",3305,314
"Big Sur, California, USA",3306,1133
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3307,54
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3308,54
"Stage 8, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3309,1718
"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3310,69
"Black Island Studios, Alliance Road, Acton, London, England, UK",3311,1719
"Atlanta, Georgia, USA",3312,154
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3313,54
"Clarence Brown Ranch - Las Virgenes Road, Calabasas, California, USA",3314,1720
"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3315,186
"Agua Caliente Racetrack, Baja California Norte, Mexico",3316,1721
"Glendale Grand Central Air Terminal - Grandview Avenue, Glendale, California, USA",3317,1722
,3318,3
,3319,3
,3320,3
,3321,3
,3322,3
,3323,3
"Argyle Hotel - 8358 Sunset Blvd., West Hollywood, California, USA",3324,1723
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3325,54
"Scarborough Faire - 2511 FM 66, Waxahachie, Texas, USA",3326,1724
"June Lake, California, USA",3327,1180
"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3328,69
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",3329,68
"Montréal, Québec, Canada",3330,46
"Brentwood, Los Angeles, California, USA",3331,469
"Bucharest, Romania",3332,1020
"Bridgeport, Connecticut, USA",3333,1015
,3334,3
"Vancouver, British Columbia, Canada",3335,47
"Mason Ave. at Devonshire St., Chatsworth, California, USA",3336,1725
,3337,3
"Santa Clarita, California, USA",3338,26
,3339,3
,3340,3
,3341,3
,3342,3
"Chicago, Illinois, USA",3343,230
"Chicago, Illinois, USA",3344,230
"British Columbia, Canada",3345,400
"Los Angeles, California, USA",3346,10
"Acton, California, USA",3347,906
"Vancouver, British Columbia, Canada",3348,47
"Arizona, USA",3349,188
"East Los Angeles, California, USA",3350,1726
"Brooklyn, New York City, New York, USA",3351,33
"Columbia, South Carolina, USA",3352,1727
"British Columbia, Canada",3353,400
"Triscenic Production Services Inc - 13042 Bradley Ave, Sylmar, Los Angeles, California, USA",3354,1728
"Budapest, Hungary",3355,17
"Little Italy, Manhattan, New York City, New York, USA",3356,1729
"Tyl Theatre, Plzen, Czech Republic",3357,1730
"Santa Barbara, California, USA",3358,418
"Los Angeles, California, USA",3359,10
"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",3360,357
,3361,3
,3362,3
"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3363,301
"New York City, New York, USA",3364,9
"Burbank, California, USA",3365,49
"Arcata, California, USA",3366,1731
"San Juan, Puerto Rico",3367,306
"Crissy Field, Golden Gate Memorial Recreation Area, San Francisco, California, USA",3368,1732
"380 Lafayette Street, New York City, New York, USA",3369,1733
"Golden Gate National Recreation Area, San Francisco, California, USA",3370,1734
"Vancouver Art Gallery, Vancouver, British Columbia, Canada",3371,1735
"Baltimore, Maryland, USA",3372,38
"Maison De Ville, 727 Rue Toulouse , New Orleans , Louisiana , USA",3373,1736
"Clinton, Mississippi, USA",3374,1737
"Canton, Mississippi, USA",3375,1058
"Big Bear City, San Bernardino National Forest, California, USA",3376,1738
"Benidorm, Alicante, Comunidad Valenciana, Spain",3377,1739
"Los Angeles, California, USA",3378,10
"Campania, Italy",3379,1740
"Caves of Arta, Mallorca, Balearic Islands, Spain",3380,1741
,3381,3
,3382,3
"GM Place, Vancouver, British Columbia, Canada",3383,1742
"Fernie, British Columbia, Canada",3384,1743
"Santa Clarita, California, USA",3385,26
"Bridgeport, Connecticut, USA",3386,1015
"Columbus, Ohio, USA",3387,1144
"Minden, Louisiana, USA",3388,1268
,3389,3
"Los Angeles, California, USA",3390,10
"Calabasas, California, USA",3391,523
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3392,355
Mexico,3393,425
"Bacolet Beach, Tobago, Trinidad and Tobago",3394,1744
"Burnaby, British Columbia, Canada",3395,840
"Culver City, California, USA",3396,278
"Bristol, Rhode Island, USA",3397,1745
"O'ahu, Hawaii, USA",3398,1746
"Rogers Arena, Vancouver, British Columbia, Canada",3399,1747
"Rhode Island, USA",3400,1748
,3401,3
"Alaska, USA",3402,437
"Ann Sobrato Performing Arts Center, Morgan Hill, California, USA",3403,1749
,3404,3
"Pasadena, Los Angeles, California, USA",3405,1750
,3406,3
"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",3407,1751
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3408,54
"39-26 62nd Street, Queens, New York City, New York, USA",3409,1752
"Union Station, 800 North Alameda Street, Los Angeles, California, USA",3410,1753
"Halfway House Café - 15564 Sierra Highway, Santa Clarita, California, USA",3411,1465
"All Saint's Episcopal Church - 132 N. Euclid Avenue, Pasadena, California, USA",3412,1104
"Deming, New Mexico, USA",3413,1754
,3414,3
"Ventura, California, USA",3415,1755
"New York City, New York, USA",3416,9
,3417,3
"Crestview Minimax IGA, 7108 Woodrow Ave., Austin, Texas, USA",3418,1756
"LAX Airport, Los Angeles, California, USA",3419,1757
"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",3420,395
"Vancouver, British Columbia, Canada",3421,47
"North Carolina, USA",3422,79
"Hollywood, Los Angeles, California, USA",3423,586
"Los Angeles, California, USA",3424,10
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3425,54
"Louisiana, USA",3426,25
"Pullman Kitchen - 205 5th Street, Santa Rosa, California, USA",3427,955
Spain,3428,1228
"Ralph Waldo Emerson Home - 28 Cambridge Turnpike, Concord, Massachusetts, USA",3429,1758
"Vancouver, British Columbia, Canada",3430,47
"Boston, Massachusetts, USA",3431,174
"Foot of Flatbush ave. on the East river, Downtown Brooklyn, New Ork, USA",3432,1759
"Atlanta, Georgia, USA",3433,154
"Los Angeles, California, USA",3434,10
"Turner Broadcasting System, Inc. - 1050 Techwood Drive, Atlanta, Georgia, USA",3435,1760
"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",3436,116
"Pennsylvania, USA",3437,1250
"2218 S Harvard Blvd, Los Angeles, California, USA",3438,1761
,3439,3
"Croydon, London, England, UK",3440,1762
,3441,3
"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",3442,938
"128 St & Old Yale Rd, Surrey, British Columbia, Canada",3443,1763
"New Orleans, Louisiana, USA",3444,48
"420 Market Street, Wilmington, North Carolina, USA",3445,1764
"Convocation Hall, University of Toronto, Toronto, Ontario, Canada",3446,1765
"Greenwich, Connecticut, USA",3447,1766
"New York City, New York, USA",3448,9
"Atlanta, Georgia, USA",3449,154
"6300 Orion Ave, Van Nuys, Los Angeles, California, USA",3450,1767
"Eagle Rock, California, USA",3451,1768
"Mesa, Arizona, USA",3452,1769
"Sudbury, Ontario, Canada",3453,1770
"New York City, New York, USA",3454,9
"El Paso, Texas, USA",3455,1309
,3456,3
"Colorado Street Bridge, Pasadena, California, USA",3457,1771
"Alcázar de Segovia, Segovia, Castilla y León, Spain",3458,1355
"Greensboro, North Carolina, USA",3459,1353
"Kraków, Malopolskie, Poland",3460,1772
"Asheville, North Carolina, USA",3461,495
,3462,3
,3463,3
,3464,3
"Tampa, Florida, USA",3465,1773
"Atlanta, Georgia, USA",3466,154
"Nuevo Laredo, Tamaulipas, Mexico",3467,1774
"Las Vegas, Nevada, USA",3468,141
,3469,3
"Max Fleischer Studios Inc., Miami, Florida, USA",3470,1775
"Hollywood Center Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA",3471,1484
"Charnock Richard, Wigan, Greater Manchester, England, UK",3472,1776
,3473,3
"Railroad Creek, Washington, USA",3474,1777
"Erie, Pennsylvania, USA",3475,1778
"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3476,58
,3477,3
"Valencia, Comunidad Valenciana, Spain",3478,1779
"Hawaii, USA",3479,528
"Medellín, Antioquia, Colombia",3480,1780
,3481,3
"Los Angeles, California, USA",3482,10
"Charlotte, North Carolina, USA",3483,346
"Vermont, USA",3484,1781
"London, England, UK",3485,22
"Mackay, Queensland, Australia",3486,1782
"Long Beach, California, USA",3487,23
"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3488,69
,3489,3
"Paris, France",3490,277
"2502 37th Ave W, Seattle, Washington, USA",3491,1783
"Ansonia Hotel, New York City, New York, USA",3492,1784
"Beaufort, South Carolina, USA",3493,237
"Spanish Plaza, New Orleans, Louisiana, USA",3494,1785
"9-17 40th Ave, Queens, New York, USA",3495,1786
"1883 Orlando Road, San Marino, California, USA",3496,1787
"Postman's Park, Little Britain, London, England, UK",3497,1788
"Pienza, Siena, Tuscany, Italy",3498,1789
"West Mesa High School, 6701 Fortuna Road NW, Albuquerque, New Mexico, USA",3499,1790
"210 Riverside Drive, Manhattan, New York City, New York, USA",3500,1791
"Shepperton Studios, Shepperton, Surrey, England, UK",3501,32
"Lake Point Tower, 505 North Lake Shore Drive, Chicago, Illinois, USA",3502,1792
"Aldbury, Hertfordshire, England, UK",3503,658
"201 West 72nd Street, Manhattan, New York City, New York, USA",3504,1793
"Bay Ridge, Brooklyn, New York City, New York, USA",3505,1499
"7 Lincoln Square, Manhattan, New York City, New York, USA",3506,1794
"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",3507,239
"Tavern on the Green - Central Park at W. 67th Street, Central Park, Manhattan, New York City, New York, USA",3508,1795
"Connecticut, USA",3509,621
"Glendale, California, USA",3510,93
"Grand Teton National Park, Moose, Wyoming, USA",3511,1796
"Aix-en-Provence, Bouches-du-Rhône, France",3512,1797
"HMV Oxford Circus, Oxford Street, London, England, UK",3513,1798
"Musée Galliera - 10 avenue Pierre-1er-de-Serbie, Paris 16, Paris, France",3514,1799
"Appalachian region, Virginia, USA",3515,1800
"Mumbai, Maharashtra, India",3516,1801
"1 Electra Ct, Los Angeles, California, USA",3517,1802
"Los Angeles, California, USA",3518,10
"Adamstown Village Market - 5550 Mountville Road, Adamstown, Maryland, USA",3519,1803
"Showline Studios, Toronto, Ontario, Canada",3520,604
"Bradford, West Yorkshire, England, UK",3521,1804
"Baraboo, Wisconsin, USA",3522,1805
"Surrey, England, UK",3523,1806
"Santa Clarita, California, USA",3524,26
"Toluca Lake, Los Angeles, California, USA",3525,1807
"Atlantic Highlands, New Jersey, USA",3526,1808
"Gladstone, New Jersey, USA",3527,1809
"Aunt Chiladas - 7330 North Dreamy Draw Drive, Phoenix, Arizona, USA",3528,1810
"1049 Victoria Avenue, Los Angeles, California, USA",3529,1811
"Steiner Studios, New York City, New York, USA",3530,1812
"Baltimore Museum of Art - 10 Art Museum Drive, Baltimore, Maryland, USA",3531,1813
"Upham Hall Miami University, Oxford, Ohio, USA",3532,1814
,3533,3
"Los Angeles, California, USA",3534,10
"Stabilimenti Cinematografici Pontini, Rome, Lazio, Italy",3535,1815
"Burbank, California, USA",3536,49
"Los Angeles, California, USA",3537,10
"West Wycombe House, West Wycombe Park, West Wycombe, Buckinghamshire, England, UK",3538,1816
"Santa Clarita, California, USA",3539,26
"Enontekiö, Finland",3540,1817
"Madison Square, Manhattan, New York City, New York, USA",3541,1818
Malta,3542,52
"Rawlins, Wyoming, USA",3543,1819
"Lake Ariel, Pennsylvania, USA",3544,1820
"American Falls, Niagara Falls, New York, USA",3545,1335
,3546,3
,3547,3
"Anderson, South Carolina, USA",3548,1821
"Monasterio de Piedra, Nuévalos, Zaragoza, Aragón, Spain",3549,1822
"Stamford, Connecticut, USA",3550,1823
"Burbank, California, USA",3551,49
"Los Angeles, California, USA",3552,10
"Birchmount Collegiate, Toronto, Ontario, Canada",3553,782
,3554,3
,3555,3
,3556,3
"Central Park, Manhattan, New York City, New York, USA",3557,228
"Boston, Massachusetts, USA",3558,174
,3559,3
"Austin, Texas, USA",3560,203
"Cincinnati, Ohio, USA",3561,349
"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",3562,118
"Long Island, New York, USA",3563,898
"Wake Forest University - 1834 Wake Forest Road, Winston-Salem, North Carolina, USA",3564,1824
"Vancouver, British Columbia, Canada",3565,47
"Carton House, Maynooth, County Kildare, Ireland",3566,1825
"Long Island, New York, USA",3567,898
"Taj Lake Palace, Lake Pichola, Udaipur, Rajasthan, India",3568,1826
"Albuquerque, New Mexico, USA",3569,227
,3570,3
"Brooklyn Heights, Brooklyn, New York City, New York, USA",3571,1827
"Kingston High School, 403 Broadway, Kingston, New York, USA",3572,1828
"Central Park, Manhattan, New York City, New York, USA",3573,228
,3574,3
"Urbania, Lower Garden District, New Orleans, Louisiana, USA",3575,1829
"Los Angeles, California, USA",3576,10
"Brooklyn, New York City, New York, USA",3577,33
"New York City, New York, USA",3578,9
"Double Door - 1572 N. Milwaukee Avenue, West Town, Chicago, Illinois, USA",3579,1830
"New Orleans, Louisiana, USA",3580,48
"Abandoned Planet, 518 Valencia St, San Francisco, California, USA",3581,1831
Bulgaria,3582,375
"Coal Mine Canyon, Tuba City, Arizona, USA",3583,1832
"Times Square, Manhattan, New York City, New York, USA",3584,581
"Clearwater, Florida, USA",3585,1833
"Connecticut, USA",3586,621
"Boston, Massachusetts, USA",3587,174
"Los Angeles, California, USA",3588,10
"Cambridge, Ontario, Canada",3589,1834
"Lower East Side, Manhattan, New York City, New York, USA",3590,1835
"Treasure Island, San Francisco Bay, California, USA",3591,1836
,3592,3
Canada,3593,190
"Asheville, North Carolina, USA",3594,495
"Alameda, California, USA",3595,28
"22700 Chase Place, Canoga Park, Los Angeles, California, USA",3596,1837
,3597,3
"Los Medanos Hospital, Pittsburg, California, USA",3598,1838
,3599,3
"Mare Island, Vallejo, California, USA",3600,1839
"Schiller's Liquor Bar, 131 Rivington Street, New York City, New York, USA",3601,1840
"Play's House, 2895 West 15th Street, Los Angeles, California, USA",3602,1841
,3603,3
"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",3604,303
"Los Angeles, California, USA",3605,10
"Fischer, Texas, USA",3606,1842
"717 S Hudson Ave, Pasadena, California, USA",3607,1843
"Burnaby, British Columbia, Canada",3608,840
"Alsip, Illinois, USA",3609,1844
"Chicago, Illinois, USA",3610,230
"Shepperton Studios, Shepperton, Surrey, England, UK",3611,32
"Denver, Colorado, USA",3612,1258
,3613,3
"Hall in Tirol, Tirol, Austria",3614,1845
,3615,3
New Zealand,3616,833
"Atlanta, Georgia, USA",3617,154
"London, England, UK",3618,22
"Macon, Georgia, USA",3619,1846
,3620,3
"Los Angeles, California, USA",3621,10
,3622,3
"California, USA",3623,27
"New York City, New York, USA",3624,9
"Poienari, Arges County, Romania",3625,1847
"Boston, Massachusetts, USA",3626,174
"Austin, Texas, USA",3627,203
,3628,3
,3629,3
,3630,3
,3631,3
,3632,3
"Rhode Island, USA",3633,1748
,3634,3
"Montreal, Quebec, Canada",3635,1848
,3636,3
,3637,3
,3638,3
"South Carolina, USA",3639,1312
"Columbia, South Carolina, USA",3640,1727
"Pittsburgh, Pennsylvania, USA",3641,680
"San Francisco, California, USA",3642,338
Ghana,3643,730
"Copenhagen, Denmark",3644,1849
"Bank of America World Headquarters Building - 100 North Tryon Street, Charlotte, North Carolina, USA",3645,1850
"Coney Island, Brooklyn, New York City, New York, USA",3646,1586
"Cincinnati, Ohio, USA",3647,349
"Tulane University - 6823 St. Charles Avenue, New Orleans, Louisiana, USA",3648,1851
"Ouarzazate, Morocco",3649,1852
USA,3650,21
"Sydney, New South Wales, Australia",3651,1853
"New York City, New York, USA",3652,9
"New York City, New York, USA",3653,9
"Conyers, Georgia, USA",3654,157
Germany,3655,72
Malta,3656,52
"Glienicker Brücke, Potsdam, Germany",3657,1854
,3658,3
,3659,3
"New Mexico, USA",3660,965
Monaco,3661,1855
"Santiago de Chile, Chile",3662,1856
"Bossier City, Louisiana, USA",3663,1857
"Mobile, Alabama, USA",3664,1858
,3665,3
Morocco,3666,130
"Alberta, Canada",3667,462
"Disneyland Park, Disneyland Resort - 1600 S. Disneyland Drive, Anaheim, California, USA",3668,1859
"Central Park, Manhattan, New York City, New York, USA",3669,228
"Orpheum Theater 842 S. Broadway, Los Angeles, California, USA",3670,918
"1517 Pike Place, Seattle, Washington, USA",3671,1860
"Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA",3672,594
"Las Vegas, Nevada, USA",3673,141
"Lexington Avenue, Manhattan, New York City, New York, USA",3674,1861
"Los Angeles, California, USA",3675,10
"Manhattan, New York City, New York, USA",3676,200
"Los Angeles, California, USA",3677,10
,3678,3
Philippines,3679,364
"Millennium Studios- 300 Douglas Street, Shreveport, Louisiana, USA",3680,564
"Kitsilano, Vancouver, British Columbia, Canada",3681,1862
"Brentwood, Los Angeles, California, USA",3682,469
"Des Moines, Iowa, USA",3683,1566
"Los Angeles, California, USA",3684,10
"Perth, Western Australia, Australia",3685,1863
"New York City, New York, USA",3686,9
"Welwyn Garden City, Hertfordshire, England, UK",3687,1864
"New York City, New York, USA",3688,9
"Cannons Health Club, Endell Street, Covent Garden, London, England, UK",3689,1865
"Beaverton, Oregon, USA",3690,1866
"Arizona, USA",3691,188
"Los Angeles, California, USA",3692,10
"Detroit, Michigan, USA",3693,448
,3694,3
,3695,3
"California, USA",3696,27
,3697,3
"California, USA",3698,27
"Amsterdam, Noord-Holland, Netherlands",3699,366
"Chicago Studio City - 5660 W. Taylor Street, Austin, Chicago, Illinois, USA",3700,1867
"Annapolis, Maryland, USA",3701,257
"Santa's Village, Sky Forest, Lake Arrowhead, San Bernardino National Forest, California, USA",3702,1868
"Seattle, Washington, USA",3703,486
"San Francisco, California, USA",3704,338
"Claremont, New Hampshire, USA",3705,1869
"Los Angeles, California, USA",3706,10
"Ocean City, New Jersey, USA",3707,1870
"Beaumont, Texas, USA",3708,1871
"Abita Springs, Louisiana, USA",3709,1872
"Baton Rouge, Louisiana, USA",3710,229
"Regina, Saskatchewan, Canada",3711,1873
"Bushey, Hertfordshire, England, UK",3712,1874
"Los Angeles, California, USA",3713,10
"Los Angeles, California, USA",3714,10
"Los Angeles, California, USA",3715,10
"Los Angeles, California, USA",3716,10
"Brooklyn, New York City, New York, USA",3717,33
,3718,3
"Burnham Beeches, Buckinghamshire, England, UK",3719,1875
"East Durham, New York, USA",3720,1876
"New York, USA",3721,314
"New York City, New York, USA",3722,9
"Yonkers, New York, USA",3723,1877
,3724,3
"Brooklyn, New York City, New York, USA",3725,33
,3726,3
"New Orleans, Louisiana, USA",3727,48
"Santa Clarita, California, USA",3728,26
"5918 Cimarron Street, Los Angeles, California, USA",3729,1878
"Lacy Street Production Center - 2630 Lacy Street, Los Angeles, California, USA",3730,374
"Los Angeles, California, USA",3731,10
"New York City, New York, USA",3732,9
"New York City, New York, USA",3733,9
"Los Angeles, California, USA",3734,10
"1090 Rubio Street, Altadena, California, USA",3735,1879
"Inglewood, California, USA",3736,1880
"Central Park, Manhattan, New York City, New York, USA",3737,228
"Arizona Biltmore Hotel, Phoenix, Arizona, USA",3738,1881
"Los Angeles, California, USA",3739,10
"Altadena, California, USA",3740,483
"Los Angeles, California, USA",3741,10
"New York City, New York, USA",3742,9
"Kure Beach, North Carolina, USA",3743,1882
"S 7th Ave & Montclair St, Los Angeles, California, USA",3744,1883
"1901 Metropolitan Parkway, Atlanta, Georgia, USA",3745,1884
"Los Angeles, California, USA",3746,10
"Chicago, Illinois, USA",3747,230
"Los Angeles, California, USA",3748,10
"Carson Street between Normandie & Western Avenues, Torrance, California, USA",3749,1885
"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",3750,303
"New Jersey Aviation Museum, Teterboro International Airport, Teterboro, New Jersey, USA",3751,1886
"Red Hook, Brooklyn, New York City, New York, USA",3752,1887
"Madison Square Garden, 7th Avenue, Chelsea, Manhattan, New York City, New York, USA",3753,452
"Los Angeles, California, USA",3754,10
,3755,3
,3756,3
"Las Vegas, Nevada, USA",3757,141
"Barcelona, Catalonia, Spain",3758,1326
"Jacksonville, Florida, USA",3759,1006
"Florida Keys, Florida, USA",3760,123
"Brooklyn, New York, USA",3761,1888
"10231 Charing Cross Road, Beverly Hills, California, USA",3762,397
"Santa Clarita, California, USA",3763,26
"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",3764,357
"Acadia National Park, Bar Harbor, Maine, USA",3765,1889
