style,original_index,unique_index
Extra Special / Strong Bitter (ESB),2110,45
Milk / Sweet Stout,2111,28
American Pale Wheat Ale,2112,22
American Pale Ale (APA),2113,1
Tripel,2114,10
American Pale Wheat Ale,2115,22
German Pilsener,2116,29
American Double / Imperial IPA,2117,3
American Brown Ale,2118,21
Milk / Sweet Stout,2119,28
American IPA,2120,2
American IPA,2121,2
American Amber / Red Ale,2122,19
Altbier,2123,35
American IPA,2124,2
American Porter,2125,5
American IPA,2126,2
Witbier,2127,40
Dubbel,2128,70
American Brown Ale,2129,21
American IPA,2130,2
American Pale Ale (APA),2131,1
Extra Special / Strong Bitter (ESB),2132,45
Fruit / Vegetable Beer,2133,14
English India Pale Ale (IPA),2134,51
American Pale Ale (APA),2135,1
Saison / Farmhouse Ale,2136,6
American Brown Ale,2137,21
Dunkelweizen,2138,68
English India Pale Ale (IPA),2139,51
American Wild Ale,2140,33
American Double / Imperial IPA,2141,3
American Double / Imperial Stout,2142,41
American IPA,2143,2
American Double / Imperial IPA,2144,3
American Double / Imperial IPA,2145,3
American Amber / Red Ale,2146,19
American IPA,2147,2
English Brown Ale,2148,34
American Pale Wheat Ale,2149,22
Belgian Pale Ale,2150,31
Belgian Pale Ale,2151,31
Dubbel,2152,70
American Pale Ale (APA),2153,1
American Black Ale,2154,16
American Pale Ale (APA),2155,1
American Pale Ale (APA),2156,1
Kölsch,2157,24
American IPA,2158,2
English Brown Ale,2159,34
American Double / Imperial IPA,2160,3
American IPA,2161,2
American Pilsner,2162,32
American Amber / Red Lager,2163,26
American Pale Ale (APA),2164,1
American Amber / Red Ale,2165,19
American Stout,2166,13
American Pale Ale (APA),2167,1
Shandy,2168,91
American Pale Wheat Ale,2169,22
American Pale Ale (APA),2170,1
Cream Ale,2171,38
American Brown Ale,2172,21
Fruit / Vegetable Beer,2173,14
American Blonde Ale,2174,18
American Porter,2175,5
American IPA,2176,2
Irish Red Ale,2177,64
American IPA,2178,2
American Pale Wheat Ale,2179,22
Oatmeal Stout,2180,4
American Pale Ale (APA),2181,1
California Common / Steam Beer,2182,36
American Amber / Red Ale,2183,19
American IPA,2184,2
Braggot,2185,98
American Dark Wheat Ale,2186,84
American Porter,2187,5
Fruit / Vegetable Beer,2188,14
Russian Imperial Stout,2189,72
Roggenbier,2190,82
American Double / Imperial IPA,2191,3
American IPA,2192,2
Irish Red Ale,2193,64
American Porter,2194,5
Czech Pilsener,2195,52
American Blonde Ale,2196,18
American IPA,2197,2
American Porter,2198,5
Fruit / Vegetable Beer,2199,14
American Blonde Ale,2200,18
American Pale Ale (APA),2201,1
American Amber / Red Ale,2202,19
American IPA,2203,2
Vienna Lager,2204,39
Shandy,2205,91
American IPA,2206,2
American IPA,2207,2
Milk / Sweet Stout,2208,28
American Amber / Red Ale,2209,19
American IPA,2210,2
Witbier,2211,40
Belgian Strong Pale Ale,2212,69
Doppelbock,2213,67
American Amber / Red Ale,2214,19
American Pilsner,2215,32
Doppelbock,2216,67
American IPA,2217,2
American Pale Ale (APA),2218,1
American IPA,2219,2
American Amber / Red Lager,2220,26
American IPA,2221,2
American Adjunct Lager,2222,76
American IPA,2223,2
American IPA,2224,2
American Amber / Red Ale,2225,19
American IPA,2226,2
Czech Pilsener,2227,52
American IPA,2228,2
American Pale Ale (APA),2229,1
American Brown Ale,2230,21
American Amber / Red Ale,2231,19
American IPA,2232,2
American IPA,2233,2
American Pale Wheat Ale,2234,22
American IPA,2235,2
American Dark Wheat Ale,2236,84
American Dark Wheat Ale,2237,84
Dortmunder / Export Lager,2238,57
American Pale Ale (APA),2239,1
Märzen / Oktoberfest,2240,44
Bière de Garde,2241,66
American Pale Ale (APA),2242,1
American Strong Ale,2243,53
American IPA,2244,2
Munich Helles Lager,2245,42
Hefeweizen,2246,48
American White IPA,2247,56
American Double / Imperial IPA,2248,3
Saison / Farmhouse Ale,2249,6
German Pilsener,2250,29
Pumpkin Ale,2251,30
American Amber / Red Lager,2252,26
American IPA,2253,2
American IPA,2254,2
American Blonde Ale,2255,18
Schwarzbier,2256,43
American IPA,2257,2
American Pale Ale (APA),2258,1
American Pale Ale (APA),2259,1
German Pilsener,2260,29
American IPA,2261,2
Maibock / Helles Bock,2262,74
Cider,2263,8
Cider,2264,8
Cider,2265,8
Low Alcohol Beer,2266,99
American Brown Ale,2267,21
Belgian Pale Ale,2268,31
Baltic Porter,2269,9
Dubbel,2270,70
American Double / Imperial IPA,2271,3
Gose,2272,37
American Pale Ale (APA),2273,1
Altbier,2274,35
American IPA,2275,2
Witbier,2276,40
American IPA,2277,2
Quadrupel (Quad),2278,71
Rye Beer,2279,46
American Wild Ale,2280,33
American Double / Imperial Stout,2281,41
American Brown Ale,2282,21
Saison / Farmhouse Ale,2283,6
American White IPA,2284,56
American Wild Ale,2285,33
American Double / Imperial IPA,2286,3
Winter Warmer,2287,12
Pumpkin Ale,2288,30
Belgian Pale Ale,2289,31
Foreign / Export Stout,2290,49
Vienna Lager,2291,39
Vienna Lager,2292,39
English Brown Ale,2293,34
American Pale Ale (APA),2294,1
American IPA,2295,2
American Brown Ale,2296,21
American IPA,2297,2
American Pale Ale (APA),2298,1
American Double / Imperial IPA,2299,3
Doppelbock,2300,67
American White IPA,2301,56
American White IPA,2302,56
Fruit / Vegetable Beer,2303,14
American Double / Imperial IPA,2304,3
American Pale Ale (APA),2305,1
Cider,2306,8
Cider,2307,8
Cider,2308,8
Cider,2309,8
Cider,2310,8
American Stout,2311,13
Tripel,2312,10
Witbier,2313,40
American Brown Ale,2314,21
Belgian Strong Pale Ale,2315,69
American IPA,2316,2
American Double / Imperial Pilsner,2317,87
American IPA,2318,2
American IPA,2319,2
American IPA,2320,2
Witbier,2321,40
American Double / Imperial IPA,2322,3
American Pale Wheat Ale,2323,22
English Pale Ale,2324,25
American IPA,2325,2
Pumpkin Ale,2326,30
Fruit / Vegetable Beer,2327,14
American IPA,2328,2
American Amber / Red Ale,2329,19
American IPA,2330,2
Cream Ale,2331,38
Oatmeal Stout,2332,4
American IPA,2333,2
Herbed / Spiced Beer,2334,75
American Porter,2335,5
American Amber / Red Ale,2336,19
American IPA,2337,2
American Pale Ale (APA),2338,1
Gose,2339,37
Witbier,2340,40
American IPA,2341,2
Märzen / Oktoberfest,2342,44
American Amber / Red Lager,2343,26
American IPA,2344,2
American Pale Lager,2345,0
Bock,2346,62
English Stout,2347,85
American IPA,2348,2
Cream Ale,2349,38
Chile Beer,2350,95
American Amber / Red Ale,2351,19
Berliner Weissbier,2352,20
American IPA,2353,2
Berliner Weissbier,2354,20
Berliner Weissbier,2355,20
American IPA,2356,2
Radler,2357,61
Hefeweizen,2358,48
Hefeweizen,2359,48
American Double / Imperial IPA,2360,3
Pumpkin Ale,2361,30
American Brown Ale,2362,21
American Blonde Ale,2363,18
American Double / Imperial IPA,2364,3
American Double / Imperial IPA,2365,3
Witbier,2366,40
Oatmeal Stout,2367,4
Pumpkin Ale,2368,30
American Pale Ale (APA),2369,1
Belgian Pale Ale,2370,31
Scotch Ale / Wee Heavy,2371,59
American Pilsner,2372,32
American Pale Ale (APA),2373,1
Irish Dry Stout,2374,58
Bock,2375,62
Munich Helles Lager,2376,42
American Pale Ale (APA),2377,1
American Blonde Ale,2378,18
American IPA,2379,2
American Porter,2380,5
American Amber / Red Lager,2381,26
American IPA,2382,2
American Porter,2383,5
American IPA,2384,2
Saison / Farmhouse Ale,2385,6
American IPA,2386,2
American Pilsner,2387,32
American IPA,2388,2
American Brown Ale,2389,21
American IPA,2390,2
American Pale Lager,2391,0
Cider,2392,8
American IPA,2393,2
American Pilsner,2394,32
American IPA,2395,2
American IPA,2396,2
Kölsch,2397,24
American Double / Imperial IPA,2398,3
American IPA,2399,2
American Pale Ale (APA),2400,1
Chile Beer,2401,95
American Strong Ale,2402,53
Pumpkin Ale,2403,30
American Stout,2404,13
Belgian IPA,2405,7
American Amber / Red Ale,2406,19
Schwarzbier,2407,43
American Pale Ale (APA),2408,1
American Amber / Red Ale,2409,19
