article_title,original_index,unique_index
Designing in the social context: Using the social contextual model of health behavior change to develop a tobacco control intervention for teachers in India,682,682
Association of interleukin-10 cytokine expression status with HLA non-DRB1*02 and Mycobacterium bovis BCG scar-negative status in south Indian pulmonary tuberculosis patients.,683,683
Abstracts 15,684,684
"Outcome of Er,Cr:YSGG laser-assisted treatment of teeth with apical periodontitis: a blind randomized clinical trial.",685,685
Causes of death in Tunisia: Estimates of years of life lost. [French],686,686
Anterior olecranon fracture-dislocations of the elbow in children. A report of four cases,687,687
Changes in the temporomandibular joint disc position after orthognathic surgery.,688,688
[Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)],689,689
Isolated cerebellar involvement in a case of posterior reversible leukoencephalopathy.,690,690
The rocky road to rational prescribing,691,691
Defining interaction interfaces important for the establishment of cell polarity in Drosophila neuroblasts,692,692
The exercise prescription: focus on vascular mechanisms.,693,693
Child social skills training in developmental crime prevention: effects on antisocial behavior and social competence.,694,694
Soda and cell aging: associations between sugar-sweetened beverage consumption and leukocyte telomere length in healthy adults from the National Health and Nutrition Examination Surveys,695,695
Unsuspected ethanol ingestion through soft drinks and flavored beverages,696,696
Altering existing buildings in the UK,697,697
The concept of neurosis in a cross-cultural perspective,698,698
internetQueryObject to Partner With DataFlux; iQO to Provide Enhanced Application Scalability through QueryObject System; DataFlux to Enhance Data Accuracy through dfPower,699,699
Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,700,700
Lung function efficacy of olodaterol qd delivered via respimat� vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract],701,701
Antenatal lower genital tract infection screening and treatment programs for preventing preterm delivery,702,702
Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule.,703,703
Bladder cancer and urothelial impairment: the role of TRPV1 as potential drug target.,704,704
Effect of a cooling hood on physiological responses to work in a hot environment,705,705
A novel approach to control hyperglycemia in type 2 diabetes: sodium glucose co-transport (SGLT) inhibitors: systematic review and meta-analysis of randomized trials.,706,706
"Obesity, weight change and risks for hypertension, diabetes and hypercholesterolemia in Japanese men.",707,707
Delayed costs of suppressed pain.,708,708
Osteoarthritis of the thumb carpometacarpal joint in women and occupational risk factors: a case-control study,709,709
"A comparative outcome study of body awareness therapy, feldenkrais, and conventional physiotherapy for patients with nonspecific musculoskeletal disorders: Changes in psychological symptoms, pain, and self-image",710,710
Use of implantable cardioverter-defibrillators for primary prevention in older patients: A systematic literature review and meta-analysis.,711,711
Incidence of and risk factors for motor neurone disease in UK women: a prospective study.,712,712
Burkholderia cepacia complex infection in a case of sinonasal polyposis recurrence without cystic fibrosis,713,713
Pilot randomized controlled trial of web-based acceptance and commitment therapy for smoking cessation.,714,714
Anti-hypertensive medicines prescribing for medical outpatients in a premier teaching hospital in Nigeria: a probable shift of paradigm.,715,715
"Agitation, aggression, and disinhibition syndromes after traumatic brain injury",716,716
The effect of lymphatico-venous anastomosis for an intractable ulcer at the lower leg in a marked obese patient.,717,717
Effects of multifunctional fabrics on cardiac autonomic tone and psychological state,718,718
Manual versus electric vacuum aspiration for first-trimester abortion: a systematic review,719,719
Behaviour Research and Therapy Outcome predictors in guided and unguided self-help for social anxiety disorder,720,720
Probiotics for the treatment of upper and lower respiratory-tract infections in children: systematic review based on randomized clinical trials,721,721
"Bradykinin is a mediator, but unlikely a trigger, of antiarrhythmic effects of ischemic preconditioning",722,722
The NADPH oxidase-mediated production of hydrogen peroxide (H(2)O(2)) and resistance to oxidative stress in the necrotrophic pathogen Alternaria alternata of citrus.,723,723
Review of epidemiology and management of atrial fibrillation in developing countries.,724,724
"William H. Taft High School Project HOLA, 1985-1986. OEA Evaluation Report.",725,725
The lung cancer management guidelines 2012.,726,726
Special problems in the prosthetic rehabilitation of deep bite,727,727
The potential impact of bias in studies of residential exposure to magnetic fields and childhood leukemia,728,728
Changes of interaction during the development of a mathematical learning environment.,729,729
An internet-based program to enhance motivation to change in females with symptoms of an eating disorder: A randomized controlled trial,730,730
Air pollution and risk of urinary bladder cancer in a case-control study in Spain,731,731
Remission rates following antidepressant therapy with bupropion or selective serotonin reuptake inhibitors: a meta-analysis of original data from 7 randomized controlled trials.,732,732
Adaptive convex combination approach for the identification of improper quaternion processes,733,733
Inappropriate use of emergency services: a systematic review of prevalence and associated factors.,734,734
Use of episiotomy in the United States,735,735
"The Diversion of Ultram, Ultracet, and generic tramadol HCL.",736,736
Aberrances in autonomic cardiovascular regulation in fibromyalgia syndrome and their relevance for clinical pain reports,737,737
Sorafenib and pegylated interferon-alpha-2b in advanced metastatic melanoma: A multicenter phase II DeCOG trial,738,738
Dispersal of methicillin-resistant Staphylococcus epidermidis by staff in an operating suite for thoracic and cardiovascular surgery: relation to skin carriage and clothing,739,739
Psychometric validation of the Growth and Empowerment Measure (GEM) applied with Indigenous Australians,740,740
Alveolar soft part sarcoma of the uterine corpus. Report of two cases and review of the literature,741,741
It's Time Practitioners Help Families Clear the Air of Secondhand Smoke: A Commentary on Pyle et al. (2005),742,742
Hemostatic resuscitation for massive bleeding: The paradigm of plasma and platelets - A review of the current literature.,743,743
Studies on the biological activity of two strains of BCG: influence of production conditions.,744,744
Myocardial fibrosis by T1 mapping is an early indicator of severe cardiac allograft vasculopathy,745,745
Follistatin-like protein 1 regulates chondrocyte proliferation and chondrogenic differentiation of mesenchymal stem cells,746,746
Structural brain changes associated with antipsychotic treatment in schizophrenia      as revealed by voxel-based morphometric MRI: an activation likelihood estimation       meta-analysis.,747,747
"Insights in public health: taxing sugar sweetened beverages to improve public health: policy action in Hawai'i. Doctoral Health Policy Seminar, Spring 2013",748,748
[Evidence-based therapy guideline of the German Working Group on Obesity in Childhood and Adolescence].,749,749
The cost of national service frameworks,750,750
"Simple steps to fitness. Secrets of strength. Strength training is as important to weight loss and fitness as aerobic exercise is, but many people ignore it. Here's how to get started.",751,751
Homeplace and Housing in the Lives of Low-Income Urban African American Families,752,752
"Lack of association between the connexin 37 C1019T gene polymorphism and coronary artery disease in a Chinese population: Meta-analysis of 2,206 subjects.",753,753
[Effects of tobacco advertising regulations in various countries],754,754
Intensive glucose control in the management of diabetes mellitus and inpatient hyperglycemia,755,755
The value of breast self-examination: meta-analysis of the research literature.,756,756
Palliative sedation therapy in the last weeks of life: a literature review and recommendations for standards.,757,757
Understanding depression in palliative and end-of-life care,758,758
Inhaled anticholinergics and risk for acute urinary retention: A case-crossover and case-time-control study,759,759
Compartmentalization of Fas and Fas ligand may prevent auto- or paracrine apoptosis in epithelial cells,760,760
Rituximab-related viral infections in lymphoma patients.,761,761
Fetal lung volume measurements: determination with MR imaging--effect of various factors.,762,762
Intra-operative change of gastric ph during laparotomic cholecystectomy under general anaesthesia: A prospective case-control study,763,763
The CARE guidelines: consensus-based clinical case reporting guideline development.,764,764
Effect of a creative-bonding intervention on Taiwanese nursing students' self-transcendence and attitudes toward elders.,765,765
Fc receptor-like 3 (FCRL3) -169 C/T polymorphism and systemic lupus erythematosus: A meta-analysis.,766,766
[Indirect anastomoses for moyamoya disease].,767,767
Ulcer Healing After Peripheral Intervention.,768,768
Measuring the bright side of being blue: a new tool for assessing analytical rumination in depression.,769,769
[Mammographic density: a valid risk factor for breast cancer?].,770,770
High-dose sequential (HDS) chemotherapy for high-risk non-Hodgkin's lymphoma: long-term analysis and future developments.,771,771
Core symptom measures in cancer clinical trials.,772,772
Human papillomavirus infection and increased risk of HIV acquisition. A systematic review and meta-analysis.,773,773
Prevalence of different morphologic forms of the human tongue in young Finns.,774,774
Osteoporosis in men,775,775
Neurolymphatische Bahnen: neue wissenschaftliche Nachweise untermauern die Perrin-Technik,776,776
Long term follow-up of conservative treatment of severely traumatized maxillary incisors,777,777
Magnetic resonance imaging evaluation of bone marrow changes in obstructive sleep apnoea syndrome in adults,778,778
Pulpal response to a fluoride-releasing all-in-one resin bonding system.,779,779
Improvement of action tremor by chronic cortical stimulation,780,780
Validity of Rorschach Inkblot scores for discriminating psychopaths from non-psychopaths in forensic populations: a meta-analysis.,781,781
Use of a Brief Phone Call After ED Discharge,782,782
The Effects of Pre-Reading and Sharing Mechanisms on Learning with the Use of Annotations,783,783
[Occupational exposure to sevoflurane in pediatric operating rooms: the multi-point sampling method for risk assessment].,784,784
Impact of crizotinib on patient-reported symptoms and global quality of life (QoL) compared with chemotherapy in a phase III study of advanced alk-positive non-small cell lung cancer (NSCLC),785,785
A systematic review and meta-analysis of trials of treatment of depression from India,786,786
[The use of ethonium paste in the treatment of deep dental caries].,787,787
Reporting methods in studies developing prognostic models in cancer: a review.,788,788
Hospital discharge after ambulatory knee arthroscopy: a comparison of epidural 2-chloroprocaine versus lidocaine,789,789
p16(INK4) Expression is not associated with human papillomavirus in oral lichen planus.,790,790
"Association of bleeding, mortality and sex in acute coronary syndromes: the missing triangle.",791,791
"[Severe exposure to environmental lead in a child population in Antofagasta, Chile]",792,792
Tracheostomy Care and Complications in the Intensive Care Unit,793,793
"Monitoring of fluid changes in hospitalized, Malnourished, Guatemalan children using bioelectrical impedance spectroscopy (BIS).",794,794
Preliminary state of development of prediction models for primary care physical therapy: a systematic review.,795,795
Bruxismo em crian̤as Bruxism in children,796,796
A cadaver model to evaluate the accuracy and reproducibility of plain radiograph step and gap measurements for intra-articular fracture of the distal radius.,797,797
"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",798,798
"A systematic review on the application of cardiovascular risk prediction models in pharmacoeconomics, with a focus on primary prevention.",799,799
Pan-Canadian study of mammography screening and mortality from breast cancer.,800,800
Alcohol-related morbidity and mortality.,801,801
Clinical outcome following ICD removal. The Bilitch Registry Group,802,802
Eliciting relative preferences for two methods of colorectal cancer screening,803,803
Bilingual speech: Bilateral control?,804,804
Tiao-She nursing of traditional Chinese medicine for mild cognitive disorder: An assessment of clinical evidence,805,805
One-pot semisynthesis of exon 1 of the Huntingtin protein: new tools for elucidating the role of posttranslational modifications in the pathogenesis of Huntington's disease.,806,806
Pathophysiology of paradoxical embolism: evaluation of the role of interatrial septum anatomy based on the intracardiac echocardiography assessment of patients with right-to-left shunting.,807,807
Impact of physical abuse on adulthood depressive symptoms among women.,808,808
[The microclimate of apartments and its hygienic norms],809,809
Prediction Study of Complications After Severe Trauma,810,810
"American Society of Clinical Oncology clinical practice guideline update on the use of pharmacologic interventions including tamoxifen, raloxifene, and aromatase inhibition for breast cancer risk reduction.",811,811
Preliminary validity and reliability of a Thai Berlin questionnaire in stroke patients,812,812
Spectrum and frequency of illness presenting to a pediatric emergency department.,813,813
Organization of ribosomes and nucleoids in escherichia coli cells during growth and in quiescence,814,814
"Ventricular arrhythmias in the North American multidisciplinary study of ARVC: predictors, characteristics, and treatment",815,815
Maxillofacial metastases: a retrospective review of one institution's 15-year experience,816,816
Precocious and delayed sexual development in children,817,817
Premature androgenic alopecia and insulin resistance. Male equivalent of polycystic ovary syndrome?,818,818
Pancytopenia : A rare presentation of legionella pneumonia,819,819
Mold contamination in a controlled hospital environment: a 3-year surveillance in southern Italy,820,820
Effect of (D)-fagomine on excreted Enterobacteria and weight gain in rats fed a high-fat high-sucrose diet.,821,821
CSM2004 best platform,822,822
"The importance, and important limitations, of ultrasound imaging for evaluating thyroid nodules.",823,823
Blood 25-hydroxyvitamin D concentration and hypertension: a meta-analysis.,824,824
CT features of pulmonary arterial hypertension and its major subtypes: a systematic CT evaluation of 292 patients from the ASPIRE Registry.,825,825
Clinical effect observation of fule cream to cure dermatitis eczemal,826,826
A randomized controlled trial of the effects of vitamin D on muscle strength and mobility in older women with vitamin D insufficiency.,827,827
Sleep and sleep disorders in the hospital,828,828
Doppler-derived flow pattern in the descending aorta does not predict systemic to pulmonary arterial collateral flow in patients with single ventricle palliation: a cross-sectional study.,829,829
Sleep-disordered breathing associated with long-term opioid therapy,830,830
Efficacy of allogeneic hematopoietic stem cell transplantation depends on cytogenetic risk for acute myeloid leukemia in first disease remission: a metaanalysis.,831,831
[Case management for moderate-need patients and recovery: what can we learn from experimental and quasi-experimental studies?]. [Review] [French],832,832
Considerations for the diagnosis and treatment of testosterone deficiency in elderly men.,833,833
A comparison of early gastric and post-pyloric feeding in critically ill patients: a meta-analysis.,834,834
Definitive radiotherapy for T1 glottic squamous cell carcinoma: a 15-year Cruces University Hospital experience,835,835
Comparison of methods for defining prevalent vertebral deformities: the Study of Osteoporotic Fractures.,836,836
Children are pharmaco-therapeutic orphans.,837,837
Prehospital hypertonic saline resuscitation attenuates the activation and promotes apoptosis of neutrophils in patients with severe traumatic brain injury.,838,838
Value of intravenous cholangiography prior to laparoscopic cholecystectomy,839,839
Systematic review of occupational engagement and health outcomes among community-dwelling older adults,840,840
Fractional flow reserve for guiding PCI.,841,841
Difference in postural control between patients with functional and mechanical ankle instability,842,842
"Early ankle mobilization, Part I: The immediate effect on acute, lateral ankle sprains (a randomized clinical trial)",843,843
Importance of Arsenic and pesticides in epidemic chronic kidney disease in Sri Lanka,844,844
Chiropractic vertebral subluxations,845,845
Effect of infliximab on the healing of intestinal anastomosis. An experimental study in rats.,846,846
How to appraise the effectiveness of treatment,847,847
Non-steroidal anti-inflammatory drugs and myocardial infarctions: comparative systematic review of evidence from observational studies and randomised controlled trials.,848,848
Using a social communication intervention to improve the social interactions and employment experiences of adolescents with high functioning autism spectrum disorders,849,849
Is there evidence that barrier membranes prevent bone resorption in autologous bone grafts during the healing period? A systematic review.,850,850
"Recognizing, naming, and measuring a family intensive care unit syndrome",851,851
"Association of diet, exercise, and smoking modification with risk of early cardiovascular events after acute coronary syndromes.",852,852
Retrovirus-mediated WASP gene transfer corrects Wiskott-Aldrich syndrome T-cell dysfunction.,853,853
Complication rate of endosonography (endobronchial and endoscopic ultrasound): a systematic review.,854,854
Comparison of serum and renal gentamicin concentrations with fractional urinary excretion tests as indicators of nephrotoxicity,855,855
The Antiseptic Efficacy and Tolerability of Lavasept� 0.04% on Acute Traumatic Wounds,856,856
Determinants of arterial wall remodeling during lipid-lowering therapy: serial intravascular ultrasound observations from the Reversal of Atherosclerosis with Aggressive Lipid Lowering Therapy (REVERSAL) trial,857,857
Economic evaluation of inhaled nitric oxide in preterm infants undergoing mechanical ventilation,858,858
"The impact of emotional and social support on the quality of life, depression, and disability among us adults with chronic obstructive pulmonary disorder (COPD): A propensity score analysis",859,859
Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],860,860
Differential dendritic cell-mediated activation and functions of invariant NKT-cell subsets in oral cancer.,861,861
[Use of probiotics and prebiotics in infant formulas].,862,862
[Postacute care].,863,863
Internet-delivered exposure and mindfulness based therapy for irritable bowel syndrome--a randomized controlled trial,864,864
Sleep-related nighttime crying (yonaki) in Japan: a community-based study.,865,865
WITHDRAWN: Zinc for the common cold.,866,866
Successful treatment with a rituximab-based regimen of a splenic marginal zone lymphoma with villous lymphocytes in a very frail patient on maintenance dialysis.,867,867
In this issue,868,868
Exercise-induced changes of the upper extremity in chronic stroke survivors,869,869
Respiratory syncytial virus prophylaxis: cost-effective analysis in Argentina (Structured abstract),870,870
Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,871,871
Sex differences in pain.,872,872
Preoperative radiotherapy for esophageal carcinoma,873,873
Robotic surgery in gynecology.,874,874
Cost-utility analysis of osteopathy in primary care: results from a pragmatic randomized controlled trial,875,875
The cost of depression-complicated alcoholism: health-care utilization and treatment effectiveness,876,876
Are birth kits a good idea? A systematic review of the evidence.,877,877
Differential functional connectivity within an emotion regulation neural network among individuals resilient and susceptible to the depressogenic effects of early life stress.,878,878
Nurturing students' interest in primary care research through summer training in meta-analysis.,879,879
Obesity from cradle to grave.,880,880
Effects on prolongation of Bazett�۪s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis,881,881
Cost-effectiveness of pharmacological and psychosocial interventions for schizophrenia (Structured abstract),882,882
Sports injuries of the ankle. [Japanese],883,883
,884,884
Chronic heart failure: Current guideline recommendations and innovations. [German],885,885
[Procalcitonin as an early marker of sepsis],886,886
"The ROX coupler: Creation of a fixed iliofemoral arteriovenous anastomosis for the treatment of systemic arterial hypertension, exploiting the physical properties of the arterial vasculature.",887,887
Downregulated E-cadherin expression indicates worse prognosis in Asian patients with colorectal cancer: evidence from meta-analysis.,888,888
Preoperative administration of tramadol continuous infusion reduces postoperative morphine requirements in patients undergoing surgery following femur fracture,889,889
A re-appraisal of screening for colour vision impairments,890,890
Comparison of different distal radius dorsal and volar fracture fixation plates: a biomechanical study,891,891
Polycystic ovary syndrome (PCOS) and other androgen excess-related conditions: can changes in dietary intake make a difference?,892,892
"Maternal use of folic acid supplements during pregnancy, and childhood respiratory health and atopy.",893,893
Shedding health risks with bariatric weight loss surgery,894,894
Historical misrepresentation in science: the case of fetal alcohol syndrome,895,895
Effects of different antihypertensive drugs on plasma fibrinogen in hypertensive patients.,896,896
"Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls",897,897
Too little but not too late: results of a literature review to improve routine immunization programs in developing countries,898,898
Outcomes among patients with end-stage liver disease who are coinfected with HIV and hepatitis C virus.,899,899
Phase II study to evaluate the safety and efficacy of the oral neurokinin-1 receptor antagonist casopitant (GW679769) administered with ondansetron for the prevention of postoperative and postdischarge nausea and vomiting in high-risk patients,900,900
Factors Predicting Success and Failure for Cervical Facet Radiofrequency Denervation: A Multi-Center Analysis,901,901
Mediterranean diet and metabolic syndrome: an updated systematic review.,902,902
Immunotherapy for autoimmune autonomic ganglionopathy,903,903
Challenges in deactivating a total artificial heart for a patient with capacity.,904,904
Readmissions after hospital discharge with acute exacerbation of COPD: are we missing something?,905,905
Read with Me! Examining the Effects of a Community Volunteer Reading Program on Preschoolers' Literacy Skills,906,906
Efficacy of continuation/maintenance electroconvulsive therapy for the prevention of recurrence of a major depressive episode in adults with unipolar depression: a systematic review.,907,907
"Autonomic activity, pain, and perceived health in patients on sick leave due to stress-related illnesses",908,908
"Body mass index and socioeconomic status measured in adolescence, country of origin, and the incidence of gastroesophageal adenocarcinoma in a cohort of 1 million men.",909,909
Galphai generates multiple Pins activation states to link cortical polarity and spindle orientation in Drosophila neuroblasts,910,910
Exposure to second-hand smoke and the risk of tuberculosis in children and adults: a systematic review and meta-analysis of 18 observational studies.,911,911
"Disordered eating, acculturation, and treatment-seeking in a community sample of Hispanic, Asian, Black, and White women",912,912
Semi-automated scoring of pulmonary emphysema from X-ray CT: trainee reproducibility and accuracy.,913,913
The choice of whether to participate in a phase I clinical trial: increasing the awareness of patients with cancer. An exploratory study.,914,914
Study of high- and low-current-configuration homes from the 1988 Denver Childhood Cancer Study,915,915
Health services research methods: a guide to best practice,916,916
Transapical aortic valve implantation in 175 consecutive patients: excellent outcome in very high-risk patients.,917,917
An evaluation of ultrasound imaging for identification of lumbar intervertebral level.,918,918
Branching enzyme deficiency: expanding the clinical spectrum.,919,919
[Blood insulin values after the oral glucose tolerance test (OGTT) and the body composition in 30 obese children].,920,920
Study: Edoxaban safer alternative to warfarin for Afib patients,921,921
Budesonide/formoterol in a single inhaler sustains lung function improvements in COPD [Abstract],922,922
"Can moxibustion, an ancient treatment modality, be evaluated in a double-blind randomized controlled trial? - A narrative review",923,923
"Amitriptyline, minocycline and maropitant reduce the sevoflurane minimum alveolar concentration and potentiate remifentanil but do not prevent acute opioid tolerance and hyperalgesia in the rat: a randomised laboratory study.",924,924
SUNCT syndrome: VIII. Pupillary reaction and corneal sensitivity,925,925
Competencies for undergraduate community-based education for the health professions - A systematic review.,926,926
"Efficacy, immunogenicity, and safety of a pentavalent human-bovine (WC3) reassortant rotavirus vaccine at the end of shelf life",927,927
Preferences and practices of Americans and their physicians in antihypertensive therapy,928,928
"Decision analysis for small, asymptomatic intracranial arteriovenous malformations",929,929
WhatsApp Messenger is useful and reproducible in the assessment of tibial plateau fractures: inter- and intra-observer agreement study.,930,930
Type I and II endometrial cancers: have they different risk factors?,931,931
Should psychiatrists use atypical antipsychotics to treat nonpsychotic anxiety?.,932,932
Predictors of intention to adhere to physiotherapy among women with urinary incontinence.,933,933
Role of non-opioid analgesic techniques in the management of pain after ambulatory surgery,934,934
Raised intracranial pressure following abdominal closure in a polytrauma patient.,935,935
"Collaborative practice: development, implementation, and evaluation of a weaning protocol for patients receiving mechanical ventilation",936,936
Changes in lower esophageal sphincter pressure (LES) after Stamm gastrostomy,937,937
Consumption of fried foods and risk of metabolic syndrome: the SUN cohort study,938,938
"The expert patients programme online, a 1-year study of an Internet-based self-management programme for people with long-term conditions",939,939
Clinical course of patients with aspirin-exacerbated     respiratory disease: can we predict the prognosis?,940,940
Perineal endometriosis: a case report and review of the literature,941,941
Management of hemorrhage complicated by novel oral anticoagulants in the emergency department: Case report from the northwestern emergency medicine residency,942,942
Improving cognition by adherence to physical or mental exercise: a moderated mediation analysis.,943,943
Evaluation of a hybrid constructed wetland for treating domestic sewage from individual housing units surrounding agricultural villages in South Korea,944,944
Posterior lumbar interbody fusion versus posterolateral fusion with instrumentation in the treatment of low-grade isthmic spondylolisthesis: midterm clinical outcomes,945,945
The Family Contract Game: Technique and case study,946,946
Inhibition of dxpression of VEGF in tumor cells by RNAi. [Chinese],947,947
Same-Day Discharge After Percutaneous Coronary Intervention: A Meta-Analysis.,948,948
Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?,949,949
"Astaxanthin Inhibits JAK/STAT-3 Signaling to Abrogate Cell Proliferation, Invasion and Angiogenesis in a Hamster Model of Oral Cancer.",950,950
"Analysis of the cochrane review: Biomarkers as point-of-care tests to guide prescription of antibiotics in patients with acute respiratory infections in primary care. cochrane database syst rev. 2014,11:Cd10130",951,951
Preval̻ncia de bruxismo e dist̼rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals,952,952
Diagnostic performance of body mass index to identify obesity as defined by body adiposity: a systematic review and meta-analysis.,953,953
Stress enhances retrieval of drug-related memories in abstinent heroin addicts,954,954
Combined antiplatelet and anticoagulant therapy: Clinical benefits and risks,955,955
Effects of control over office workspace on perceptions of the work environment and work outcomes,956,956
"New concepts in predicting, evaluating, and managing neurodevelopmental outcomes in children with congenital heart disease.",957,957
Continuous aspiration of subglottic secretions in preventing ventilator-associated pneumonia.,958,958
Transport of infants with congenital heart disease.,959,959
Harmonizing Pain Outcome Measures: Results of the Pre-OMERACT Meeting on Partnerships for Consensus on Patient-important Pain Outcome Domains Between the Cochrane Musculoskeletal Group and OMERACT,960,960
Effects of Ginkgo biloba on haemostatic factors and inflammation in chronic peritoneal dialysis patients.,961,961
Contents List,962,962
Antimalarial agents: Are we running out of options?,963,963
A balancing act of the brain: activations and deactivations driven by cognitive load.,964,964
18F-flumazenil: a �_-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,965,965
"[In vitro culture of cells from respiratory mucosa on foils of collagen, poly-L-lactide (PLLA) and poly-3-hydroxy-butyrate (PHB)].",966,966
Poverty is the main environmental factor for obesity in a Mexican-border city,967,967
Growth hormone treatment and diabetes: survey of the kabi pharmacia international growth study.,968,968
The effects of 4-aminopyridine on neurological deficits in chronic cases of traumatic spinal cord injury in dogs: A phase I clinical trial,969,969
Yoga Spinal Flexion Positions and Vertebral Compression Fracture in Osteopenia or Osteoporosis of Spine: Case Series,970,970
Augmin-dependent microtubule nucleation at microtubule walls in the spindle,971,971
[Pravastatin and acetylsalycilic acid fixed-combination: a strategy to improve cardiovascular outcomes].,972,972
Functional conservation and divergence of J-domain-containing ZUO1/ZRF orthologs throughout evolution.,973,973
"Validity of International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM) screening for sepsis in surgical mortalities.",974,974
"The association between urinary cortisol excretion and cardiovascular risk factors, bone status and quality of life in the population.",975,975
"The value of transurethral bladder biopsy after intravesical bacillus Calmette-Guerin instillation therapy for nonmuscle invasive bladder cancer: A retrospective, single center study and cumulative analysis of the literature.",976,976
Complicated skin and soft tissue infection.,977,977
"Nonsyndromic 46,XX Testicular Disorders of Sex Development",978,978
Mild endoplasmic reticulum stress augments the proinflammatory effect of IL-1�_ in pancreatic rat �_-cells via the IRE1�/XBP1s pathway.,979,979
<title>SPECCHIO: a free spectral data management and processing system</title>,980,980
Operations for cervical incompetence,981,981
Effectiveness of measles vaccination and vitamin A treatment,982,982
Acute effects of different nutritional supplements on symptoms and functional capacity in patients with chronic obstructive pulmonary disease.,983,983
Preliminary results from a single institutional prospective study of alemtuzumab for the treatment of steroid refractory acute graft versus host disease in pediatrics,984,984
"Anaesthesia, movement and emesis",985,985
Antimicrobial susceptibility among Gram-positive organisms collected from pediatric patients globally between 2004 and 2011: results from the Tigecycline Evaluation and Surveillance Trial,986,986
Left ventricular hypertrophy predicts outcome of hypertension regardless of the type of ventricular arrhythmia present,987,987
Combined use of caudal bupivacaine and rectal diclofenac is not superior to the use of each analgesic regimen alone,988,988
Measurement of muscle architecture concurrently with muscle hardness using ultrasound strain elastography.,989,989
Energy and fat intakes of children and adolescents in the united states: data from the national health and nutrition examination surveys,990,990
An official American Thoracic Society systematic review: Influence of psychosocial characteristics on workplace disability among workers with respiratory impairment.,991,991
Polymorphisms of the XPC gene may contribute to the risk of head and neck cancer: a meta-analysis.,992,992
An evaluation of the effectiveness of recruitment methods: The staying well after depression randomized controlled trial,993,993
Campfire burns in children: an Australian experience.,994,994
Distribution of silicotic collagenization in relation to smoking habits,995,995
Mega-ampere submicrosecond generator GIT-32,996,996
Correct Performance of Pelvic Muscle Exercises in Women Reporting Prior Knowledge.,997,997
"Long-term survival after ""liver first"" approach for locally advanced rectal cancer and synchronous liver metastases",998,998
Pharmacoeconomic Evaluation of Tiotropium Bromide in the Long-Term Treatment of Chronic Obstructive Pulmonary Disease (COPD) in Italy,999,999
