ounces,abv,original_index,unique_index
12.0 oz. Alumi-Tek,0.049%,1635,159
12.0 oz,,1636,220
12.0 ounce,0.047%,1637,242
12.0 oz,0.047,1638,164
12.0 oz,0.047,1639,164
16.0 oz.,0.041,1640,185
16.0 oz.,0.059,1641,429
16.0 oz.,0.069,1642,45
16.0 oz. Alumi-Tek,0.067,1643,607
12.0 oz.,0.061,1644,288
16.0 oz.,0.055999999999999994%,1645,274
16.0 oz,0.073,1646,482
12.0 oz.,0.07,1647,26
12.0 oz.,0.05,1648,34
12.0 ounce,0.05,1649,146
16.0 oz,0.06,1650,248
16.0 ounce,0.07,1651,228
16.0 oz.,0.06,1652,70
16.0 oz.,0.045,1653,409
16.0 oz,0.055,1654,96
16.0 oz,0.045,1655,608
16.0 ounce,0.055,1656,199
16.0 ounce,0.07%,1657,390
16.0 oz.,0.065,1658,250
12.0 oz.,0.069,1659,193
12.0 ounce,0.057,1660,91
16.0 oz,0.045,1661,608
16.0 oz,0.049,1662,609
16.0 ounce,0.068,1663,355
12.0 OZ.,0.05%,1664,423
12.0 ounce,0.054,1665,160
12.0 ounce,0.099,1666,300
12.0 oz.,,1667,219
12.0 oz.,,1668,219
12.0 OZ.,0.059000000000000004%,1669,610
12.0 oz.,0.069%,1670,488
12.0 ounce,0.06,1671,15
12.0 oz.,0.058,1672,606
12.0 OZ.,0.057,1673,79
12.0 oz.,0.057999999999999996%,1674,94
12.0 oz.,0.059,1675,35
12.0 oz.,0.052000000000000005%,1676,373
16.0 oz.,0.052000000000000005%,1677,558
12.0 oz,0.045,1678,158
12.0 oz,0.055,1679,54
12.0 ounce,0.046,1680,353
12.0 OZ.,0.058,1681,611
12.0 oz.,0.044,1682,175
12.0 oz.,0.046,1683,214
12.0 OZ.,0.099%,1684,612
12.0 oz,0.051%,1685,583
12.0 oz.,0.059,1686,35
12.0 oz,0.053,1687,120
12.0 oz.,0.06,1688,16
12.0 oz.,0.051%,1689,116
12.0 oz,0.072,1690,467
12.0 oz.,0.062%,1691,349
12.0 oz.,0.049,1692,25
16.0 oz.,0.051,1693,264
16.0 oz,0.055,1694,96
16.0 oz.,0.07%,1695,268
16.0 oz.,0.047%,1696,104
16.0 ounce,0.057999999999999996%,1697,613
16.0 ounce,0.055,1698,199
16.0 oz.,0.065,1699,250
12.0 oz.,0.065,1700,41
12.0 oz,0.058,1701,241
16.0 ounce,0.08,1702,59
16.0 oz.,0.08,1703,188
16.0 ounce,0.08%,1704,338
16.0 ounce,0.05,1705,43
12.0 ounce,0.05%,1706,208
12.0 oz.,0.09,1707,568
16.0 ounce,0.07,1708,228
12.0 OZ.,0.099,1709,614
16.0 oz.,0.05,1710,105
16.0 oz.,0.07%,1711,268
16.0 oz.,0.064,1712,615
16.0 oz.,0.064,1713,615
16.0 oz.,,1714,259
16.0 oz.,0.05,1715,105
16.0 oz.,0.046,1716,396
16.0 oz.,0.056,1717,356
12.0 oz,0.062,1718,342
12.0 oz,,1719,220
12.0 ounce,0.055,1720,55
12.0 ounce,0.068,1721,149
12.0 ounce,0.058,1722,100
12.0 ounce,0.061,1723,144
12.0 oz.,0.057%,1724,177
12.0 oz.,0.068,1725,108
12.0 oz,0.065,1726,40
12.0 ounce,0.05%,1727,208
12.0 oz.,0.057%,1728,177
12.0 oz,0.055,1729,54
12.0 oz.,0.06,1730,16
12.0 oz.,0.058,1731,606
12.0 oz. Alumi-Tek,0.052,1732,243
12.0 oz.,0.043%,1733,616
12.0 oz.,0.072,1734,10
12.0 oz.,0.048%,1735,89
16.0 oz. Alumi-Tek,0.038,1736,617
16.0 oz,0.035%,1737,618
16.0 oz.,0.043,1738,619
16.0 ounce,0.05,1739,43
16.0 oz.,0.05,1740,105
16.0 ounce,0.05,1741,43
16.0 oz,0.055%,1742,406
12.0 oz,0.05,1743,0
12.0 OZ.,0.062,1744,191
12.0 oz. Alumi-Tek,0.08,1745,620
12.0 oz,0.05,1746,0
12.0 oz. Alumi-Tek,0.071,1747,490
12.0 oz.,0.062,1748,113
12.0 oz.,0.048,1749,231
12.0 OZ.,0.08,1750,621
12.0 oz.,0.081,1751,399
12.0 oz. Alumi-Tek,0.053,1752,75
12.0 oz,0.051,1753,134
12.0 oz.,0.061,1754,288
12.0 oz.,0.055,1755,8
12.0 ounce,0.062,1756,127
12.0 ounce,0.048,1757,170
16.0 oz,0.045,1758,608
16.0 oz.,0.053,1759,266
16.0 oz.,,1760,259
16.0 ounce,0.055%,1761,622
16.0 oz. Alumi-Tek,0.059,1762,623
16.0 oz.,0.05,1763,105
16.0 ounce,0.07%,1764,390
12.0 oz. Alumi-Tek,0.055%,1765,522
16.0 oz,0.051,1766,332
16.0 oz.,0.076,1767,466
16.0 ounce,0.07,1768,228
16.0 OZ.,0.08,1769,624
12.0 ounce,0.071%,1770,407
12.0 ounce,0.099,1771,300
12.0 oz.,0.051,1772,190
12.0 oz.,0.056,1773,101
12.0 oz,0.07200000000000001%,1774,347
12.0 oz.,0.063%,1775,625
12.0 oz.,0.045%,1776,6
12.0 oz,0.055999999999999994%,1777,182
12.0 oz.,0.073,1778,11
12.0 oz.,0.048,1779,231
16.0 oz.,0.073%,1780,481
16.0 ounce,0.056,1781,626
12.0 oz,0.05,1782,0
12.0 oz.,0.068%,1783,169
12.0 oz.,0.052000000000000005%,1784,373
12.0 ounce,0.048%,1785,141
12.0 oz.,0.069%,1786,488
16.0 ounce,0.095,1787,627
16.0 oz,0.091%,1788,628
12.0 oz.,0.055,1789,8
12.0 ounce,0.05%,1790,208
12.0 oz.,0.06,1791,16
12.0 oz,0.065,1792,40
12.0 OZ.,0.055%,1793,629
12.0 oz.,0.05%,1794,246
12.0 ounce,0.07,1795,33
12.0 oz.,0.069%,1796,488
12.0 oz,0.055,1797,54
12.0 oz.,0.081,1798,399
12.0 ounce,0.05,1799,146
12.0 ounce,0.055,1800,55
12.0 oz,0.07,1801,93
12.0 oz.,0.05,1802,34
12.0 ounce,0.055%,1803,315
12.0 oz.,0.055%,1804,39
12.0 ounce,0.057999999999999996%,1805,194
12.0 oz,0.068,1806,485
16.0 ounce,0.08900000000000001%,1807,630
12.0 ounce,0.054000000000000006%,1808,631
16.0 ounce,0.07,1809,228
12.0 ounce,0.055,1810,55
12.0 oz,0.071,1811,202
12.0 oz.,0.045,1812,57
12.0 oz.,,1813,219
12.0 oz.,0.08%,1814,136
12.0 oz.,0.055,1815,8
12.0 oz.,0.066,1816,1
16.0 oz.,0.05%,1817,106
12.0 oz,0.065,1818,40
12.0 oz.,0.065%,1819,313
12.0 oz.,0.065,1820,41
12.0 oz,0.05,1821,0
12.0 oz.,0.05,1822,34
12.0 ounce,0.045%,1823,362
12.0 oz.,0.05,1824,34
12.0 oz. Alumi-Tek,0.040999999999999995%,1825,632
12.0 oz.,0.045%,1826,6
12.0 oz.,0.047,1827,138
12.0 oz.,0.074,1828,633
16.0 oz,0.065,1829,238
16.0 oz,0.065,1830,238
16.0 oz.,0.07%,1831,268
16.0 ounce,0.07%,1832,390
16.0 oz,0.077%,1833,634
16.0 ounce,0.053,1834,71
16.0 ounce,0.077,1835,635
16.0 oz.,0.06,1836,70
16.0 oz.,0.07,1837,118
12.0 oz.,0.068,1838,108
12.0 ounce,0.05,1839,146
12.0 oz.,0.069%,1840,488
12.0 oz,0.051,1841,134
12.0 oz.,0.047,1842,138
12.0 oz.,0.051,1843,190
12.0 ounce,0.052,1844,135
12.0 oz.,0.072,1845,10
12.0 oz.,0.06,1846,16
12.0 oz.,0.06,1847,16
16.0 oz.,0.055999999999999994%,1848,274
12.0 ounce,0.048%,1849,141
12.0 oz.,0.05%,1850,246
16.0 oz.,0.072,1851,333
12.0 oz. Alumi-Tek,0.055999999999999994%,1852,636
16.0 oz,0.069%,1853,637
12.0 oz.,0.042%,1854,319
12.0 oz.,0.06,1855,16
12.0 oz,0.068%,1856,483
12.0 oz. Alumi-Tek,0.1,1857,638
12.0 oz,0.042,1858,56
12.0 OZ.,0.08,1859,621
16.0 ounce,0.032,1860,639
24.0 ounce,0.065,1861,640
12.0 oz.,0.047,1862,138
12.0 oz.,0.099,1863,509
12.0 ounce,0.07,1864,33
16.0 OZ.,0.067,1865,641
16.0 ounce,0.054,1866,51
16.0 oz.,0.052000000000000005%,1867,558
16.0 oz.,0.063%,1868,577
16.0 oz,0.064,1869,642
12.0 oz. Alumi-Tek,0.099%,1870,643
16.0 oz.,0.059,1871,429
16.0 oz.,0.052,1872,73
16.0 ounce,0.049,1873,240
12.0 oz,0.091%,1874,644
16.0 OZ.,0.063,1875,308
16.0 ounce,0.06,1876,102
16.0 ounce,0.054000000000000006%,1877,545
16.0 oz.,0.052,1878,73
16.0 oz.,0.063,1879,261
16.0 ounce,0.064,1880,267
12.0 oz,0.045,1881,158
12.0 oz,0.074,1882,645
12.0 OZ.,0.068%,1883,646
12.0 ounce,0.058,1884,100
12.0 oz.,0.058,1885,606
12.0 oz,0.08,1886,346
12.0 oz.,,1887,219
12.0 ounce,0.042,1888,417
12.0 oz.,0.053,1889,77
12.0 oz,0.061,1890,310
12.0 oz,0.057,1891,502
12.0 oz.,0.068,1892,108
12.0 oz,0.057999999999999996%,1893,171
12.0 ounce,0.071,1894,2
24.0 ounce,0.085,1895,647
24.0 ounce,0.082,1896,648
12.0 ounce,0.049%,1897,302
12.0 oz. Alumi-Tek,0.06%,1898,366
12.0 oz,0.055,1899,54
12.0 ounce,0.056,1900,92
12.0 oz.,0.062%,1901,349
12.0 ounce,0.049,1902,23
12.0 oz.,0.055,1903,8
12.0 oz.,0.084,1904,649
12.0 oz. Alumi-Tek,0.057999999999999996%,1905,168
12.0 oz.,0.07,1906,26
12.0 oz. Alumi-Tek,0.053,1907,75
12.0 OZ.,0.055999999999999994%,1908,650
12.0 ounce,0.049%,1909,302
12.0 oz.,0.051,1910,190
12.0 oz,0.07%,1911,124
12.0 oz.,0.058,1912,606
12.0 oz,0.062,1913,342
12.0 ounce,0.05,1914,146
12.0 oz. Alumi-Tek,0.06,1915,17
12.0 oz.,0.054000000000000006%,1916,432
12.0 oz.,0.05,1917,34
12.0 oz,0.05,1918,0
12.0 oz.,0.052,1919,326
12.0 oz.,0.068,1920,108
12.0 ounce,0.05,1921,146
12.0 oz. Alumi-Tek,0.092,1922,651
12.0 OZ.,0.063,1923,652
12.0 oz,0.063,1924,139
16.0 oz,0.06%,1925,585
12.0 oz,0.079,1926,653
12.0 OZ.,0.099,1927,614
16.0 oz.,0.055%,1928,130
16.0 oz,0.05,1929,63
12.0 oz,0.064,1930,181
12.0 OZ.,0.099%,1931,612
12.0 oz. Alumi-Tek,0.043%,1932,654
12.0 oz.,0.052000000000000005%,1933,373
12.0 oz.,0.046,1934,214
12.0 OZ.,0.057%,1935,655
16.0 oz.,0.084,1936,52
12.0 ounce,0.063,1937,469
16.0 ounce,0.07,1938,228
16.0 oz. Alumi-Tek,0.055,1939,561
16.0 oz.,0.08,1940,188
16.0 oz.,0.05%,1941,106
12.0 oz.,0.035%,1942,656
16.0 oz.,0.048,1943,235
16.0 ounce,0.055,1944,199
16.0 oz,0.075,1945,335
16.0 oz.,0.077,1946,305
12.0 oz,0.053%,1947,530
12.0 oz.,0.058,1948,606
12.0 OZ.,0.05,1949,107
16.0 oz,0.08,1950,365
16.0 oz,0.057999999999999996%,1951,657
16.0 oz. Alumi-Tek,0.05%,1952,658
16.0 ounce,0.058,1953,453
12.0 oz,0.065,1954,40
12.0 ounce,0.055,1955,55
12.0 oz.,0.069,1956,193
12.0 oz.,0.085,1957,13
12.0 ounce,0.092,1958,115
12.0 oz.,0.085%,1959,659
12.0 oz,0.072,1960,467
16.0 oz.,0.05,1961,105
12.0 oz,0.099,1962,660
12.0 ounce,0.055,1963,55
12.0 oz,0.069,1964,166
12.0 oz,0.083,1965,661
16.0 ounce,0.065,1966,42
12.0 oz.,0.05,1967,34
12.0 oz.,0.047,1968,138
16.0 oz,,1969,260
16.0 oz,0.058,1970,479
16.0 oz.,0.096,1971,662
16.0 OZ.,0.082,1972,663
16.0 oz,0.079%,1973,664
16.0 oz.,0.06,1974,70
16.0 oz.,0.055,1975,66
12.0 oz,0.096%,1976,665
16.0 OZ.,0.073,1977,666
12.0 oz.,0.062%,1978,349
12.0 oz.,0.06,1979,16
12.0 oz,0.058,1980,241
12.0 oz.,0.055,1981,8
12.0 ounce,0.05,1982,146
12.0 ounce,0.05%,1983,208
12.0 oz,0.056,1984,97
16.0 oz,0.052,1985,117
12.0 oz,0.042,1986,56
16.0 ounce,0.065,1987,42
12.0 oz,0.048%,1988,205
12.0 ounce,0.065%,1989,86
12.0 oz.,0.065,1990,41
12.0 oz,0.049%,1991,572
12.0 oz,0.057,1992,502
12.0 oz. Alumi-Tek,0.065,1993,667
12.0 oz.,0.047,1994,138
12.0 oz. Alumi-Tek,0.047,1995,229
12.0 oz,0.054,1996,245
12.0 ounce,0.047,1997,192
12.0 oz.,0.052000000000000005%,1998,373
12.0 oz. Alumi-Tek,0.063,1999,344
12.0 oz,0.047%,2000,517
12.0 oz,0.047%,2001,517
16.0 oz.,0.047%,2002,104
12.0 oz.,0.062,2003,113
16.0 ounce,0.057,2004,668
16.0 oz,0.052000000000000005%,2005,48
12.0 oz. Alumi-Tek,0.05,2006,224
12.0 oz. Alumi-Tek,0.05%,2007,348
12.0 oz,0.035,2008,36
12.0 oz.,0.049,2009,25
12.0 ounce,0.057%,2010,669
12.0 oz,0.054,2011,245
12.0 oz,0.05%,2012,131
12.0 ounce,0.054,2013,160
12.0 oz.,0.047,2014,138
12.0 oz,0.047,2015,164
16.0 ounce,0.051%,2016,580
12.0 OZ.,0.05,2017,107
12.0 oz.,0.05,2018,34
12.0 ounce,0.045,2019,237
12.0 oz,0.045,2020,158
12.0 oz.,0.051,2021,190
12.0 oz.,0.05,2022,34
12.0 oz.,0.07200000000000001%,2023,513
12.0 oz,0.05,2024,0
12.0 oz.,0.041,2025,670
12.0 oz.,0.041,2026,670
12.0 oz.,0.032,2027,671
12.0 oz.,0.053,2028,77
12.0 ounce,0.053,2029,531
16.0 ounce,0.047%,2030,672
16.0 oz.,0.083%,2031,673
16.0 ounce,0.052,2032,307
16.0 ounce,0.054,2033,51
16.0 oz.,0.054,2034,364
16.0 ounce,0.057999999999999996%,2035,613
16.0 oz.,0.083,2036,674
16.0 ounce,0.099%,2037,196
16.0 oz,0.09,2038,457
16.0 ounce,0.053%,2039,296
16.0 oz. Alumi-Tek,0.064,2040,414
16.0 oz,0.063,2041,271
16.0 oz.,0.064,2042,615
16.0 oz,0.064,2043,642
16.0 ounce,,2044,381
16.0 ounce,0.09,2045,253
16.0 oz. Silo Can,0.065%,2046,675
16.0 oz,0.075,2047,335
16.0 ounce,0.055999999999999994%,2048,676
16.0 oz.,0.099,2049,314
16.0 oz.,0.063,2050,261
16.0 OZ.,,2051,377
16.0 ounce,0.054,2052,51
16.0 oz.,0.071%,2053,677
16.0 oz.,0.054,2054,364
16.0 oz,0.099%,2055,678
16.0 oz,0.07%,2056,163
16.0 ounce,0.09,2057,253
16.0 oz. Alumi-Tek,0.055,2058,561
16.0 oz,0.052,2059,117
16.0 oz,0.052,2060,117
16.0 oz,0.08,2061,365
16.0 oz.,0.091%,2062,679
16.0 oz,0.09%,2063,277
16.0 oz.,0.075,2064,189
16.0 ounce,0.055,2065,199
16.0 oz,0.099%,2066,678
16.0 oz.,0.054,2067,364
16.0 oz,0.053,2068,195
16.0 oz. Alumi-Tek,0.055999999999999994%,2069,680
12.0 OZ.,0.045,2070,290
12.0 ounce,0.07,2071,33
16.0 oz.,0.07200000000000001%,2072,681
16.0 oz.,0.057,2073,441
16.0 oz,0.099%,2074,678
16.0 ounce,0.073%,2075,682
16.0 ounce,0.075,2076,129
16.0 ounce,0.04,2077,455
16.0 oz,0.055,2078,96
16.0 oz,0.051,2079,332
16.0 oz.,0.051,2080,264
16.0 OZ.,0.09699999999999999%,2081,683
16.0 oz.,0.051%,2082,329
16.0 oz.,0.067,2083,351
16.0 oz. Alumi-Tek,0.062,2084,684
12.0 oz,0.073,2085,685
12.0 oz.,0.05%,2086,246
12.0 OZ.,0.056,2087,686
12.0 OZ.,0.05,2088,107
12.0 oz,0.059000000000000004%,2089,215
12.0 OZ.,0.045,2090,290
12.0 oz.,0.055,2091,8
12.0 oz.,0.057%,2092,177
12.0 oz.,0.064%,2093,233
12.0 oz.,0.054,2094,162
12.0 ounce,0.08,2095,419
12.0 oz.,0.05%,2096,246
24.0 oz.,0.05,2097,546
12.0 oz. Silo Can,0.05,2098,687
24.0 oz.,0.049%,2099,688
24.0 oz.,0.05%,2100,689
12.0 oz,0.05,2101,0
12.0 ounce,0.049%,2102,302
16.9 OZ.,0.085,2103,690
16.0 oz.,0.048%,2104,358
16.0 oz.,0.062,2105,265
16.0 OZ.,0.055999999999999994%,2106,691
16.0 oz,0.05,2107,63
16.0 oz,0.068%,2108,289
16.0 oz,0.044000000000000004%,2109,692
16.0 ounce,0.072,2110,503
16.0 oz.,0.05,2111,105
16.0 ounce,0.05%,2112,276
16.0 oz.,0.052,2113,73
16.0 OZ.,0.085,2114,693
12.0 ounce,0.05,2115,146
16.0 oz,0.05,2116,63
16.0 oz.,0.07200000000000001%,2117,681
16.0 oz.,0.044,2118,694
16.0 oz,0.05%,2119,695
16.0 oz,0.063,2120,271
16.0 oz. Alumi-Tek,0.068,2121,230
16.0 oz.,0.055999999999999994%,2122,274
16.0 oz.,0.055,2123,66
16.0 oz. Alumi-Tek,0.07%,2124,422
16.0 oz.,0.065,2125,250
16.0 oz.,0.07%,2126,268
16.0 oz,0.057,2127,439
12.0 oz,0.08,2128,346
12.0 ounce,0.057,2129,91
12.0 oz.,0.064,2130,137
12.0 oz.,0.055,2131,8
12.0 oz.,0.048%,2132,89
12.0 oz. Alumi-Tek,0.04%,2133,415
12.0 ounce,0.066,2134,165
12.0 oz,0.047%,2135,517
12.0 ounce,0.055,2136,55
12.0 oz,0.063,2137,139
12.0 oz,0.056,2138,97
12.0 oz.,0.071,2139,448
16.0 oz,0.06,2140,248
16.0 oz.,0.096%,2141,696
16.0 oz.,0.08,2142,188
16.0 oz.,0.07,2143,118
16.0 oz. Alumi-Tek,0.08,2144,697
16.0 oz. Alumi-Tek,0.08,2145,697
12.0 ounce,0.046%,2146,698
12.0 ounce,0.07%,2147,151
12.0 ounce,0.048%,2148,141
12.0 oz.,0.059,2149,35
12.0 ounce,0.05,2150,146
12.0 oz,0.073,2151,685
12.0 oz,0.07%,2152,124
16.0 oz,0.052,2153,117
16.0 oz,0.057%,2154,339
16.0 ounce,0.063,2155,496
16.0 ounce,0.052,2156,307
16.0 oz.,0.055%,2157,130
16.0 oz,0.05,2158,63
16.0 oz.,0.069,2159,45
16.0 oz,0.099,2160,263
12.0 ounce,0.046,2161,353
12.0 oz. Alumi-Tek,0.045,2162,156
12.0 ounce,,2163,212
16.0 oz.,0.052,2164,73
12.0 OZ.,0.058,2165,611
16.0 oz.,0.059,2166,429
16.0 oz.,0.047,2167,699
12.0 oz.,0.044,2168,175
12.0 oz. Alumi-Tek,0.048,2169,207
12.0 oz,0.052000000000000005%,2170,374
12.0 oz,0.040999999999999995%,2171,700
12.0 ounce,0.049,2172,23
12.0 ounce,0.051%,2173,512
12.0 oz. Alumi-Tek,0.04%,2174,415
12.0 oz.,0.062,2175,113
12.0 oz.,0.062,2176,113
12.0 oz. Silo Can,0.053,2177,701
12.0 oz,0.06,2178,90
16.0 oz,0.055%,2179,406
16.0 oz.,0.055,2180,66
16.0 oz,0.054,2181,50
16.0 OZ.,0.053,2182,702
12.0 ounce,0.052,2183,135
12.0 oz,0.065%,2184,420
12.0 oz,0.075,2185,345
12.0 oz,,2186,220
16.0 ounce,0.058,2187,453
16.0 oz,0.052,2188,117
16.0 oz,0.12,2189,703
16.0 OZ.,0.055%,2190,704
16.0 ounce,0.085,2191,564
16.0 oz.,0.058,2192,173
16.0 oz,0.051,2193,332
16.0 oz.,0.052,2194,73
16.0 oz.,0.045,2195,409
12.0 ounce,0.055,2196,55
12.0 oz,0.07%,2197,124
12.0 oz,0.07,2198,93
12.0 ounce,0.05,2199,146
12.0 oz.,0.045,2200,57
12.0 oz,0.055,2201,54
12.0 oz.,0.045,2202,57
12.0 oz.,0.073,2203,11
12.0 oz.,0.055%,2204,39
16.0 oz.,0.05,2205,105
16.0 oz.,0.068,2206,554
12.0 oz.,0.062,2207,113
12.0 oz,0.065%,2208,420
12.0 oz. Alumi-Tek,0.06,2209,17
12.0 oz.,0.057,2210,125
12.0 ounce,0.05,2211,146
12.0 ounce,0.08%,2212,705
16.0 ounce,0.082,2213,58
16.0 ounce,0.075,2214,129
12.0 oz.,0.045,2215,57
16.0 ounce,0.08199999999999999%,2216,706
12.0 ounce,0.075%,2217,707
12.0 oz.,0.055%,2218,39
16.0 ounce,0.062,2219,84
12.0 ounce,0.054000000000000006%,2220,631
12.0 oz. Alumi-Tek,0.075,2221,708
12.0 oz.,0.051%,2222,116
12.0 oz,0.041,2223,709
12.0 oz,0.048,2224,484
12.0 oz,0.052000000000000005%,2225,374
12.0 ounce,0.062%,2226,244
12.0 ounce,0.048,2227,170
12.0 oz.,0.062%,2228,349
12.0 ounce,0.057,2229,91
12.0 ounce,0.054,2230,160
12.0 oz,0.052,2231,114
12.0 oz.,0.062,2232,113
12.0 ounce,0.048,2233,170
12.0 ounce,0.046,2234,353
16.0 oz,0.063,2235,271
12.0 oz,0.057999999999999996%,2236,171
12.0 oz.,0.057999999999999996%,2237,94
12.0 oz.,0.051%,2238,116
12.0 oz. Alumi-Tek,0.051%,2239,710
12.0 oz,0.077,2240,5
12.0 ounce,0.045,2241,237
12.0 ounce,0.065,2242,7
12.0 oz,0.07,2243,93
12.0 OZ.,0.065%,2244,711
12.0 oz,0.045,2245,158
16.0 oz.,0.05,2246,105
12.0 oz,0.06,2247,90
12.0 oz.,0.072,2248,10
12.0 oz,0.048%,2249,205
12.0 ounce,0.05%,2250,208
12.0 OZ.,0.05,2251,107
12.0 oz,0.04,2252,456
12.0 oz.,0.04,2253,223
12.0 OZ.,0.073%,2254,447
12.0 ounce,0.04%,2255,712
12.0 oz,0.04%,2256,391
12.0 oz.,0.073,2257,11
12.0 oz.,0.04%,2258,499
12.0 oz.,0.04,2259,223
12.0 ounce,0.055,2260,55
16.0 oz,0.06%,2261,585
16.0 oz.,0.047%,2262,104
16.0 ounce,0.065,2263,42
16.0 ounce,0.065%,2264,69
16.0 oz,0.065,2265,238
16.0 ounce,0.001%,2266,713
16.0 oz,0.068%,2267,289
16.0 oz.,0.064,2268,615
16.0 oz.,0.078,2269,714
16.0 OZ.,0.085,2270,693
12.0 oz,0.085,2271,371
12.0 OZ.,0.042%,2272,715
12.0 oz,0.055,2273,54
12.0 oz.,0.06,2274,16
16.0 oz.,0.045,2275,409
16.0 oz. Alumi-Tek,0.045,2276,337
16.0 oz.,0.06,2277,70
19.2 oz.,0.128%,2278,716
19.2 oz,0.10400000000000001%,2279,717
19.2 oz.,0.068,2280,718
19.2 OZ.,0.099,2281,719
19.2 OZ.,0.076,2282,720
12.0 oz.,0.06,2283,16
12.0 oz.,0.065%,2284,313
19.2 oz,0.075,2285,721
19.2 oz.,0.099,2286,722
16.0 oz.,0.082,2287,278
16.0 ounce,0.077,2288,635
12.0 oz.,0.075,2289,405
12.0 oz.,0.069%,2290,488
12.0 ounce,0.048%,2291,141
12.0 oz,0.048,2292,484
12.0 oz,0.067,2293,393
12.0 oz.,0.058,2294,606
12.0 ounce,0.072,2295,723
16.0 OZ.,0.053,2296,702
12.0 oz,0.065%,2297,420
12.0 oz.,0.04%,2298,499
12.0 ounce,0.09,2299,596
12.0 oz. Alumi-Tek,0.08%,2300,724
12.0 ounce,0.06,2301,15
12.0 oz.,0.06,2302,16
12.0 ounce,0.04,2303,320
12.0 ounce,0.09,2304,596
12.0 ounce,0.04,2305,320
16.0 oz.,0.068,2306,554
16.0 oz.,0.069,2307,45
16.0 ounce,0.068%,2308,301
16.0 OZ.,0.068,2309,725
16.0 oz,0.068,2310,298
12.0 ounce,0.052,2311,135
12.0 oz,0.092,2312,726
12.0 oz.,0.079,2313,21
12.0 OZ.,0.075%,2314,727
12.0 oz.,0.092,2315,143
12.0 oz. Alumi-Tek,0.073,2316,728
12.0 ounce,0.075%,2317,707
12.0 oz,0.04,2318,456
12.0 oz,0.06%,2319,148
12.0 OZ.,0.055999999999999994%,2320,650
12.0 OZ.,0.047,2321,325
12.0 ounce,0.085,2322,412
12.0 OZ.,0.047,2323,325
12.0 ounce,0.051%,2324,512
12.0 oz,0.04%,2325,391
12.0 oz.,0.052,2326,326
12.0 oz.,0.045%,2327,6
12.0 oz.,0.06%,2328,178
12.0 oz.,0.047,2329,138
16.0 oz,0.052,2330,117
16.0 oz.,0.054,2331,364
16.0 oz.,0.07,2332,118
16.0 oz.,0.07,2333,118
12.0 oz.,0.09%,2334,729
12.0 oz.,0.07,2335,26
12.0 ounce,0.055,2336,55
12.0 oz.,,2337,219
12.0 ounce,0.055,2338,55
12.0 ounce,0.04,2339,320
12.0 oz.,0.05,2340,34
12.0 oz,0.068,2341,485
12.0 oz.,0.057,2342,125
12.0 oz,0.052000000000000005%,2343,374
12.0 oz,0.058,2344,241
16.0 ounce,,2345,381
12.0 oz,0.08%,2346,216
12.0 ounce,,2347,212
12.0 ounce,0.075%,2348,707
12.0 oz,,2349,220
12.0 oz.,0.049%,2350,24
12.0 oz,0.052000000000000005%,2351,374
12.0 oz,0.055%,2352,38
12.0 oz.,0.05,2353,34
12.0 oz.,0.055,2354,8
12.0 ounce,0.055%,2355,315
16.0 ounce,0.06,2356,102
12.0 oz,0.049,2357,218
12.0 oz.,0.049,2358,25
12.0 oz.,0.049,2359,25
12.0 oz. Alumi-Tek,0.082,2360,730
12.0 oz,0.045,2361,158
12.0 ounce,0.05,2362,146
12.0 OZ.,0.052,2363,331
12.0 oz,0.082,2364,76
12.0 oz. Alumi-Tek,0.082,2365,730
12.0 oz,0.042%,2366,574
12.0 oz.,0.06,2367,16
12.0 ounce,0.045%,2368,362
12.0 oz,0.055999999999999994%,2369,182
12.0 oz,0.068%,2370,483
12.0 oz.,0.057,2371,125
12.0 ounce,0.045,2372,237
12.0 oz,0.051,2373,134
16.0 oz. Alumi-Tek,0.054000000000000006%,2374,451
16.0 oz.,0.075,2375,189
16.0 oz.,0.05,2376,105
16.0 ounce,0.072,2377,503
16.0 oz,0.05%,2378,695
16.0 ounce,0.07400000000000001%,2379,411
16.0 oz,0.08,2380,365
12.0 oz.,0.055%,2381,39
12.0 ounce,0.071%,2382,407
12.0 oz.,0.052,2383,326
12.0 OZ.,0.048,2384,486
12.0 oz,0.059000000000000004%,2385,215
12.0 ounce,0.062,2386,127
12.0 OZ.,0.045,2387,290
12.0 oz.,0.057999999999999996%,2388,94
12.0 oz.,0.045%,2389,6
12.0 oz,0.059000000000000004%,2390,215
12.0 oz.,0.047,2391,138
12.0 oz,0.05,2392,0
12.0 ounce,0.065%,2393,86
12.0 oz.,0.028,2394,731
16.0 oz,0.065,2395,238
12.0 oz.,0.069,2396,193
12.0 oz,0.045,2397,158
12.0 oz,0.077%,2398,732
12.0 oz,0.069,2399,166
12.0 oz,0.06,2400,90
12.0 oz.,0.042,2401,88
12.0 oz,0.08199999999999999%,2402,733
12.0 oz.,0.055%,2403,39
12.0 oz.,0.075,2404,405
12.0 oz.,0.067,2405,142
12.0 oz. Alumi-Tek,0.052,2406,243
12.0 oz.,0.055%,2407,39
12.0 ounce,0.055%,2408,315
12.0 oz.,0.052,2409,326
