HospitalOwner,MeasureName,original_index,unique_index
government - local,pneumonia patients given the most appropriate initial antibiotic(s),656,222
government - local,pneumonia patients assessed and given influenza vaccination,657,223
government - local,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,658,224
government - local,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,659,225
government - local,surgery patients who were given the  right kind  of antibiotic to help prevent infection,660,226
government - local,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),661,227
government - local,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,662,228
government - local,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),663,229
government - local,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,664,230
government - local,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,665,231
government - state,heart attack patients given aspirin at arrival,666,180
government - state,heart attack patients given aspirin at discharge,667,232
government - state,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),668,182
government - state,heart attack patients given smoking cessation advice/counseling,669,183
government - state,heart attack patients given beta blocker at discharge,670,184
government - state,heart attack patients given fibrinolytic medication within 30 minutes of arrival,671,185
government - state,heartxattackxpatientsxgivenxpcixwithinx90xminutesxofxarrival,672,233
government - state,heart failure patients given discharge instructions,673,187
government - state,heart failure patients given an evaluation of left ventricular systolic (lvs) function,674,188
government - state,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),675,189
government - state,heart failure patients given smoking cessation advice/counseling,676,234
government - state,pneumonia patients assessed and given pneumococcal vaccination,677,191
government - state,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,678,192
government - state,pneumonia patients given smoking cessation advice/counseling,679,235
government - state,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,680,236
government - state,pneumonia patients given the most appropriate initial antibiotic(s),681,237
government - state,pneumonia patients assessed and given influenza vaccination,682,238
government - state,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,683,239
government - state,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,684,240
government - state,surgery patients who were given the  right kind  of antibiotic to help prevent infection,685,241
government - state,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),686,242
government - state,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,687,243
government - state,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),688,244
government - state,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,689,245
government - state,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,690,246
voluntary non-profit - private,heart attack patients given aspirin at arrival,691,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,692,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),693,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,694,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,695,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,696,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,697,68
voluntary non-profit - private,heart failure patients given discharge instructions,698,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,699,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),700,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,701,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,702,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,703,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,704,75
voluntary non-profit - private,pxeumoxia patiexts givex ixitial axtibiotic(s) withix 6 hours after arrival,705,247
voluntary non-profit - private,pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),706,248
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,707,78
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,708,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,709,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,710,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),711,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,712,4
voluntary non-profit - private,surgery paxienxs needing hair removed from xhe surgical area before surgery who had hair removed using a safer mexhod (elecxric clippers or hair removal cream c nox a razor),713,249
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,714,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,715,7
government - hospital district or authority,heart attack patients given aspirin at arrival,716,8
government - hospital district or authority,heart attack patients given aspirin at discharge,717,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),718,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,719,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,720,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,721,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,722,14
government - hospital district or authority,heart failure patients given discharge instructions,723,15
government - hospital district or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,724,16
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),725,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,726,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,727,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,728,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,729,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,730,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),731,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,732,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,733,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,734,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,735,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),736,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,737,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),738,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,739,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,740,34
proprietary,heart attack patients given aspirin at arrival,741,106
proprietary,heart attack patients given aspirin at discharge,742,172
proprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),743,108
prxprietary,heart attack patients given smoking cessation advice/counseling,744,250
proprietary,heart attack patients given beta blocker at discharge,745,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,746,111
proprietary,heart attack patients given pci within 90 minutes of arrival,747,112
proprietary,heart failure patients given discharge instructions,748,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,749,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),750,115
proprietary,heart failure patients given smoking cessation advice/counseling,751,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,752,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,753,118
proprietary,pneumonia patients given smoking cessation advice/counseling,754,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,755,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),756,174
proprietary,pneumonia patients assessed and given influenza vaccination,757,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,758,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,759,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,760,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),761,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,762,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),763,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,764,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,765,130
proprietary,children who received reliever medication while hospitalized for asthma,766,251
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,767,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,768,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),769,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,770,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),771,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,772,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,773,130
government - hospital district or authority,children who received reliever medication while hospitalized for asthma,774,252
government - hospital district or authority,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,775,253
government - hospital district or authority,children and their caregivers who received a home management plan of care document while hospitalized for asthma,776,254
government - hospital district or authority,heart attack patients given aspirin at arrival,777,8
government - hospital district or authority,heart attack patients given aspirin at discharge,778,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),779,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,780,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,781,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,782,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,783,14
goverxmext - hospital district or authority,heart failure patients given discharge instructions,784,255
government - hospital district or authority,heaxt failuxe patients given an evaluation of left ventxiculax systolic (lvs) function,785,256
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),786,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,787,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,788,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,789,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,790,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,791,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),792,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,793,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,794,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,795,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,796,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),797,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,798,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),799,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,800,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,801,34
proprietary,heart attack patxents gxven aspxrxn at arrxval,802,257
proprietary,heart attack patients given aspirin at discharge,803,172
proprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),804,108
proprietary,heart attack patients given smoking cessation advice/counseling,805,109
proprietary,heart attack patients given beta blocker at discharge,806,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,807,111
proprietary,heart attack patients given pci within 90 minutes of arrival,808,112
proprietary,heart failure patients given discharge instructions,809,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,810,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),811,115
proprietary,heart failure patients given smoking cessation advice/counseling,812,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,813,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,814,118
proprietary,pneumonia patients given smoking cessation advice/counseling,815,173
proprietary,pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,816,258
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),817,174
proprietary,pneumonia patients assessed and given influenza vaccination,818,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,819,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,820,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,821,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),822,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,823,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),824,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,825,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,826,130
voluntary non-profit - private,heart attack patients given aspirin at arrival,827,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,828,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),829,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,830,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,831,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,832,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,833,68
voluntary non-profit - private,heart failure patients given discharge instructions,834,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,835,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),836,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,837,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,838,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,839,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,840,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,841,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),842,77
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,843,78
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,844,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,845,1
voluntaxy non-pxofit - pxivate,surgery patients who were given the  right kind  of antibiotic to help prevent infection,846,259
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),847,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,848,4
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),849,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,850,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,851,7
voluntary non-profit - private,heart attack patients given aspirin at arrival,852,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,853,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),854,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,855,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,856,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,857,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,858,68
voluntary non-profit - private,heart failure patients given discharge instructions,859,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,860,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),861,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,862,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,863,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,864,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,865,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,866,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),867,77
voluxtary xox-profit - private,pneumonia patients assessed and given influenza vaccination,868,260
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,869,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,870,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,871,2
voluntaxy non-pxofit - pxivate,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),872,261
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,873,4
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),874,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,875,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,876,7
voluntary non-profit - other,heart attack patients given aspirin at arrival,877,37
voluntary non-profit - other,heart attack patients given aspirin at discharge,878,38
voluntary non-profit - other,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),879,39
voluntary non-profit - other,heart attack patients given smoking cessation advice/counseling,880,40
voluntary non-profit - other,heart attack patients given beta blocker at discharge,881,41
voluntary non-profit - other,heart attack patients given fibrinolytic medication within 30 minutes of arrival,882,42
voluntary non-profit - other,heart attack patients given pci within 90 minutes of arrival,883,43
voluntary non-profit - other,heart failure patients given discharge instructions,884,44
voluntary non-profit - other,heart failure patients given an evaluation of left ventricular systolic (lvs) function,885,45
voluntary non-profit - other,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),886,46
voluntary non-profit - other,heart failure patients given smoking cessation advice/counseling,887,47
voluntary non-profit - other,pneumonia patients assessed and given pneumococcal vaccination,888,48
voluntary non-profit - other,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,889,49
voluntary non-profit - other,pneumonia patients given smoking cessation advice/counseling,890,50
voluntary non-profit - other,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,891,51
voluntary non-profit - other,pneumonia patients given the most appropriate initial antibiotic(s),892,52
voluntary non-profit - other,pneumonia patients assessed and given influenza vaxxination,893,262
voluntary non-profit - other,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,894,54
voluntary non-profit - other,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,895,55
voluntary non-profit - other,surgery patients who were given the  right kind  of antibiotic to help prevent infection,896,56
voluntary non-profit - other,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),897,57
voluntary non-profit - other,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,898,58
voluntary non-profit - other,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),899,59
voluntary non-profit - other,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,900,60
voluntary non-profit - other,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,901,61
proprietary,childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,902,263
proprietary,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,903,169
proprietary,children and their caregivers who received a home management plan of care document while hospitalized for asthma,904,170
proprietary,heart attack patients given aspirin at arrival,905,106
proprietary,heart attack patients given aspirin at discharge,906,172
proprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),907,108
proprietary,heart attack patients given smoking cessation advice/counseling,908,109
proprietary,heart attack patients given beta blocker at discharge,909,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,910,111
proprietary,heart attack patients given pci within 90 minutes of arrival,911,112
proprietary,heart failure patients given discharge instructions,912,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,913,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),914,115
proprietary,hearx failure paxienxs given smoking cessaxion advice/counseling,915,264
proprietary,pneumonia patients assessed and given pneumococcal vaccination,916,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,917,118
proprietary,pneumonia patients given smoking cessation advice/counseling,918,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,919,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),920,174
proprietary,pneumonia patients assessed and given influenza vaccination,921,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,922,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,923,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,924,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),925,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,926,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),927,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,928,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,929,130
voluntary non-profit - private,heart attack patients given aspirin at arrival,930,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,931,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),932,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,933,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,934,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,935,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,936,68
voluntary non-profit - private,heart failure patients given discharge instructions,937,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,938,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),939,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,940,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,941,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,942,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,943,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,944,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),945,77
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,946,78
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,947,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,948,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,949,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),950,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,951,4
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),952,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,953,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,954,7
proprietary,heart attack patients given aspirin at arrival,955,106
proprietary,heart attack patients given aspirin at discharge,956,172
proprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),957,108
proprietary,heart attack patients given smoking cessation advice/counseling,958,109
proprietary,heart attack patients given beta blocker at discharge,959,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,960,111
proprietary,heart attack patients given pci within 90 minutes of arrival,961,112
proprietary,heart failure patients given discharge instructions,962,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,963,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),964,115
proprietary,heart failure patients given smoking cessation advice/counseling,965,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,966,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,967,118
proprietary,pneumonia patients given smoking cessation advice/counseling,968,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,969,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),970,174
proprietary,pneumonia patients assessed and given influenza vaccination,971,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,972,123
proprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,973,176
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,974,125
proprietary,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),975,177
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,976,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),977,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,978,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,979,130
voluntary non-profit - private,heart attack patients given aspirin at arrival,980,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,981,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),982,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,983,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,984,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,985,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,986,68
voluntary non-profit - private,heart failure patients given discharge instructions,987,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,988,70
