Description,original_index,unique_index
Add a Plot,3102,235
"A hard boiled business man wants his daughter to marry for wealth, and not for love. Charley comes into the office seeking a job, and gets confused with an old geezer there as a prospective...",3103,3065
"While building an irrigation system for a Southwestern desert community, an engineer vies with a local cowboy for the affections of a rancher's daughter.",3104,3066
"A singing waiter and composer (Al Jolson) loves two women (Betty Bronson, Josephine Dunn), conquers Broadway and holds his dying son, singing 'Sonny Boy.'",3105,3067
"On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who's being courted for a dangerous military mission.",3106,3068
"Poor but happy, young Nello and his grandfather live alone, delivering milk as a livelihood, in the outskirts of Antwerp, a city in Flanders (the Flemish or Dutch-speaking part of ...",3107,3069
"The musical revolves around the antics of Mame Dennis, a fun-loving, wealthy eccentric with a flare for life and a razor sharp wit. Her life is suddenly changed when she becomes the ...",3108,3070
"The emotional story of a boy, his grandfather, and his dog. The boy's dream of becoming a great classical painter appears shattered when his loving grandfather dies.",3109,3071
"This musical version of Don Quixote is framed by an incident allegedly from the life of its author, Miguel de Cervantes. Don Quixote is the mad, aging nobleman who embarrasses his ...",3110,3072
"King Arthur's rule is threatened by the adulterous love between Sir Lancelot and Queen Guinevere, a relationship the king's enemies hope to exploit.",3111,3073
"Two naive young women become friends after moving to the Big Apple in the early 1920s, and together they learn to face the challenges inherit in becoming contemporary women. This acclaimed musical comedy won an Academy Award for its Elmer Bernstein score.",3112,3074
In 1825 an English aristocrat is captured by Indians. He lives with them and begins to understand/accept their lifestyles. Eventually he is accepted as part of the tribe and becomes their leader.,3113,3075
Harold Hill poses as a boys' band leader to con naive Iowa townsfolk.,3114,3076
A widow accepts a job as a live-in governess to the King of Siam's children.,3115,3077
"Abner Hale, a rigid and humorless New England missionary, marries the beautiful Jerusha Bromley and takes her to the exotic island kingdom of Hawaii, intent on converting the natives. But ...",3116,3078
Two US Treasury agents hunt a successful counterfeiting ring.,3117,3079
A small town policeman is assisted by a Harvard professor when the skeletal remains of a pregnant prostitute turn up on a Massachusetts beach.,3118,3080
Reformed parolee Steve Lacey is caught in the middle when a wounded former cellmate seeks him out for shelter.,3119,3081
An army lieutenant accused of robbery pursues the real thief on a frantic chase through Mexico aided by the thief's fiancee.,3120,3082
"An Englishman vacationing in a Ruritarian kingdom is recruited to impersonate his cousin, the soon-to-be-crowned king when the monarch is drugged and kidnapped.",3121,3083
A meek pharmacist creates an alternate identity under which he plans to murder the bullying liquor salesman who has become his wife's lover.,3122,3084
"An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.",3123,3085
An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,3124,3086
"When Louis Bloom, a driven man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",3125,3087
"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",3126,3088
"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",3127,3089
"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",3128,3090
A struggling young father-to-be gives in to temptation and impulsively steals money from the office of a shady lawyer - with catastrophic consequences.,3129,3091
"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",3130,3092
"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",3131,3093
"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",3132,3094
"Fresh off the success of their inventive take on the zombie genre, Undead masterminds Michael and Peter Spierig direct Ethan Hawke in an ambitious tale of a futuristic Earth populated entirely by vampires, and the efforts made by the creatures to ensure that their food supply doesn't run out as humankind is faced with extinction. The year is 2017, and a vampire plague has turned most of the planet's human population into bloodsucking ghouls. As the population of mortals fast begins to dwindle, a,vampiric corporation sets out to capture and farm every remaining human while simultaneously researching a consumable blood substitute, headed by undead hematologist Edward Dalton (Ethan Hawke). His work is interrupted after stumbling onto a pocket of human survivors lead by Elvis (Willem Dafoe), a former vampire, whose past reveals a cure that could reverse the tide and save the human race. With time running out, Dalton's only hope lies in outsmarting the security forces of his boss (Sam Neill), whose goal isn't just to find a substitute, but to repopulate humanity in order to sell its blood to the highest bidder. ~ Jason Buchanan, Rovi",3133,3095
A medical engineer and an astronaut work together to survive after a catastrophe destroys their shuttle and leaves them adrift in orbit.,3134,3096
Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,3135,3097
"An embittered, vengeful POW stalks his former commanding officer who betrayed his men's planned escape attempt from a Nazi prison camp..",3136,3098
Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,3137,3099
"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow 'runners' for a shot at escape.",3138,3100
"Hazel and Gus are two extraordinary teenagers who share an acerbic wit, a disdain for the conventional, and a love that sweeps them - and us - on an unforgettable journey. Their relationship is all the more miraculous, given that they met and fell in love at a cancer support group. THE FAULT IN OUR STARS, based upon the number-one bestselling novel by John Green, explores the funny, thrilling and tragic business of being alive and in love.(C) Fox",3139,3101
"After an overly aggressive district attorney unknowingly sends an innocent man to the chair, he resigns, turns to drinking, and acquires a criminal clientèle.",3140,3102
"A young doctor falls in love with a disturbed young woman, becomes involved in the death of her husband, and has to flee with her to the Mexican border.",3141,3103
"In this crime drama, a group of armed bandits manages to pull off a caper and steal millions of dollars right under the nose of the law.",3142,3104
"The big national crime syndicate has moved into town, partnering up with local crime boss Nick Scanlon. There are only two problems: First, Nick is the violent type, preferring to do things...",3143,3105
"Young Calvin Fuller is pulled into King Arthur's court by Merlin. His mission: to save Camelot. To do this he must overcome the villain known as Lord Belascoe, train to become a knight, and...",3144,3106
"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",3145,3107
"While traveling with his father, young Alec becomes fascinated by a mysterious Arabian stallion who is brought on board and stabled in the ship he is sailing on. When it tragically sinks ...",3146,3108
A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.,3147,3109
"The colorful holiday classic is finally brought to the big screen, designed by famed children's story author and artist Maurice Sendak, and written for the first time to be as close as ...",3148,3110
"An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. ...",3149,3111
"Elliot Hopper is a widower with three children, he is currently working on a deal. It seems like his wife illness was very costly and this deal could put them out of the red. However he ...",3150,3112
"The three best of the disbanded Musketeers - Athos, Porthos, and Aramis - join a young hotheaded would-be-Musketeer, D'Artagnan, to stop the Cardinal Richelieu's evil plot: to form an ...",3151,3113
A motivational speaker discovers that the inheritance his father left for him is in the form of an elephant.,3152,3114
"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the Chicago White Sox come.",3153,3115
"The Crocodile Hunter mistakes some CIA agents for poachers and sets out to stop them from capturing a wily croc which, unbeknownst to him, has swallowed a tracking drone.",3154,3116
A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by a zoologist and a young woman whom he grew up with. A poacher from the past returns to seek vengeance on him.,3155,3117
"In turn-of-the-20th-century upstate New York, Winnie Foster, a 12-year-old girl, discovers a family living in the woods near her family's home who never ages thanks to a magical spring they...",3156,3118
A young British girl born and raised in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's estate. Her uncle is very distant due to the ...,3157,3119
Harriet M. Welsch is a spy. But when Harriet's friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?,3158,3120
An unsophisticated young woman from the Mississippi swamps falls in love with an unconventional southern gentleman.,3159,3121
An American boy runs away in the Indian jungle after a fight with his father.,3160,3122
"A young boy lets the animals out of their cages at the Zoo, to set them free, but the animals start taking over the town.",3161,3123
"Eddie Ellison is an ex-con who spent time in Sing-Sing prison. Kay marries him as soon as he serves his time. Five years later, Eddie and his ex-convict buddy Larry, have both gone straight...",3162,3124
"Photographer Grif Henderson is assigned a photo shoot in Paris. He decides to take his wife, Jenny, and his hippie son, Davey, with him on the shoot. Everything gets mucked up when she ...",3163,3125
"Scotland 1865. An old shepherd and his little Skye terrier go to Edinburgh. But when the shepherd dies of pneumonia, the dog remains faithful to his master, refuses to be adopted by anyone,...",3164,3126
The rugged Canadian wilderness is the backdrop to this story of a dog separated from his owner.,3165,3127
TV writer Elliott Nash buries a blackmailer under the new gazebo in his suburban backyard. But the nervous man can't let the body rest there.,3166,3128
"The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?",3167,3129
"Chinese stowaway Mei Li (Miyoshi Umeki) arrives in San Francisco with her father to meet her fiancé, wealthy nightclub owner Sammy Fong (Jack Soo), in an arranged marriage, but the groom ...",3168,3130
"In the 1850's, a young boy and his family on their way West become stranded in the Rockies. With the help of a local mountain man, a Sioux medicine man, and a legendary bear knows as '...",3169,3131
"A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake.",3170,3132
Biopic about the great college football coach Paul 'Bear' Bryant of the University of Alabama.,3171,3133
Misadventures of a mischievous boy in 1850 Missouri.,3172,3134
Laddie (Son of Lassie !) and his master are trapped in Norway during WW2 - has he inherited his mothers famous courage ?,3173,3135
"George Marshall directed this breezy romantic comedy starring Tony Randall and Debbie Reynolds. Randall plays Lorenzo Charlton, a stuffy tax investigator sent to the farm of Pop Larkin (Paul Douglas) and Ma Larkin (Una Merkel) to find out why they haven't been paying taxes. He discovers that the Larkins, instead of money, use a homegrown barter system. Their complex economic network causes Lorenzo to drink one home brew too many. Awakening from a hangover, he sees a vision of loveliness before,him -- the Larkin's spunky daughter Mariette (Debbie Reynolds). Enraptured by Mariette, he decides to stick around and help the family out of their onerous tax burden. Further research reveals an ancestral claim dating to the Civil War -- in reality, the government owes the Larkins $14 million.",3174,3136
"Sailor Danny Xavier Smith and two other gobs try to save his sister Susan's virtue. She wants to get a role in the show 'Hit the Deck'. After wrecking the producers hotel suite, they land ...",3175,3137
"A scientist is nearly assassinated. In order to save him, a submarine is shrunken to microscopic size and injected into his blood stream with a small crew. Problems arise almost as soon as they enter the bloodstream.",3176,3138
"At breakfast, Jane announces that she and Ralph are getting married the next week. All Jane and Ralph want is a small wedding with the immediate family and no reception. This is because ...",3177,3139
"Shadow, Sassy, and Chance have to find their way home after they become stranded at the San Francisco International Airport as their owners fly to Canada on vacation.",3178,3140
"Paulie, a talking parrot, recounts his travels looking for his original owner to a Russian janitor who helps him to the end of his journey.",3179,3141
"The true story of how a marine sea lion named Andre befriended a little girl and her family, circa 1962.",3180,3142
Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,3181,3143
"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing antisemitic sentiment threatens his village.",3182,3144
"When a cougar raised by a group of loggers in the Pacific Northwest reverts to its natural instincts, the consequence could threaten its life.",3183,3145
"In this version of 'Heidi,' a young Swiss girl is sent off to boarding school at the beginning of World War I.",3184,3146
"Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",3185,3147
A hapless carnival performer masquerades as the court jester as part of a plot against an evil ruler who has overthrown the rightful king.,3186,3148
"A widower, his three young kids and a bombshell nanny get to know each other better when circumstances have them living together aboard a badly neglected houseboat.",3187,3149
An ex-pirate contends with rowdy buccaneers and a love-hate relationship with an aristocratic woman who's tougher than she seems.,3188,3150
Continues the adventure of Hiccup Horrendous Haddock III and his dragon Toothless.,3189,3151
"Prehistoric family The Croods are back to their old shenanigans in a dangerous, strange new world.",3190,3152
"Grainbelt University has one attraction for Dobie Gillis - women, especially Pansy Hammer. Pansy's father, even though and maybe because she says she's in dreamville, does not share her ...",3191,3153
"10-year-old Fiona is sent to live with her grandparents in a small fishing village in Donegal, Ireland. She soon learns the local legend that an ancestor of hers married a Selkie - a seal ...",3192,3154
"Having decided to ditch the city in favor of the suburbs, a newly formed family purchases a quaint 'fixer-upper' that proves to be more trouble than they could have ever anticipated in a rollicking family comedy that's half sequel to Are We There Yet?, and half remake of Mr. Blandings Builds His Dream House. Nick (Ice Cube) and Suzanne (Nia Long) have tied the knot, and now the couple is looking for a suitable home in which to raise their family. What better place to bring up adolescents Lindsey,(Aleisha Allen) and Kevin (Philip Daniel Bolden) than a quiet house in the suburbs? Despite their outward excitement at the prospect of moving into their very own home, the family soon discovers that dreams don't come easy as eccentric contractor Chuck Mitchell (John C. McGinley) clashes with the head of the family while forming a frustratingly close bond with his wife and two step-children. As the promising fixer-upper begins to pose a serious threat to the burgeoning family's bank account, Nick gradually begins to realize that the suburban dream doesn't come cheap.",3193,3155
"A college student experiences difficulty in getting home for Christmas after being hazed by his friends. While struggling to get home in time for Christmas, he learns quite a bit about ...",3194,3156
Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,3195,3157
A 14-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials 'M.J.' inside.,3196,3158
"Working class New York bus driver Ralph Kramden is always coming up with get-rich-quick schemes for him and his best friend, Ed Norton, who's always around to help him get in (and out of) trouble.",3197,3159
"Charlie Reader is a successful theater agent. He is also successful with young ladies. One day he is visited by his old friend Joe, married with three children. Joe falls in love with ...",3198,3160
A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.,3199,3161
"Set in 1938, a loyal collie travels more than 1,000 miles from northern Scotland to Yorkshire to return to her young friend. The dog, having been sold to a wealthy Duke because the boy's father was out of work, runs away and braves starvation and treacherous conditions to follow the pull of her heart toward the family who loves her.",3200,3162
"The story of the great sharpshooter, Annie Oakley, who rises to fame while dealing with her love/professional rival, Frank Butler.",3201,3163
The story of the successful Tin Pan Alley songwriting team of Bert Kalmar and Harry Ruby is told loosely and lightheartedly.,3202,3164
"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.",3203,3165
Lady avenger returns to western town owned by a ruthless gunslinger hosting an elimination tournament.,3204,3166
When three blue collar acquaintances come across millions of dollars in lost cash they make a plan to keep their find from the authorities but find complications and mistrust weaving its way into their plan.,3205,3167
"Shipwrecked on a tropical island, a young boy befriends an abandoned native youth, forcing him to reevaluate societal prejudice about race, religion and nudity.",3206,3168
The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,3207,3169
A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,3208,3170
The successful short film compilation series continues with six outstanding films focused on school and college-age youth.,3209,3171
Based on the Far Eastern myth of the snake woman who is able to take on human form.,3210,3172
"Ray Trueblood, member of a street gang, is framed by an enemy of a rival gang, Billy 'Spider' Masters. Ray is accused of killing a cop and he has to escape leaving behind his little brother...",3211,3173
Two FBI agents attempt to clarify the murders occurring in a desolate region. They approach the witnesses of the latest incident with the help of the local police. All of them hide something and all have wildly different stories to tell.,3212,3174
A look at the work and surprising success of a four-year-old girl whose paintings have been compared to the likes of Picasso and has raked in hundreds of thousands of dollars.,3213,3175
"After her female lover leaves her, a nurse hires a male escort to seduce the lover and then break her heart so she will return. As the escort begins to win her over, however, he begins to ...",3214,3176
Add a Plot,3215,235
The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,3216,3177
"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",3217,3178
"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",3218,3179
"At a turning point in his life, a former tennis pro falls for a femme-fatal type who happens to be dating his friend and soon-to-be brother-in-law.",3219,3180
"A ballet dancer wins the lead in 'Swan Lake' and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",3220,3181
"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",3221,3182
"An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls.",3222,3183
"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",3223,3184
Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,3224,3185
"A middle-aged, misanthropic divorcée from New York City surprisingly enters a fulfilling, Pygmalion-type relationship with a much younger, unsophisticated Southern girl.",3225,3186
"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",3226,3187
"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",3227,3188
"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",3228,3189
A determined woman works with a hardened boxing trainer to become a professional.,3229,3190
"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",3230,3191
A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,3231,3192
A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,3232,3193
A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,3233,3194
"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",3234,3195
"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",3235,3196
"Fledgling writer Briony Tallis, as a 13-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit. Based on the British romance novel by Ian McEwan.",3236,3197
Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,3237,3198
"Two men reaching middle age with not much to show but disappointment, embark on a week long road trip through California's wine country, just as one is about to take a trip down the aisle.",3238,3199
The story of a forbidden and secretive relationship between two cowboys and their lives over the years.,3239,3200
Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,3240,3201
"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",3241,3202
"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",3242,3203
True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,3243,3204
"Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.",3244,3205
"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.",3245,3206
"A biopic depicting the early years of legendary director and aviator Howard Hughes' career, from the late 1920s to the mid-1940s.",3246,3207
"Mona Gray is a 20-year-old loner who, as a child, turned to math for salvation after her father became ill. As an adult, Mona now teaches the subject and must help her students through their own crises.",3247,3208
The Son of Satan attempts to bring his father to Earth with the aid of some mystic stones.,3248,3209
"A young Southern débutante temporarily abandons her posh lifestyle and upcoming, semi-arranged marriage to have a lustful and erotic fling with a rugged drifter who works at a local carnival.",3249,3210
48 hours of intersecting lives and crimes in Los Angeles.,3250,3211
"Vincent Lamarca, whose father was executed for a 1950s kidnapping of a child, grew up to become a police officer, only to see his own son become a murderer.",3251,3212
"When their daughter is kidnapped by experienced nappers, the Jennings' turn the tables on this seemingly foolproof plan.",3252,3213
A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,3253,3214
"Years ago, Jack Carter left his Seattle home to become a Las Vegas mob casino financial enforcer. He returns for the funeral of his brother Richard 'Richie' after a car crash during a storm...",3254,3215
"Stallone plays a cop who comes undone after witnessing a brutal scene on the job. He checks into a rehab clinic that specializes in treating law enforcement officials. Soon, he finds that his fellow patients are being murdered one by one.",3255,3216
A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,3256,3217
Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,3257,3218
"Lincoln Hawk (Stallone) is a struggling trucker who arm wrestles on the side to make extra cash while trying to rebuild his life. After the death of his wife, he tries to make amends with ...",3258,3219
With only 6 months left of his prison sentence inmate Frank Leone is transferred from minimum security to maximum security by a vindictive warden.,3259,3220
A romanticized biography of the famous sharpshooter.,3260,3221
"When Star Wars landed in the theaters, it introduced audiences to a galaxy filled with heroes and villains, robots and space ships, and a dizzying variety of alien life. But when the lights...",3261,3222
A documentary on DIY producer/director Roger Corman and his alternative approach to making movies in Hollywood.,3262,3223
A one-of-a-kind story about two-of-a-kind men who (for better or worse) changed film forever.,3263,3224
A documentary that shows how George A. Romero gathered an unlikely team of Pittsburghers to shoot his seminal film: Night of the Living Dead.,3264,3225
Beautiful and precocious Rivka is a twelve-year-old Jewish girl who believes in Jesus. She and her father attend a Messianic Jewish congregation in their community. But when her father ...,3265,3226
"A young boy is found wandering without any memory of who he is. A family takes him in and begin to look for clues to help him find his way home. In the meantime, they notice that the boy ...",3266,3227
An underdog lawyer takes on a fraudulent Insurance company.,3267,3228
"Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",3268,3229
"A US Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.",3269,3230
"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",3270,3231
"Lily Yeh is a global artist who is fueled by a belief that art is a human right, and that artists can create a foundation for profound social change. Slight of frame, but large in spirit ...",3271,3232
"At 10 years old, Chico Colvard accidentally shot his older sister in the leg. This seemingly random act detonated a chain reaction that exposed unspeakable realities and shattered his ...",3272,3233
"An Ivy League professor is lured back to his Oklahoma hometown, where his twin brother, a small-time pot grower, has concocted a scheme to take down a local drug lord.",3273,3234
"Mica, is a classic young teen. Enthusiastic. Idealistic. Dreaming baseball. At 13, he is studying for his Bar Mitzvah, the Jewish coming of age rite. An earnest kid, he takes to heart his ...",3274,3235
"Set in the present-day San Fernando Valley, the project revolves around a delusional man who believes he's a cowboy and the relationship that he starts with a rebellious young woman.",3275,3236
"A man is trying desperately to be certified insane during World War II, so he can stop flying missions.",3276,3237
"When underground beings explore the surface world from a deep oil well and inadvertantly cause a panic, only Superman can prevent a tragedy.",3277,3238
An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.,3278,3239
An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,3279,3240
A convicted arsonist looks to manipulate a parole officer into a plan to secure his parole by placing his beautiful wife in the lawman's path.,3280,3241
Lieutenant Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,3281,3242
"Henry Dussard, a young American, inherits a picturesque but badly neglected olive farm in southern France and is determined to make it operational again despite cautionary advice from the ...",3282,3243
"When Jonathan Jordan gets divorced he's thrust back into the world of being a single Mormon - a world who's ultimate goal is eternal marriage. Struggling to fit in, Jonathan decides to stop...",3283,3244
A college professor invents an anti-gravity substance which a corrupt businessman wants for himself.,3284,3245
"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",3285,3246
Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,3286,3247
Zookeepers struggle to deal with the policies of changing directors.,3287,3248
"To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance, is put in his place.",3288,3249
Incompetent cop Frank Drebin has to foil an attempt to assassinate Queen Elizabeth II.,3289,3250
A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,3290,3251
"Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of $50,000 first.",3291,3252
"A dramatization of the Battle of Isandlwana, where the British Army met its match against the Zulu nation.",3292,3253
"When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.",3293,3254
Two British soldiers in India decide to resign from the Army and set themselves up as deities in Kafiristan--a land where no white man has set foot since Alexander.,3294,3255
The Chipmunks compete with the Chipettes in a round the world race.,3295,3256
A fourth grader and his best friend set out to stop an industrialist from bulldozing their town.,3296,3257
"After Chris's (Josh Janowicz) mother dies, he is left to take care of himself and his alcoholic father (Bill Buell). He picks up odd jobs to help with the bills but still falls short as his...",3297,3258
"When 30-something Jesse returns to his alma mater for a professor's retirement party, he falls for Zibby, a college student, and is faced with a powerful attraction that springs up between them.",3298,3259
"Shy, sensitive April is the class virgin, torn between an illicit flirtation with her soccer coach Mr. B and an unrequited crush on sweet stoner Teddy. Emily, meanwhile, offers sexual ...",3299,3260
"A man tries to warn his brother away from the new girlfriend he brings home during Thanksgiving, but ends up becoming infatuated with her in the process.",3300,3261
A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,3301,3262
Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,3302,3263
"High school student Nick O'Leary, member of the Queercore band The Jerk Offs, meets college-bound Norah Silverberg when she asks him to be her boyfriend for five minutes.",3303,3264
Luke and Kate are coworkers at a brewery who spend their nights drinking and flirting heavily. One weekend away together with their significant others proves who really belongs together and who doesn't.,3304,3265
"George, a lonely and fatalistic teen who has made it all the way to his senior year without ever having done a real day of work, is befriended by Sally, a popular but complicated girl who recognizes in him a kindred spirit.",3305,3266
"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence.",3306,3267
"When cholera takes the parents of Mary Lennox, she is shipped from India to England to live with her Uncle Craven. Archibald Craven's house is dark and drafty, with over 100 rooms built on ...",3307,3268
"Louisa May Alcott's autobiographical account of her life with her three sisters in Concord Mass in the 1860s. With their father fighting in the civil war, the sisters: Jo, Meg, Amy and Beth...",3308,3269
"A little girl is left by her father in an exclusive seminary for girls, due to her father having to go to Africa with the army.",3309,3270
"Ching-Ching gets lost in Shanghai and is befriended by American playboy Tommy Randall. She falls asleep in his car which winds up on a ship headed for America. Susan Parker, also on the ...",3310,3271
"In a fantasy world of opposing kingdoms, a 15-year old girl must find the fabled MirrorMask in order to save the kingdom and get home.",3311,3272
"The rise of Peter Marshall, from modest Scottish upbringing, to New York seminary, time in Atlanta churches, his marriage, appointment as chaplain of the US Senate, and early death at 46. Based on real events.",3312,3273
"A Norwegian farmer lovingly raises his daughter in rural World War II-era Benson Junction, Wisconsin.",3313,3274
"Teenager Homer Macauley stays at home in small-town Ithaca to support his family, while his older brother Marcus prepares to go to war.",3314,3275
"Priscilla Williams is a young girl traveling with her mother, Joyce, to join her paternal grandfather, a British army colonel, at the post he commands in northern India. Upon arrival, they ...",3315,3276
"Dink Purcell loves his alcoholic father, ex-heavyweight champion Andy 'Champ' Purcell, despite his frequent binges, his frequent gambling and their squalid living conditions. And there's ...",3316,3277
"An orphaned girl is taken in by a snobbish family at the insistence of their rich, crotchety uncle, even as her devoted aviator godfather fights for custody.",3317,3278
"To stop Pinkie's mother Dottie from marrying a man they know she does not love, Pinkie and her friend Buzz kidnap her in the family trailer to live a life on the open road without worries ...",3318,3279
"In modern times, the true meaning of Christmas is getting lost. Children don't write letters anymore...                See full synopsis »",3319,3280
A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.,3320,3281
Add a Plot,3321,235
