Name,Description,original_index,unique_index
Rage: Midsummer's Eve,"American and British friends studying in Finland decide to take up an offer to travel to the Arctic Circle and experience the mysterious, pagan celebration of Midsummer's Eve.",2977,2977
My Friend Flicka,"Ken McLaughlin struggles to please his family in any way. He comes back from boarding school boasting poor grades and facing going through the fifth grade again, much to his fathers dismay....",2978,2978
Dakota's Summer,"Keith Carradine stars alongside a young, popular cast in this inspiring second chapter of the beloved Cowgirls 'N Angels story filled with heart, horses & high-reaching adventure.",2979,2979
Danny,A young girl's special love for a horse helps them both.,2980,2980
The Reef 2: High Tide,"Trained in the skills of sea power, Pi the fish can fight a shark, sink a squid or batter any random predator that ever threatens his friends and neighbors on the reef. Unfortunately, being...",2981,2981
Prince of Darkness,"A research team finds a mysterious cylinder in a deserted church. If opened, it could mean the end of the world.",2982,2982
The Fog,"Legend says that Antonio Bay was built in 1880 with blood money obtained from shipwrecked lepers but no one believes it. On the eve of the town's centennial many plan to attend the celebrations, including the murdered lepers.",2983,2983
Project Solitude,A professor conducts a psychological experiment with a family of seven in a secluded woods.,2984,2984
A Turtle's Tale 2: Sammy's Escape from Paradise,"Sammy and Ray, leatherback turtles and friends forever, are enjoying an atoll's water and sand, shepherding new hatchlings Ricky and Ella out to sea. Suddenly, a poacher swoops in and ships...",2985,2985
Fly Me to the Moon 3D,Three young houseflies stow away aboard the Apollo 11 flight to the moon.,2986,2986
The Outback,"Being teased for his color, Johnny the white koala joins a traveling carnival with Hamish, a Tasmanian devil, and Higgens, a photographer monkey as talent agents. On the way through the ...",2987,2987
Undocumented Executive,An ambitious day laborer gets his dream job when he shows up for the wrong interview.,2988,2988
Thom & Dusty Go to Mexico: The Lost Treasure,"Thom and Dusty have tried everything to make it, but when they find a single piece of paper, a treasure map, they travel to Mexico to find the treasure. They find it but lose it and not until they get home do they find the real treasure.",2989,2989
Escape from L.A.,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.",2990,2990
The Restless Sex,Add a Plot,2991,2991
Little Fugitive,"A young boy fears that he shot his older brother, who is only faking. He then runs away to Coney Island, a crowded beach area, and gets money by returning soda bottles for their deposits.",2992,2992
The Singing Nun,"Young and inexperienced Sister Ann has just arrived at her next posting at Samaritan House, a Dominican order located in a disreputable neighborhood of Ghent, Belgium. Sister Ann is ...",2993,2993
Shed No Tears,"A wife convinces her husband to fake his death so they can collect on the life insurance. However, he doesn't know that she has been having an affair for some time, and she has plans for the money - and they don't include him.",2994,2994
Heaven's Gate,"A dramatization of the real-life Johnson County War in 1890 Wyoming, in which a sheriff born into wealth attempts to protect immigrant farmers from rich cattle interests.",2995,2995
Underdog Kids,Inner city kids from a poor neighborhood go up against the undefeated Beverly Hills Junior National Karate Team.,2996,2996
The Corpse Came C.O.D.,"When a dead body turns up in the home of a famous actress, two reporters (who also happen to be in love with one another) compete to get the real scoop.",2997,2997
Walking With Dinosaurs,"For the first time in movie history, audiences will truly see and feel what it was like when dinosaurs ruled the Earth. WALKING WITH DINOSAURS is the ultimate immersive, big screen adventure for families. Meet dinosaurs more real than you've ever seen as you take off on a thrilling prehistoric adventure, where Patchi, an underdog dinosaur, triumphs against all odds to become a hero for the ages. (c) Fox",2998,2998
Broken,"Lisa, an emotionally strong and driven woman who loses her will to go on, when everything she has worked long and hard for, was imperiled due to a night of drunken and unbridled passion.",2999,2999
R.A.D.I.C.A.L.S,Eight kids develop their natural talents to superhero levels to confront a comic-book-inspired villain kidnapping neighborhood dogs to pull off the crime of the century.,3000,3000
City of Ember,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing ... and the great lamps that illuminate the city are starting to flicker.",3001,3001
Jeepers Creepers,A brother and sister driving home for spring break encounter a flesh-eating creature in the isolated countryside that is on the last day of its ritualistic eating spree.,3002,3002
Bordertown,A journalist investigates a series of murders near American-owned factories on the border of Juarez and El Paso.,3003,3003
The Secret of Moonacre,"When 13 year old Maria Merryweather's father dies, leaving her orphaned and homeless, she is forced to leave her luxurious London life to go and live with Sir Benjamin, an eccentric uncle ...",3004,3004
Vampires: Los Muertos,A vampire hunter and a priest fight a band of the walking dead in Mexico.,3005,3005
Heart of the Country,"The story of a girl who abandoned her family for the big city, returns home to the heart of the country. She finds values and love there that her life was missing. You can always go home.",3006,3006
No Ordinary Hero: The SuperDeafy Movie,A deaf actor who plays a superhero on a TV show must look beyond the cape to inspire a deaf boy to believe in himself.,3007,3007
Shake Off the World,"Austin is a rising high school football star, who has his life all mapped out, until his coach makes a decision that forces him to change the course of his life. Austin finds himself in a ...",3008,3008
Hollywood Banker,"How Frans Afman, a banker from the Netherlands, developed a new system for film financing, revolutionized independent filmmaking in Hollywood, but could not prevent it all from crashing down, when ambition of others turned into greed.",3009,3009
What If...,"15 years ago, Ben Walker left his girlfriend and his ministry calling for a business opportunity. Now with a high-paying career and a trophy fiancé, he is visited by an angel, who gives him...",3010,3010
Red Dog,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,3011,3011
The Boxcar Children,Four children set out on a journey to find a new home.,3012,3012
The Little Colonel,"After Southern belle Elizabeth Lloyd runs off to marry Yankee Jack Sherman, her father, a former Confederate colonel during the Civil War, vows to never speak to her again. Several years ...",3013,3013
Taphephobia,"A man wakes up buried in a coffin, alone with the light from a cell phone.",3014,3014
Little City,Adam is a painter who works as cab driver and blames his difficulties with women on his former girlfriend Kate who left him for lesbian Anne. As a result he doesn't pay much attention to ...,3015,3015
Her Minor Thing,The life of a successful professional woman turns chaotic when her boyfriend accidentally reveals on TV a highly personal secret about her.,3016,3016
Bite Size,Bite Size tells the stories of 4 kids around the country as they embark on a journey to become healthier and lose weight. All it takes is someone to believe in you and the will to try.,3017,3017
Mooz-Lum,"Amid a strict Muslim rearing and a social life he's never had, Tariq enters college confused. New peers, family and mentors help him find his place, but the 9-11 attacks force him to face his past and make the biggest decisions of his life.",3018,3018
Row Your Boat,"Jamey Meadows is a convict just released from prison, hoping to live a straight life on the outside. His brother tries to reenlist him into the crime world, but Jamey resists, getting a job...",3019,3019
See You in September,"See You in September is an original romantic comedy set in current day Manhattan. The film centers around Lindsay, a beautiful woman who seemingly has it all, but is deeply afraid of ...",3020,3020
The Secret Heart,"Brillant pianist Larry Addams allows his frustrated ambitions to ruin his life and commits suicide, leaving his wife, Lee, and two small children, Penny and Chase, under the stigma of ...",3021,3021
Salvation Nell,Young Nell loses her job and home and her father is sent to prison. She joins the Salvation Army and tries to redeem him when he comes out bent on continuing his life of crime.,3022,3022
Lucky Me,"Candy Williams is a struggling performer in a musical troupe, headed by Hap Schneider. Unfortunately, the troupe has fallen on hard times, forcing the members to get jobs cleaning hotel ...",3023,3023
Romance on the High Seas,"Romantic misunderstandings abound when spouses suspect each other of being unfaithful, and a nightclub singer takes a cruise under a false identity.",3024,3024
Pillow Talk,"A man and woman share a telephone line and despise each other, but then he has fun by romancing her with his voice disguised.",3025,3025
Love Me or Leave Me,"A fictionalized account of the career of jazz singer Ruth Etting and her tempestuous marriage to gangster Marty Snyder, who helped propel her to stardom.",3026,3026
April in Paris,"Miss Ethel 'Dynamite' Jackson is a chorus girl who mistakingly receives an invitation from the State Department to represent the American theatre at an arts exposition in Paris, France. ...",3027,3027
On Moonlight Bay,The Winfield family moves into a new house in a small town in Indiana. Tomboy Marjorie Winfield begins a romance with William Sherman who lives across the street. Marjorie has to learn how ...,3028,3028
Send Me No Flowers,"A hypochondriac thinks he's dying this time, and makes plans for his wife which she discovers and misunderstands.",3029,3029
Lover Come Back,A series of misunderstandings leaves an advertising executive with a campaign for a product which has not been invented yet while he romances his rival in the guise of its inventor.,3030,3030
It Happened to Jane,"Jane Osgood runs a lobster business, which supports her two young children. Railroad staff inattention ruins her shipment, so with her lawyer George, Jane sues Harry Foster Malone, director of the line and the 'meanest man in the world'.",3031,3031
Lullaby of Broadway,Pretty Melinda Howard has been abroad singing with a musical troupe. She decides to return home to surprise her mother whom she thinks is a successful Broadway star with a mansion in ...,3032,3032
Tea for Two,"In this reworking of 'No, No, Nanette,' wealthy heiress Nanette Carter bets her uncle $25,000 that she can say 'no' to everything for 48 hours. If she wins, she can invest the money in a ...",3033,3033
The Tunnel of Love,"The Pooles are unable to have a baby after years of trying. They apply to the Rock-A-Bye Adoption Agency, and are assigned Miss Novick as an investigator. Through a farfetched ...",3034,3034
Anchors Aweigh,"Two sailors, one naive, the other experienced in the ways of the world, on liberty in Los Angeles, is the setting for this movie musical.",3035,3035
Easter Parade,A nightclub performer hires a naive chorus girl to become his new dance partner to make his former partner jealous and to prove he can make any partner a star.,3036,3036
Les Girls,"After writing a tell-all book about her days in the dance troupe 'Barry Nichols and Les Girls', Sybil Wren (Kay Kendall) is sued for libeling her fellow dancer Angele (Taina Elg). A Rash&...",3037,3037
The Pirate,"A girl is engaged to the local richman, but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.",3038,3038
Take Me Out to the Ball Game,"The Wolves baseball team gets steamed when they find they've been inherited by one K.C. Higgins, a suspected 'fathead' who intends to take an active interest in running the team. But K.C. ...",3039,3039
Summer Stock,"A small-town farmer, down on her luck, finds her homestead invaded by a theatrical troupe invited to stay by her ne'er-do-well sister.",3040,3040
Switchmas,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA.",3041,3041
Wiener Dog Nationals,"A family adopts a runt of a dachshund from a shelter. Only time will tell if little 'Shelly' and her new family are up for the challenges of entering the nation's greatest wiener dog race, ...",3042,3042
The Adventures of Mickey Matson and the Copperhead Treasure,"When a mythical device from ancient times is rebuilt by a group of Confederates who feel the civil war never ended, Mickey Matson and his newfound friend, Sully, must follow a series of ...",3043,3043
Deep in My Heart,Biographic movie about the American composer Sigmund Romberg.,3044,3044
Logan,"'Logan' is a story about two teenage brothers, Tyler and Logan. Logan, the younger of the two, has got his mind set on a seemingly impossible project which turns out to be much harder than ...",3045,3045
David,"'David' tells the story of Daud, an eleven year old religious Muslim boy growing up in Brooklyn. Concealing his Muslim identity, Daud inadvertently befriends a group of Jewish boys who ...",3046,3046
The Last Airbender,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",3047,3047
Ziegfeld Follies,"The late, great impresario Florenz Ziegfeld looks down from heaven and ordains a new revue in his grand old style.",3048,3048
It's Always Fair Weather,"Three soldiers meet 10 years after their last meeting in New York again, and find out, that they have litte in common now.",3049,3049
Wide Awake,A 10 year old boy goes on a search for God after his grandfather dies.,3050,3050
Robosapien: Rebooted,"A robot boy and a human boy team up to save their respective parents, who are being held captive by the organization that funded the robot's creator.",3051,3051
"Abner, the Invisible Dog","It's Chad Sheppard's birthday and he's in for a big surprise! His best friend, Abner, a big furry Sheepdog can suddenly vanish into thin air and can talk too! But Chad already has enough ...",3052,3052
How to Eat Fried Worms,"During the first day of his new school year, a fifth grade boy squares off against a bully and winds up accepting a dare that could change the balance of power within the class.",3053,3053
For Me and My Gal,"Two vaudeville performers fall in love, but find their relationship tested by the arrival of WWI.",3054,3054
Justin Time,An ancient and magical amulet that has the power to stop time is passed through generations until it ends up in the hands of a young man who must choose to use its power for good or for evil.,3055,3055
No Limit Kids: Much Ado About Middle School,"No Limit Kids centers on a group of young teens that band together to save their town's landmark, the old abandoned theater. With a story that focuses on treating others with respect, No ...",3056,3056
Sterling: The Secret of the Lost Medallion,"While at camp, Alex Sterling and his friends have stumbled upon an old journal left behind by his deceased grandfather where they learn of the existence of a legendary medallion believed to...",3057,3057
A Rag Doll Story,Add a Plot,3058,3058
A Horse Tail,Add a Plot,3059,3059
Operation: Neighborhood Watch!,"When a new doctor moves in next door, the neighborhood kids make it their mission to ensure he is not a creepy guardian of a terrible neighbor-eating monster.",3060,3060
Jimmy's Jungle,Add a Plot,3061,3061
The Island at the Top of the World,Four turn of the century explorers embark on an airship expedition to the high artic. Where upon they find a lost colony of Vikings.,3062,3062
Johnny Tremain,"Johnny Tremain is drawn into the Revolutionary War, and becomes a patriot fighting to free the colonies from England. Along the way he learns about life and about himself.",3063,3063
The Horse with the Flying Tail,"A palimino cow pony, through a series of owners and adventures becomes a champion mount for one of the US equestrian team.",3064,3064
The Sword and the Rose,"During the reign of Henry VIII, Mary Tudor seeks to flee a forced marriage with the French king by escaping to America with her true love, but her plans are not so easily executed.",3065,3065
Davy Crockett: King of the Wild Frontier,Legends (and myths) from the life of famed American frontiersman Davey Crockett are depicted in this feature film edited from television episodes. Crockett and his friend George Russell ...,3066,3066
"Westward Ho, the Wagons!",The adventures of a group of pioneers as their wagon train crosses the West.,3067,3067
"Toby Tyler, or Ten Weeks with a Circus","Taken in by distant members of his family after being orphaned, Toby Tyler runs away to join the circus.",3068,3068
The Light in the Forest,A young white man who spent his whole life raised by Native Americans is sent to live with his birth family and must learn to fit in with people he was taught to hate.,3069,3069
Rob Roy: The Highland Rogue,The wartime adventures of Scotish highland leader Rob Roy MacGregor during the reign of King George I in the 18th century.,3070,3070
The Great Locomotive Chase,During the Civil War Union spy Andrews and his men volunteer to steal a Confederate train and drive it to Union territory while destroying the Confederate railway system along the way.,3071,3071
Davy Crockett and the River Pirates,"Davy Crockett and his sidekick Georgie compete against boastful Mike Fink ('King of the River') in a boat race to New Orleans. Later, Davy and Georgie, allied with Fink, battle a group of ...",3072,3072
Third Man on the Mountain,A boy attempts to realize his father's dream of climbing an alpine peak known as the Citadel.,3073,3073
Perri,"This True Life Fantasy follows and shows how the life of a female squirrel, Perri, in the forest is filled with danger and fraught with peril. When not fleeing her natural enemy, the Marten...",3074,3074
Darby O'Gill and the Little People,A wily old codger matches wits with the king of the leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.,3075,3075
Road to Rio,Two inept vaudevillians stow away on a Brazilian-bound ocean liner and foil a plot by a sinister hypnotist to marry off her niece to a greedy fortune hunter.,3076,3076
Rascal,A comedy filled with tenderness as a baby raccoon snuggles his way into the life of a lonely boy. He becomes the boy's only companion during his father's frequent absences. Because of ...,3077,3077
The Big Broadcast of 1938,"The Bellows family causes comic confusion on an ocean liner, with time out for radio-style musical acts.",3078,3078
My Favorite Spy,"Peanuts White, a burlesque comic, is recruited by U.S. agents to impersonate international spy Eric Augustine (whom White resembles) in a mission to purchase a million-dollar microfilm in ...",3079,3079
The Paleface,"Calamity Jane is despatched to find out who's smuggling rifles to the Indians, and winds up married to a hapless correspondence school dentist as part of her cover.",3080,3080
The Lady with the Torch,Add a Plot,3081,3081
Road to Bali,"Having to leave Melbourne in a hurry to avoid various marriage proposals, two song-and-dance men sign on for work as divers. This takes them to an idyllic island on the way to Bali where ...",3082,3082
Road to Zanzibar,"Stranded in Africa, Chuck and his pal Fearless have comic versions of jungle adventures, featuring two attractive con-women.",3083,3083
Son of Paleface,"Junior Potter returns to claim his father's gold, which is nowhere to be found. 'Mike' is the luscious head of a gang of thieves, and Roy Barton is the federal marshal hot on her trail.",3084,3084
The Lemon Drop Kid,"When the Lemon Drop Kid accidentally steers Moose Moran's girl away from a winning bet, he is forced to come up with $10,000 to repay the angry gangster. Fortunately it's Christmas, a time ...",3085,3085
Chuck Amuck: The Movie,Discussion of the career of animator Chuck Jones.,3086,3086
The Princess and the Pirate,"Princess Margaret is travelling incognito to elope with her true love instead of marrying the man her father has betrothed her to. On the high seas, her ship is attacked by pirates who know...",3087,3087
The Ghost Breakers,"A radio broadcaster, his quaking manservant and an heiress investigate the mystery of a haunted castle in Cuba.",3088,3088
My Favorite Blonde,"Karen Bentley, an English secret agent, links up with Larry Haines and his star penguin Percy in an attempt to outwit German spies.",3089,3089
Daffy Duck's Quackbusters,Daffy Duck opens a detective agency for the supernatural along side his Looney Toon buddies.,3090,3090
Every Girl Should Be Married,"Anabel Sims is determined to find the perfect husband. She thinks she's found her man in Madison Brown, a handsome pediatrician. She then prepares an elaborate scheme to trap him into marriage.",3091,3091
Crisis,Husband and wife Americans Dr. Eugene and Mrs. Helen Ferguson - he a renowned neurosurgeon - are traveling through Latin America for a vacation. When they make the decision to return to New...,3092,3092
2005 Academy Award Nominated Short Films,Add a Plot,3093,3093
Dream Wife,"Clemson Reade, a business tycoon with marriage on his mind, and Effie, a U.S. diplomat, are a modern couple. Unfortunately there seems to be too much business and not enough pleasure on the...",3094,3094
The Bishop's Wife,"A bishop trying to get a new cathedral built prays for guidance. An angel (Cary Grant) arrives, but his guidance isn't about fundraising.",3095,3095
Walk Don't Run,"During the housing shortage of the Summer Olympic Games in 1964, two men and a woman share a small apartment in Tokyo, and the older man soon starts playing Cupid to the younger pair.",3096,3096
Dancing Co-Ed,"Right before the dancing Tobius' ought to film a new production, his wife tells Freddy Tobius that she's pregnant. So the producer desperately has to seek a replacement and starts a ...",3097,3097
Room for One More,A fairly well-to-do family takes in 2 troubled orphans since no one else will take them.,3098,3098
Mr. Lucky,"A gambler has plans to swindle money from a charity program, but starts to have second thoughts when he falls for a rich society girl.",3099,3099
Lord Jeff,"Spoilt child Geoffrey Bramer teams up with a pair of small time crooks to pose as an aristocrat and steal jewelry from exclusive shops. During a a caper, Geoffrey is caught and is sentenced...",3100,3100
Reign Over Me,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,3101,3101
Getting Mary Married,Add a Plot,3102,3102
Charley My Boy!,"A hard boiled business man wants his daughter to marry for wealth, and not for love. Charley comes into the office seeking a job, and gets confused with an old geezer there as a prospective...",3103,3103
The Winning of Barbara Worth,"While building an irrigation system for a Southwestern desert community, an engineer vies with a local cowboy for the affections of a rancher's daughter.",3104,3104
The Singing Fool,"A singing waiter and composer (Al Jolson) loves two women (Betty Bronson, Josephine Dunn), conquers Broadway and holds his dying son, singing 'Sonny Boy.'",3105,3105
South Pacific,"On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who's being courted for a dangerous military mission.",3106,3106
A Dog of Flanders,"Poor but happy, young Nello and his grandfather live alone, delivering milk as a livelihood, in the outskirts of Antwerp, a city in Flanders (the Flemish or Dutch-speaking part of ...",3107,3107
Mame,"The musical revolves around the antics of Mame Dennis, a fun-loving, wealthy eccentric with a flare for life and a razor sharp wit. Her life is suddenly changed when she becomes the ...",3108,3108
A Dog of Flanders,"The emotional story of a boy, his grandfather, and his dog. The boy's dream of becoming a great classical painter appears shattered when his loving grandfather dies.",3109,3109
Man of La Mancha,"This musical version of Don Quixote is framed by an incident allegedly from the life of its author, Miguel de Cervantes. Don Quixote is the mad, aging nobleman who embarrasses his ...",3110,3110
Knights of the Round Table,"King Arthur's rule is threatened by the adulterous love between Sir Lancelot and Queen Guinevere, a relationship the king's enemies hope to exploit.",3111,3111
Thoroughly Modern Millie,"Two naive young women become friends after moving to the Big Apple in the early 1920s, and together they learn to face the challenges inherit in becoming contemporary women. This acclaimed musical comedy won an Academy Award for its Elmer Bernstein score.",3112,3112
A Man Called Horse,In 1825 an English aristocrat is captured by Indians. He lives with them and begins to understand/accept their lifestyles. Eventually he is accepted as part of the tribe and becomes their leader.,3113,3113
The Music Man,Harold Hill poses as a boys' band leader to con naive Iowa townsfolk.,3114,3114
The King and I,A widow accepts a job as a live-in governess to the King of Siam's children.,3115,3115
Hawaii,"Abner Hale, a rigid and humorless New England missionary, marries the beautiful Jerusha Bromley and takes her to the exotic island kingdom of Hawaii, intent on converting the natives. But ...",3116,3116
T-Men,Two US Treasury agents hunt a successful counterfeiting ring.,3117,3117
Mystery Street,A small town policeman is assisted by a Harvard professor when the skeletal remains of a pregnant prostitute turn up on a Massachusetts beach.,3118,3118
Crime Wave,Reformed parolee Steve Lacey is caught in the middle when a wounded former cellmate seeks him out for shelter.,3119,3119
The Big Steal,An army lieutenant accused of robbery pursues the real thief on a frantic chase through Mexico aided by the thief's fiancee.,3120,3120
The Prisoner of Zenda,"An Englishman vacationing in a Ruritarian kingdom is recruited to impersonate his cousin, the soon-to-be-crowned king when the monarch is drugged and kidnapped.",3121,3121
Tension,A meek pharmacist creates an alternate identity under which he plans to murder the bullying liquor salesman who has become his wife's lover.,3122,3122
The Prisoner of Zenda,"An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.",3123,3123
John Wick,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,3124,3124
Nightcrawler,"When Louis Bloom, a driven man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",3125,3125
American Sniper,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",3126,3126
Flight,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",3127,3127
2 Guns,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",3128,3128
Side Street,A struggling young father-to-be gives in to temptation and impulsively steals money from the office of a shady lawyer - with catastrophic consequences.,3129,3129
Lone Survivor,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",3130,3130
Snowpiercer,"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",3131,3131
The Man from Earth,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",3132,3132
Daybreakers,"Fresh off the success of their inventive take on the zombie genre, Undead masterminds Michael and Peter Spierig direct Ethan Hawke in an ambitious tale of a futuristic Earth populated entirely by vampires, and the efforts made by the creatures to ensure that their food supply doesn't run out as humankind is faced with extinction. The year is 2017, and a vampire plague has turned most of the planet's human population into bloodsucking ghouls. As the population of mortals fast begins to dwindle, a,vampiric corporation sets out to capture and farm every remaining human while simultaneously researching a consumable blood substitute, headed by undead hematologist Edward Dalton (Ethan Hawke). His work is interrupted after stumbling onto a pocket of human survivors lead by Elvis (Willem Dafoe), a former vampire, whose past reveals a cure that could reverse the tide and save the human race. With time running out, Dalton's only hope lies in outsmarting the security forces of his boss (Sam Neill), whose goal isn't just to find a substitute, but to repopulate humanity in order to sell its blood to the highest bidder. ~ Jason Buchanan, Rovi",3133,3133
Gravity,A medical engineer and an astronaut work together to survive after a catastrophe destroys their shuttle and leaves them adrift in orbit.,3134,3134
Coherence,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,3135,3135
Act of Violence,"An embittered, vengeful POW stalks his former commanding officer who betrayed his men's planned escape attempt from a Nazi prison camp..",3136,3136
Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,3137,3137
The Maze Runner,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow 'runners' for a shot at escape.",3138,3138
The Fault In Our Stars,"Hazel and Gus are two extraordinary teenagers who share an acerbic wit, a disdain for the conventional, and a love that sweeps them - and us - on an unforgettable journey. Their relationship is all the more miraculous, given that they met and fell in love at a cancer support group. THE FAULT IN OUR STARS, based upon the number-one bestselling novel by John Green, explores the funny, thrilling and tragic business of being alive and in love.(C) Fox",3139,3139
Illegal,"After an overly aggressive district attorney unknowingly sends an innocent man to the chair, he resigns, turns to drinking, and acquires a criminal clientèle.",3140,3140
Where Danger Lives,"A young doctor falls in love with a disturbed young woman, becomes involved in the death of her husband, and has to flee with her to the Mexican border.",3141,3141
Highway 301,"In this crime drama, a group of armed bandits manages to pull off a caper and steal millions of dollars right under the nose of the law.",3142,3142
The Racket,"The big national crime syndicate has moved into town, partnering up with local crime boss Nick Scanlon. There are only two problems: First, Nick is the violent type, preferring to do things...",3143,3143
A Kid in King Arthur's Court,"Young Calvin Fuller is pulled into King Arthur's court by Merlin. His mission: to save Camelot. To do this he must overcome the villain known as Lord Belascoe, train to become a knight, and...",3144,3144
Black Beauty,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",3145,3145
The Black Stallion,"While traveling with his father, young Alec becomes fascinated by a mysterious Arabian stallion who is brought on board and stabled in the ship he is sailing on. When it tragically sinks ...",3146,3146
The Amazing Panda Adventure,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.,3147,3147
Nutcracker,"The colorful holiday classic is finally brought to the big screen, designed by famed children's story author and artist Maurice Sendak, and written for the first time to be as close as ...",3148,3148
Cheetah,"An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. ...",3149,3149
Ghost Dad,"Elliot Hopper is a widower with three children, he is currently working on a deal. It seems like his wife illness was very costly and this deal could put them out of the red. However he ...",3150,3150
The Three Musketeers,"The three best of the disbanded Musketeers - Athos, Porthos, and Aramis - join a young hotheaded would-be-Musketeer, D'Artagnan, to stop the Cardinal Richelieu's evil plot: to form an ...",3151,3151
Larger Than Life,A motivational speaker discovers that the inheritance his father left for him is in the form of an elephant.,3152,3152
Field of Dreams,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the Chicago White Sox come.",3153,3153
The Crocodile Hunter: Collision Course,"The Crocodile Hunter mistakes some CIA agents for poachers and sets out to stop them from capturing a wily croc which, unbeknownst to him, has swallowed a tracking drone.",3154,3154
Mighty Joe Young,A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by a zoologist and a young woman whom he grew up with. A poacher from the past returns to seek vengeance on him.,3155,3155
Tuck Everlasting,"In turn-of-the-20th-century upstate New York, Winnie Foster, a 12-year-old girl, discovers a family living in the woods near her family's home who never ages thanks to a magical spring they...",3156,3156
The Secret Garden,A young British girl born and raised in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's estate. Her uncle is very distant due to the ...,3157,3157
Harriet the Spy,Harriet M. Welsch is a spy. But when Harriet's friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?,3158,3158
Tammy and the Bachelor,An unsophisticated young woman from the Mississippi swamps falls in love with an unconventional southern gentleman.,3159,3159
Maya,An American boy runs away in the Indian jungle after a fight with his father.,3160,3160
Zebra in the Kitchen,"A young boy lets the animals out of their cages at the Zoo, to set them free, but the animals start taking over the town.",3161,3161
Baby Take a Bow,"Eddie Ellison is an ex-con who spent time in Sing-Sing prison. Kay marries him as soon as he serves his time. Five years later, Eddie and his ex-convict buddy Larry, have both gone straight...",3162,3162
How Sweet It Is!,"Photographer Grif Henderson is assigned a photo shoot in Paris. He decides to take his wife, Jenny, and his hippie son, Davey, with him on the shoot. Everything gets mucked up when she ...",3163,3163
Greyfriars Bobby: The True Story of a Dog,"Scotland 1865. An old shepherd and his little Skye terrier go to Edinburgh. But when the shepherd dies of pneumonia, the dog remains faithful to his master, refuses to be adopted by anyone,...",3164,3164
"Nikki, Wild Dog of the North",The rugged Canadian wilderness is the backdrop to this story of a dog separated from his owner.,3165,3165
The Gazebo,TV writer Elliott Nash buries a blackmailer under the new gazebo in his suburban backyard. But the nervous man can't let the body rest there.,3166,3166
The Incredible Journey,"The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?",3167,3167
Flower Drum Song,"Chinese stowaway Mei Li (Miyoshi Umeki) arrives in San Francisco with her father to meet her fiancé, wealthy nightclub owner Sammy Fong (Jack Soo), in an arranged marriage, but the groom ...",3168,3168
