article_pagination,author_list,original_index,unique_index
447-55,"{""Branislava Ivanovic"",""Marijana Tadic""}",442,419
400-405,"{""A. Stumpo"",""G. Palmieri"",""M. F. Pantusa"",""M. Marasco"",""V. Fuoco""}",443,420
3-Mar,{NULL},444,421
,"{""Frances Williams"",""Alehegn Gelaye"",""Susan Steigerwalt"",""Yara Daloul"",""Hadeel Assad"",""Timothy R Larsen"",""Barryton Waanbah"",""Michael Williams""}",445,422
721,"{""Gaolang Gong"",""Hua Cheng"",""Yong He"",""Qi Dong"",""Hao Huang"",""Virendra Mishra""}",446,423
3196-3199,"{""Department of Electrical F. Zhang"",""Electrical Department of"",""National Computer Engineering"",""Singapore Email elezf nus edu sg University of Singapore"",""Singapore National University of Singapore"",""F. Zhang"",""Engineering Computer"",""Address Correspondence"",""Y. Lian"",""Addresses Author""}",447,424
535-41,"{""Marie-Pierre Gagnon"",""Claude Sicotte"",""��dith-Romy Nsangou"",""Sonya Grenier"",""Julie Payne-Gagnon""}",448,425
1001-24,"{""T. Welte"",""R. Busse"",""N. Jalilvand"",""C. Krauth""}",449,426
260-87,"{""H Lee Swanson"",""[Collective Name] Xinhua Zheng"",""Olga Jerman""}",450,427
780-98,"{""A Bereket"",""Z Hochberg"",""Y Yavuz"",""H L Muller"",""R H Lustig"",""R Weiss"",""W Kiess"",""A P Goldstone""}",451,428
913-9,"{""Chandra Y. and Bains Sujeev S. and Egede Leonard E. Osborn""}",452,429
21-24,"{""Cameron Campbell Johnson""}",453,430
31-40,"{""M.B. Dikshit"",""S. Raje"",""D.S. Jaju"",""V.R. Purandare""}",454,431
51-5,"{""Przemys��aw P Szyber"",""Artur Pupka"",""Piotr Szyber"",""Jerzy Garcarek""}",455,432
227-33,"{""P. H. Jallo"",""E. C. Otoh"",""A. Mohammed"",""S. O. Ajike"",""N. W. Johnson"",""I. S. Danfillo""}",456,433
1763-9,"{""Roger P Goldberg"",""Yoram Abramov"",""Barbara Golden"",""Peter K Sand"",""Megan Sullivan""}",457,434
708-715,"{""N. Klauber-DeMore"",""K. Fecho"",""N. R. Miller"",""W. S. Blau"",""S. A. Merritt"",""C. S. Hultman""}",458,435
7111-7120,"{""G. E. Ayala"",""A. R. A. Anderson"",""D. Basanta"",""R. B. Lukner"",""O. E. Franco"",""S. W. Hayward"",""D. E. Cliffel"",""D. W. Strand""}",459,436
101-108,"{""Luiza Akiko Komura Hoga"",""Ana Luisa Zaniboni Gomes"",""Luciana Magnoni Reberte""}",460,437
1074-9,"{""D A Lane"",""S Apostolakis"",""G Y H Lip"",""H Buller""}",461,438
2692-9,"{""Makbule Gezmen-Karadag"",""Anke Oenema"",""Saskia J te Velde"",""Hilal Yildiran"",""Mai J M Chinapaw"",""Johannes Brug"",""Mine Yildirim"",""Eda Koksal"",""Saniye Bilici"",""Nilufer Acar-Tek"",""Gamze Akbulut"",""Nevin Sanlier"",""Maartje M van Stralen"",""Judith S B de Meij"",""Amika S Singh""}",462,439
19-35,"{""Hilary L. Bekker"",""David J. Dodwell"",""Rosalind F. Collins""}",463,440
121-36,"{""E. Hsu"",""S. P. Cohen""}",464,441
1972-4,"{""T. Yamamoto"",""T. Takano"",""M. Takano"",""W. Higuchi"",""Y. Nitahara"",""K. Saito"",""D. Shi"",""K. Ozaki""}",465,442
100A,"{""Z. Maleki"",""O. Nikolskaia""}",466,443
241-242,"{""Jo Finch""}",467,444
431-438,"{""Nielsen H.O."",""Edwin B."",""H�_nerbein M."",""Hovendal C."",""Liedman B."",""Mortensen M.B.""}",468,445
13-21,"{""J. Hunt"",""R. A. Powell""}",469,446
581-91,"{""D. L. Uehara"",""C. Nishita"",""T. Tom"",""G. Cardazone""}",470,447
545-53,"{""Lucy Bowes"",""Barbara Maughan"",""Avshalom Caspi"",""Louise Arseneault"",""Alan Taylor"",""Terrie E Moffitt""}",471,448
20,"{""Kai Kupferschmidt""}",472,449
923129,"{""Alexander Attard"",""Josephine Psaila"",""Adrian Zammit"",""Deborah Grech Marguerat""}",473,450
18-24,"{""Hanan F Khafagy"",""Mona M Hassan"",""Emad S Osman"",""Faten M El-Shanawany"",""Abdel Rahman M Fathallah"",""Yasser M Samhan"",""Gehan G El-Fandy""}",474,451
3535-44,"{""Bin He"",""Eric C Frey""}",475,452
493-503,"{""Yasuhiro Koga"",""Kazutake Okada"",""Toru Ozaki"",""Sotaro Sadahiro"",""Akira Tanaka"",""Toshiyuki Suzuki"",""Hiroko Kamata""}",476,453
2571,"{""Taek-Soo Lee"",""W Paul Segars"",""Xin He"",""Jing Tang"",""Benjamin M W Tsui""}",477,454
851-9,"{""Marie-Pierre Chenard"",""Nassim Dali-Youcef"",""Emilie Buache"",""Marie-Christine Rio"",""Jinxiang Tan""}",478,455
94-9,"{""Michael Luther"",""Kari Korpilahti"",""Matti R Tarkka"",""Heini Huhtala"",""Jari Laurikka"",""Jan-Ola Wistbacka"",""Pertti Loponen""}",479,456
343-7,"{""A. Ravelli"",""S. Magni-Manzoni"",""A. Pistorio"",""M. Bandeira"",""A. Martini"",""E. Sala"",""A. Falcone"",""A. Buoncompagni"",""N. Ruperto"",""A. Loy""}",480,457
577-588,"{""F. Keefe"",""B. Peterson"",""D. Weiner""}",481,458
119-126 8p,"{""Linsenmaier U"",""Geyer LL"",""K���rner M"",""Meisel CD"",""Wirth S"",""Reiser MF""}",482,459
54-62,"{""A Street"",""C Walsh""}",483,460
350,"{""T. Sone""}",484,461
269-77,"{""L Lenhardt"",""S Mozes"",""A Martinkov��""}",485,462
68-74,"{""Janet Webber"",""Fiona Liddell""}",486,463
,{NULL},487,46
-,"{""O. Callender"",""J. Craven"",""C. Martin""}",488,464
S306-S314,"{""Rudd R."",""Guez G."",""Sanders L.M."",""Baur C."",""Shaw J.S.""}",489,465
917-920,"{""B. Vijayalakshmi"",""D. Siva Rama Prasad"",""D. Raveendranath"",""K. Sri Rama Murthy"",""A. Harinatha Reddy""}",490,466
1777-86,"{""Salim Yusuf"",""Martin O'Donnell"",""Craig Anderson"",""Irene Marzona"",""Peter Sleight"",""Jeff Probstfield"",""Antonio Dans"",""Peggy Gao"",""Jackie Bosch"",""Koon Teo""}",491,467
1282-9,"{""Travis G Maak"",""Thomas L Wickiewicz"",""Volker Musahl"",""James E Voos"",""Andrew D Pearle""}",492,468
193-9,"{""D. J. Weisdorf"",""D. Douek"",""Y. Tan"",""L. J. Burns"",""J. S. Miller"",""B. R. Blazar"",""M. Arora"",""T. DeFor"",""M. L. MacMillan"",""M. Markova"",""J. E. Wagner"",""J. N. Barker"",""T. Repka""}",493,469
273-6,"{""Y Hirose"",""S Kurata"",""Y Abe""}",494,470
731-741,"{""David L Simel"",""Kathryn A Myers"",""Marko Mrkobrada""}",495,471
277-286,"{""H. Q. Xu"",""M. Snyder"",""S. Fyfitch"",""A. Cheta"",""G. Bezdikian"",""V. N. Shah"",""T. R. Liszkai"",""H. Charkas"",""N. Gupta"",""Y. Shoji"",""C. S. Bajwa"",""C. May"",""M. Sanwarwala"",""M. Brumovsky"",""I. Ezekoye""}",496,472
33-43,"{""B. Weber"",""A. Berger""}",497,473
141,"{""F. Coletta"",""S. D'Arienzo"",""P. Sansone"",""C. Aurilio"",""M. C. Pace"",""G. Zagaria"",""R. Stumbo""}",498,474
190-1,"{""Richard J. A. Murrin""}",499,475
593-5,"{""S��ren Brostr��m"",""Gunnar Lose""}",500,476
289-318,"{""David Dyzenhaus""}",501,477
360-374,"{""Jennifer Davis-Berman""}",502,478
238,"{""Bashir Jiwani""}",503,479
60-61,"{""Matsumoto K."",""Yamada F."",""Fukuda S.""}",504,480
130-4,"{""E A M Janssen"",""C Brodin"",""P Ogreid"",""K Kjellevold"",""L G G��ransson"",""L Vatten"",""P R Romundstad"",""R Omdal"",""K Wildhagen""}",505,481
339-52,"{""M. B. Philip"",""R. A. Hayward""}",506,482
1145-53,"{""H Zakrzewska-Jastrzebska""}",507,483
875-81,"{""R. Jensen"",""F. G. Matos"",""A. da Cruz Dde"",""P. S. Silveira"",""M. H. Lopes"",""N. R. Ortega""}",508,484
1309-1318,"{""Yh Hsu"",""Ms Yao"",""Cs Wong"",""Ch Bai"",""My Wu"",""Yf Lin"",""Cy Hsiang"",""Kw Tam"",""Yw Li"",""Hf Hsiang""}",509,485
55-56 2p,"{""J. Slusarski""}",510,486
440-4,"{""Ju-Seong Kim"",""Dong-Seok Kim"",""Eun-Kyung Park"",""Kyu-Won Shim""}",511,487
f5001,"{""Rob M van Dam"",""Frank B Hu"",""Isao Muraki"",""Joann E Manson"",""Fumiaki Imamura"",""Qi Sun"",""Walter C Willett""}",512,488
381-386,"{""K.L. Armstrong"",""G.A.M. Finerman"",""K.L. Markolf"",""M.S. Shapiro"",""J.R. Slauterbeck""}",513,489
57-65,"{""McNeal M.M."",""Sanchez S.E."",""Jacob S."",""Javid P.J."",""Englund J.A."",""Horslen S.P.""}",514,490
383-4,"{""Eric J Lentsch"",""Jordan Whitney Rawl"",""Michael J Caplan""}",515,491
4327-4335,"{""Y. Wu"",""Z. Y. Xia"",""H. M. Liu"",""S. Q. Lei"",""L. Zhang"",""J. J. Xu"",""B. Zhao"",""J. Dou""}",516,492
223-7,"{""Kamel Alhanout"",""Jean-Christophe Dubus"",""Talita Mota Goncalves"",""Veronique Andrieu"",""Alain Nicolay"",""Davi Pereira de Santana""}",517,493
834-40,"{""Julio S G Montaner"",""Kora Debeck"",""Evan Wood"",""Thomas Kerr"",""Edward J Mills"",""Dan Werb""}",518,494
2815-7,"{""Wei Gao""}",519,495
7-Jan,"{""J R Trott"",""D J Morrow"",""D W Buntine""}",520,496
254-262,"{""Irena Anna Frei"",""Katharina Fierz"",""Angela Poat"",""Martina Gisin""}",521,497
CD001880,"{""A Avenell"",""H H Handoll""}",522,498
759-63,"{""James Murphy"",""Amal Isaiah"",""Joshua E Lubek"",""Jeffrey S Wolf""}",523,499
27386-99,"{""Mitsuyoshi Motizuki"",""Keiji Miyazawa"",""Tetsuo Kondo"",""Keisuke Masuyama"",""Masao Saitoh"",""Hiroki Ishii"",""Ryohei Katoh"",""Kei Sakamoto"",""Shota Tanaka""}",524,500
1945-52,"{""Zhi-yuan Zhang"",""Wei-liu Qiu"",""Jia-wei Zheng""}",525,501
83-7,"{""Jos H Verbeek"",""Rob Kok"",""Jan L Hoving"",""Frederieke G Schaafsma"",""Frank J H van Dijk"",""Paul B A Smits""}",526,502
S136,"{""M. Rigoldi"",""S. Gasperini"",""B. M. Del Menico"",""F. Nichelli"",""A. Boncimino"",""M. Calabria"",""P. Meregalli"",""R. Parini""}",527,503
195-201,"{""Marlon Barg"",""Emilio L Streck"",""Lara M Gomes"",""Vanessa M Andrade"",""Daniela D Leffa"",""Felipe Dal-Pizzol"",""Fabricia Petronilho"",""Francieli Vuolo"",""Milena Carvalho-Silva"",""Fernanda Balbinot"",""Gislaine T Rezin""}",528,504
446-53,"{""Raffaele De Caterina"",""Giulia Renda"",""Steen Dalby Kristensen""}",529,505
,"{""Michelle Firestone""}",530,506
889-94,"{""George Davey Smith"",""Amanda J Bennett"",""Eleftheria Zeggini"",""Marjo-Riitta Jarvelin"",""Nicholas J Wareham"",""Lorna W Harries"",""Colin N A Palmer"",""Shah Ebrahim"",""Timothy M Frayling"",""Susan M Ring"",""Bridget Knight"",""Sian Ellard"",""Katharine R Owen"",""Rachel M Freathy"",""Hana Lango"",""Debbie A Lawlor"",""Lon R Cardon"",""John R B Perry"",""Jeffrey C Barrett"",""Andrew D Morris"",""Graham A Hitman"",""Katherine S Elliott"",""Ulla Sovio"",""Mark I McCarthy"",""David Melzer"",""Alex S F Doney"",""Andrew R Ness"",""Yoav Ben-Shlomo"",""Andrew T Hattersley"",""Ann-Marie Patch"",""Nicholas J Timpson"",""Nigel W Rayner"",""Mark Walker"",""Michael N Weedon"",""Ruth J F Loos"",""Fredrik Karpe"",""In̻s Barroso"",""Luigi Ferrucci"",""Christopher J Groves"",""Cecilia M Lindgren"",""Beverley Shields""}",531,507
80-96,"{""H H̦ger"",""W Sieghart"",""T Klausberger"",""I Milenkovic"",""M Vasiljevic"",""D Maurer""}",532,508
,"{""T Philips"",""J D Rothstein""}",533,509
453-60,"{""J P Ioannidis"",""J Lau"",""C Milch"",""D Salem"",""P W Chew"",""N Terrin"",""E M Balk""}",534,510
105,{NULL},535,511
,{NULL},536,46
319-330,"{""Terry-Lynne Marko"",""Tyler Watt""}",537,512
230-232,"{""Robert J. Flynn""}",538,513
435-40,"{""A. M. Walker"",""J. Xerry"",""K. Davies"",""N. C. Elviss"",""R. J. Owen""}",539,514
1652-6,"{""Duncan M Brooks"",""Pramit M Phal"",""Rory Wolfe""}",540,515
,{NULL},541,46
195-203,"{""V. Lorusso"",""M. De Lena"",""M. Guida"",""M. Correale"",""I. Abbate"",""A. Latorre"",""A. Casamassima"",""M. D. Musci""}",542,516
E315-6,"{""S. A. French"",""M. Story"",""P. J. Hannan""}",543,517
,{NULL},544,46
1442-6,"{""J. P. Heath"",""R. L. Williams"",""M. H. Pritchard""}",545,518
238-49,"{""R. T. Malison"",""E. F. Pace-Schott"",""V. Coric"",""P. T. Morgan"",""R. Stickgold"",""Z. H. Sahul""}",546,519
,"{""E. Anegekuh, L., Sun, L., Ifeachor""}",547,520
559-62,"{""D Caron"",""S J Witchell"",""M A Jewett"",""E L St Louis"",""R R Gray"",""C Bombardier"",""S Kumra"",""K E Psihramis"",""M R Ryan""}",548,521
6-Jan,"{""Paul Jones""}",549,522
,"{""Yibin Fang"",""Pengfei Yang"",""Jianmin Liu"",""Yi Xu"",""Qinghai Huang"",""Wenyuan Zhao"",""Dongwei Dai"",""Yan Chen""}",550,523
408-427,"{""K. Seo"",""L. G. Epstein""}",551,524
,{NULL},552,46
361-5,"{""K. Jonsson"",""A. Rydholm"",""I. Kristiansson"",""D. Heinegard"",""F. V. von Steyern"",""P. Mannfolk""}",553,525
1433-41,"{""Hangcheng Zhou"",""Renbao Yang"",""Jiong Chen"",""Yunlian Xia"",""Yin Lu""}",554,526
843-54,"{""R Carraro"",""M F Rasmussen"",""L Niskanen"",""A Harper"",""N Finer"",""S R̦ssner"",""M Kunesova"",""L Van Gaal"",""M E J Lean"",""A Astrup"",""A Rissanen"",""M J Savolainen"",""[Collective Name] NN8022-1807 Investigators""}",555,527
1723-7,"{""Kathy W Hosig"",""Sharon M Nickols-Richardson"",""Kavita H Poddar"",""Susan E Duncan"",""Eileen S Anderson""}",556,528
25-26,{NULL},557,529
26-39,"{""M. Runkel"",""J. Blum"",""P. M. Rommens""}",558,530
1173-8,"{""V Hesselbrock"",""A W Deckel""}",559,531
S156-S157,"{""Y. A. Son"",""G. Ustunkar"",""M. A. Doke"",""H. A. Dom"",""Y. Y. Tuncel""}",560,532
2761-2769 9p,"{""Gerlane ��ngela da Costa Moreira"",""Denyse Dutra Alencar Vasconcelos"",""Amanda Costa de Freitas"",""Carla Cristina Braga Maranh���o"",""Danielle Figueiredo Patricio""}",561,533
398-407,"{""L. N. Borrell"",""K. Rose"",""B. L. Clark"",""D. Catellier"",""A. V. D. Roux""}",562,534
389-95,"{""Philipp Martius"",""Anna Buchheim"",""Peter Buchheim"",""Susanne H���rz"",""Michael Rentrop"",""Cord Benecke"",""Peter Schuster"",""Melitta Fischer-Kern"",""Stephan Doering""}",563,535
207-220,"{""Basta Beard Beard Beel-Bates Bierman Bowling Cagney Calkins Carder Carlsson Chan Clark Clarke Cutchin Cutler Davidoff Diehl Doty Durrett Feldman Foote Freedman Gaugler Gitlin Gitlin Glass Golant Golant Golant Golant Golant Golant Golant Grafova Gross Hunt Alley"",""Stephen M. Golant""}",564,536
89-101,"{""L Timmermans"",""J C Slieker"",""J F Lange"",""E B Deerenberg"",""J Jeekel"",""D P Hogerzeil"",""P H C Eilers""}",565,537
36-42,"{""David R Jacobs"",""David S Ludwig"",""Cara B Ebbeling"",""Alex I Kartashov"",""Martha L Slattery"",""Linda Van Horn"",""Mark A Pereira""}",566,538
143-156,"{""E Decuypere"",""E Dewil"",""D Vanmontfort"",""H Michels""}",567,539
163-176,"{""J. Skees"",""T. K. Race""}",568,540
231-47,"{""J McCusker"",""F Primeau"",""M Cole"",""L Han"",""F Bellavance""}",569,541
544-55,"{""Ana Maria Baptista Menezes"",""David Alejandro Gonz��lez"",""Elaine Cardozo Macedo"",""Pedro Curi Hallal"",""Maria de F��tima Maia"",""Marli Knorst"",""Samuel Carvalho Dumith"",""Jeovany Mart�_nez-Mesa"",""Ricardo Bica Noal"",""Fernando C̩sar Wehrmeister"",""Jos̩ Roberto Jardim""}",570,542
S131-2,"{""Corinn Taylor""}",571,543
"421-6, 435, 434","{""T. Levy"",""Y. Bloch""}",572,544
78-83,"{""W. De Groote"",""D. Stoffelen"",""K. Govaerts"",""P. Reynders"",""P. L. Broos"",""J. Rondia""}",573,545
2427-36,"{""Xinran Wang"",""Chenhuan Ding"",""Lilan Chen"",""Shu Li"",""Ting Liu"",""Xia Yin"",""You Wang"",""Xiangjun Sun"",""Wen Di"",""He Li""}",574,546
664-669,"{""B. Heljic"",""R. Komel"",""I. Eminovic"",""F. Gavrankapetanovic"",""J. Prezelj"",""J. Karamehic""}",575,547
489-93,"{""P Michel"",""V Papavasileiou"",""G Ntaios"",""A Bargiota"",""K Makaritsis""}",576,548
454-460,"{""Al Sayed Hussain A"",""Saheb Sharif-Askari N"",""Sulaiman SA"",""Al-Mulla AA"",""Tabatabai S"",""Saheb Sharif-Askari F""}",577,549
655-661,"{""H. Choi"",""E. S. Kang"",""S. K. Lim"",""S. Y. Jeong"",""H. C. Lee"",""H. J. Kim"",""S. Kim"",""Y. Rhee"",""Y. H. Lee"",""J. H. Moon"",""K. R. Kim"",""C. W. Ahn"",""B. S. Cha"",""E. J. Lee""}",578,550
411-3,"{""M A Sanchez"",""S Ritzu"",""V Capelli"",""P Boccalon"",""G Arcangeli""}",579,551
e213-8,"{""Karen K Lam"",""Steven C Brooks"",""Laurie J Morrison""}",580,552
631-8,"{""Anna Nidecker"",""Siamak Ardekani"",""E Mark Mahone"",""Firouzeh Tannazi"",""Jarunee Intrapiromkul"",""Moody Wharam"",""Larry J Brant"",""Alena Horsk��""}",581,553
S149,"{""R. Rehmani""}",582,554
2276-83,"{""T. A. Doreleijers"",""P. T. Cohen-Kettenis"",""A. L. de Vries"",""T. D. Steensma""}",583,555
,{NULL},584,46
1727-33,"{""Corinne L Coulter"",""Jennie M Scarvell"",""Jeanie M Weber""}",585,556
766-71,"{""Fengjiang Zhang"",""Gang Chen"",""Min Yan"",""Congcong Chen""}",586,557
950-959,"{""S Nadeau"",""F Malouin"",""B.J McFadyen""}",587,558
1255-1272,"{""R. Danesi"",""S. Terrazzino"",""P. L. Canonico"",""A. A. Genazzani"",""S. Cargnin"",""M. Del Re""}",588,559
1061-5,"{""K. Iijima"",""A. Tanimoto"",""Y. Kitagaki"",""M. Hiura"",""H. Fujiwara"",""S. Ikawa""}",589,560
81-3,"{""J. L. Lloyd""}",590,561
597-605,"{""C. Bottomley"",""K. Lock"",""S. Lais"",""A. Clow"",""G. Yu"",""R. Lynch"",""A. Renton"",""G. Phillips"",""M. Petticrew"",""A. Draper"",""P. Tobi"",""E. Schmidt"",""R. Hayes"",""D. Moore""}",591,562
53,"{""Jennifer L. Edwards"",""Cherie A. Lyons"",""Marcia E. Swords"",""Mary S. Rogers"",""Kathy E. Green""}",592,563
3236-42 ST  - Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study-,"{""A. DA  - Jun DO  - jc.2004-1843 [pii] 10.1210/jc.2004-1843 [doi] DP  - Nlm ET  - 2005/03/31 Dunaif"",""A. R. Kunselman"",""R. S. Legro"",""C. L. Gnatuk""}",593,564
,"{""Maria Papapolydorou"",""Taslima Rahman"",""William D. Schafer"",""Lori Parker""}",594,565
502-8,"{""T. Katayama"",""K. Furuta"",""M. Akahane"",""H. Ono"",""R. Fujitani""}",595,566
288-94,"{""Kevin Patrick"",""Jill Rybar"",""Linda Hill"",""Sara Baird"",""Raul Coimbra"",""Susanna Concha-Garcia""}",596,567
281-5,"{""S. Opatrna"",""P. Stehlik"",""J. Racek"",""Jr. Opatrny, K."",""V. Senft"",""F. Sefrna"",""O. Topolcan""}",597,568
4-47-53,"{""L. Pretlow"",""A. Ranne"",""B. Kraj"",""E. K. Leibach"",""B. Russell""}",598,569
584-92,"{""Jutta Beier"",""Peter D'Andrea"",""Michelle Henley"",""Stephanie Korn"",""Kai-Michael Beeh"",""Donald Banerji"",""Dalal Jadayel""}",599,570
437-41,"{""Fernanda Cesar"",""Anne A Wooldridge"",""Cinzia Mastrorilli"",""Pete W Christopherson"",""Kellye Joiner""}",600,571
202-208,"{""Seiler I"",""Baron M"",""Arzt M"",""Pfeifer M"",""Lange TJ""}",601,572
615-622 8p,"{""Romero M"",""Mercer R"",""Ramos S"",""Karolinski A""}",602,573
e1919,"{""Victor Kande"",""Epco Hasker"",""Veerle Lejon"",""Jean-Jacques Muyembe"",""Patrick Mitashi"",""Marleen Boelaert"",""Pascal Lutumba""}",603,574
81-90,"{""Antoine Hone-Blanchet"",""Shirley Fecteau""}",604,575
131-4,"{""E. M. Quigley"",""J. K. DiBaise""}",605,576
1126-1141,"{""H. H. Huang"",""J. Hale"",""L. Fetters"",""A. McBride""}",606,577
96-160,"{""V.E. Zakharov"",""S. Dyachenko"",""A.C. Newell"",""A. Pushkarev""}",607,578
99-106,"{""M A Bleiker""}",608,579
383-92,"{""F Vin"",""F A Allaert"",""J P Benigni"",""S Sadoun""}",609,580
189-196,"{""R.A. Mesa"",""N.C.P. Cross"",""J.O. Mascarenhas""}",610,581
613-5,"{""George Vithoulkas"",""Menachem Oberbaum"",""Shepherd Singer"",""Robbert van Haselen""}",611,582
477-83,"{""G. S. McDonald"",""J. W. Bachman"",""P. C. O'Brien""}",612,583
348-357,"{""K. F. Lam"",""S. M. Ng"",""B. H. P. Lau"",""H. H. M. Lo"",""C. L. W. Chan""}",613,584
617-22,"{""Gilles Montalescot"",""Gordon FitzGerald"",""Kurt G Barringhaus"",""[Collective Name] GRACE Investigators"",""Frans Van de Werf"",""Joel M Gore"",""David D McManus"",""Jos̩ L�_pez-Send�_n"",""Philippe Gabriel Steg"",""Kay Lee Park""}",614,585
93-6,"{""Marcus R Munaf�_"",""Mike W Peacey"",""In-Uck Park""}",615,586
378-84,"{""A Polychronaki"",""Ch Roussos"",""A Koutsoukou"",""I Dimitroulis"",""J Milic-Emili"",""N G Koulouris"",""S Retsou"",""E N Kosmas"",""M Gaga""}",616,587
290-296,"{""Y.-J. Du"",""X.-M. Zhu"",""B. Sang"",""C.-J. Yang"",""C.-L. Liu""}",617,588
327-35,"{""Muhammad Rafique"",""M. Ikram Shahzad"",""Shahida Jabeen""}",618,589
223-230,"{""S. T. Visser"",""M. J. Postma"",""P. Denig"",""F. M. De Vries"",""E. Hak""}",619,590
391-406,"{""E. Bonthuys""}",620,591
1531-7,"{""R Schwarz"",""J Ernst"",""M Zenger"",""E Br�_hler"",""R Schmidt""}",621,592
"1114-7 ST  - A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain-","{""M. Rossignol"",""F. A. Allaert"",""B. Bannwarth"",""J. P. C1  - Fr̴n RCT-șkningen CN  - Pubmed DA  - Jun DP  - NLM ET  - 2005/06/09 Valat"",""S. Rozenberg"",""B. Avouac""}",622,593
2018-2020,"{""Yuki Matsuda"",""Taro Kishi"",""Nakao Iwata""}",623,594
550-561,"{""E. T. Rolls""}",624,595
1271-6,"{""Joost P A Kuijer"",""Thom A Voorn"",""Ernesto J Sanz-Arigita"",""Ellemarije Altena"",""Eus J W Van Someren"",""Serge A R B Rombouts"",""Ysbrand D Van Der Werf""}",625,596
527-35,"{""N Saijo"",""M Yamakido"",""K D Tew"",""Y Fujiwara"",""K Kasahara"",""M Bungo"",""Y Sugimoto""}",626,597
2055-9,"{""L J Hahn"",""C J Chiu"",""M L Chang"",""L L Hsieh"",""Y S Kuo"",""H M Chen"",""C P Chiang"",""C J Chen""}",627,598
320-6,"{""Helen M Sorenson""}",628,599
361-368,"{""B. J. Caan"",""E. M. John"",""T. H. M. Keegan"",""A. H. Wu"",""L. Bernstein"",""S. Shariff-Marco"",""R. Sposto"",""C. C. Tseng"",""J. Sullivan-Halley"",""Y. Lu"",""C. Vigen"",""M. L. Kwan"",""S. L. Gomez"",""A. W. Kurian"",""I. Cheng"",""V. S. Lee""}",629,600
591-5,"{""Y. Akematsu"",""M. Tsuji"",""K. Minetaki""}",630,601
359-362,"{""E. L. Krivchenia"",""M. I. Evans"",""M. A. Ayoub"",""V. L. Miller"",""S. B. Ransom""}",631,602
75,"{""J. Gschwend"",""S. Schirrmacher-Memmel"",""A. Beeker"",""M. O. Grimm"",""B. Brehmer"",""M. Zaiss"",""U. Von Verschuer"",""S. Pahernik"",""M. Bos"",""M. De Santis"",""M. Retz"",""S. Krause""}",632,603
iii25-iii25,"{""M Gimpel"",""S Gadola"",""P Cooper"",""K Jameson"",""G Deakin"",""M Godtschailk"",""M Stokes"",""C Cooper""}",633,604
62928,"{""A. L. Steege"",""T. Alterman"",""M. R. Petersen"",""J. Li""}",634,605
153-6,"{""H. Oshima"",""K. Kobayashi"",""T. Yamamoto"",""M. Kasai"",""C. Fukaya"",""Y. Katayama""}",635,606
328,"{""M. G. Bruce"",""J. Morris"",""B. McMahon"",""A. Tveit"",""D. Hurlburt"",""D. Bruden""}",636,607
138-139,"{""C. Dearden"",""J. Dodd"",""E. Matutes"",""D. Catovsky"",""J. Blundell"",""A. Rawstrom"",""D. Allsup"",""D. Oscier"",""T. Hamblin"",""S. Dodd"",""E. Heartin"",""R. Jones"",""J. Radford"",""S. Proctor"",""S. Agrawal"",""P. Hillmen"",""G. Follows"",""R. Pettitt"",""A. Bloor"",""S. Devereux"",""S. Carruthers""}",637,608
156-9,"{""Sabe Sabesan"",""Peter Aiken"",""Lynden J Roberts"",""Sarah Larkins"",""Abhishek Joshi""}",638,609
120-6 ST  - Bioavailability and tolerability of intranasal diazepam in healthy adult volunteers-,"{""Robert L. Kriel"",""Jennifer R. Riss"",""Vijay D. Ivaturi"",""James C. C2  - 19231138 DB  - MEDLINE DO  - http://dx.doi.org/10.1016/j.eplepsyres.2009.01.001 Cloyd"",""Ronald A. Siegel""}",639,610
2755-72,"{""Irene G Salado"",""Ana Martinez"",""Daniel I Perez"",""Brian C Kraemer"",""Murilo L Bello"",""Concepci�_n Perez"",""Nicole F Liachko"",""Magalie Lecourtois"",""Miriam Redondo"",""Carmen Gil"",""Laetitia Miguel""}",640,611
862-869,"{""Alicia Heapy"",""Sally G. Haskell"",""M. Carrington Reid"",""Robert D. Kerns"",""Rebecca K. Papas""}",641,612
,"{""Ashley McDonald"",""Shannon N Zenk"",""Colleen Corte"",""Kelly K Jones""}",642,613
e483; author's reply e484,"{""Sergio Raposeiras-Roub�_n"",""Jos̩ Maria Garc�_a-Acu̱a"",""Jos̩ Ram�_n Gonz��lez-Juanatey""}",643,614
214-8,"{""C L̦liger"",""K Neuber"",""J Ring"",""I K̦hler""}",644,615
,{NULL},645,46
307-17,"{""Cameron F Abrams"",""Spencer T Stober""}",646,616
336-48,"{""E A BeGole"",""H S Upshaw"",""R J Egolf""}",647,617
72,"{""Richard Andrews"",""Erica B Lundsten"",""A Maureen Bundick Morgan""}",648,618
83-88,"{""E Larson"",""B A Laughon"",""K Mayur""}",649,619
S67-8 1p,"{""Bouchard DR"",""Soucy L"",""Senechal M"",""Brochu M"",""Dionne IJ""}",650,620
1883-94,"{""Silvia Sookoian"",""Carlos J Pirola""}",651,621
55-60,"{""C. Handgraaf"",""W. J. Melchers"",""T. Klaassen"",""P. D. Sturm"",""E. T. Bochum"",""S. V. van Mook-Vermulst""}",652,622
