Genre,Filming Locations,original_index,unique_index
"Drama,Family","Utah, USA",2949,2525
Family,"Des Moines, Iowa, USA",2950,2526
Family,,2951,730
"Family,Romance","Spokane, Washington, USA",2952,2527
"Adventure,Horror,Mystery","Barrington, Rhode Island, USA",2953,2528
"Comedy,Family,Romance","Southern California, California, USA",2954,2529
Family,,2955,730
Comedy,,2956,628
"Comedy,Horror","Dallas, Texas, USA",2957,2530
Family,,2958,730
Family,,2959,730
"Action,Adventure,Drama",,2960,2531
"Drama,Family","San Tan Valley, Arizona, USA",2961,2532
"Comedy,Drama,Family","Mount Juliet, Tennessee, USA",2962,2533
"Adventure,Family","Abiquiu, New Mexico, USA",2963,2534
"Drama,Family,Sport","Folsom, Louisiana, USA",2964,2535
"Drama,Family","Fairview, Utah, USA",2965,2536
"Drama,Family,Romance","Myrtle Beach, South Carolina, USA",2966,2537
Family,"Utah, USA",2967,2538
"Drama,Family","Dallas, Texas, USA",2968,2539
"Family,Music,Romance","Charlotte, North Carolina, USA",2969,2540
Family,"Guthrie, Oklahoma, USA",2970,2541
"Adventure,Drama,Family",,2971,2542
"Comedy,Family","Saugatuck, Michigan, USA",2972,2543
Family,"Virginia, USA",2973,2544
"Family,Mystery,Thriller",,2974,2545
Family,"Grand Rapids, Michigan, USA",2975,2546
Family,,2976,730
"Horror,Mystery,Thriller","Arctic Circle, Finland",2977,2547
"Family,Western","Remount Ranch - 198 County Road, Buford, Wyoming, USA",2978,2548
"Drama,Family","Ruston, Louisiana, USA",2979,2549
"Drama,Family","Basking Ridge, New Jersey, USA",2980,2550
"Animation,Family,Musical",,2981,1272
Horror,"Long Beach, California, USA",2982,2551
Horror,"Farm House Restaurant - 10005 Highway One, Olema, California, USA",2983,2552
Thriller,"Green Bay, Wisconsin, USA",2984,2553
"Animation,Adventure,Family",,2985,138
"Animation,Adventure,Family","Los Angeles, California, USA",2986,2554
"Animation,Adventure,Family",,2987,138
Comedy,,2988,628
Family,"Los Angeles, California, USA",2989,2387
"Action,Adventure,Sci-Fi","Schlitterbahn Waterpark Resort - 400 North Liberty Avenue, New Braunfels, Comal County, Texas, USA",2990,2555
Drama,,2991,47
"Drama,Family","Coney Island, Brooklyn, New York City, New York, USA",2992,2556
"Biography,Drama,Family","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2993,2557
"Crime,Drama,Film-Noir","Motion Picture Center Studios, Hollywood, Los Angeles, California, USA",2994,2558
"Adventure,Drama,History","Blackfeet Indian Reservation, Montana, USA",2995,2559
"Action,Family","Los Angeles, California, USA",2996,2560
"Comedy,Mystery",,2997,2561
"Documentary,Kids & Family",New Zealand,2998,2562
"Comedy,Drama,Family","New York City, New York, USA",2999,727
"Action,Adventure,Family","Los Angeles, California, USA",3000,2563
"Adventure,Family,Fantasy","Belfast Methodist College, Belfast, County Antrim, Northern Ireland, UK",3001,2564
Horror,"Bushnell, Florida, USA",3002,2565
"Crime,Drama,Mystery","Albuquerque, New Mexico, USA",3003,2566
"Adventure,Family,Fantasy","Budapest, Hungary",3004,2567
"Action,Horror,Thriller","Mexico City, Distrito Federal, Mexico",3005,2568
"Drama,Family,Romance","Wilmington, North Carolina, USA",3006,2569
"Comedy,Drama,Family","Los Angeles, California, USA",3007,1434
Family,"Lumberton, North Carolina, USA",3008,2570
"Documentary,Biography,Family","Amsterdam, Noord-Holland, Netherlands",3009,2571
"Drama,Family,Fantasy","Ludington, Michigan, USA",3010,2572
"Comedy,Drama,Family","Western Australia, Australia",3011,2573
"Animation,Adventure,Family",,3012,138
"Comedy,Family",,3013,890
Thriller,"Los Angeles, California, USA",3014,1094
"Comedy,Romance",,3015,9
"Comedy,Romance","Sacramento, California, USA",3016,2574
"Documentary,Drama,Family",,3017,738
"Drama,Family","Ann Arbor, Michigan, USA",3018,2575
"Drama,Crime,Romance",,3019,2576
"Comedy,Romance","New York City, New York, USA",3020,2577
Drama,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3021,217
Drama,,3022,47
"Comedy,Musical,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3023,423
"Comedy,Musical,Romance","Stage 28, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3024,2578
"Comedy,Romance","Central Park, Manhattan, New York City, New York, USA",3025,2579
"Biography,Drama,Music","Hollywood, Los Angeles, California, USA",3026,2580
"Comedy,Musical,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3027,423
"Comedy,Musical,Romance",,3028,2581
"Comedy,Romance","Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3029,2582
"Comedy,Romance","Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3030,2583
Comedy,"Plainville, Connecticut, USA",3031,2584
"Comedy,Musical,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3032,423
"Comedy,Musical,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3033,423
"Comedy,Romance",,3034,9
"Comedy,Fantasy,Musical","Hollywood Bowl - 2301 N. Highland Avenue, Hollywood, Los Angeles, California, USA",3035,2585
"Musical,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3036,420
"Comedy,Musical","London, England, UK",3037,2586
"Adventure,Comedy,Musical","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3038,2587
"Comedy,Musical,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3039,347
"Musical,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3040,420
"Comedy,Family","Leavenworth, Washington, USA",3041,2588
"Comedy,Family,Sport",,3042,2589
Family,"Manistee, Michigan, USA",3043,2590
"Biography,Comedy,Musical","Hollywood, Los Angeles, California, USA",3044,2591
"Comedy,Drama,Family","Fox High School, Arnold, Missouri, USA",3045,2592
"Drama,Family",,3046,779
"Action,Adventure,Family","Beltzville State Park, Pennsylvania, USA",3047,2593
"Comedy,Musical","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3048,1799
"Comedy,Drama,Musical","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3049,2594
"Comedy,Drama,Family","Bryn Mawr College - 101 N. Merion Avenue, Bryn Mawr, Pennsylvania, USA",3050,2595
"Adventure,Drama,Family",,3051,2542
"Comedy,Family",,3052,890
"Comedy,Family","Austin, Texas, USA",3053,2596
"Musical,Romance,War","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3054,2597
"Adventure,Family",,3055,1270
"Comedy,Family","Nashville, Tennessee, USA",3056,2598
"Action,Adventure,Family",,3057,936
"Short,Family",,3058,2599
Family,,3059,730
"Adventure,Family",,3060,1270
Family,"Los Angeles, California, USA",3061,2387
"Adventure,Family,Fantasy","Redmond, Oregon, USA",3062,2600
"Adventure,Family,History","Rowland V. Lee Ranch - Fallbrook Avenue, Canoga Park, Los Angeles, California, USA",3063,2601
"Family,Documentary",,3064,915
"Adventure,Drama,Family","Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",3065,2602
"Family,Western,Adventure","Knoxville, Tennessee, USA",3066,2603
"Western,Family","Janss Conejo Ranch, Thousand Oaks, California, USA",3067,2604
"Family,Drama","Santa Clarita, California, USA",3068,2605
"Adventure,Drama,Family","Azusa, California, USA",3069,2606
"Adventure,Biography,Drama","Scotland, UK",3070,2607
"Action,Adventure,Family","Georgia, USA",3071,2608
"Family,Adventure,Comedy","Cave-In-Rock, Illinois, USA",3072,2609
"Adventure,Drama,Family","Matterhorn, Kanton Wallis, Switzerland",3073,2610
"Adventure,Family,Fantasy","Jackson Hole, Wyoming, USA",3074,2611
"Adventure,Family,Fantasy","Albertson Ranch, Triunfo, California, USA",3075,2612
"Adventure,Comedy,Musical","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3076,2613
"Drama,Family",,3077,779
"Animation,Comedy,Musical","Eastern Service Studios, Astoria, Queens, New York City, New York, USA",3078,2614
"Comedy,Crime,Music","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3079,2615
"Comedy,Western","Paramount Ranch - 2813 Cornell Road, Agoura, California, USA",3080,2616
Documentary,,3081,26
"Comedy,Fantasy,Musical","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3082,2617
"Adventure,Comedy,Musical","Imperial County, California, USA",3083,2618
"Comedy,Romance,Western","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3084,2619
"Comedy,Music,Romance","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3085,2620
"Documentary,Biography",,3086,3
"Adventure,Comedy,Romance","Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",3087,2621
"Comedy,Horror,Mystery","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3088,2622
Comedy,"Burbank, California, USA",3089,2623
"Animation,Comedy,Family",,3090,20
Comedy,"Union Square, San Francisco, California, USA",3091,2624
"Crime,Drama,Thriller","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3092,2625
"Animation,Action,Drama",,3093,2626
"Comedy,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3094,95
"Comedy,Drama,Fantasy","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3095,2627
"Comedy,Romance","Shimbashi, Tokyo, Japan",3096,2628
"Comedy,Romance","Metro-Goldwyn-Mayer Studios, Hollywood, Los Angeles, California, USA",3097,2629
Comedy,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3098,2630
"Comedy,Romance","George Washington Bridge, Manhattan, New York City, New York, USA",3099,2631
"Crime,Drama","Piccadilly Circus, Piccadilly, London, England, UK",3100,2632
Drama,"Boyle Heights, Los Angeles, California, USA",3101,2633
Comedy,,3102,628
"Short,Comedy",,3103,2634
"Drama,Romance,Western","Black Rock Desert, Nevada, USA",3104,2635
"Musical,Drama","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3105,2636
"Musical,Romance,War","Kaua'i, Hawaii, USA",3106,2637
"Family,Drama","Bokrijk, Belgium",3107,2638
Musical,"Santa Clarita, California, USA",3108,2639
"Drama,Family","Cathedral of Our Lady, Antwerp, Flanders, Belgium",3109,2640
"Drama,Fantasy,Musical","Dino De Laurentiis Cinematografica Studios, Rome, Lazio, Italy",3110,2641
"Action,Adventure,Drama","Luttrellstown Estate, Co Dublin, Republic of Ireland",3111,2642
"Musical & Performing Arts,Classics,Comedy","Square of Warriors, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3112,2643
"Adventure,Drama,Western","Custer State Park - 13329 U.S. Highway 16A, Custer, South Dakota, USA",3113,2644
"Comedy,Musical,Romance","Kings Row, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3114,2645
"Biography,Drama,Musical","Stage 16, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3115,2646
Drama,"Makua Valley, Leeward Oahu, Hawaii, USA",3116,2647
"Crime,Film-Noir,Thriller","Boston, Massachusetts, USA",3117,2648
"Crime,Drama,Film-Noir","Beacon Hill, Boston, Massachusetts, USA",3118,2649
"Crime,Film-Noir,Drama","Whiteman Airport - 12657 Osborne Street, Pacoima, Los Angeles, California, USA",3119,2650
"Crime,Film-Noir,Romance","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3120,2651
Adventure,,3121,2652
"Crime,Drama,Film-Noir","Culver City, California, USA",3122,2653
"Adventure,Drama,Romance","California, USA",3123,2654
"Action,Thriller","New York City, New York, USA",3124,2655
"Crime,Thriller","Los Angeles, California, USA",3125,2656
"Action,Biography,Drama","Northridge, Los Angeles, California, USA",3126,2657
"Drama,Thriller","Atlanta First United Methodist Church - 360 Peachtree Street NE, Atlanta, Georgia, USA",3127,2658
"Action,Comedy,Crime","New Orleans, Louisiana, USA",3128,2659
"Crime,Drama,Film-Noir","32nd Street and First Avenue, Manhattan, New York City, New York, USA",3129,2660
"Action,Biography,Drama","New Mexico, USA",3130,2661
"Action,Drama,Sci-Fi","Barrandov Studios, Prague, Czech Republic",3131,2662
"Drama,Sci-Fi","Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",3132,2663
"Drama,Action & Adventure,Horror,Mystery & Suspense",Australia,3133,2664
"Sci-Fi,Thriller","Lake Powell, Arizona, USA",3134,2665
"Sci-Fi,Thriller",,3135,2666
"Thriller,Film-Noir,Drama","City Hall - 200 N. Spring Street, Downtown, Los Angeles, California, USA",3136,2667
"Adventure,Sci-Fi,Thriller","EUE/Screen Gems Studios Atlanta, 175 Lakewood Way, Atlanta, Georgia, USA",3137,2668
"Action,Mystery,Sci-Fi","Baton Rouge, Louisiana, USA",3138,2669
"Drama,Comedy","Amsterdam, Noord-Holland, Netherlands",3139,2670
"Crime,Drama,Film-Noir","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3140,2671
"Film-Noir,Thriller",,3141,2672
Drama,"Winston-Salem, North Carolina, USA",3142,2673
"Crime,Drama,Film-Noir",,3143,2126
"Adventure,Comedy,Family","England, UK",3144,2674
"Adventure,Drama,Family","Black Park Country Park, Wexham, Buckinghamshire, England, UK",3145,2675
"Adventure,Family,Sport","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",3146,2676
"Family,Adventure,Drama","Chengdu, China",3147,2677
"Family,Fantasy,Music","Stage 2, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3148,2678
"Adventure,Family",Kenya,3149,2679
"Comedy,Family,Fantasy","Boise, Idaho, USA",3150,2680
"Action,Adventure,Comedy","Boconnoc, Lostwithiel, Cornwall, England, UK",3151,2681
"Comedy,Family","Denver, Colorado, USA",3152,2682
"Drama,Family,Fantasy","Boston, Massachusetts, USA",3153,2683
"Action,Adventure,Comedy","Canberra, Australian Capital Territory, Australia",3154,2684
"Action,Adventure,Family","Hawaii, USA",3155,2685
Drama,"Buffalo, New York, USA",3156,2686
"Drama,Family,Fantasy","Allerton Park, Knaresborough, North Yorkshire, England, UK",3157,2687
"Family,Comedy,Drama","Fort Lauderdale, Florida, USA",3158,2688
"Comedy,Romance","Stage 33, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3159,2689
"Adventure,Family",India,3160,2690
"Comedy,Family","Canyon Country, California, USA",3161,2691
"Comedy,Drama,Family",,3162,923
Comedy,"California, USA",3163,379
"Family,Drama","Edinburgh, Scotland, UK",3164,2692
"Family,Adventure","Kananaskis Country, Alberta, Canada",3165,2693
"Comedy,Crime,Thriller","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3166,2694
"Adventure,Drama,Family","Aspdin, Muskoka, Ontario, Canada",3167,2695
"Comedy,Musical,Romance","San Francisco, California, USA",3168,2696
Family,"Mt. Timpanogos, Utah and Alpine, Utah, USA",3169,2697
"Comedy,Drama,Romance","New York, USA",3170,2698
"Biography,Drama,Family","Valencia, California, USA",3171,2699
"Family,Adventure","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",3172,2700
"Adventure,Drama,Family","Brentwood Bay and Patricia Bay, British Columbia, Canada",3173,2701
Comedy,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3174,72
"Comedy,Musical,Romance","San Francisco, California, USA",3175,2696
"Adventure,Family,Sci-Fi","Los Angeles Sports Arena - 3939 S. Figueroa Street, Exposition Park, Los Angeles, California, USA",3176,2702
"Comedy,Drama,Romance","Bronx, New York City, New York, USA",3177,2703
"Adventure,Comedy,Family","595 Wisconsin St, San Francisco, California, USA",3178,2704
"Adventure,Comedy,Drama","Toronto, Ontario, Canada",3179,2705
"Adventure,Drama,Family","Boston, Massachusetts, USA",3180,2706
"Comedy,Drama","Brooklyn College, City University of New York, Brooklyn, New York City, New York, USA",3181,2707
"Drama,Family,Musical","Gorica, Croatia",3182,2708
"Adventure,Family","Broughton Log Flume, Columbia River Gorge, Washington, USA",3183,2709
"Family,Adventure,Drama","Nice, Alpes-Maritimes, France",3184,2710
"Adventure,Comedy,Family","Imperial County, California, USA",3185,2711
"Adventure,Comedy,Family","Palos Verdes, California, USA",3186,2712
"Comedy,Drama,Family","Fort Washington, Maryland, USA",3187,2713
"Action,Adventure,Drama",Cuba,3188,2714
"Animation,Action,Adventure",,3189,142
"Animation,Adventure,Comedy",,3190,99
"Comedy,Musical","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3191,1799
"Drama,Family,Fantasy","County Donegal, Ireland",3192,2715
Comedy,"Burnaby, British Columbia, Canada",3193,2716
"Comedy,Family","Fort Langley, British Columbia, Canada",3194,2717
"Comedy,Family","Holy Trinity Cathedral - 514 Carnarvon Street, New Westminster, British Columbia, Canada",3195,2718
"Comedy,Family,Fantasy","First Union Center - 3601 S. Broad Street, Philadelphia, Pennsylvania, USA",3196,2719
"Comedy,Drama,Family","Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",3197,2720
"Comedy,Musical,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3198,347
"Adventure,Family",Fiji,3199,2721
"Action & Adventure,Kids & Family","Clancy Barracks, Dublin, County Dublin, Ireland",3200,2722
"Biography,Comedy,Musical","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3201,2127
"Biography,Comedy,Musical",,3202,2723
"Adventure,Thriller,Western","New Mexico, USA",3203,2724
"Action,Thriller,Western","Arizona, USA",3204,2725
"Crime,Drama,Thriller","Ashland, Wisconsin, USA",3205,2726
"Adventure,Drama,Family","Vieques, Puerto Rico",3206,2727
"Drama,Horror,Mystery","Burlington, Vermont, USA",3207,2728
"Horror,Mystery,Thriller","Bayou Gauche, Louisiana, USA",3208,2729
Drama,,3209,47
"Comedy,Drama,Horror","Chennai, Tamil Nadu, India",3210,2730
"Action,Drama","New Jersey, USA",3211,2731
"Crime,Drama,Horror","Canada Saskatchewan Production Studios, Regina, Saskatchewan, Canada",3212,2732
"Documentary,Family,Mystery","Binghamton, New York, USA",3213,2733
"Comedy,Romance","New York City, New York, USA",3214,2577
"Action,Comedy,Drama","Los Angeles, California, USA",3215,2734
"Comedy,Drama,Romance","Washington Mews, Manhattan, New York City, New York, USA",3216,2735
"Adventure,Comedy,Drama","Narragansett Bay, Rhode Island, USA",3217,2736
"Drama,Romance","Avilés, Asturias, Spain",3218,2737
"Drama,Romance,Thriller","Belgravia, London, England, UK",3219,2738
"Drama,Thriller","Bowling Green, Lower Manhattan, Manhattan, New York City, New York, USA",3220,2739
"Comedy,Romance","Rome, Lazio, Italy",3221,2740
"Comedy,Mystery","CityPoint, Moorgate, London, England, UK",3222,2741
"Comedy,Drama,Romance","Upper Darby, Pennsylvania, USA",3223,2742
"Comedy,Drama,Romance","W. Century Blvd. & Airport Blvd, Los Angeles, California, USA",3224,2743
"Comedy,Romance","Grant's Tomb, Riverside Drive, New York City, New York, USA",3225,2744
"Drama,Romance","New York City, New York, USA",3226,2745
"Drama,History,Thriller","McLean, Virginia, USA",3227,2746
"Drama,History,Thriller","British Columbia, Canada",3228,2747
"Drama,Sport","Hollywood Athletic Club - 6525 W. Sunset Blvd., Hollywood, Los Angeles, California, USA",3229,2748
"Biography,Drama,History","New Orleans, Louisiana, USA",3230,2749
"Crime,Drama,Mystery","Manhattan, New York City, New York, USA",3231,2750
Drama,"Omote-Sando, Tokyo, Japan",3232,2751
"Comedy,Drama","Acton, California, USA",3233,2752
"Comedy,Drama,Romance","Burnaby, British Columbia, Canada",3234,2753
"Biography,Drama,Music","Baton Rouge, Louisiana, USA",3235,2754
"Drama,Mystery,Romance","British Steel works, now Tata Steel works, Redcar, England, UK",3236,2755
Drama,"CBS Television City - 7800 Beverly Blvd., Fairfax, Los Angeles, California, USA",3237,2756
"Comedy,Drama,Romance","1785 South Broadway, Santa Maria, California, USA",3238,2757
"Drama,Romance","Calgary, Alberta, Canada",3239,2758
"Drama,War","Ditsworthy Warren House, Sheepstor, Devon, England, UK",3240,2759
Drama,"Shafter, Texas, USA",3241,2760
"Drama,History,War","Iwo Jima, Japan",3242,2761
"Drama,History,Sport","New York City, New York, USA",3243,2762
"Drama,History,Thriller","Aulich Street, Budapest, Hungary",3244,2763
"Biography,Crime,Drama","Malibu, California, USA",3245,2764
"Biography,Drama","Los Angeles, California, USA",3246,2093
"Comedy,Drama,Family","New York, USA",3247,2765
"Fantasy,Horror","Valencia, California, USA",3248,2766
"Drama,Romance","Los Angeles County, California, USA",3249,2767
"Comedy,Crime,Drama","Los Angeles National Cemetery - 950 S Sepulveda Blvd., Los Angeles, California, USA",3250,2768
"Crime,Drama,Mystery","Asbury Park, New Jersey, USA",3251,2769
"Crime,Drama,Thriller","Courtenay, British Columbia, Canada",3252,2770
"Action,Adventure,Thriller","Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",3253,2771
"Action,Crime,Drama","Los Angeles, California, USA",3254,197
"Crime,Horror,Mystery","Los Angeles, California, USA",3255,2772
"Action,Crime,Thriller","Dell Ave, Venice, Los Angeles, California, USA",3256,2773
"Action,Crime,Thriller","Casino de Puerto Rico, Avenida Juan Ponce De León, San Juan, Puerto Rico",3257,2774
"Action,Drama,Sport","Flagstaff, Arizona, USA",3258,2775
"Action,Crime,Drama","East Jersey State Prison, Rahway, New Jersey, USA",3259,2776
"Biography,Drama,Western","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3260,2777
"Documentary,History,Sci-Fi",,3261,2778
Documentary,,3262,26
Documentary,,3263,26
Documentary,,3264,26
"Drama,Family","Indianapolis, Indiana, USA",3265,2779
"Family,Sci-Fi","4400 N Alafaya Trail, Orlando, Florida, USA",3266,2780
"Crime,Drama,Thriller","Alameda, California, USA",3267,2781
"Comedy,Drama,Romance","17 State Street, Financial District, Manhattan, New York City, New York, USA",3268,2782
"Action,Drama,Mystery","Austin, Texas, USA",3269,2783
"Drama,Fantasy","Louisiana, USA",3270,2784
"Documentary,Biography,Family",,3271,740
"Documentary,Family",,3272,918
"Comedy,Crime,Drama","Plain Dealing, Louisiana, USA",3273,2785
"Documentary,Family,Sport",,3274,2786
"Drama,Romance,Thriller","Los Angeles, California, USA",3275,2787
"Comedy,Drama,War","Guaymas, Sonora, Mexico",3276,2788
"Action,Drama,Family","RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",3277,2789
"Crime,Drama","Dulwich, London, England, UK",3278,2790
Sci-Fi,"RKO Encino Ranch - Balboa Boulevard & Burbank Boulevard, Encino, Los Angeles, California, USA",3279,2791
"Drama,Thriller","15 E Michigan Ave, Ypsilanti, Michigan, USA",3280,2792
"Comedy,Crime","1400 Tower Grove Drive, Beverly Hills, California, USA",3281,2793
"Comedy,Family","Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3282,2794
"Comedy,Drama,Romance","Provo, Utah, USA",3283,2795
"Comedy,Family,Sci-Fi","Renwick Gym, Pomona College - 333 N. College Way, Claremont, California, USA",3284,2796
"Comedy,Drama,Family","Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA",3285,2797
"Action,Adventure,Comedy","Ledec nad Sázavou, Czech Republic",3286,2798
Comedy,"England, UK",3287,2799
"Comedy,Romance","National Mall, Washington, District of Columbia, USA",3288,2800
"Comedy,Crime","Brand Library - 1601 West moutain Street, Glendale, California, USA",3289,2801
Comedy,"Pompton Lakes, New Jersey, USA",3290,2802
"Comedy,Crime","Alpes-Maritimes, France",3291,2803
"Adventure,Drama,History","Isandlwana, Natal, South Africa",3292,2804
"Crime,Thriller","Horden Beach, Peterlee, County Durham, England, UK",3293,2805
Adventure,"Atlas Mountains, Morocco",3294,2806
"Animation,Adventure,Comedy",,3295,99
"Animation,Adventure,Comedy",,3296,99
Drama,"Los Angeles, California, USA",3297,109
"Comedy,Drama","Gambier, Ohio, USA",3298,2807
Drama,,3299,47
"Comedy,Drama","Winsted, Connecticut, USA",3300,2808
"Comedy,Drama,Romance","Brooklyn, New York City, New York, USA",3301,2409
"Comedy,Drama,Romance","Ocean Shores, Washington, USA",3302,2809
"Comedy,Drama,Music","Manhattan, New York City, New York, USA",3303,2810
"Comedy,Drama,Romance","Empty Bottle Bar, 1035 N Western Avenue, Chicago, Illinois, USA",3304,2811
"Drama,Romance","New York, USA",3305,2812
"Comedy,Drama,Fantasy","Big Sur, California, USA",3306,2813
"Drama,Family","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3307,474
"Drama,Family,Romance","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3308,2814
"Comedy,Drama,Family","Stage 8, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3309,2815
"Musical,Adventure,Family","20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3310,2816
"Adventure,Drama,Family","Black Island Studios, Alliance Road, Acton, London, England, UK",3311,2817
"Biography,Drama,Family","Atlanta, Georgia, USA",3312,2818
"Drama,Family","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3313,474
"Comedy,Drama,Family","Clarence Brown Ranch - Las Virgenes Road, Calabasas, California, USA",3314,2819
"Adventure,Family","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",3315,2820
"Drama,Family,Sport","Agua Caliente Racetrack, Baja California Norte, Mexico",3316,2821
"Comedy,Drama,Family","Glendale Grand Central Air Terminal - Grandview Avenue, Glendale, California, USA",3317,2822
"Comedy,Drama,Family",,3318,923
"Animation,Adventure,Family",,3319,138
"Animation,Adventure,Comedy",,3320,99
"Animation,Adventure,Family",,3321,138
"Animation,Adventure,Family",,3322,138
"Drama,Family",,3323,779
"Crime,Drama,Film-Noir","Argyle Hotel - 8358 Sunset Blvd., West Hollywood, California, USA",3324,2823
"Drama,Family,Fantasy","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3325,2824
"Comedy,Family,Fantasy","Scarborough Faire - 2511 FM 66, Waxahachie, Texas, USA",3326,2825
"Adventure,Comedy,Family","June Lake, California, USA",3327,2826
"Family,Drama","20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3328,2827
"Adventure,Family","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",3329,2828
"Adventure,Family,Fantasy","Montréal, Québec, Canada",3330,866
"Comedy,Drama","Brentwood, Los Angeles, California, USA",3331,1472
"Family,Fantasy,Horror","Bucharest, Romania",3332,2829
"Action,Family,Fantasy","Bridgeport, Connecticut, USA",3333,2830
Animation,,3334,2831
"Family,Fantasy","Vancouver, British Columbia, Canada",3335,2832
"Comedy,Family,Sport","Mason Ave. at Devonshire St., Chatsworth, California, USA",3336,2833
"Documentary,History",,3337,1566
"Adventure,Comedy,Family","Santa Clarita, California, USA",3338,523
"Comedy,Fantasy,Musical",,3339,2834
"Animation,Adventure,Family",,3340,138
"Adventure,Animation,Family",,3341,2835
"Animation,Family,Comedy",,3342,746
"Family,Fantasy","Chicago, Illinois, USA",3343,2836
"Comedy,Family,Fantasy","Chicago, Illinois, USA",3344,1300
"Adventure,Comedy,Family","British Columbia, Canada",3345,2837
