Creator,Actors,original_index,unique_index
Lyle Kessler,"Danny Glover,Matt Dillon,Rick Aviles",4145,4103
Gerald Ayres,"Jodie Foster,Cherie Currie,Marilyn Kagan",4146,4104
"Kathleen Rowell,S.E. Hinton","C. Thomas Howell,Matt Dillon,Ralph Macchio",4147,4105
"Amy Schor Ferris,Vicki Polon","Matt Dillon,Annabella Sciorra,Mary-Louise Parker",4148,4106
"S.E. Hinton,Emilio Estevez","Emilio Estevez,Craig Sheffer,Larry B. Scott",4149,4107
"Arnold Schulman,David Seidler","Jeff Bridges,Joan Allen,Martin Landau",4150,4108
"Jerry Leichtling,Arlene Sarner","Kathleen Turner,Nicolas Cage,Barry Miller",4151,4109
"William Kennedy,Francis Ford Coppola","Richard Gere,Gregory Hines,Diane Lane",4152,4110
Francis Ford Coppola,"James Caan,Shirley Knight,Robert Duvall",4153,4111
"Robert Daley,Oliver Stone","Mickey Rourke,John Lone,Ariane",4154,4112
"Armyan Bernstein,Francis Ford Coppola","Frederic Forrest,Teri Garr,Raul Julia",4155,4113
"Nicholas Proffitt,Ronald Bass","James Caan,Anjelica Huston,James Earl Jones",4156,4114
Mike Rich,"Sean Connery,Rob Brown,F. Murray Abraham",4157,4115
James C. Strouse,"Casey Affleck,Liv Tyler,Mary Kay Place",4158,4116
,"Benjamin Baldwin,Tom Baldwin,Hester Bartels",4159,4117
"Marcus Dunstan,Patrick Melton","Navi Rawat,Krista Allen,Balthazar Getty",4160,4118
"Peter S. Beagle,Chris Conkling","Christopher Guard,William Squire,Michael Scholes",4161,4119
John Cregan,"Gary Entin,Lindsey Shaw,Robert Adamson",4162,4120
,"Jacqueline Kennedy,Robert F. Kennedy,David Amram",4163,4121
"Peter Hedges,Peter Hedges","Johnny Depp,Leonardo DiCaprio,Juliette Lewis",4164,4122
"Piers Paul Read,John Patrick Shanley","Ethan Hawke,Vincent Spano,Josh Hamilton",4165,4123
"Henry De Vere Stacpoole,Douglas Day Stewart","Brooke Shields,Christopher Atkins,Leo McKern",4166,4124
William Goldman,"Michael Douglas,Val Kilmer,Tom Wilkinson",4167,4125
"Daniel Defoe,Christopher Lofton","Pierce Brosnan,William Takaku,Polly Walker",4168,4126
David Mamet,"Anthony Hopkins,Alec Baldwin,Elle Macpherson",4169,4127
"James Dickey,James Dickey","Jon Voight,Burt Reynolds,Ned Beatty",4170,4128
,"Linda Faillace,Adam Helfer,Mark McAfee",4171,4129
"Norman Mailer,Jean-Luc Godard","Woody Allen,Freddy Buache,Leos Carax",4172,4130
William Shakespeare,"Cezar Constantine,Andy Rivera,Jared Doreck",4173,4131
"Kurt Sutter,Richard Wenk","Jake Gyllenhaal,Rachel McAdams,Oona Laurence",4174,4132
"William Shakespeare,Christopher De Vore","Mel Gibson,Glenn Close,Alan Bates",4175,4133
"William Shakespeare,Roman Polanski","Jon Finch,Francesca Annis,Martin Shaw",4176,4134
Mike Cahill,"Michael Pitt,Steven Yeun,Astrid Bergès-Frisbey",4177,4135
Shane Carruth,"Shane Carruth,David Sullivan,Casey Gooden",4178,4136
Terrence Malick,"Richard Gere,Brooke Adams,Sam Shepard",4179,4137
"Larry McMurtry,Peter Bogdanovich","Timothy Bottoms,Jeff Bridges,Cybill Shepherd",4180,4138
"Leila Conners Petersen,Nadia Conners,Leonardo DiCaprio","Leonardo DiCaprio,Kenny Ausubel,Thom Hartmann",4181,4139
,"Stan Adelstein,Lanice Archer,Robert Bakker",4182,4140
Mark Monroe,"Elon Musk,Joel Sartore,Louie Psihoyos",4183,4141
"Darren Aronofsky,Darren Aronofsky","Hugh Jackman,Rachel Weisz,Sean Patrick Thomas",4184,4142
"Evan Jones,Kenneth Cook","Donald Pleasence,Gary Bond,Chips Rafferty",4185,4143
"Michael Collins,Eric Daniel Metzgar",,4186,4144
,"Colin Beavan,Michelle Conlin",4187,4145
"Ralph Bakshi,Robert Crumb","Skip Hinnant,Rosetta LeNoire,John McCurry",4188,4146
"Richard Adams,Martin Rosen","John Hurt,Christopher Benjamin,James Bolam",4189,4147
"Maryam Henein,George Langworthy","Ellen Page,Bret Adee,Dennis Cardoza",4190,4148
"George Orwell,William Templeton","Edmond O'Brien,Michael Redgrave,Jan Sterling",4191,4149
"Zal Batmanglij,Brit Marling","Christopher Denham,Nicole Vicius,Brit Marling",4192,4150
"Peter Brook,Denis Cannan","Mark Jones,Pauline Munro,Eric Allan",4193,4151
"Zal Batmanglij,Brit Marling","Brit Marling,Alexander Skarsgård,Ellen Page",4194,4152
"Peter Baynham,Steve Gordon","Russell Brand,Helen Mirren,Jennifer Garner",4195,4153
,"Martin Aleksa,Nima Arkani-Hamed,Savas Dimopoulos",4196,4154
"Brian Gatewood,Alessandro Tanaka","Jonah Hill,Ari Graynor,Sam Rockwell",4197,4155
"William Arntz,Betsy Chasse","Marlee Matlin,Elaine Hendrix,John Ross Bowie",4198,4156
"Stanley R. Greenberg,Harry Harrison","Charlton Heston,Edward G. Robinson,Leigh Taylor-Young",4199,4157
"George Langelaan,Charles Edward Pogue","Jeff Goldblum,Geena Davis,John Getz",4200,4158
Tommy Lee Wallace,"Tom Atkins,Stacey Nelkin,Dan O'Herlihy",4201,4159
"Philip K. Dick,Richard Linklater","Keanu Reeves,Winona Ryder,Robert Downey Jr.",4202,4160
"George Lucas,George Lucas","Robert Duvall,Donald Pleasence,Don Pedro Colley",4203,4161
"Alex Gibney,Lawrence Wright","Lawrence Wright,Mike Rinder,Marty Rathbun",4204,4162
,"Gary Gitchell,Todd Moore,Dana Moore",4205,4163
"Alex Lasker,Patrick Cirillo","Bruce Willis,Cole Hauser,Monica Bellucci",4206,4164
"John Katzenbach,Billy Ray","Bruce Willis,Colin Farrell,Terrence Howard",4207,4165
"Harold G. Moore,Joseph L. Galloway","Mel Gibson,Madeleine Stowe,Greg Kinnear",4208,4166
"Louis Nowra,Christopher Kyle","Harrison Ford,Sam Spruell,Peter Stebbings",4209,4167
"Jim Thomas,John Thomas","Gene Hackman,Owen Wilson,Gabriel Macht",4210,4168
"Michael Schiffer,Richard P. Henrick","Gene Hackman,Denzel Washington,Matt Craven",4211,4169
Terrence Malick,"Colin Farrell,Q'orianka Kilcher,Christopher Plummer",4212,4170
"Brad Ingelsby,Scott Cooper","Christian Bale,Casey Affleck,Zoe Saldana",4213,4171
"Bret Easton Ellis,Mary Harron","Christian Bale,Justin Theroux,Josh Lucas",4214,4172
Gary Whitta,"Denzel Washington,Mila Kunis,Ray Stevenson",4215,4173
"Peter M. Lenkov,Robert Reneau","Sylvester Stallone,Wesley Snipes,Sandra Bullock",4216,4174
"Joel Coen,Ethan Coen","Jeff Bridges,Matt Damon,Hailee Steinfeld",4217,4175
"Eric Warren Singer,David O. Russell","Christian Bale,Amy Adams,Bradley Cooper",4218,4176
"Ernest Tidyman,John D.F. Black","Richard Roundtree,Moses Gunn,Charles Cioffi",4219,4177
Shane Black,"Geena Davis,Samuel L. Jackson,Yvonne Zima",4220,4178
Scott Yagemann,"Samuel L. Jackson,John Heard,Kelly Rowan",4221,4179
"Hans Bauer,Randall McCormick","Matt Damon,Drew Barrymore,Bill Pullman",4222,4180
"Jim Wheat,Ken Wheat","Vin Diesel,Judi Dench,Colm Feore",4223,4181
David Twohy,"Vin Diesel,Karl Urban,Katee Sackhoff",4224,4182
"John Grisham,Brian Koppelman","John Cusack,Rachel Weisz,Gene Hackman",4225,4183
David Franzoni,"Djimon Hounsou,Matthew McConaughey,Anthony Hopkins",4226,4184
"Cyril Hume,Richard Maibaum","Mel Gibson,Gary Sinise,Rene Russo",4227,4185
"Allen Covert,Nick Swardson","David Spade,Jon Heder,Rob Schneider",4228,4186
Charles Randolph,"Kevin Spacey,Kate Winslet,Laura Linney",4229,4187
"Mark Neveldine,Brian Taylor","Gerard Butler,Michael C. Hall,Ludacris",4230,4188
"Kenneth Ross,Chuck Pfarrer","Bruce Willis,Richard Gere,Sidney Poitier",4231,4189
"Jon Hoeber,Erich Hoeber","Bruce Willis,Helen Mirren,Morgan Freeman",4232,4190
"Ryne Douglas Pearson,Lawrence Konner","Bruce Willis,Miko Hughes,Alec Baldwin",4233,4191
Doug Richardson,"Bruce Willis,Kevin Pollak,Serena Scott Thomas",4234,4192
"Lawrence Meade,Arthur Hoerl","Dorothy Short,Kenneth Craig,Lillian Miles",4235,4193
"James Ellroy,David Ayer","Kurt Russell,Ving Rhames,Scott Speedman",4236,4194
David Ayer,"Jake Gyllenhaal,Michael Peña,Anna Kendrick",4237,4195
"Frank Waldman,Blake Edwards","Peter Sellers,Herbert Lom,Lesley-Anne Down",4238,4196
"Peter Benchley,Carl Gottlieb","Roy Scheider,Lorraine Gary,Murray Hamilton",4239,4197
James Ronald Whitney,"James Ronald Whitney,Melvin Just",4240,4198
,"Jesse Temple,Brad Katinas,Diane Schuler",4241,4199
"Scott Cooper,Thomas Cobb","Jeff Bridges,Maggie Gyllenhaal,Colin Farrell",4242,4200
"E.Y. Harburg,Fred Saidy","Fred Astaire,Petula Clark,Tommy Steele",4243,4201
"Ira Levin,Heywood Gould","Gregory Peck,Laurence Olivier,James Mason",4244,4202
"Larry Gelbart,Murray Schisgal","Dustin Hoffman,Jessica Lange,Teri Garr",4245,4203
"David Zelag Goodman,Sam Peckinpah","Dustin Hoffman,Susan George,Peter Vaughan",4246,4204
"Thomas Berger,Calder Willingham","Dustin Hoffman,Faye Dunaway,Chief Dan George",4247,4205
"Julian Barry,Julian Barry","Dustin Hoffman,Valerie Perrine,Jan Miner",4248,4206
"James Grady,Lorenzo Semple Jr.","Robert Redford,Faye Dunaway,Cliff Robertson",4249,4207
"Alexander Jacobs,Robert Dillon","Gene Hackman,Fernando Rey,Bernard Fresson",4250,4208
"Dean Devlin,Roland Emmerich","Matthew Broderick,Jean Reno,Maria Pitillo",4251,4209
"Zana Briski,Ross Kauffman","Kochi,Avijit Halder,Shanti Das",4252,4210
Alex Gibney,"Alex Gibney,Brian Keith Allen,Moazzam Begg",4253,4211
"Bill Condon,Tom Eyen","Beyoncé Knowles,Jamie Foxx,Eddie Murphy",4254,4212
"Geoffrey Fletcher,Sapphire","Gabourey Sidibe,Mo'Nique,Paula Patton",4255,4213
"Ben Coccio,Christopher Coccio","Cal Robertson,Andre Keuck,Serataren Adragna",4256,4214
Christopher Denham,"Adrian Pasdar,Cady McClain,Amber Joy Williams",4257,4215
Wes Craven,"Sandra Peabody,Lucy Grantham,David Hess",4258,4216
Pericles Lewnes,"David Arthur,Adrian Bond,George Brown",4259,4217
Edward T. Lowe Jr.,"Lionel Atwill,Fay Wray,Melvyn Douglas",4260,4218
"Merian C. Cooper,Steven Pressfield","Brian Kerwin,Linda Hamilton,Peter Elliott",4261,4219
"Daniel G. Karslake,Helen R. Mendoza","Imogene Robinson,Victor Robinson,Gene Robinson",4262,4220
"Lou Morheim,Fred Freiberger","Paul Hubschmid,Paula Raymond,Cecil Kellaway",4263,4221
Amy Berg,"Oliver O'Grady,Thomas Doyle,Adam",4264,4222
"Ruth Rose,Merian C. Cooper","Terry Moore,Ben Johnson,Robert Armstrong",4265,4223
Tad Friend,"Eric Geleynse,Chris Brown,Susan Ginwalla",4266,4224
Robert N. Lee,"Basil Rathbone,Boris Karloff,Barbara O'Neil",4267,4225
"Scott Alexander,Larry Karaszewski","John Ritter,Michael Oliver,Jack Warden",4268,4226
,"Mark Borchardt,Mike Schank,Tom Schimmels",4269,4227
"Paul Gallico,Stirling Silliphant","Gene Hackman,Ernest Borgnine,Shelley Winters",4270,4228
"David Zellner,Nathan Zellner","Rinko Kikuchi,Nobuyuki Katsube,Shirley Venard",4271,4229
"Carlen Altman,Alex Ross Perry","Carlen Altman,Bob Byington,Kate Lyn Sheil",4272,4230
"Curt Siodmak,Joe May","Virginia Bruce,John Barrymore,John Howard",4273,4231
Frances Marion,"Douglas Fairbanks Jr.,Joan Bennett,John Howard",4274,4232
"Griffin Jay,Henry Sucher","Lon Chaney Jr.,John Carradine,Robert Lowery",4275,4233
"Bertram Millhauser,H.G. Wells","Jon Hall,Leon Errol,John Carradine",4276,4234
"H.G. Wells,Curt Siodmak","Ilona Massey,Jon Hall,Peter Lorre",4277,4235
"Robert Louis Stevenson,Philip MacDonald","Boris Karloff,Bela Lugosi,Henry Daniell",4278,4236
"John Colton,Howard Higgin","Boris Karloff,Bela Lugosi,Frances Drake",4279,4237
"Edgar Allan Poe,David Boehm","Boris Karloff,Bela Lugosi,Lester Matthews",4280,4238
"Waldemar Young,Philip Wylie","Charles Laughton,Bela Lugosi,Richard Arlen",4281,4239
"Edgar Allan Poe,Robert Florey","Bela Lugosi,Sidney Fox,Leon Ames",4282,4240
"Edgar Allan Poe,Peter Ruric","Boris Karloff,Bela Lugosi,David Manners",4283,4241
"George Bricker,Dwight V. Babcock","Don Porter,June Lockhart,Sara Haden",4284,4242
"Robert Louis Stevenson,Clara Beranger","John Barrymore,Martha Mansfield,Brandon Hurst",4285,4243
"B. Luciano Barsuglia,Robert Louis Stevenson","Gianni Capaldi,Shaun Paul Piccinino,David Beatty",4286,4244
"John Lee Mahin,Robert Louis Stevenson","Spencer Tracy,Ingrid Bergman,Lana Turner",4287,4245
Alex Ross Perry,"Elisabeth Moss,Katherine Waterston,Patrick Fugit",4288,4246
Patrick Brice,"Adam Scott,Taylor Schilling,Jason Schwartzman",4289,4247
Gina Kim,"Vera Farmiga,David Lee McInnis,Joseph Y. Kim",4290,4248
Eric Schaeffer,"Alan King,Elizabeth Reaser,Eric Schaeffer",4291,4249
"Jean-Michel Dissard,Debra Granik","Vera Farmiga,Hugh Dillon,Clint Jordan",4292,4250
Peter Mattei,"Vera Farmiga,Domenick Lombardozzi,Jill Hennessy",4293,4251
"Jon Lindstrom,Jon Lindstrom","Henry Thomas,David Boreanaz,Vera Farmiga",4294,4252
"David Gilbert,George Ratliff","Sam Rockwell,Vera Farmiga,Jacob Kogan",4295,4253
"Glenn German,Adam Rodgers","Andy Garcia,Vera Farmiga,Taissa Farmiga",4296,4254
"Mark Poirier,Mark Poirier","David Duchovny,Vera Farmiga,Graham Phillips",4297,4255
Dwayne Buckle,"Raw Leiba,James Rich,Justiin A. Davis",4298,4256
"Timothy Bricknell,Anthony Minghella","Jude Law,Robin Wright,Vera Farmiga",4299,4257
Rod Lurie,"Kate Beckinsale,Matt Dillon,Vera Farmiga",4300,4258
"Melissa Rosenberg,Stephenie Meyer","Kristen Stewart,Robert Pattinson,Taylor Lautner",4301,1900
"Daniel Barnz,Alex Flinn","Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen",4302,4259
"Melissa Rosenberg,Stephenie Meyer","Kristen Stewart,Robert Pattinson,Billy Burke",4303,4260
Will Fetters,"Robert Pattinson,Emilie de Ravin,Caitlyn Rund",4304,4261
"Evan Daugherty,John Lee Hancock","Kristen Stewart,Chris Hemsworth,Charlize Theron",4305,4262
"Melissa Rosenberg,Stephenie Meyer","Kristen Stewart,Robert Pattinson,Taylor Lautner",4306,1900
"Jamie Linden,Nicholas Sparks","Channing Tatum,Amanda Seyfried,Richard Jenkins",4307,4263
"Andrew Niccol,Stephenie Meyer","Saoirse Ronan,Max Irons,Jake Abel",4308,4264
"Jessica Postigo,Cassandra Clare","Lily Collins,Jamie Campbell Bower,Robert Sheehan",4309,4265
,"Robert McNamara,John F. Kennedy,Fidel Castro",4310,4266
,"Fred A. Leuchter Jr.,Robert Jan Van Pelt,David Irving",4311,4267
,"Lucille Billingsley,Zella Graham,Cal Harberts",4312,4268
"Steve James,Frederick Marx","William Gates,Arthur Agee,Emma Gates",4313,4269
Errol Morris,"Donald Rumsfeld,Errol Morris",4314,4270
"Jeffrey Boam,Stephen King","Christopher Walken,Brooke Adams,Tom Skerritt",4315,4271
Tom Holland,"Chris Sarandon,William Ragsdale,Amanda Bearse",4316,4272
,"Albert Bitterling,Roscoe Collins,George Harris",4317,4273
"H.H. Caldwell,Katherine Hilliker","Charles Farrell,Mary Duncan,David Torrence",4318,4274
"Amy Berg,Billy McMillin","Jason Baldwin,Damien Wayne Echols,Jessie Misskelley",4319,4275
Denis Hennelly,"Joaquin Pastor,Randolph Mantooth,Sheila Vand",4320,4276
"Sherry Mills,Steve Barron","Martin Landau,Jonathan Taylor Thomas,Geneviève Bujold",4321,4277
Shira Lane,"T.C. Campbell,James LeQuang,Jennifer Ricciardi",4322,4278
,"Werner Herzog,Klaus Kinski,Claudia Cardinale",4323,4279
Steve Kroschel,"Stephen Barret,Colin Campbell,Carolyn Dean",4324,4280
,"Robert Trivers,Sue Blackmore,William R. Catton",4325,4281
,"Carol Byrd-Bredbenner,Francesca Dego,Giuliano Dego",4326,4282
Deborah Koons,"Charles Benbrook,Grace Booth,George W. Bush",4327,4283
Steve Kroschel,"Charlotte Gerson,Jay Kordich,Garrett Kroschel",4328,4284
"Joe Cross,Kurt Engfehr","Joe Cross,Bjarke de Koning,Phil Staples",4329,4285
,"T. Colin Campbell,Richard Doll,Gidon Eshel",4330,4286
"Jeffrey Caine,John le Carré","Ralph Fiennes,Rachel Weisz,Hubert Koundé",4331,4287
Michael Palm,"Peter Bogdanovich,Christian Cargnelli,John Carradine",4332,4288
"Judd Apatow,Judd Apatow","Paul Rudd,Leslie Mann,Maude Apatow",4333,4289
"John Monk Saunders,Hope Loring","Clara Bow,Charles 'Buddy' Rogers,Richard Arlen",4334,4290
Charles Chaplin,"Charles Chaplin,Paulette Goddard,Henry Bergman",4335,4291
Michael Moore,"John Candy,Alan Alda,Rhea Perlman",4336,4292
Charles Chaplin,"Charles Chaplin,Mack Swain,Tom Murray",4337,4293
Gary Don Rhodes,"Robert Clarke,Louise Currie,Frank J. Dello Stritto",4338,4294
"Lee Loeb,John Grant","Bud Abbott,Lou Costello,Marie Windsor",4339,4295
"Robert Lees,Frederic I. Rinaldo","Bud Abbott,Lou Costello,Richard Carlson",4340,4296
"Hugh Wedlock Jr.,Howard Snyder","Bud Abbott,Lou Costello,Nancy Guild",4341,4297
"D.D. Beauchamp,Howard Christie","Bud Abbott,Lou Costello,Robert Paige",4342,4298
"Lee Loeb,John Grant","Bud Abbott,Lou Costello,Boris Karloff",4343,4299
"D.D. Beauchamp,John Grant","Bud Abbott,Lou Costello,Patricia Medina",4344,4300
James Clavell,"David Hedison,Patricia Owens,Vincent Price",4345,4301
"Charles Lederer,John W. Campbell Jr.","Kenneth Tobey,Margaret Sheridan,James Arness",4346,4302
"Theodore Simonson,Kay Linaker","Steve McQueen,Aneta Corsaut,Earl Rowe",4347,4303
"Daniel Mainwaring,Jack Finney","Kevin McCarthy,Dana Wynter,Larry Gates",4348,4304
"George Worthing Yates,Harold Jacob Smith","Kenneth Tobey,Faith Domergue,Donald Curtis",4349,4305
"Richard Matheson,Richard Matheson","Grant Williams,Randy Stuart,April Kent",4350,4306
"Harry Essex,Ray Bradbury","Richard Carlson,Barbara Rush,Charles Drake",4351,4307
"Donald G. Jackson,Randall Frakes","Julius LeFlore,RCB,Roddy Piper",4352,4308
"Richard L. Albert,Mike Allred","William Forsythe,Tate Donovan,Bobcat Goldthwait",4353,4309
Adrienne Stout,"Fort Atkinson,Lynda Carter,Stephanie Dees",4354,4310
Yoav Shamir,"Yoav Shamir,Philip Zimbardo",4355,4311
"Dan Greenburg,Stephen Volk","Jenny Seagrove,Dwier Brown,Carey Lowell",4356,4312
"Christopher Coppola,Nick Johnson","Robert Carradine,Richard Hillman,Patrick Kilpatrick",4357,4313
Lloyd Fonvielle,"Sting,Jennifer Beals,Anthony Higgins",4358,4314
Joel Ziskin,"Sylvia Kristel,Christopher Cazenove,Oliver Tobias",4359,4315
Bert I. Gordon,"Lance Sloane,Kim Evenson,Sylvia Kristel",4360,4316
Christopher Coppola,"Robert Carradine,Martin Sheen,George Nix",4361,4317
"Jeff Begun,Howard R. Cohen","Richard Benjamin,Paula Prentiss,Jeffrey Tambor",4362,4318
"Julie Brown,Charlie Coffey","Geena Davis,Jeff Goldblum,Jim Carrey",4363,4319
"R.J. Robertson,Jim Wynorski","Robert Vaughn,Teri Copley,Steve Altman",4364,4320
"Bill Svanoe,Hilary Henkin","Whoopi Goldberg,Sam Elliott,Rubén Blades",4365,4321
"Dimitri Villard,David Hines","Lauren Hutton,Jim Carrey,Karen Kopins",4366,4322
"Bruce Rubin,Robert J. Rosenthal","Scott Baio,Willie Aames,Robert Mandan",4367,4323
Earl Mac Rauch,"Peter Weller,John Lithgow,Ellen Barkin",4368,4324
"Robert Kaufman,Robert Kaufman","George Hamilton,Susan Saint James,Richard Benjamin",4369,4325
"Lowell Ganz,Babaloo Mandel,Deborah Blum","Cyndi Lauper,Jeff Goldblum,Ramon Bieri",4370,4326
"Gene Wilder,Terence Marsh","Gene Wilder,Gilda Radner,Dom DeLuise",4371,4327
"Sam Egan,John Paragon","Cassandra Peterson,Phil Rubenstein,Larry Flash Jenkins",4372,4328
"Adam Small,Peter Stuart","Dennis Danell,Brent Liles,John Macias",4373,4329
Samuel Fuller,"Constance Towers,Anthony Eisley,Michael Dante",4374,4330
Samuel Fuller,"Peter Breck,Constance Towers,Gene Evans",4375,4331
James Carabatsos,"Anthony Barrile,Michael Boatman,Don Cheadle",4376,4332
Brian Flemming,"Sam Harris,Robert M. Price,Richard Carrier",4377,4333
Monte Merrick,"Matthew Modine,Eric Stoltz,Tate Donovan",4378,4334
"Gus Holwerda,Luke Holwerda","Ayaan Hirsi Ali,Woody Allen,Richard Dawkins",4379,4335
Sean Durkin,"Elizabeth Olsen,Sarah Paulson,John Hawkes",4380,4336
"William Roberts,Robert H. Adleman","William Holden,Cliff Robertson,Vince Edwards",4381,4337
Richard Murphy,"Richard Burton,James Mason,Robert Newton",4382,4338
Jeremy Saulnier,"Macon Blair,Devin Ratray,Amy Hargreaves",4383,4339
Antonio Campos,"Ezra Miller,Jeremy Allen White,Emory Cohen",4384,4340
Antonio Campos,"Chelsea Logan,Rosemarie DeWitt,Christopher McCann",4385,4341
James Chressanthis,"Karen Black,Peter Bogdanovich,Sandra Bullock",4386,4342
Robert Stevenson,"Peter Finch,James MacArthur,Bernard Lee",4387,4343
John Waters,"Melanie Griffith,Stephen Dorff,Alicia Witt",4388,4344
Shane Carruth,"Amy Seimetz,Frank Mosley,Shane Carruth",4389,4345
"Harper Lee,Horton Foote","Gregory Peck,John Megna,Frank Overton",4390,4346
"Keith Merryman,David A. Newman","Mila Kunis,Justin Timberlake,Patricia Clarkson",4391,4347
"Tennessee Williams,Oscar Saul","Vivien Leigh,Marlon Brando,Kim Hunter",4392,4348
Ernest Tidyman,"Clint Eastwood,Verna Bloom,Marianna Hill",4393,4349
Jeremy Joe Kronsberg,"Clint Eastwood,Sondra Locke,Geoffrey Lewis",4394,4350
"Michael Butler,Dennis Shryack","Clint Eastwood,Michael Moriarty,Carrie Snodgress",4395,4351
"Harry Julian Fink,Rita M. Fink","Clint Eastwood,Sondra Locke,Pat Hingle",4396,4352
"Harry Julian Fink,Rita M. Fink","Clint Eastwood,Liam Neeson,Patricia Clarkson",4397,4353
"J. Campbell Bruce,Richard Tuggle","Clint Eastwood,Patrick McGoohan,Roberts Blossom",4398,4354
"Forrest Carter,Philip Kaufman","Clint Eastwood,Sondra Locke,Chief Dan George",4399,4355
Jeff Maguire,"Clint Eastwood,John Malkovich,Rene Russo",4400,4356
"Michael Butler,Dennis Shryack","Clint Eastwood,Sondra Locke,Pat Hingle",4401,4357
"Noah Baumbach,Greta Gerwig","Greta Gerwig,Lola Kirke,Seth Barrish",4402,4358
"Albert Maltz,Irene Kamp","Clint Eastwood,Geraldine Page,Elizabeth Hartman",4403,4359
"Hal Dresner,Warren Murphy","Clint Eastwood,George Kennedy,Vonetta McGee",4404,4360
"Jeremy Joe Kronsberg,Stanford Sherman","Clint Eastwood,Sondra Locke,Geoffrey Lewis",4405,4361
"David Baldacci,William Goldman","Clint Eastwood,Gene Hackman,Ed Harris",4406,4362
"Boaz Yakin,Scott Spiegel","Clint Eastwood,Charlie Sheen,Raul Julia",4407,4363
"Peter Viertel,Peter Viertel","Clint Eastwood,Jeff Fahey,Charlotte Cornwell",4408,4364
Dennis Hackin,"Clint Eastwood,Sondra Locke,Geoffrey Lewis",4409,4365
"Jo Heims,Dean Riesner","Clint Eastwood,Jessica Walter,Donna Mills",4410,4366
Richard Tuggle,"Clint Eastwood,Geneviève Bujold,Dan Hedaya",4411,4367
Michael Cimino,"Clint Eastwood,Jeff Bridges,George Kennedy",4412,4368
"Norman Partridge,James O'Barr","Yuji Okumoto,Marcus Chong,Tito Ortiz",4413,4369
Kurt Kuenne,"Leonard Maltin,John Bloom,Samuel Z. Arkoff",4414,4370
"Charles Lederer,Charles Nordhoff","Marlon Brando,Trevor Howard,Richard Harris",4415,4371
"John Patrick,Vern J. Sneider","Marlon Brando,Glenn Ford,Machiko Kyô",4416,4372
"Tennessee Williams,Meade Roberts","Marlon Brando,Joanne Woodward,Anna Magnani",4417,4373
"Annemarie Selinko,Daniel Taradash","Marlon Brando,Jean Simmons,Merle Oberon",4418,4374
"Werner Jörg Lüddecke,Daniel Taradash","Marlon Brando,Yul Brynner,Janet Margolin",4419,4375
"William J. Lederer,Eugene Burdick","Marlon Brando,Eiji Okada,Sandra Church",4420,4376
"John Paxton,Frank Rooney","Marlon Brando,Mary Murphy,Robert Keith",4421,4377
John Steinbeck,"Marlon Brando,Jean Peters,Anthony Quinn",4422,4378
"James Bridges,Roland Kibbee","Marlon Brando,Anjanette Comer,John Saxon",4423,4379
"Guy Trosper,Calder Willingham","Marlon Brando,Karl Malden,Pina Pellicer",4424,4380
"Carl Foreman,Carl Foreman","Marlon Brando,Teresa Wright,Everett Sloane",4425,4381
"Paul Osborn,James A. Michener","Marlon Brando,Ricardo Montalban,Patricia Owens",4426,4382
"Norman Corwin,Leonard Spigelgass","Greer Garson,Walter Pidgeon,Agnes Moorehead",4427,4383
"Charles Palmer,Matthew Rapf","Walter Pidgeon,John Hodiak,Audrey Totter",4428,4384
"Lenore J. Coffee,Lenore J. Coffee","Robert Montgomery,Helen Hayes,May Robson",4429,4385
"George Emerson Brewer Jr.,Bertram Bloch","Susan Hayward,Michael Craig,Diane Baker",4430,4386
Robert Pirosh,"Van Johnson,John Hodiak,Ricardo Montalban",4431,4387
George Waggner,"John Wayne,Patricia Neal,Ward Bond",4432,4388
"John S. Martin,Eugene Ling","Robert Taylor,Charles Boyer,Joseph J. Clark",4433,4389
"George Froeschel,Ronald Millar","Greer Garson,Walter Pidgeon,John Hodiak",4434,4390
"Samuel Ornitz,Jack Jungmeyer","William Boyd,Charles 'Chic' Sale,Dorothy Wilson",4435,4391
"Hugh Stanislaus Stange,Garrett Fort","Helen Twelvetrees,Eric Linden,Arline Judge",4436,4392
"Wendell Mayes,D.A. Rayner","Robert Mitchum,Curd Jürgens,David Hedison",4437,4393
"Julius J. Epstein,Philip G. Epstein","Anthony Veiller,Ion Antonescu,Nikolai Cherkasov",4438,4394
,"John Ford,Eddie Foster,Martin Garralaga",4439,4395
,"John Huston,Walter Huston,Milton Ashkin",4440,4396
"Julius J. Epstein,Philip G. Epstein","Douglas Bader,Arno Breker,Winston Churchill",4441,4397
,"Walter Huston,Harry Davenport,Dana Andrews",4442,4398
,"Walter Huston,Victor Bulwer-Lytton,Kai-Shek Chiang",4443,4399
"Noah Baumbach,Oliver Berkman","Josh Hamilton,Eric Stoltz,Samuel Gould",4444,4400
"Martin Cruz Smith,Dennis Potter","William Hurt,Lee Marvin,Brian Dennehy",4445,4401
"Joe Eszterhas,Scott Richardson","Bob Dylan,Fiona,Rupert Everett",4446,4402
"Jack Finney,W.D. Richter","Donald Sutherland,Brooke Adams,Jeff Goldblum",4447,4403
Joe Eszterhas,"Jeff Bridges,Glenn Close,Peter Coyote",4448,4404
