,year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  
2931,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Drama                                                                                  
2932,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.7             ,"Drama,Romance                                                                        "
2933,2014           ,English                                                                                  ,USA                                                                                                      ,              ,6.3             ,"Drama,Romance                                                                        "
2934,2002 2003 2004 ,English                                                                                  ,USA                                                                                                      ,1 hr. 21 min. ,                ,"Drama,Romance                                                                        "
2935,2013           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.6             ,"Drama,Romance                                                                        "
2936,2015           ,English                                                                                  ,"UK,USA                                                                                                 ",96 min        ,                ,"Animation,Adventure,Comedy                                                           "
2937,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.4             ,"Comedy,Romance                                                                       "
2938,2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.0             ,"Crime,Film-Noir,Mystery                                                              "
2939,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.7             ,Comedy                                                                                 
2940,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,"Comedy,Drama,Romance                                                                 "
2941,2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.8             ,"Drama,Romance                                                                        "
2942,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.5             ,"Comedy,Romance                                                                       "
2943,1998           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,6.1             ,"Horror,Thriller                                                                      "
2944,2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.9             ,"Comedy,Drama,Romance                                                                 "
2945,2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.9             ,"Comedy,Drama,Romance                                                                 "
2946,2015           ,English                                                                                  ,USA                                                                                                      ,94 min        ,7.7             ,"Drama,Family,History                                                                 "
2947,2015           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
2948,2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,5.8             ,"Drama,Romance                                                                        "
2949,2009           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.7             ,"Drama,Romance                                                                        "
2950,2009           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.9             ,Drama                                                                                  
2951,2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.8             ,Drama                                                                                  
2952,2012           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.3             ,"Comedy,Romance                                                                       "
2953,2014           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.3             ,"Adventure,Horror,Mystery                                                             "
2954,2012           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
2955,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Drama                                                                                  
2956,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.6             ,Comedy                                                                                 
2957,2014           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.0             ,"Comedy,Drama                                                                         "
2958,2014           ,English                                                                                  ,USA                                                                                                      ,              ,7.2             ,Drama                                                                                  
2959,2014           ,English                                                                                  ,USA                                                                                                      ,              ,7.3             ,Drama                                                                                  
2960,2009           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.1             ,"Action,Adventure,Drama                                                               "
2961,2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,5.6             ,"Drama,Romance                                                                        "
2962,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,5.7             ,"Comedy,Drama,Romance                                                                 "
2963,2013           ,"English,Berber languages,French                                                        ",USA                                                                                                      ,100 min       ,5.9             ,Documentary                                                                            
2964,2005           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,"Drama,Romance                                                                        "
2965,2009           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.0             ,"Drama,Romance                                                                        "
2966,2011           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
2967,2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.2             ,Drama                                                                                  
2968,2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.7             ,"Drama,Romance                                                                        "
2969,2014           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.9             ,"Comedy,Drama,Romance                                                                 "
2970,2012           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.0             ,Drama                                                                                  
2971,1999           ,"English,Spanish                                                                        ","USA,France,South Africa                                                                                ",91 min        ,5.6             ,"Adventure,Drama,Family                                                               "
2972,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,"Comedy,Drama                                                                         "
2973,2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.3             ,Drama                                                                                  
2974,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.2             ,"Family,Mystery,Thriller                                                              "
2975,2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Drama                                                                                  
2976,2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.8             ,Drama                                                                                  
2977,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.5             ,"Horror,Thriller                                                                      "
2978,2014           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.6             ,"Comedy,Romance                                                                       "
2979,2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.5             ,"Drama,Romance                                                                        "
2980,1977           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,"Drama,Romance                                                                        "
2981,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,6.9             ,"Animation,Family,Musical                                                             "
2982,1987           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,6.7             ,Horror                                                                                 
2983,2010           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.8             ,Horror                                                                                 
2984,2009           ,English                                                                                  ,USA                                                                                                      ,              ,5.6             ,Horror                                                                                 
2985,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",92 min        ,5.7             ,"Animation,Adventure,Family                                                           "
2986,2008           ,English                                                                                  ,"UK,USA                                                                                                 ",88 min        ,6.6             ,"Animation,Adventure,Family                                                           "
2987,2012           ,"English,French                                                                         ","UK,USA                                                                                                 ",95 min        ,6.6             ,"Animation,Adventure,Family                                                           "
2988,2012           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.6             ,Comedy                                                                                 
2989,2014           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Drama                                                                                  
2990,1996           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.6             ,"Action,Adventure,Sci-Fi                                                              "
2991,2015           ,English                                                                                  ,USA                                                                                                      ,              ,7.7             ,Drama                                                                                  
2992,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.8             ,"Drama,Romance                                                                        "
2993,1966           ,"English,Spanish                                                                        ",USA                                                                                                      ,97 min        ,6.0             ,"Comedy,Drama,Romance                                                                 "
2994,2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.2             ,"Comedy,Drama,Romance                                                                 "
2995,2010           ,"English,Russian,French,Polish,German                                                   ",USA                                                                                                      ,93 min        ,6.7             ,"Adventure,Drama,History                                                              "
2996,2015           ,English                                                                                  ,USA                                                                                                      ,94 min        ,7.2             ,"Comedy,Drama                                                                         "
2997,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.1             ,"Comedy,Romance                                                                       "
2998,2012 2013 2014 ,English                                                                                  ,"UK,USA                                                                                                 ",              ,"4.4/10,4.5/10 ","Documentary,Kids & Family                                                            "
2999,2010           ,English                                                                                  ,USA                                                                                                      ,              ,7.2             ,"Comedy,Drama,Romance                                                                 "
3000,2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.4             ,"Action,Adventure,Family                                                              "
3001,2008           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.5             ,"Adventure,Family,Fantasy                                                             "
3002,2015           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,6.1             ,Horror                                                                                 
3003,2006           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,6.1             ,"Comedy,Drama,Romance                                                                 "
3004,2008           ,English                                                                                  ,"Hungary,UK,France,Australia,USA,New Zealand                                                            ",100 min       ,6.2             ,"Adventure,Family,Fantasy                                                             "
3005,2002           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.5             ,"Horror,Thriller                                                                      "
3006,2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.8             ,"Comedy,Drama,Romance                                                                 "
3007,2013           ,"English,American Sign Language                                                         ",USA                                                                                                      ,90 min        ,7.5             ,"Comedy,Drama,Romance                                                                 "
3008,2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Drama                                                                                  
3009,2014           ,"English,French                                                                         ","UK,USA                                                                                                 ",92 min        ,7.4             ,"Documentary,Biography,Family                                                         "
3010,2010           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.6             ,"Comedy,Drama,Romance                                                                 "
3011,2011           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",92 min        ,7.5             ,"Comedy,Drama,Romance                                                                 "
3012,2014           ,English                                                                                  ,"USA,Guatemala,South Korea                                                                              ",96 min        ,6.8             ,"Animation,Adventure,Family                                                           "
3013,2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.1             ,"Comedy,Drama                                                                         "
3014,2006           ,English                                                                                  ,USA                                                                                                      ,              ,6.3             ,Horror                                                                                 
3015,1997           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.0             ,"Comedy,Romance                                                                       "
3016,2005           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.4             ,"Comedy,Romance                                                                       "
3017,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,90 min        ,5.9             ,"Comedy,Drama,Romance                                                                 "
3018,2010           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.7             ,"Drama,Romance                                                                        "
3019,1999           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.0             ,"Drama,Romance                                                                        "
3020,2010           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.6             ,"Comedy,Romance                                                                       "
3021,2014           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.6             ,Drama                                                                                  
3022,2013           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.9             ,Drama                                                                                  
3023,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,"Comedy,Drama,Romance                                                                 "
3024,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,90 min        ,7.0             ,"Comedy,Drama,Romance                                                                 "
3025,2015           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,7.5             ,"Comedy,Romance                                                                       "
3026,2015           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.3             ,"Comedy,Drama,Romance                                                                 "
3027,2015           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,6.0             ,"Comedy,Drama,Romance                                                                 "
3028,2015           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.1             ,"Comedy,Drama,Romance                                                                 "
3029,2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.0             ,"Comedy,Romance                                                                       "
3030,2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Comedy,Romance                                                                       "
3031,2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.7             ,Comedy                                                                                 
3032,2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
3033,2015           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.6             ,"Comedy,Drama,Romance                                                                 "
3034,2015           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.0             ,"Comedy,Romance                                                                       "
3035,2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
3036,2014           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,7.5             ,"Drama,Romance                                                                        "
3037,2015           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.7             ,"Comedy,Romance                                                                       "
3038,2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Adventure,Comedy,Musical                                                             "
3039,2014           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.8             ,"Comedy,Drama,Romance                                                                 "
3040,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Drama,Romance                                                                        "
3041,2012           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.0             ,"Comedy,Drama                                                                         "
3042,2013           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.2             ,"Comedy,Drama,Romance                                                                 "
3043,2012           ,English                                                                                  ,USA                                                                                                      ,94 min        ,7.0             ,Drama                                                                                  
3044,2015           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.6             ,"Biography,Comedy,Musical                                                             "
3045,2010           ,English                                                                                  ,USA                                                                                                      ,94 min        ,6.1             ,"Comedy,Drama,Romance                                                                 "
3046,2011           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.5             ,"Drama,Romance                                                                        "
3047,2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Action,Adventure,Family                                                              "
3048,2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.6             ,"Comedy,Romance                                                                       "
3049,2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,7.1             ,"Comedy,Drama,Romance                                                                 "
3050,1998           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.1             ,"Comedy,Drama,Romance                                                                 "
3051,2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.7             ,"Adventure,Drama,Family                                                               "
3052,2013           ,English                                                                                  ,USA                                                                                                      ,              ,6.5             ,"Comedy,Drama                                                                         "
3053,2006           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.4             ,"Comedy,Drama                                                                         "
3054,2014           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,7.2             ,"Drama,Romance                                                                        "
3055,2010           ,English                                                                                  ,USA                                                                                                      ,89 min        ,7.0             ,Documentary                                                                            
3056,2010           ,English                                                                                  ,USA                                                                                                      ,              ,6.6             ,"Comedy,Drama                                                                         "
3057,2013           ,English                                                                                  ,USA                                                                                                      ,95 min        ,5.6             ,"Action,Adventure,Family                                                              "
3058,2009           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Comedy,Drama                                                                         "
3059,2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Drama                                                                                  
3060,2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Documentary                                                                            
3061,2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Drama                                                                                  
3062,2014           ,"English,Swedish,Norwegian,Danish,Icelandic,French                                      ",USA                                                                                                      ,93 min        ,6.3             ,"Adventure,Family,Fantasy                                                             "
3063,2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,"Adventure,Family,History                                                             "
3064,2010           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.6             ,Documentary                                                                            
