year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  ,Cluster
1986           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.9             ,"Family,Fantasy,Music                                                                 ",-1
1989           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.1             ,Documentary                                                                            ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.3             ,"Action,Adventure,Comedy                                                              ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.5             ,"Comedy,Drama                                                                         ",-1
1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.6             ,"Comedy,Drama,Romance                                                                 ",-1
2002           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.3             ,"Action,Adventure,Comedy                                                              ",-1
1998           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,5.6             ,"Action,Adventure,Family                                                              ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.7             ,Drama                                                                                  ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.9             ,"Comedy,Drama                                                                         ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,89 min        ,6.9             ,"Comedy,Romance                                                                       ",-1
1966           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.2             ,Documentary                                                                            ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.2             ,"Comedy,Drama                                                                         ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.6             ,"Comedy,Drama,Romance                                                                 ",-1
1968           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.0             ,Comedy                                                                                 ,-1
2011           ,English                                                                                  ,USA                                                                                                      ,97 min        ,7.4             ,"Comedy,Drama                                                                         ",-1
2011           ,English                                                                                  ,"UK,USA                                                                                                 ",97 min        ,7.0             ,"Comedy,Romance                                                                       ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.1             ,"Adventure,Drama,Family                                                               ",-1
2011           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
1997           ,English                                                                                  ,USA                                                                                                      ,95 min        ,5.8             ,Drama                                                                                  ,-1
2011           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.6             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.0             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.2             ,"Comedy,Romance                                                                       ",-1
2015           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,6.4             ,"Adventure,Drama,Family                                                               ",-1
1958 1959 1960 ,English                                                                                  ,USA                                                                                                      ,1 hr. 36 min. ,                ,Comedy                                                                                 ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,"Comedy,Drama,Romance                                                                 ",-1
1966           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,"Adventure,Family,Sci-Fi                                                              ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.6             ,"Comedy,Drama,Romance                                                                 ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,89 min        ,5.8             ,"Adventure,Comedy,Family                                                              ",-1
1998           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,94 min        ,5.6             ,"Adventure,Drama,Family                                                               ",-1
2005           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.4             ,"Comedy,Drama                                                                         ",-1
2011           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
1967           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.7             ,Documentary                                                                            ,-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",94 min        ,5.7             ,"Family,Adventure,Drama                                                               ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.4             ,"Adventure,Comedy,Family                                                              ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.0             ,"Adventure,Comedy,Family                                                              ",-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,6.7             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,97 min        ,7.0             ,"Action,Adventure,Drama                                                               ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Animation,Action,Adventure                                                           ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Animation,Adventure,Comedy                                                           ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,92 min        ,6.1             ,"Comedy,Romance                                                                       ",-1
2014           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
2006 2007 2008 ,English                                                                                  ,"UK,USA                                                                                                 ",              ,"3.3/10,3.9/10 ",Comedy                                                                                 ,-1
1998           ,English                                                                                  ,"UK,USA                                                                                                 ",96 min        ,7.3             ,"Comedy,Drama                                                                         ",-1
2006           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.9             ,"Comedy,Drama                                                                         ",-1
2002           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2005           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",92 min        ,6.6             ,Documentary                                                                            ,-1
2005 2006 2007 ,English                                                                                  ,"USA,France,Ireland,UK                                                                                  ",              ,"7.3/10,7.6/10 ","Action & Adventure,Kids & Family                                                     ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.0             ,"Biography,Comedy,Musical                                                             ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Biography,Comedy,Musical                                                             ",-1
2013           ,"English,Apache languages,Spanish                                                       ",USA                                                                                                      ,93 min        ,6.5             ,"Adventure,Thriller,Western                                                           ",-1
2015           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,6.4             ,"Action,Thriller,Western                                                              ",-1
1998           ,English                                                                                  ,"UK,Germany,France,USA,Japan                                                                            ",101 min       ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
1968           ,English                                                                                  ,USA                                                                                                      ,90 min        ,5.9             ,"Adventure,Drama,Family                                                               ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.6             ,"Horror,Thriller                                                                      ",-1
2005           ,"English,French                                                                         ","UK,USA                                                                                                 ",100 min       ,6.5             ,"Horror,Thriller                                                                      ",-1
2008           ,"English,Norwegian,Portuguese                                                           ","UK,USA                                                                                                 ",101 min       ,6.6             ,Drama                                                                                  ,-1
2010           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",98 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.4             ,"Comedy,Drama                                                                         ",-1
2008           ,English                                                                                  ,"UK,USA                                                                                                 ",97 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2007           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",92 min        ,7.2             ,"Documentary,Family,Mystery                                                           ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Romance                                                                       ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.7             ,"Comedy,Drama                                                                         ",-1
1979           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,94 min        ,7.8             ,"Comedy,Drama,Romance                                                                 ",-1
2008           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",96 min        ,7.2             ,"Drama,Romance                                                                        ",-1
2005           ,English                                                                                  ,"UK,Russia,Ireland,Luxembourg,USA                                                                       ",91 min        ,7.7             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,7.0             ,"Horror,Thriller                                                                      ",-1
2012           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,6.3             ,"Comedy,Romance                                                                       ",-1
2006           ,English                                                                                  ,"UK,USA                                                                                                 ",96 min        ,6.7             ,"Comedy,Romance                                                                       ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.8             ,"Comedy,Drama,Romance                                                                 ",-1
1977           ,"English,French                                                                         ",USA                                                                                                      ,93 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2009           ,English                                                                                  ,"UK,USA                                                                                                 ",92 min        ,7.2             ,"Comedy,Romance                                                                       ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,98 min        ,7.3             ,"Drama,Romance                                                                        ",-1
2012           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.8             ,"Horror,Thriller                                                                      ",-1
2008           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,7.6             ,"Horror,Thriller                                                                      ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,93 min        ,7.1             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.1             ,"Biography,Drama,History                                                              ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,"English,Japanese,German,French                                                         ","UK,USA                                                                                                 ",101 min       ,7.8             ,Drama                                                                                  ,-1
2006           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.2             ,"Comedy,Drama                                                                         ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.8             ,"Comedy,Drama,Romance                                                                 ",-1
2007           ,"English,French                                                                         ","UK,USA                                                                                                 ",93 min        ,7.8             ,"Comedy,Drama,Romance                                                                 ",-1
2005           ,English                                                                                  ,"USA,France,UK,Japan                                                                                    ",93 min        ,7.5             ,Drama                                                                                  ,-1
2014           ,"English,French                                                                         ","UK,USA                                                                                                 ",91 min        ,7.6             ,"Comedy,Drama,Romance                                                                 ",-1
2005           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.7             ,"Drama,Romance                                                                        ",-1
2011           ,"English,French                                                                         ","UK,USA                                                                                                 ",91 min        ,7.2             ,Drama                                                                                  ,-1
2007           ,"English,American Sign Language                                                         ",USA                                                                                                      ,95 min        ,7.1             ,Drama                                                                                  ,-1
2006           ,"English,Spanish                                                                        ",USA                                                                                                      ,101 min       ,7.2             ,"Drama,Romance                                                                        ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Drama,Romance                                                                        ",-1
2005           ,"English,German,French,Hebrew,Arabic,Italian,Greek,Russian                              ","UK,USA                                                                                                 ",91 min        ,7.6             ,"Horror,Thriller                                                                      ",-1
2005           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.4             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.5             ,"Comedy,Drama                                                                         ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,98 min        ,7.3             ,Horror                                                                                 ,-1
1988           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.8             ,"Drama,Romance                                                                        ",-1
1996           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Drama                                                                         ",-1
2002           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.2             ,"Comedy,Drama,Romance                                                                 ",-1
2002           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.2             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.4             ,"Action,Adventure,Thriller                                                            ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.1             ,"Comedy,Drama                                                                         ",-1
2002           ,English                                                                                  ,"UK,USA                                                                                                 ",96 min        ,7.2             ,"Horror,Thriller                                                                      ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.6             ,"Horror,Thriller                                                                      ",-1
2015           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",93 min        ,6.3             ,"Horror,Thriller                                                                      ",-1
1987           ,English                                                                                  ,USA                                                                                                      ,93 min        ,5.6             ,"Comedy,Drama,Romance                                                                 ",-1
1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.3             ,"Comedy,Drama                                                                         ",-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,90 min        ,6.8             ,"Biography,Drama,Western                                                              ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.7             ,"Documentary,History,Sci-Fi                                                           ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.6             ,Documentary                                                                            ,-1
2014           ,English                                                                                  ,"Australia,USA,Israel,UK                                                                                ",100 min       ,7.3             ,Documentary                                                                            ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.0             ,Documentary                                                                            ,-1
2012           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.8             ,"Drama,Romance                                                                        ",-1
2015           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,6.1             ,"Drama,Romance                                                                        ",-1
1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
1996           ,"English,French                                                                         ",USA                                                                                                      ,101 min       ,6.6             ,"Comedy,Drama,Romance                                                                 ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Drama,Romance                                                                        ",-1
2014           ,"English,Mandarin,Kinyarwanda                                                           ","USA,China,India,Kenya,Rwanda                                                                           ",93 min        ,6.8             ,"Documentary,Biography,Family                                                         ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.3             ,Documentary                                                                            ,-1
2009           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,6.5             ,"Comedy,Drama                                                                         ",-1
2014           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",95 min        ,6.8             ,"Documentary,Family,Sport                                                             ",-1
2005           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.5             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,7.2             ,"Comedy,Drama                                                                         ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,95 min        ,5.9             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.3             ,"Comedy,Drama                                                                         ",-1
2015           ,"English,French,Hindi,Russian                                                           ",USA                                                                                                      ,92 min        ,7.8             ,Drama                                                                                  ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.8             ,"Comedy,Drama                                                                         ",-1
1967           ,English                                                                                  ,USA                                                                                                      ,101 min       ,5.8             ,"Comedy,Drama                                                                         ",-1
