Director,original_index,unique_index
Nick Palumbo,3777,2036
J.R. Bookwalter,3778,2037
Stephen Chbosky,3779,2038
M. Night Shyamalan,3780,208
Morgan Spurlock,3781,118
Morgan Spurlock,3782,118
"Heidi Ewing,Alex Gibney",3783,2039
Morgan Spurlock,3784,118
Michael Blieden,3785,2040
Ridley Scott,3786,240
"William Heins,Strathford Hamilton",3787,2041
Terrence Malick,3788,1425
Lasse Hallström,3789,1826
Shekhar Kapur,3790,2042
Phil Karlson,3791,2043
Scott Dow,3792,2044
John Wesley Norton,3793,2045
Scott Dow,3794,2044
Vincent McEveety,3795,1395
"Jesse Baget,Adrián Cardona",3796,2046
C.J. Goodman,3797,2047
"Dylan Thomas Ellis,Glenn D. Levy",3798,2048
Roger Roth,3799,2049
Gus Van Sant,3800,301
Robert Benton,3801,2050
William Friedkin,3802,1167
Wes Craven,3803,294
Andrew Monument,3804,2051
Arlene Marechal,3805,2052
Wes Craven,3806,294
Renny Harlin,3807,1185
Chuck Russell,3808,636
Alfonso Gomez-Rejon,3809,2053
John Huston,3810,565
Robert Stevenson,3811,702
John Ford,3812,97
George McCowan,3813,2054
Sam Peckinpah,3814,188
Burt Kennedy,3815,1278
Paul Wendkos,3816,2055
Peter Yates,3817,2056
Tim Robbins,3818,2057
Mike Nichols,3819,456
Jeff Kanew,3820,2058
Bruce Beresford,3821,497
Bruce Beresford,3822,497
Bruce Beresford,3823,497
Baz Luhrmann,3824,2059
Lewis Milestone,3825,2060
Stanley Kramer,3826,1233
"Stanley Donen,Gene Kelly",3827,256
Harry Beaumont,3828,2061
Robert Z. Leonard,3829,1665
James L. Brooks,3830,1147
Charles Barton,3831,563
Phyllida Lloyd,3832,2062
Ed Decter,3833,2063
George Cukor,3834,889
Robert Stevenson,3835,702
Robert Benton,3836,2050
Arthur Penn,3837,2064
Alan J. Pakula,3838,135
Dennis Hopper,3839,2065
Norman Tokar,3840,1691
Norman Tokar,3841,1691
John Badham,3842,100
Robert Stevenson,3843,702
Vincent McEveety,3844,1395
Norman Tokar,3845,1691
Bernard Rose,3846,204
Robert Stevenson,3847,702
Thomas Carter,3848,873
Ted Demme,3849,545
Sidney Lanfield,3850,550
Emile Ardolino,3851,1814
Adrian Lyne,3852,12
Bill Duke,3853,2066
Herbert Ross,3854,145
Mick Jackson,3855,143
Roger Donaldson,3856,697
Jan de Bont,3857,13
Jon Amiel,3858,1322
Wolfgang Petersen,3859,920
Wolfgang Petersen,3860,920
Michael Ritchie,3861,136
Peter Segal,3862,882
Walter Hill,3863,445
Jonathan Lynn,3864,446
Peng Zhang Li,3865,2067
Frank Oz,3866,431
Tom Shadyac,3867,336
Reginald Hudlin,3868,1940
Ron Underwood,3869,1733
Betty Thomas,3870,709
John Antonelli,3871,2068
Kenny Ortega,3872,2069
Jonathan Glazer,3873,2070
Tom Seidman,3874,2071
A. Dean Bell,3875,2072
Richard Keith,3876,2073
Harry Basil,3877,2074
John Simpson,3878,2075
Marcus Graves,3879,2076
Michael J. Hein,3880,2077
David M. Evans,3881,992
Pinchas Perry,3882,2078
Ari Kirschenbaum,3883,2079
William Tyler Smith,3884,2080
William Eubank,3885,1581
Nacho Vigalondo,3886,2081
David Ren,3887,2082
Ralph Ziman,3888,2083
John Lyde,3889,1502
Brad Anderson,3890,1349
"Kevin Kolsch,Dennis Widmyer",3891,2084
Leigh Janiak,3892,2085
Colin Minihan,3893,2086
William Sullivan,3894,2087
Gabe Ibáñez,3895,2088
Alexandre Aja,3896,2089
Cameron Crowe,3897,911
Christopher McQuarrie,3898,2090
James Mangold,3899,46
Steven Spielberg,3900,413
Kevin Macdonald,3901,2091
Roger Michell,3902,1106
John Woo,3903,879
John Frankenheimer,3904,194
Robert Lieberman,3905,984
Kevin Tenney,3906,2092
Deran Sarafian,3907,2093
Brian De Palma,3908,404
"Nick Pettit,Michael Poley",3909,2094
Adam Rifkin,3910,2095
Antony Hoffman,3911,2096
Barry Levinson,3912,139
Seth Gordon,3913,35
Gor Kirakosian,3914,2097
Peyton Reed,3915,737
Steve Feke,3916,2098
Adam Lipsius,3917,2099
Sunu Gonera,3918,2100
R. Michael Givens,3919,2101
Izidore K. Musallam,3920,2102
Carl Lauten,3921,2103
Tobe Hooper,3922,53
Stephen Herek,3923,326
Bert I. Gordon,3924,2104
William Girdler,3925,2105
"Fatih Akin,Yvan Attal",3926,2106
Danny Steinmann,3927,2107
William Girdler,3928,2105
Menahem Golan,3929,87
"Barbara Peeters,Jimmy T. Murakami",3930,2108
"Will Finn,Daniel St. Pierre",3931,2109
"Charles Swenson,Fred Wolf",3932,2110
Rachel Boynton,3933,2111
Michael J. Sarna,3934,1683
John Krasinski,3935,2112
Demetrius Navarro,3936,1029
"Ricki Stern,Anne Sundberg",3937,642
Doug Dearth,3938,2113
Michael Anderson,3939,73
Stian Hafstad,3940,2114
Jason Dallas,3941,2115
Alrick Brown,3942,2116
"Christopher Dillon Quinn,Tommy Walker",3943,2117
Jean-Xavier de Lestrade,3944,2118
Terry George,3945,2119
Elia Kazan,3946,485
Matthew O'Callaghan,3947,2120
Norton Virgien,3948,2121
Clive Barker,3949,2122
Juan Piquer Simón,3950,271
Sean S. Cunningham,3951,1162
Sean S. Cunningham,3952,1162
"Jean-Claude Dubois,Wayne Crawford",3953,2123
Mary Ann Fisher,3954,2124
Sean S. Cunningham,3955,1162
Spike Jonze,3956,382
Luis Llosa,3957,314
Renny Harlin,3958,1185
Ron Underwood,3959,1733
Ellory Elkayem,3960,2125
Dwight H. Little,3961,1063
Frank Marshall,3962,1094
Frank Marshall,3963,1094
Stephen Sommers,3964,14
Stuart Orme,3965,2126
Roger Donaldson,3966,697
Robert Vince,3967,1487
Joe Chappelle,3968,2127
LeVar Burton,3969,2128
Moshe Khusid,3970,2129
Dagen Merrill,3971,2130
Gregory Jacobs,3972,2131
Don Handfield,3973,2132
Anthony Fabian,3974,2133
Todd Strauss-Schulson,3975,2134
John Robert Moore,3976,1410
Cameron Crowe,3977,911
Rusty Nelson,3978,2135
Ryan Little,3979,394
Larry Cohen,3980,444
Wil Shriner,3981,2136
Hal Barwood,3982,2137
Tibor Takács,3983,2138
Michael Wadleigh,3984,2139
Peter Hutchings,3985,2140
George P. Cosmatos,3986,804
Peter Hyams,3987,1164
Peter Hyams,3988,1164
Kristin Hanggi,3989,170
Andrew Bujalski,3990,1955
"Ilisa Barbash,Lucien Castaing-Taylor",3991,2141
Jem Cohen,3992,2142
D. David Morin,3993,2143
"Stephanie Spray,Pacho Velez",3994,2144
Tim McCanlies,3995,903
Alex Proyas,3996,476
Steven Spielberg,3997,413
Robert Zemeckis,3998,242
Kevan Otto,3999,2145
Andrew Niccol,4000,858
Paul W.S. Anderson,4001,949
Danny Boyle,4002,209
Tobe Hooper,4003,53
Tobe Hooper,4004,53
Dan O'Bannon,4005,492
Tobe Hooper,4006,53
Tobe Hooper,4007,53
Chuck Russell,4008,636
Kathryn Bigelow,4009,222
Thom Eberhardt,4010,2146
Robert Harmon,4011,2147
Peter Masterson,4012,2148
Paul Verhoeven,4013,11
Zac Heath,4014,2149
Gary Sherman,4015,1168
Lewis Teague,4016,1166
Phillip Noyce,4017,845
Dwight H. Little,4018,1063
Stuart Gordon,4019,107
"Bruce Malmuth,Gary Nelson",4020,2150
David Webb Peoples,4021,2151
John Carpenter,4022,1327
Jean-Paul Ouellette,4023,2152
Sean Branney,4024,2153
Andrew Leman,4025,2154
Tom O'Brien,4026,2155
Brian Yuzna,4027,2156
Brian Yuzna,4028,2156
Ya'Ke Smith,4029,2157
Brian Yuzna,4030,2156
Roger Corman,4031,1446
Jerry Rees,4032,1563
Stuart Gordon,4033,107
Dan Gildark,4034,2158
Brian Yuzna,4035,2156
Stuart Gordon,4036,107
Nikita Zubarev,4037,2159
Clint Eastwood,4038,293
Philip D'Antoni,4039,2160
John Frankenheimer,4040,194
Robert Mandel,4041,2161
Darryl Anka,4042,2162
John Badham,4043,100
John Badham,4044,100
John Carpenter,4045,1327
Tobe Hooper,4046,53
Ellory Elkayem,4047,2125
Daniel Haller,4048,1169
George Tillman Jr.,4049,1130
Hannah Fidell,4050,2163
Roger Corman,4051,1446
Shira Piven,4052,2164
"Charles Brabin,Charles Vidor",4053,2165
Anthony Joseph Giunta,4054,2166
Stephen Sommers,4055,14
Jeff Lieberman,4056,2167
Joseph Zito,4057,2168
Tony Maylam,4058,2169
Sheree Le Mon,4059,2170
Richard Griffin,4060,2171
"Anna Boden,Ryan Fleck",4061,1785
Eric Morgret,4062,2172
Robert Cappelletto,4063,2173
"Tomas Almgren,Brian Barnes",4064,2174
Robert Hall,4065,2032
James Toback,4066,2175
John G. Avildsen,4067,926
Cindy Sherman,4068,2176
David Anspaugh,4069,872
Jonathan Zarantonello,4070,2177
Ian Corson,4071,2178
Jesse Dylan,4072,1472
Don Thacker,4073,2179
"Barrett J. Leigh,Thom Maurer",4074,2180
Frank H. Woodward,4075,2181
Henry Saine,4076,2182
Jean-Paul Ouellette,4077,2152
Andrew Davis,4078,856
Mark Blutman,4079,2183
Robert Wise,4080,699
Bill Condon,4081,1199
James C. Strouse,4082,2184
Charles de Lauzirika,4083,2185
"Youssef Chahine,Amos Gitai",4084,2186
"Alastair Fothergill,Mark Linfield",4085,2187
Brett Haley,4086,2188
Justin Krumb,4087,2189
"Alastair Fothergill,Keith Scholey",4088,2190
Orson Welles,4089,918
John Huston,4090,565
Robert Siodmak,4091,1206
Robert Aldrich,4092,137
Charles Vidor,4093,1176
Tay Garnett,4094,198
Michael Curtiz,4095,29
Jeff Orlowski,4096,2191
"Luis Lopez,J. Clay Tweel",4097,2192
Catherine Hardwicke,4098,1484
Larry Clark,4099,2193
"Katy Chevigny,Ross Kauffman",4100,2194
Harmony Korine,4101,2195
"Larry Clark,Edward Lachman",4102,2196
Jonas Åkerlund,4103,1179
Larry Clark,4104,2193
John Cassavetes,4105,2197
Gus Van Sant,4106,301
"Lisa Ades,Lesli Klainberg",4107,2198
George Sluizer,4108,2199
Sidney Lumet,4109,346
Lawrence Kasdan,4110,303
Peter Bogdanovich,4111,1853
Nancy Savoca,4112,2200
William Richert,4113,2201
"Rebecca Chaiklin,Fisher Stevens",4114,2202
Lars von Trier,4115,2203
Gus Van Sant,4116,301
"Tom Stern,Alex Winter",4117,2204
Thom Eberhardt,4118,2146
Larry Clark,4119,2193
Dwight H. Little,4120,1063
Gus Van Sant,4121,301
Don Roos,4122,2205
Francis Ford Coppola,4123,1093
William Eubank,4124,1581
Craig Brewer,4125,2206
Sam Pillsbury,4126,2207
Vincent Gallo,4127,1180
Terry Zwigoff,4128,412
Todd Solondz,4129,2208
Jim Jarmusch,4130,2209
Vincent Gallo,4131,1180
Nir Paniry,4132,2210
Mark Eaton,4133,2211
Sebastián Cordero,4134,2212
Jonathan Glazer,4135,2070
Harold Becker,4136,698
Jez Butterworth,4137,2213
Anton Corbijn,4138,2214
Aaron Woodley,4139,2215
AJ Schnack,4140,2216
David Fisher,4141,2217
David Stevens,4142,2218
Jonathan Kaplan,4143,2219
Ron Maxwell,4144,1261
Tim Hunter,4145,1007
Adrian Lyne,4146,12
Francis Ford Coppola,4147,1093
Anthony Minghella,4148,210
Christopher Cain,4149,859
Francis Ford Coppola,4150,1093
Francis Ford Coppola,4151,1093
Francis Ford Coppola,4152,1093
Francis Ford Coppola,4153,1093
Michael Cimino,4154,1219
Francis Ford Coppola,4155,1093
Francis Ford Coppola,4156,1093
Gus Van Sant,4157,301
Steve Buscemi,4158,2220
"Dan Stone,Patrick Gambuti Jr.",4159,2221
John Gulager,4160,2222
Ralph Bakshi,4161,2223
John Cregan,4162,2224
Roger Paradiso,4163,1181
Lasse Hallström,4164,1826
Frank Marshall,4165,1094
Randal Kleiser,4166,489
Stephen Hopkins,4167,950
"Rod Hardy,George Miller",4168,2225
Lee Tamahori,4169,1284
John Boorman,4170,2226
Kristin Canty,4171,2227
Jean-Luc Godard,4172,2228
Alexander Barnett,4173,2229
Antoine Fuqua,4174,517
Franco Zeffirelli,4175,437
Roman Polanski,4176,1346
Mike Cahill,4177,1582
Shane Carruth,4178,2230
Terrence Malick,4179,1425
Peter Bogdanovich,4180,1853
"Nadia Conners,Leila Conners Petersen",4181,2231
Todd Douglas Miller,4182,2232
Louie Psihoyos,4183,706
Darren Aronofsky,4184,31
Ted Kotcheff,4185,218
Michael Collins,4186,2233
"Laura Gabbert,Justin Schein",4187,2234
Ralph Bakshi,4188,2223
Martin Rosen,4189,2235
"Maryam Henein,George Langworthy",4190,2236
Michael Anderson,4191,73
Zal Batmanglij,4192,2237
Peter Brook,4193,2238
Zal Batmanglij,4194,2237
Jason Winer,4195,2239
Mark Levinson,4196,2240
David Gordon Green,4197,1110
"William Arntz,Betsy Chasse",4198,2241
Richard Fleischer,4199,964
David Cronenberg,4200,207
Tommy Lee Wallace,4201,1649
Richard Linklater,4202,930
George Lucas,4203,812
Alex Gibney,4204,281
"Joe Berlinger,Bruce Sinofsky",4205,1431
Antoine Fuqua,4206,517
Gregory Hoblit,4207,1226
Randall Wallace,4208,243
Kathryn Bigelow,4209,222
John Moore,4210,258
Tony Scott,4211,25
Terrence Malick,4212,1425
Scott Cooper,4213,2242
Mary Harron,4214,2243
"Albert Hughes,Allen Hughes",4215,339
Marco Brambilla,4216,2244
"Ethan Coen,Joel Coen",4217,1108
David O. Russell,4218,205
Gordon Parks,4219,2245
Renny Harlin,4220,1185
Kevin Reynolds,4221,247
"Don Bluth,Gary Goldman",4222,722
David Twohy,4223,1157
David Twohy,4224,1157
Gary Fleder,4225,803
Steven Spielberg,4226,413
Ron Howard,4227,174
Dennis Dugan,4228,923
Alan Parker,4229,806
"Mark Neveldine,Brian Taylor",4230,2246
Michael Caton-Jones,4231,424
Robert Schwentke,4232,342
Harold Becker,4233,698
Florent Emilio Siri,4234,2247
Louis J. Gasnier,4235,2248
Ron Shelton,4236,1035
David Ayer,4237,1184
Blake Edwards,4238,1044
Jeannot Szwarc,4239,2249
James Ronald Whitney,4240,2250
Liz Garbus,4241,2251
Scott Cooper,4242,2242
Francis Ford Coppola,4243,1093
Franklin J. Schaffner,4244,74
Sydney Pollack,4245,76
Sam Peckinpah,4246,188
Arthur Penn,4247,2064
Bob Fosse,4248,2252
Sydney Pollack,4249,76
John Frankenheimer,4250,194
Roland Emmerich,4251,263
"Zana Briski,Ross Kauffman",4252,2253
Alex Gibney,4253,281
Bill Condon,4254,1199
Lee Daniels,4255,1338
Ben Coccio,4256,2254
Christopher Denham,4257,2255
Wes Craven,4258,294
Pericles Lewnes,4259,2256
Frank R. Strayer,4260,2257
John Guillermin,4261,1192
Daniel G. Karslake,4262,2258
Eugène Lourié,4263,2259
Amy Berg,4264,2260
Ernest B. Schoedsack,4265,1189
Eric Steel,4266,2261
Rowland V. Lee,4267,816
Brian Levant,4268,728
Chris Smith,4269,2262
"Ronald Neame,Irwin Allen",4270,2263
David Zellner,4271,2264
Alex Ross Perry,4272,1430
A. Edward Sutherland,4273,1917
James Whale,4274,813
Reginald Le Borg,4275,2265
Ford Beebe,4276,2266
Edwin L. Marin,4277,568
Robert Wise,4278,699
Lambert Hillyer,4279,1207
Lew Landers,4280,2267
Erle C. Kenton,4281,1195
Robert Florey,4282,1234
Edgar G. Ulmer,4283,215
Jean Yarbrough,4284,69
John S. Robertson,4285,2268
B. Luciano Barsuglia,4286,2269
Victor Fleming,4287,59
Alex Ross Perry,4288,1430
Patrick Brice,4289,2270
Gina Kim,4290,2271
Eric Schaeffer,4291,2272
Debra Granik,4292,2273
Peter Mattei,4293,2274
Ari Ryan,4294,2275
George Ratliff,4295,2276
Adam Rodgers,4296,2277
Christopher Neil,4297,2278
Dwayne Buckle,4298,2279
Anthony Minghella,4299,210
Rod Lurie,4300,2280
Chris Weitz,4301,937
Daniel Barnz,4302,1856
Catherine Hardwicke,4303,1484
Allen Coulter,4304,2281
Rupert Sanders,4305,2282
David Slade,4306,2283
Lasse Hallström,4307,1826
Andrew Niccol,4308,858
Harald Zwart,4309,278
Errol Morris,4310,483
Errol Morris,4311,483
Errol Morris,4312,483
Steve James,4313,2284
Errol Morris,4314,483
David Cronenberg,4315,207
Tom Holland,4316,2285
Errol Morris,4317,483
F.W. Murnau,4318,33
Amy Berg,4319,2260
Denis Hennelly,4320,2286
Steve Barron,4321,1276
Shira Lane,4322,2287
Werner Herzog,4323,19
Steve Kroschel,4324,2288
Susan Kucera,4325,2289
Steve Kroschel,4326,2288
Deborah Koons,4327,2290
Steve Kroschel,4328,2288
Kurt Engfehr,4329,2291
"Shelley Lee Davies,Or Shlomi",4330,2292
Fernando Meirelles,4331,2293
Michael Palm,4332,2294
Judd Apatow,4333,186
"William A. Wellman,Harry d'Abbadie d'Arrast",4334,2295
Charles Chaplin,4335,1247
Michael Moore,4336,916
Charles Chaplin,4337,1247
Gary Don Rhodes,4338,2296
Charles Lamont,4339,70
Arthur Lubin,4340,68
Charles Lamont,4341,70
Charles Lamont,4342,70
Charles Lamont,4343,70
Charles Lamont,4344,70
Kurt Neumann,4345,548
"Christian Nyby,Howard Hawks",4346,2297
"Irvin S. Yeaworth Jr.,Russell S. Doughten Jr.",4347,2298
Don Siegel,4348,152
Robert Gordon,4349,2299
Jack Arnold,4350,547
Jack Arnold,4351,547
"Donald G. Jackson,R.J. Kizer",4352,2300
Christopher Coppola,4353,1211
Christopher Coppola,4354,1211
Yoav Shamir,4355,2301
William Friedkin,4356,1167
Christopher Coppola,4357,1211
Franc Roddam,4358,2302
Curtis Harrington,4359,2303
Bert I. Gordon,4360,2104
Christopher Coppola,4361,1211
Howard R. Cohen,4362,2304
Julien Temple,4363,773
Jim Wynorski,4364,1818
Tom Holland,4365,2285
Howard Storm,4366,2305
Robert J. Rosenthal,4367,2306
W.D. Richter,4368,2307
Stan Dragoti,4369,1591
Ken Kwapis,4370,159
Gene Wilder,4371,2308
James Signorelli,4372,1023
"Adam Small,Peter Stuart",4373,2309
Samuel Fuller,4374,1216
Samuel Fuller,4375,1216
John Irvin,4376,2310
Brian Flemming,4377,2311
Michael Caton-Jones,4378,424
Gus Holwerda,4379,2312
Sean Durkin,4380,2313
Andrew V. McLaglen,4381,422
Robert Wise,4382,699
Jeremy Saulnier,4383,1960
Antonio Campos,4384,1438
Antonio Campos,4385,1438
James Chressanthis,4386,2314
Robert Stevenson,4387,702
John Waters,4388,299
Shane Carruth,4389,2230
Robert Mulligan,4390,2315
Will Gluck,4391,588
Elia Kazan,4392,485
Clint Eastwood,4393,293
James Fargo,4394,1221
Clint Eastwood,4395,293
Clint Eastwood,4396,293
Buddy Van Horn,4397,2316
Don Siegel,4398,152
Clint Eastwood,4399,293
Wolfgang Petersen,4400,920
Clint Eastwood,4401,293
Noah Baumbach,4402,1124
Don Siegel,4403,152
Clint Eastwood,4404,293
Buddy Van Horn,4405,2316
Clint Eastwood,4406,293
Clint Eastwood,4407,293
Clint Eastwood,4408,293
Clint Eastwood,4409,293
Clint Eastwood,4410,293
Richard Tuggle,4411,2317
Michael Cimino,4412,1219
Lance Mungia,4413,2318
Kurt Kuenne,4414,1428
"Lewis Milestone,Carol Reed",4415,2319
Daniel Mann,4416,2320
Sidney Lumet,4417,346
Henry Koster,4418,359
Bernhard Wicki,4419,2321
George Englund,4420,2322
Laslo Benedek,4421,2323
Elia Kazan,4422,485
Sidney J. Furie,4423,2324
Marlon Brando,4424,2325
Fred Zinnemann,4425,480
Joshua Logan,4426,1371
Jean Negulesco,4427,2326
Gerald Mayer,4428,2327
William K. Howard,4429,86
Daniel Petrie,4430,2328
William A. Wellman,4431,83
George Waggner,4432,814
"Edward Steichen,William Wyler",4433,2329
"H.C. Potter,Victor Saville",4434,2330
"Ralph Ince,William Boyd",4435,2331
William A. Seiter,4436,148
Dick Powell,4437,2332
"Frank Capra,Anatole Litvak",4438,2333
John Ford,4439,97
John Huston,4440,565
"Frank Capra,Anthony Veiller",4441,2334
"John Ford,Gregg Toland",4442,2335
"Frank Capra,Anatole Litvak",4443,2333
Noah Baumbach,4444,1124
Michael Apted,4445,853
Richard Marquand,4446,693
Philip Kaufman,4447,221
Richard Marquand,4448,693
Richard Marquand,4449,693
Richard Ayoade,4450,2336
Richard Marquand,4451,693
Richard Marquand,4452,693
Noah Baumbach,4453,1124
Destin Daniel Cretton,4454,2337
Ashton Root,4455,2338
Crystal Moselle,4456,2339
Asif Kapadia,4457,2340
"Robert Gordon,Morgan Neville",4458,2341
Sean Baker,4459,2342
Lauren Greenfield,4460,2343
Mark Hall,4461,2344
Sally Rowe,4462,2345
Jason Wise,4463,2346
Barry Skolnick,4464,2347
Art Camacho,4465,2348
Michael Lansu,4466,2349
Jim Wynorski,4467,1818
Timothy Woodward Jr.,4468,2350
Gil Cates Jr.,4469,2351
Kazeem Molake,4470,2352
Douglas K. Grimm,4471,2353
Asif Kapadia,4472,2340
Roger Duchowny,4473,2354
Jeremy Seifert,4474,2355
Mark Neveldine,4475,2356
Stephanie Soechtig,4476,2357
"Marc Connelly,William Keighley",4477,2358
Michael A. Simpson,4478,376
"Vincente Minnelli,Busby Berkeley",4479,2359
Edward F. Cline,4480,2360
Michael Curtiz,4481,29
Luigi Cozzi,4482,2361
Ernest Pintoff,4483,2362
Clarence Brown,4484,1378
Sam Wood,4485,1297
William A. Wellman,4486,83
John Ford,4487,97
Edward Bernds,4488,2363
Alfred Sole,4489,2364
"Stuart E. McGowan,Edward Montagne",4490,2365
"Will Finn,John Sanford",4491,2366
Steve Trenbirth,4492,2367
Scott King,4493,2368
Raoul Ruiz,4494,2369
Mervyn LeRoy,4495,82
Clarence Brown,4496,1378
George Cukor,4497,889
Zoltan Korda,4498,1874
Rudolph Maté,4499,1824
Frank Borzage,4500,2370
John Ford,4501,97
John Huston,4502,565
Alfred Hitchcock,4503,0
"Michael J. Shapiro,Jeff Werner",4504,2371
John Ford,4505,97
John Ford,4506,97
Leigh Whannell,4507,2372
Alfred Hitchcock,4508,0
Jordan Brady,4509,2373
Mike Nichols,4510,456
Edward Ludwig,4511,150
George Cukor,4512,889
Jordan Brady,4513,2373
Alfred Hitchcock,4514,0
Billy Bob Thornton,4515,1588
Stanley Kramer,4516,1233
Billy Bob Thornton,4517,1588
Carl Franklin,4518,1089
Alexander Payne,4519,423
Michael Polish,4520,2374
John Waters,4521,299
John Waters,4522,299
Álex de la Iglesia,4523,2375
Sam Wood,4524,1297
Jack Lemmon,4525,2376
John Waters,4526,299
John Waters,4527,299
David Riva,4528,2377
Edward Buzzell,4529,1268
John Farrow,4530,1724
John Waters,4531,299
Elliott Nugent,4532,2378
Jacques Levy,4533,2379
Henry King,4534,1709
Arthur Hiller,4535,144
Larry Buchanan,4536,2380
Sidney J. Furie,4537,2324
Mike Binder,4538,1048
John D. Hancock,4539,2381
Norman Taurog,4540,1706
Fritz Lang,4541,1235
Fritz Lang,4542,1235
Fritz Lang,4543,1235
Robert A. Emmons Jr.,4544,2382
Fritz Lang,4545,1235
Nicholas Ray,4546,302
Delmer Daves,4547,510
Stanley Kramer,4548,1233
Raoul Walsh,4549,1236
Mervyn LeRoy,4550,82
William A. Wellman,4551,83
Raoul Walsh,4552,1236
"Howard Hawks,Richard Rosson",4553,2383
Frank Lloyd,4554,1238
Wesley Ruggles,4555,2384
"Jeff Gillen,Alan Ormsby",4556,2385
Mark Rappaport,4557,1799
William Wyler,4558,28
Alfred Hitchcock,4559,0
George Stevens,4560,408
Richard Brooks,4561,1702
Edward Dmytryk,4562,63
Daniel Mann,4563,2320
Joseph L. Mankiewicz,4564,1246
Steve James,4565,2284
Larry Yust,4566,2386
Jeff London,4567,2387
"Willard Huyck,Gloria Katz",4568,2388
"Al Adamson,Jean Hewitt",4569,2389
Earl Barton,4570,2390
Michael Winner,4571,2391
Corey B. Stevens,4572,2392
Lew Landers,4573,2267
William J. Hole Jr.,4574,2393
Jerry Sangiuliano,4575,2394
Frank Whaley,4576,2395
Robert Vincent O'Neill,4577,1496
André De Toth,4578,197
Roberta Findlay,4579,2396
William Grefe,4580,2397
Bud Townsend,4581,919
John Quinn,4582,2398
Lee Harry,4583,2399
Ray Greene,4584,2400
Robert Hiltzik,4585,2401
Scott Spiegel,4586,2402
Geoffrey Wright,4587,2403
Rowdy Herrington,4588,447
Henry King,4589,1709
Douglas Hickox,4590,1779
Alexander Mackendrick,4591,486
"Ray Enright,Edoardo Anton",4592,2404
Franc Roddam,4593,2302
Lewis Allen,4594,1723
Stuart Heisler,4595,2405
"John Huston,Vincent Sherman",4596,2406
Michael Curtiz,4597,29
Raoul Walsh,4598,1236
Irvin Kershner,4599,730
Robert Altman,4600,2407
Curtis Bernhardt,4601,2408
Archie Mayo,4602,410
Rick Gratzer,4603,2409
Edward Dmytryk,4604,63
George Cukor,4605,889
Joshua Logan,4606,1371
Otto Preminger,4607,94
Howard Hawks,4608,154
Henry Hathaway,4609,153
Jean Negulesco,4610,2326
Walter Lang,4611,67
John Huston,4612,565
Laurence Olivier,4613,2410
William Wyler,4614,28
Fred Zinnemann,4615,480
Terence Young,4616,1245
Mel Ferrer,4617,2411
Sydney Pollack,4618,76
Mike Nichols,4619,456
Richard Loncraine,4620,1150
Roman Polanski,4621,1346
Ivan Reitman,4622,62
Mike Nichols,4623,456
King Vidor,4624,1791
Tom Scheuer,4625,2412
Daniel Millican,4626,2413
John Huston,4627,565
Alan Crosland,4628,2414
Sidney Lumet,4629,346
John Dahl,4630,90
Henry King,4631,1709
Mitchell Leisen,4632,1692
Roy Del Ruth,4633,1669
H. Bruce Humberstone,4634,2415
Josef von Sternberg,4635,2416
Howard Hawks,4636,154
Robert Florey,4637,1234
Lewis Seiler,4638,2417
Frank Ryan,4639,2418
H. Bruce Humberstone,4640,2415
Roy William Neill,4641,815
Peter Bogdanovich,4642,1853
Worth Keeter,4643,2419
Tom DeSimone,4644,2420
David Hess,4645,2421
Christopher Reynolds,4646,2422
Wes Craven,4647,294
William Wyler,4648,28
"Sean S. Cunningham,Joe Dante",4649,2423
Stanley Kubrick,4650,30
S.F. Brownrigg,4651,1445
Frank Henenlotter,4652,2424
Mark Sandrich,4653,2425
W.S. Van Dyke,4654,84
Irving Pichel,4655,2426
William Dieterle,4656,411
Edmund Goulding,4657,1249
Josef von Sternberg,4658,2416
Jean Negulesco,4659,2326
"Herman Shumlin,Hal Mohr",4660,2427
Byron Haskin,4661,464
William Dieterle,4662,411
Henry Hathaway,4663,153
Michael Mann,4664,399
Mark DiSalle,4665,2428
John Schwert,4666,2429
Don Jones,4667,2430
Josef Rusnak,4668,2431
William A. Seiter,4669,148
Frank Capra,4670,80
George Cukor,4671,889
Giulio Paradisi,4672,2432
Harold Young,4673,1214
Jeffrey Bloom,4674,2433
Jack Conway,4675,85
Richard Thorpe,4676,65
William Dieterle,4677,411
Richard Brooks,4678,1702
Curtis Bernhardt,4679,2408
Vincente Minnelli,4680,164
Richard Thorpe,4681,65
Stanley Donen,4682,1244
Vincente Minnelli,4683,164
Robert Z. Leonard,4684,1665
Joe Carnahan,4685,576
Simon West,4686,844
Greydon Clark,4687,56
Jaume Collet-Serra,4688,297
Joe Carnahan,4689,576
Doug Liman,4690,837
Jaume Collet-Serra,4691,297
Robert Redford,4692,1142
Martin Brest,4693,855
Edward Zwick,4694,24
Andrew Dominik,4695,1174
Alan J. Pakula,4696,135
Tony Scott,4697,25
Gore Verbinski,4698,130
Joe Mazzuca,4699,2434
Michael Pataki,4700,2435
Greydon Clark,4701,56
William Castle,4702,200
Greydon Clark,4703,56
Albert Magnoli,4704,560
Greydon Clark,4705,56
Fred Schepisi,4706,1592
David Kendall,4707,2436
John McTiernan,4708,257
Philip Kaufman,4709,221
Arne Glimcher,4710,2437
Roger Corman,4711,1446
Peter Hyams,4712,1164
Roger Corman,4713,1446
Philippe Darsac,4714,2438
