MeasureName,Stateavg,original_index,unique_index
heart failure patients given discharge instructions,al_hf-1,673,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,674,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,675,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,676,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,677,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,alxpn-3b,678,88
pneumonia patients given smoking cessation advice/counseling,al_pn-4,679,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,680,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,681,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,682,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,683,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,684,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,685,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,686,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,687,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,688,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,689,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,690,7
heart attack patients given aspirin at arrival,al_ami-1,691,8
heart attack patients given aspirin at discharge,al_ami-2,692,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,693,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,694,11
heart attack patients given beta blocker at discharge,al_ami-5,695,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,696,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,697,14
heart failure patients given discharge instructions,al_hf-1,698,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,699,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,700,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,701,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,702,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,703,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,704,21
pxeumoxia patiexts givex ixitial axtibiotic(s) withix 6 hours after arrival,al_pn-5c,705,89
pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),al_pn-6,706,90
pneumonia patients assessed and given influenza vaccination,al_pn-7,707,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,708,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,709,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,710,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,711,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,712,4
surgery paxienxs needing hair removed from xhe surgical area before surgery who had hair removed using a safer mexhod (elecxric clippers or hair removal cream c nox a razor),al_scip-inf-6,713,91
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,714,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,715,7
heart attack patients given aspirin at arrival,al_ami-1,716,8
heart attack patients given aspirin at discharge,al_ami-2,717,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,718,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,719,11
heart attack patients given beta blocker at discharge,al_ami-5,720,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_amx-7a,721,92
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,722,14
heart failure patients given discharge instructions,al_hf-1,723,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,724,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,725,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,726,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,727,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,728,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,729,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,730,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,731,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,732,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,733,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,734,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,735,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,736,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,737,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,738,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,739,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,740,7
heart attack patients given aspirin at arrival,al_ami-1,741,8
heart attack patients given aspirin at discharge,al_ami-2,742,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,743,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,744,11
heart attack patients given beta blocker at discharge,al_ami-5,745,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,746,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,747,14
heart failure patients given discharge instructions,al_hf-1,748,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,749,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,750,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,751,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,752,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,753,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,754,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,755,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,756,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,757,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,758,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,759,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scipxinfx2,760,93
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,761,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,762,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,763,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scix-vte-1,764,94
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,765,7
children who received reliever medication while hospitalized for asthma,al_cac-1,766,95
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,767,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,768,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,769,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,770,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,771,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,772,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,773,7
children who received reliever medication while hospitalized for asthma,al_cac-1,774,95
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,al_cac-2,775,42
children and their caregivers who received a home management plan of care document while hospitalized for asthma,al_cac-3,776,43
heart attack patients given aspirin at arrival,al_ami-1,777,8
heart attack patients given aspirin at discharge,al_ami-2,778,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,779,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,780,11
heart attack patients given beta blocker at discharge,al_ami-5,781,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,782,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,783,14
heart failure patients given discharge instructions,al_hf-1,784,15
heaxt failuxe patients given an evaluation of left ventxiculax systolic (lvs) function,al_hf-2,785,96
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,786,17
heart failure patients given smoking cessation advice/counseling,al_hf-x,787,97
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,788,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,789,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,790,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,791,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,792,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,793,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,794,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,795,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,xl_scip-inf-2,796,98
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,797,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,798,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,799,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,800,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,801,7
heart attack patxents gxven aspxrxn at arrxval,al_ami-1,802,99
heart attack patients given aspirin at discharge,al_ami-2,803,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,804,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,805,11
heart attack patients given beta blocker at discharge,al_ami-5,806,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,807,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,808,14
heart failure patients given discharge instructions,al_hf-1,809,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,810,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,811,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,812,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,813,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,814,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,815,21
pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,al_pn-5c,816,100
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,817,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,818,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,819,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,820,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,821,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,822,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,823,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,824,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,825,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,826,7
heart attack patients given aspirin at arrival,xl_xmi-1,827,101
heart attack patients given aspirin at discharge,al_ami-2,828,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,829,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,830,11
heart attack patients given beta blocker at discharge,al_ami-5,831,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,832,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,833,14
heart failure patients given discharge instructions,al_hf-1,834,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,835,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,836,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,837,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,838,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,839,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,840,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,841,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pnx6,842,102
pneumonia patients assessed and given influenza vaccination,al_pn-7,843,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,844,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,845,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,846,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,847,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,848,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,849,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,850,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,851,7
heart attack patients given aspirin at arrival,al_ami-1,852,8
heart attack patients given aspirin at discharge,al_ami-2,853,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,854,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,855,11
heart attack patients given beta blocker at discharge,al_ami-5,856,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,857,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,858,14
heart failure patients given discharge instructions,al_hf-1,859,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,860,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,861,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,862,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,863,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,864,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,865,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,866,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,867,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,868,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,869,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,870,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,871,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,872,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,873,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,874,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,875,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,876,7
heart attack patients given aspirin at arrival,al_ami-1,877,8
heart attack patients given aspirin at discharge,al_ami-2,878,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,879,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,880,11
heart attack patients given beta blocker at discharge,al_ami-5,881,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,882,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,883,14
heart failure patients given discharge instructions,al_hf-1,884,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,885,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,886,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,887,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,888,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,889,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,890,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,891,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,892,23
pneumonia patients assessed and given influenza vaxxination,al_pn-7,893,103
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,894,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,895,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,896,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,897,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,898,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,899,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,900,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,901,7
childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,al_cac-1,902,104
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,al_cac-2,903,42
children and their caregivers who received a home management plan of care document while hospitalized for asthma,al_cac-3,904,43
heart attack patients given aspirin at arrival,al_ami-1,905,8
heart attack patients given aspirin at discharge,al_ami-2,906,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,907,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,908,11
heart attack patients given beta blocker at discharge,al_ami-5,909,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,910,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,911,14
heart failure patients given discharge instructions,al_hf-1,912,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,913,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,914,17
hearx failure paxienxs given smoking cessaxion advice/counseling,al_hf-4,915,105
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,916,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,917,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,918,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,919,22
pneumonia patients given the most appropriate initial antibiotic(s),alxpn-6,920,106
pneumonia patients assessed and given influenza vaccination,al_pn-7,921,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,922,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,923,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,924,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,925,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,926,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,927,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,928,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,929,7
heart attack patients given aspirin at arrival,al_ami-1,930,8
heart attack patients given aspirin at discharge,al_ami-2,931,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,932,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,933,11
heart attack patients given beta blocker at discharge,al_ami-5,934,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,935,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,936,14
heart failure patients given discharge instructions,al_hf-1,937,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,938,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,939,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,940,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,941,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,942,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,943,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,944,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,945,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,946,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,947,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,948,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,949,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,950,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,951,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,952,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,953,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,954,7
heart attack patients given aspirin at arrival,al_ami-1,955,8
heart attack patients given aspirin at discharge,al_ami-2,956,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,957,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,958,11
heart attack patients given beta blocker at discharge,al_ami-5,959,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,960,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,961,14
heart failure patients given discharge instructions,al_hf-1,962,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,963,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,964,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,965,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,966,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,967,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,968,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,969,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,970,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,971,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,972,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,973,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,974,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,975,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,976,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,977,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,978,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,979,7
heart attack patients given aspirin at arrival,al_ami-1,980,8
heart attack patients given aspirin at discharge,al_ami-2,981,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,982,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,983,11
heart attack patients given beta blocker at discharge,al_ami-5,984,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,985,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,986,14
heart failure patients given discharge instructions,al_hf-1,987,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,988,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,989,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,990,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,991,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,992,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,993,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,994,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,995,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,996,24
surgery pxtients who were txking hexrt drugs cxlled betx blockers before coming to the hospitxl who were kept on the betx blockers during the period just before xnd xfter their surgery,al_scip-card-2,997,107
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,998,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,999,2
