Year,Filming Locations,original_index,unique_index
1971,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3795,2988
2015,,3796,49
2011,"San Rafael, California, USA",3797,2989
2014,"New Braunfels, Texas, USA",3798,2990
2013,,3799,45
1997,"Massachusetts Turnpike, Massachusetts, USA",3800,2991
1979,"Central Park, Manhattan, New York City, New York, USA",3801,2992
1971,"Château d'If, Marseille, Bouches-du-Rhône, France",3802,2993
1994,"5132 Calvin Ave, Tarzana, Los Angeles, California, USA",3803,2994
2009,,3804,126
2011,"Los Angeles, California, USA",3805,44
1984,"612 Milwood Court, Venice, California, USA",3806,2995
1988,"4243 Overland Avenue, Culver City, California, USA",3807,2996
1987,"Los Angeles, California, USA",3808,2055
2015,"Lili Coffee Shop LLC & The Copacetic Comics Co - 3138 Dobson Street, Pittsburgh, USA",3809,2997
1951,"Isleworth Studios, London Road, Isleworth, Middlesex, England, UK",3810,2998
1976,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3811,2999
1956,"Kayenta, Arizona, USA",3812,3000
1972,"Joshua Tree, California, USA",3813,3001
1969,"Bavispe, Sonora, Mexico",3814,3002
1966,"Alicante, Comunidad Valenciana, Spain",3815,3003
1969,"Almería, Andalucía, Spain",3816,3004
1968,"San Francisco Police Department, 850 Bryant Street, San Francisco, California, USA",3817,3005
1992,"Eisenhower Auditorium, Pennsylvania State University, State College, Pennsylvania, USA",3818,3006
1967,"North Palm Drive, Beverly Hill, California, USA",3819,3007
1984,"Scottish Rite Temple, 160 S Scott Ave, Tucson, Arizona, USA",3820,3008
1996,"Agra, Uttar Pradesh, India",3821,3009
1986,"Caswell Beach, North Carolina, USA",3822,3010
1983,"Arlington, Texas, USA",3823,3011
2001,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",3824,3012
1930,"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",3825,3013
1967,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",3826,3014
1949,"Third Avenue El, Manhattan, New York City, New York, USA",3827,3015
1929,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3828,407
1936,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3829,3016
1997,"West 10th Street, Manhattan, New York City, New York, USA",3830,3017
1959,"Santa Clarita, California, USA",3831,3018
2008,"Agios Ioannis Chapel, Skopelos, Greece",3832,3019
2002,"11200 Lakeline Mall Dr, Cedar Park, Texas, USA",3833,3020
1936,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3834,3016
1968,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3835,3021
2003,"Québec, Canada",3836,3022
1967,"Albertson Ranch, Triunfo, California, USA",3837,3023
1976,"2600 Virginia Avenue NW, Washington, District of Columbia, USA",3838,3024
1969,"Santa Monica Mountains, Los Angeles, California, USA",3839,3025
1966,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3840,3026
1972,"Crested Butte, Colorado, USA",3841,3027
1977,"9324 3d Avenue, Bay Ridge, Brooklyn, New York City, New York, USA",3842,3028
1963,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",3843,2293
1979,"Santa Clarita, California, USA",3844,516
1975,"Santa Clarita, California, USA",3845,3029
2015,,3846,49
1957,"Santa Clarita, California, USA",3847,3030
1997,"San Francisco-Oakland Bay Bridge, San Francisco Bay, California, USA",3848,3031
1999,"Halfway House Café - 15564 Sierra Highway, Santa Clarita, California, USA",3849,3032
1939,"California, USA",3850,3033
1992,"Los Angeles, California, USA",3851,1442
1983,"440 S June St, Los Angeles, California, USA",3852,3034
1993,"Bank of America Building - 555 California Street, San Francisco, California, USA",3853,3035
1984,"American Fork, Utah, USA",3854,3036
1997,"190th Street & Western Avenue, Torrance, California, USA",3855,3037
1997,"Santa Clarita, California, USA",3856,732
1996,"Ames, Iowa, USA",3857,3038
2003,"Burnaby, British Columbia, Canada",3858,2720
2006,"Stage 20, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3859,3039
2000,"Dana Point, California, USA",3860,3040
1986,"Melrose Avenue at North Spaulding, Los Angeles, California, USA",3861,3041
2000,"Glendale, California, USA",3862,3042
1990,"California, USA",3863,3043
1992,"Baltimore, Maryland, USA",3864,3044
2011,"Beijing Studios, Beijing, China",3865,3045
1999,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",3866,3046
1996,"Beverly Hills, California, USA",3867,3047
1992,"New York City, New York, USA",3868,3048
2002,"Los Angeles, California, USA",3869,1063
2002,"Buda Castle, Várkerület, Budapest, Hungary",3870,3049
1985,"Lowell, Massachusetts, USA",3871,3050
1993,"Plimouth Plantation - 137 Warren Avenue, Plymouth, Massachusetts, USA",3872,3051
2013,"Tantallon Castle, Auldhame, East Lothian, Scotland, UK",3873,3052
2010,"Grand Rapids, Michigan, USA",3874,3053
2003,"Danbury, Connecticut, USA",3875,3054
2002,"Bradley Beach, New Jersey, USA",3876,3055
2006,"Malibu, California, USA",3877,3056
2008,"Budapest, Hungary",3878,2439
2011,"New York City, New York, USA",3879,854
2001,,3880,136
2010,"Santa Clarita, California, USA",3881,3057
2007,"Russe, Bulgaria",3882,3058
2002,"Connecticut, USA",3883,3059
2006,"New York City, New York, USA",3884,3060
2014,"New Mexico, USA",3885,3061
2014,"Spiderwood Studios, Austin, Texas, USA",3886,3062
2012,"Lacy Street Production Center - 2630 Lacy Street, Los Angeles, California, USA",3887,3063
2014,"Johannesburg, South Africa",3888,3064
2013,,3889,45
2014,Bulgaria,3890,2104
2014,"Los Angeles, California, USA",3891,41
2014,"North Carolina, USA",3892,3065
2014,"Port McNeill, British Columbia, Canada",3893,3066
2015,"Brooklyn, New York City, New York, USA",3894,3067
2014,"New Boyana Film Studios, Sofia, Bulgaria",3895,1743
2013,"Vancouver, British Columbia, Canada",3896,3068
2001,"West 73rd Street, Manhattan, New York, USA",3897,3069
2012,"Saltsburg, Pennsylvania, USA",3898,3070
2010,"Brooklyn, New York City, New York, USA",3899,2660
2001,"Guerneville, California, USA",3900,3071
2009,"612 S Flower St, Los Angeles, California, USA",3901,3072
2002,"Metropolitan Museum of Art, Manhattan, New York City, New York, USA",3902,3073
1996,"Lee's Ferry, Arizona, USA",3903,3074
2000,"Lion's Gate Studios, North Vancouver, British Columbia, Canada",3904,3075
1993,"Idleyld Park, Oregon, USA",3905,3076
1998,"Montréal, Québec, Canada",3906,2680
1994,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA",3907,3077
2000,"Santa Clarita, California, USA",3908,1324
2013,"Orlando, Florida, USA",3909,3078
1994,"Hardy Toll Road, Houston, Texas, USA",3910,3079
2000,"Boral Quarry, Prospect, Sydney, New South Wales, Australia",3911,3080
1998,"Mare Island Naval Yard, Vallejo, California, USA",3912,3081
2008,"Los Angeles, California, USA",3913,178
2012,,3914,47
2006,"Illinois, USA",3915,3082
1988,"Penang, Malaysia",3916,3083
2012,"Denver, Colorado, USA",3917,3084
2007,"Louisiana State University - Highland Road & Dalrymple Drive, Baton Rouge, Louisiana, USA",3918,3085
2009,"Santa Clarita, California, USA",3919,2193
1997,,3920,937
2015,"Mobile, Alabama, USA",3921,3086
1976,"Raleigh Studios - 5300 Melrose Avenue, Hollywood, Los Angeles, California, USA",3922,3087
2011,"New Orleans, Louisiana, USA",3923,3088
1977,"Fort Pierce, Florida, USA",3924,3089
1976,"Clayton, Georgia, USA",3925,3090
2008,"Fifth Avenue, Manhattan, New York City, New York, USA",3926,3091
1984,"Burbank, California, USA",3927,3092
1977,"California, USA",3928,3093
1981,"Manila, Metro Manila, Philippines",3929,3094
1980,"Fort Bragg, California, USA",3930,3095
2013,,3931,45
1977,,3932,900
2005,,3933,318
2014,"Southern California, California, USA",3934,3096
2015,"Brookhaven, Mississippi, USA",3935,3097
2013,"Detroit, Michigan, USA",3936,3098
2007,Sudan,3937,3099
2013,"North Canton, Ohio, USA",3938,3100
1959,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",3939,3101
2015,,3940,49
2014,"Nashville, Tennessee, USA",3941,3102
2011,"Kigali, Rwanda",3942,3103
2006,"High Point, North Carolina, USA",3943,3104
2001,"Jacksonville, Florida, USA",3944,3105
2004,Rwanda,3945,3106
1963,"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",3946,3107
2006,,3947,775
2009,,3948,126
1990,"Wexham Park Hospital, Slough, Berkshire, UK",3949,3108
1990,"Madrid, Spain",3950,3109
1982,"New York, USA",3951,3110
1978,"Westport, Connecticut, USA",3952,3111
1989,Bahamas,3953,3112
1989,,3954,606
2001,,3955,136
2002,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",3956,3113
1997,"Amazonas, Brazil",3957,3114
1999,"Fox Baja Studios, Rosarito, Baja California Norte, Mexico",3958,3115
1990,"Alabama Hills, Lone Pine, California, USA",3959,3116
2002,"Arizona, USA",3960,3117
2004,"Deuba, Fiji",3961,3118
1990,"California, USA",3962,3043
1995,Costa Rica,3963,3119
1989,"Minnesota, USA",3964,3120
1994,"City Hall - 2600 Fresno Street, Fresno, California, USA",3965,3121
1995,"Arecibo Observatory, Arecibo, Puerto Rico",3966,3122
2004,"Vancouver, British Columbia, Canada",3967,3123
1998,"Colorado, USA",3968,3124
2003,"Port Credit Memorial Arena, Mississauga, Ontario, Canada",3969,3125
2014,,3970,245
2009,"Adelaide, South Australia, Australia",3971,3126
2015,"Tybee Island, Georgia, USA",3972,3127
2011,"Grand Rapids, Michigan, USA",3973,3128
2013,"Greenwich, Connecticut, USA",3974,2753
2015,"Frostop Root Beer - 402 Government St Baton Rouge, Louisiana, USA",3975,3129
2009,"Enchanted Springs Ranch - 242 Highway 46 W., Boerne, Texas, USA",3976,3130
2015,"Honolulu, O'ahu, Hawaii, USA",3977,3131
2002,,3978,626
2006,"Bridal Vail Falls, Provo Canyon, Utah, USA",3979,3132
1974,,3980,2397
2006,"Boca Grande, Florida, USA",3981,3133
1985,"La Crescenta, California, USA",3982,3134
1989,"Los Angeles, California, USA",3983,1297
1981,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",3984,522
2015,,3985,49
1997,"Baltimore, Maryland, USA",3986,3135
1994,"Barclay St & Nicola St, Vancouver, British Columbia, Canada",3987,3136
1995,"1016 Fritz Street, Pittsburgh, Pennsylvania, USA",3988,3137
2014,,3989,245
2013,"Austin, Texas, USA",3990,1569
2009,"Montana, USA",3991,3138
2012,"Vienna, Austria",3992,3139
2010,"Santa Monica, California, USA",3993,3140
2013,Nepal,3994,3141
2009,"Covington, Louisiana, USA",3995,3142
1998,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",3996,3143
1977,"Mobile Civic Center, Civic Center Drive, Mobile, Alabama, USA",3997,3144
1997,"Arecibo Observatory, Arecibo, Puerto Rico",3998,3145
2013,"Los Angeles, California, USA",3999,175
1997,"Sepulveda Dam, Encino, Los Angeles, California, USA",4000,3146
1997,"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",4001,3147
2007,"Hakberget, Gärdet, Stockholm, Stockholms län, Sweden",4002,3148
1981,"North Miami, Florida, USA",4003,3149
1986,"Loop 150, Bastrop, Texas, USA",4004,3150
1985,"Louisville, Kentucky, USA",4005,3151
1986,"Administration Building, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA",4006,3152
1993,"Jaffa, Israel",4007,3153
1988,"Abbeville, Louisiana, USA",4008,3154
1987,"Casa Grande, Arizona, USA",4009,3155
1984,"5515 Wilshire Blvd., Hancock Park, Los Angeles, California, USA",4010,3156
1986,"Roy's Motel and Cafe, Amboy, California, USA",4011,3157
1993,"Britannia Beach, British Columbia, Canada",4012,3158
1985,"Belmonte, Cuenca, Castilla-La Mancha, Spain",4013,3159
2009,"Hardy, Arkansas, USA",4014,3160
1987,"San Pedro, Los Angeles, California, USA",4015,3161
2010,"Los Angeles, California, USA",4016,735
1989,Australia,4017,3162
1990,"Pasadena, California, USA",4018,3163
1992,"Queensland, Australia",4019,3164
1981,"Arding & Hobbs department store, 315 Lavender Hill, Clapham Junction, Clapham, London, England, UK",4020,3165
1989,"Coober Pedy, South Australia, Australia",4021,3166
1994,"Cathedral of the Transfiguration, Markham, Ontario, Canada",4022,3167
1988,,4023,578
2011,,4024,144
2005,"Glendale, California, USA",4025,765
2015,"New York City, New York, USA",4026,365
1998,"Rossmore Ave. Los Angeles, California, USA",4027,3168
1998,"Los Angeles, California, USA",4028,428
2012,"San Antonio, Texas, USA",4029,3169
1993,"Los Angeles, California, USA",4030,3170
1958 1959 1960,"Los Angeles, California, USA",4031,3171
2013,"Winston-Salem, North Carolina, USA",4032,3172
1991,"Castello di Giove, Giove, Terni, Umbria, Italy",4033,3173
2007,"Astoria, Oregon, USA",4034,3174
1989,,4035,606
1985,"Los Angeles, California, USA",4036,3175
2014,"Minneapolis, Minnesota, USA",4037,3176
1982,"March AFB, California, USA",4038,3177
1973,"Weehawken Port Imperial, Port Imperial Boulevard, Weehawken, New Jersey, USA",4039,3178
1986,"14312 Western Ave, Los Angeles, California, USA",4040,3179
1986,"Central Park, Manhattan, New York City, New York, USA",4041,3180
2013,,4042,45
1987,"Vancouver, British Columbia, Canada",4043,3181
1991,"Brooklyn, New York City, New York, USA",4044,1266
1974,"Hollywood, Los Angeles, California, USA",4045,2740
1990,"Los Angeles, California, USA",4046,1807
2005,"Castel Film Studios, Bucharest, Romania",4047,3182
1965,"Baynards Railway Station, Baynards Park, Waverley, Surrey, England, UK",4048,3183
2015,"Jacksonville, North Carolina, USA",4049,3184
2015,,4050,49
1963,"Virginia, USA",4051,3185
2014,"Whitewater, California, USA",4052,3186
1932,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",4053,1558
2013,"Liberty, New York, USA",4054,3187
1993,"Jefferson Military College - Highway 61, Washington, Mississippi, USA",4055,3188
1981,"Silver Falls State Park, Sublimity, Oregon, USA",4056,3189
1981,"Cape May, New Jersey, USA",4057,3190
1981,"Buffalo, New York, USA",4058,2547
2008,"Fayetteville High School, Fayetteville, Tennessee, USA",4059,3191
2008,"Block Island, Rhode Island, USA",4060,3192
2015,"New Orleans, Louisiana, USA",4061,1287
2003,"Seattle, Washington, USA",4062,3193
2010,"Buffalo, New York, USA",4063,3194
2006,Germany,4064,3195
2004,"Alabama, USA",4065,3196
1987,"Atlantic City, New Jersey, USA",4066,3197
1988,"Madison, Wisconsin, USA",4067,3198
1997,"Newark, New Jersey, USA",4068,3199
1988,"Alexandria, Kentucky, USA",4069,3200
2012,"Los Angeles, California, USA",4070,679
1994 1995 1996,"North Vancouver, British Columbia, Canada",4071,3201
2005,"Arcadia, California, USA",4072,3202
2013,"Chicago, Illinois, USA",4073,3203
2006,"California, USA",4074,705
2008,,4075,43
2009,"Agoura Hills, California, USA",4076,3204
1992,,4077,936
2003,"Santa Clarita, California, USA",4078,29
2008,"Albuquerque, New Mexico, USA",4079,2847
1979,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",4080,3205
2015,"Sussex, England, UK",4081,3206
2015,"Brooklyn, New York, USA",4082,3207
2012,"Chicago, Illinois, USA",4083,3208
2002,,4084,626
2007,,4085,3
2015,"Los Angeles, California, USA",4086,56
2011 2012 2013,,4087,3209
2011,"Maasai Mara National Reserve, Kenya",4088,3210
1947,"Playland at the Beach, San Francisco, California, USA",4089,3211
1950,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",4090,1683
1946,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4091,3212
1954 1955 1956,"The Castle - 325 Bunker Hill Avenue, Bunker Hill, Downtown, Los Angeles, California, USA",4092,3213
1944,,4093,3214
1946,"Laguna Beach, California, USA",4094,3215
1945,"Carl's Sunspot, PCH and Chautauqua, Los Angeles, California, USA",4095,3216
2012,Bolivia,4096,3217
2014,,4097,245
2003,"California, USA",4098,3218
2001,"City Hall - 200 N. Spring Street, Downtown, Los Angeles, California, USA",4099,3219
2014,Syria,4100,3220
1997,"Tennessee, USA",4101,3221
2002,"California, USA",4102,3222
2012,"Los Angeles, California, USA",4103,679
1995,"New York, USA",4104,3223
1977,,4105,900
2011,"Portland, Oregon, USA",4106,1881
2006,,4107,775
2012,"Los Angeles, California, USA",4108,679
1988,"Empire Stages of New York, Long Island City, Queens, New York City, New York, USA",4109,3224
1990,"Antique's Row, Tacoma, Washington, USA",4110,3225
1993,"Tennessee, USA",4111,3226
1991,"Gig Harbor, Washington, USA",4112,3227
1988,"Evanston, Illinois, USA",4113,3228
2014,,4114,245
2000,"Arlington, Washington, USA",4115,3229
2008,"San Francisco Fire Station 43, 720 Moscow Street, San Francisco, California, USA",4116,3230
1993,"Los Angeles, California, USA",4117,3170
1988,"Los Angeles, California, USA",4118,2824
2005,"Los Angeles, California, USA",4119,701
1995,"Astoria, Oregon, USA",4120,3231
2012,"Baruch College, Manhattan, New York City, New York, USA",4121,3232
1998,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",4122,2169
2009,Spain,4123,3233
2016,,4124,429
2006,"Memphis, Tennessee, USA",4125,3234
1997,"Britannia Beach, British Columbia, Canada",4126,3235
2003,"Best Western Inn - 6141 Franklin Avenue, Hollywood, Los Angeles, California, USA",4127,3236
2001,"Santa Clarita, California, USA",4128,182
1998,"New Jersey, USA",4129,1053
2003,,4130,497
2010,"Altadena, California, USA",4131,3237
2012,,4132,47
2008,"San Diego, California, USA",4133,3238
2013,"Cine Magic Studios, Brooklyn, New York City, USA",4134,3239
2004,"1136 Fifth Avenue, Manhattan, New York City, New York, USA",4135,3240
1993,"Amherst, Massachusetts, USA",4136,3241
2001,"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",4137,3242
2007,"Macclesfield, Cheshire, England, UK",4138,3243
2003,"Toronto, Ontario, Canada",4139,3244
2006,"Aberdeen, Washington, USA",4140,3245
1982,"Houston, Texas, USA",4141,3246
1988,"Overbrook, Kansas, USA",4142,3247
1978 1979 1980,"Aurora, Colorado, USA",4143,3248
1980,"Atlanta, Georgia, USA",4144,198
1993,"New York City, New York, USA",4145,2595
1980,"California, USA",4146,3249
1983,"Admiral Twin Drive-In, Tulsa, Oklahoma, USA",4147,3250
1993,"New York, USA",4148,3251
1985,"Bohemian Flats, West River Parkway, Minneapolis, Minnesota, USA",4149,3252
1988,"City Hall - 1 Dr. Carlton B. Goodlett Place, San Francisco, California, USA",4150,3253
1986,"Cloverdale, California, USA",4151,3254
1984,"5th Avenue, Manhattan, New York City, New York, USA",4152,3255
1969,"Clarksburg, West Virginia, USA",4153,3256
1985,"Bangkok, Thailand",4154,3257
1981,"American Zoetrope Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA",4155,3258
1987,"Fort Myer, Arlington, Virginia, USA",4156,3259
2000,"Copps Coliseum, Hamilton, Ontario, Canada",4157,3260
2005,"Cromwell, Indiana, USA",4158,3261
2008,,4159,43
2005,"Lone Star Studios - 12800 Foothills Boulevard, Sylmar, Los Angeles, California, USA",4160,3262
1977 1978 1979,"Belmonte, Cuenca, Castilla-La Mancha, Spain",4161,3263
2010,"Santa Clarita, California, USA",4162,3057
2015,,4163,49
1993,"Austin, Texas, USA",4164,3264
1993,"British Columbia, Canada",4165,3265
1980,"Nanuya Levu Island, Fiji",4166,3266
1996,"Songimvelo Game Reserve, Mpumalanga, South Africa",4167,3267
1997,Papua New Guinea,4168,3268
1997,"Yoho National Park, British Columbia, Canada",4169,3269
1972,"Beaufort, South Carolina, USA",4170,3270
2011,,4171,144
1986 1987 1988,"Nyon, Canton de Vaud, Switzerland",4172,3271
2015,USA,4173,2896
2014 2015 2016,"Indiana University of Pennsylvania - IUP Kovalcik Convention and Athletic Complex, Indiana, USA",4174,3272
1990,"Dover Castle, Dover, Kent, England, UK",4175,3273
1971,"Bamburgh Castle, Bamburgh, Northumberland, England, UK",4176,3274
2014,"Brooklyn, New York, USA",4177,3275
2004,"Texas, USA",4178,3276
1978,"Raymond, Alberta, Canada",4179,3277
1971,"115 East Main Street, Archer City, Texas, USA",4180,3278
2006 2007 2008,,4181,3279
2014,,4182,245
2015,,4183,49
2006,"Cité du Cinéma, Montréal, Québec, Canada",4184,3280
1971,"Ajax Studios, Bondi, New South Wales, Australia",4185,3281
2011,Philippines,4186,3282
2009,"New York City, New York, USA",4187,3283
1972,,4188,902
1982,,4189,741
2009,Australia,4190,3284
1956,UK,4191,3285
2011,,4192,144
1968,"Belsize Park, London, England, UK",4193,3286
2013,"Washington, District Of Columbia, USA",4194,3287
2011,"New York City, New York, USA",4195,854
2013,"Geneva, Canton de Genève, Switzerland",4196,3288
2011,"Manhattan, New York City, New York, USA",4197,1311
2004,"Golden Gate National Recreation Area, San Francisco, California, USA",4198,3289
1973,"Los Angeles Sports Arena - 3939 S. Figueroa Street, Exposition Park, Los Angeles, California, USA",4199,3290
1986,"135 Liberty Steet, Toronto, Ontario, Canada",4200,3291
1982,"California, USA",4201,1282
2006,"California, USA",4202,705
1971,"One Maritime Plaza, Financial District, San Francisco, California, USA",4203,3292
2015,"Los Angeles, California, USA",4204,56
2011,,4205,144
2003,"Dole Plantation - 64-1550 Kamehameha Highway, Wahiawa, O'ahu, Hawaii, USA",4206,3293
2002,"Barrandov Studios, Prague, Czech Republic",4207,1755
2002,"Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",4208,3294
2002,"Gimli, Manitoba, Canada",4209,3295
2001,"Koliba Studios, Bratislava, Slovakia",4210,3296
1995,"Burbank City Hall - 275 E. Olive Ave, Burbank, California, USA",4211,3297
2005,"Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK",4212,3298
2013,"Braddock, Pennsylvania, USA",4213,3299
2000,"Boston Club - 4 Front Street East, Toronto, Ontario, Canada",4214,3300
2010,"Albuquerque Studios - 5650 University Boulevard SE, Albuquerque, New Mexico, USA",4215,2196
1993,"Park Place Office Campus - 3345 Michelson Drive, Irvine, California, USA",4216,3301
2010,Jamaica,4217,3302
2013,"Boston, Massachusetts, USA",4218,2308
1971,"55 Jane Street, New York City, New York, USA",4219,3303
1996,"Canary Restaurant, Toronto, Ontario, Canada",4220,3304
1997,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",4221,3305
2000,"Fox Animation Studios - 2747 E. Camelback Road, Phoenix, Arizona, USA",4222,3306
2004,"Burnaby, British Columbia, Canada",4223,3307
2012 2013 2014,"Montreal, Québec, Canada",4224,3308
2003,"Esplanade Mall - 1401 West Esplanade, Kenner, Louisiana, USA",4225,3309
1997,"Marble House - 596 Bellevue Avenue, Newport, Rhode Island, USA",4226,3310
1996,"Bergen County, New Jersey, USA",4227,3311
2006,"Chino Hills, California, USA",4228,3312
2003,"Austin Studios - 1901 E. 51st Street, Austin, Texas, USA",4229,3313
2009,"Albuquerque Studios - 5650 University Boulevard SE, Albuquerque, New Mexico, USA",4230,1226
1997,"Carolco Studios, Wilmington, North Carolina, USA",4231,3314
2010,"Toronto Reference Library, 789 Yonge Street, Toronto, Ontario, Canada",4232,3315
1998,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",4233,3316
2004 2005 2006,"San Gabriel Canyon Road & Old San Gabriel Canyon Rd, Azusa, California, USA",4234,3317
1936,"Grand National Studios - 7250 Santa Monica Boulevard, Hollywood, Los Angeles, California, USA",4235,3318
2002,"La Verne, California, USA",4236,3319
2011 2012 2013,"Los Angeles, California, USA",4237,3320
1976,"Bavaria, Germany",4238,3321
1978,"Okaloosa Island, Florida, USA",4239,3322
2000,,4240,140
2011,,4241,144
2009,"Albuquerque BioPark Aquarium - 2601 Central Avenue NW, Albuquerque, New Mexico, USA",4242,3323
1968,"Potrero Valley, Thousand Oaks, California, USA",4243,3324
1978,"Kölnbrein Dam, Austria",4244,3325
1982,"Hurley Mountain Inn, Hurley, New York, USA",4245,3326
1971,"The West of England, England, UK",4246,3327
1970,"Alberta, Canada",4247,3328
1974,"Miami Beach, Florida, USA",4248,3329
1975,"55 East 77th Street, New York City, USA",4249,3330
1975,"Marseille, Bouches-du-Rhône, France",4250,3331
1998,"Santa Clarita, California, USA",4251,1660
2004,"Calcutta, West Bengal, India",4252,3332
2007,"Yakubi, Afghanistan",4253,3333
2006,"Alexandria Hotel - 501 S. Spring Street, Downtown, Los Angeles, California, USA",4254,3334
2009,,4255,126
2003,"State University of New York at Albany, Albany, New York, USA",4256,3335
2008,"Newtown, Connecticut, USA",4257,3336
1972,"21 Street and 2nd Avenue, Manhattan, New York City, New York, USA",4258,3337
2007,,4259,3
1933,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",4260,3338
1986,"Fall Creek Falls State Park - 2009 Village Camp Road, Pikeville, Tennessee, USA",4261,3339
2007,,4262,3
1953,"Brooklyn Bridge, New York City, New York, USA",4263,3340
2006,"Old Library, Trinity College, Dublin, County Dublin, Ireland",4264,3341
1949,"Thousand Oaks, California, USA",4265,3342
2006,"Golden Gate Bridge, San Francisco, California, USA",4266,3343
1939,"Castle, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4267,3344
1991,"Orlando, Florida, USA",4268,3345
1999,"Germantown, Wisconsin, USA",4269,3346
1972,"RMS Queen Mary - 1126 Queens Highway, Long Beach, California, USA",4270,3347
2014,"Minnesota, USA",4271,3348
2011,,4272,144
1940,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4273,1563
1940,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4274,1563
1944,"Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4275,3349
1944,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4276,1564
1942,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4277,1567
1945,"RKO Ranch, San Fernando Valley, Los Angeles, California, USA",4278,3350
1936,"Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4279,3351
1935,"Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4280,3352
1932,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",4281,3353
1932,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4282,1565
1934,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4283,3354
1946,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",4284,3212
1920,"Tilford Studio - 344 West 44th Street, Manhattan, New York City, New York, USA",4285,3355
2015,"Huntington Beach, California, USA",4286,3356
1941,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",4287,96
2015,,4288,49
2015,"Los Angeles, California, USA",4289,56
2007,"New York City, New York, USA",4290,3357
2004,"New York, USA",4291,3358
2004,"Bearsville, New York, USA",4292,3359
2002,"New York City, New York, USA",4293,1064
2006,"Los Angeles, California, USA",4294,337
2007,"New York City, New York, USA",4295,3357
2013,"Spokane, Washington, USA",4296,3360
2012,"Saguaro National Park, Tucson, Arizona, USA",4297,3361
2012,"New Jersey, USA",4298,681
2006 2007 2008,"Alexandra Park, Haringey, London, England, UK",4299,3362
2008,"Memphis, Tennessee, USA",4300,3363
2009,"Columbia Street, New Westminster, British Columbia, Canada",4301,3364
2011,"Pont Pierre Laporte, Québec, Québec, Canada",4302,3365
2008,"218 Rim Drive, Washougal, Columbia River Gorge, Washington, USA",4303,3366
2010,"Forest Hills, Queens, New York City, New York, USA",4304,3367
2012,"Quiraing, Skye, Highland, Scotland, UK",4305,3368
