MeasureName,Score,original_index,unique_index,count
heart failure patients given smoking cessation advice/counseling,100%,726,18,26
pneumonia patients assessed and given pneumococcal vaccination,100%,727,212,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,728,120,8
pneumonia patients given smoking cessation advice/counseling,100%,729,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,730,162,4
pneumonia patients given the most appropriate initial antibiotic(s),98%,731,360,1
pneumonia patients assessed and given influenza vaccination,98%,732,163,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,99%,733,361,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,734,73,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,735,34,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98%,736,166,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,737,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,738,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,739,77,4
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,95%,740,362,1
heart attack patients given aspirin at arrival,100%,741,114,12
heart attack patients given aspirin at discharge,60%,742,41,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,743,42,15
heart attack patients given smoking cessation advice/counseling,empty,744,43,16
heart attack patients given beta blocker at discharge,100%,745,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,746,13,32
heart attack patients given pci within 90 minutes of arrival,empty,747,14,25
heart failure patients given discharge instructions,100%,748,172,5
heart failure patients given an evaluation of left ventricular systolic (lvs) function,91%,749,363,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),86%,750,364,1
heart failure patients given smoking cessation advice/counseling,100%,751,18,26
pneumonia patients assessed and given pneumococcal vaccination,100%,752,212,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,753,27,3
pneumonia patients given smoking cessation advice/counseling,100%,754,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,755,136,7
pneumonia patients given the most appropriate initial antibiotic(s),75%,756,365,1
pneumonia patients assessed and given influenza vaccination,92%,757,178,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,89%,758,190,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,759,150,3
surgery patients who were given the  right kind  of antibiotic to help prevent infection,88%,760,366,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),99%,761,216,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,762,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,763,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,80%,764,367,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,80%,765,368,1
children who received reliever medication while hospitalized for asthma,100%,766,369,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,767,73,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,768,55,4
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),x3%,769,370,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,770,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,771,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,90%,772,182,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,89%,773,371,1
children who received reliever medication while hospitalized for asthma,100%,774,369,2
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,98%,775,372,1
children and their caregivers who received a home management plan of care document while hospitalized for asthma,14%,776,373,1
heart attack patients given aspirin at arrival,98%,777,19,5
heart attack patients given aspirin at discharge,100%,778,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,779,374,1
heart attack patients given smoking cessation advice/counseling,100%,780,11,21
heart attack patients given beta blocker at discharge,100%,781,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,782,13,32
heart attack patients given pci within 90 minutes of arrival,82%,783,375,1
heart failure patients given discharge instructions,72%,784,376,1
heaxt failuxe patients given an evaluation of left ventxiculax systolic (lvs) function,95%,785,377,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98%,786,145,2
heart failure patients given smoking cessation advice/counseling,100%,787,18,26
pneumonia patients assessed and given pneumococcal vaccination,96%,788,378,3
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,99%,789,260,3
pneumonia patients given smoking cessation advice/counseling,97%,790,49,3
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,93%,791,379,1
pneumonia patients given the most appropriate initial antibiotic(s),89%,792,380,2
pneumonia patients assessed and given influenza vaccination,89%,793,381,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,90%,794,382,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,95%,795,383,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,796,74,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,797,93,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,95%,798,291,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),99%,799,384,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,93%,800,385,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90%,801,183,3
heart attack patxents gxven aspxrxn at arrxval,94%,802,386,1
heart attack patients given aspirin at discharge,99%,803,20,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),89%,804,387,1
heart attack patients given smoking cessation advice/counseling,100%,805,11,21
heart attack patients given beta blocker at discharge,95%,806,156,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,68%,807,388,1
heart attack patients given pci within 90 minutes of arrival,83%,808,186,2
heart failure patients given discharge instructions,47%,809,389,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,810,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,811,390,1
heart failure patients given smoking cessation advice/counseling,100%,812,18,26
pneumonia patients assessed and given pneumococcal vaccination,96%,813,378,3
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,814,146,3
pneumonia patients given smoking cessation advice/counseling,100%,815,69,20
pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,94%,816,391,1
pneumonia patients given the most appropriate initial antibiotic(s),89%,817,380,2
pneumonia patients assessed and given influenza vaccination,96%,818,392,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,91%,819,393,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,820,191,3
surgery patients who were given the  right kind  of antibiotic to help prevent infection,97%,821,290,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),90%,822,394,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,94%,823,256,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,824,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,825,77,4
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,87%,826,221,3
heart attack patients given aspirin at arrival,100%,827,114,12
heart attack patients given aspirin at discharge,100%,828,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,829,42,15
heart attack patients given smoking cessation advice/counseling,empty,830,43,16
heart attack patients given beta blocker at discharge,100%,831,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,832,13,32
heart attack patients given pci within 90 minutes of arrival,empty,833,14,25
heart failure patients given discharge instructions,84%,834,395,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,89%,835,396,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,836,101,2
heart failure patients given smoking cessation advice/counseling,100%,837,18,26
pneumonia patients assessed and given pneumococcal vaccination,89%,838,259,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,92%,839,342,2
pneumonia patients given smoking cessation advice/counseling,94%,840,135,3
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,841,261,4
pneumonia patients given the most appropriate initial antibiotic(s),95%,842,254,2
pneumonia patients assessed and given influenza vaccination,81%,843,52,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,50%,844,397,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,845,109,6
surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,846,110,6
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,847,111,4
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,848,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,849,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,850,6,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,851,7,5
heart attack patients given aspirin at arrival,67%,852,398,1
heart attack patients given aspirin at discharge,67%,853,330,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,854,42,15
heart attack patients given smoking cessation advice/counseling,empty,855,43,16
heart attack patients given beta blocker at discharge,33%,856,399,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,857,13,32
heart attack patients given pci within 90 minutes of arrival,empty,858,14,25
heart failure patients given discharge instructions,74%,859,400,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,80x,860,401,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,861,133,2
heart failure patients given smoking cessation advice/counseling,80%,862,402,1
pneumonia patients assessed and given pneumococcal vaccination,96%,863,378,3
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,99%,864,260,3
pneumonia patients given smoking cessation advice/counseling,90%,865,353,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,866,261,4
pneumonia patients given the most appropriate initial antibiotic(s),76%,867,403,2
pneumonia patients assessed and given influenza vaccination,91%,868,211,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,869,124,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,80%,870,404,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,87%,871,405,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),87%,872,346,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,873,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,874,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,875,112,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,876,113,6
heart attack patients given aspirin at arrival,100%,877,114,12
heart attack patients given aspirin at discharge,100%,878,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0%,879,406,1
heart attack patients given smoking cessation advice/counseling,100%,880,11,21
heart attack patients given beta blocker at discharge,82%,881,407,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,882,13,32
heart attack patients given pci within 90 minutes of arrival,empty,883,14,25
heart failure patients given discharge instructions,87%,884,210,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,94%,885,238,3
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),89%,886,408,1
heart failure patients given smoking cessation advice/counseling,100%,887,18,26
pneumonia patients assessed and given pneumococcal vaccination,x5%,888,409,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,889,120,8
pneumonia patients given smoking cessation advice/counseling,100%,890,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,891,136,7
pneumonia patients given the most appropriate initial antibiotic(s),87%,892,410,1
pneumonia patients assessed and given influenza vaxxination,87%,893,411,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,894,179,6
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,895,1,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,896,2,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,897,3,5
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,898,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,899,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,900,112,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,901,113,6
childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,100%,902,412,1
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,100%,903,205,2
children and their caregivers who received a home management plan of care document while hospitalized for asthma,100%,904,413,1
heart attack patients given aspirin at arrival,100%,905,114,12
heart attack patients given aspirin at discharge,100%,906,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,907,42,15
heart attack patients given smoking cessation advice/counseling,100%,908,11,21
heart attack patients given beta blocker at discharge,100%,909,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,88%,910,414,1
heart attack patients given pci within 90 minutes of arrival,100%,911,415,1
heart failure patients given discharge instructions,100%,912,172,5
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,913,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,914,118,7
hearx failure paxienxs given smoking cessaxion advice/counseling,100%,915,416,1
pneumonia patients assessed and given pneumococcal vaccination,99%,916,417,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,97%,917,48,3
pneumonia patients given smoking cessation advice/counseling,100%,918,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,87%,919,418,1
pneumonia patients given the most appropriate initial antibiotic(s),76%,920,403,2
pneumonia patients assessed and given influenza vaccination,99%,921,215,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,95%,922,419,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,95%,923,383,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,95%,924,345,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),79%,925,318,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,76%,926,347,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,927,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,91%,928,420,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,84%,929,140,2
heart attack patients given aspirin at arrival,53%,930,421,1
heart attack patients given aspirin at discharge,50%,931,80,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,932,42,15
heart attack patients given smoking cessation advice/counseling,33%,933,422,1
heart attack patients given beta blocker at discharge,60%,934,423,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,935,13,32
heart attack patients given pci within 90 minutes of arrival,empty,936,14,25
heart failure patients given discharge instructions,53%,937,424,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,63%,938,425,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),67%,939,426,1
heart failure patients given smoking cessation advice/counseling,75%,940,427,1
pneumonia patients assessed and given pneumococcal vaccination,90%,941,67,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,50%,942,428,1
pneumonia patients given smoking cessation advice/counseling,80%,943,429,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,944,136,7
pneumonia patients given the most appropriate initial antibiotic(s),50%,945,430,1
pneumonia patients assessed and given influenza vaccination,65%,946,431,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,947,179,6
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,948,1,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,949,2,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,950,3,5
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,951,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,952,5,4
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,953,6,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,954,7,5
heart attack patients given aspirin at arrival,100%,955,114,12
heart attack patients given aspirin at discharge,100%,956,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,957,81,8
heart attack patients given smoking cessation advice/counseling,empty,958,43,16
heart attack patients given beta blocker at discharge,100%,959,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,960,13,32
heart attack patients given pci within 90 minutes of arrival,empty,961,14,25
heart failure patients given discharge instructions,96%,962,237,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,963,16,6
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,964,118,7
heart failure patients given smoking cessation advice/counseling,100%,965,18,26
pneumonia patients assessed and given pneumococcal vaccination,100%,966,212,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,98%,967,225,2
pneumonia patients given smoking cessation advice/counseling,100%,968,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,969,162,4
pneumonia patients given the most appropriate initial antibiotic(s),99%,970,214,2
pneumonia patients assessed and given influenza vaccination,100%,971,321,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,972,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,973,73,5
surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,974,110,6
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,975,111,4
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,976,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,977,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,978,112,5
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,979,113,6
heart attack patients given aspirin at arrival,100%,980,114,12
heart attack patients given aspirin at discharge,100%,981,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,982,42,15
heart attack patients given smoking cessation advice/counseling,empty,983,43,16
heart attack patients given beta blocker at discharge,100%,984,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,985,13,32
heart attack patients given pci within 90 minutes of arrival,empty,986,14,25
heart failure patients given discharge instructions,50%,987,432,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,85%,988,433,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,989,118,7
heart failure patients given smoking cessation advice/counseling,43%,990,434,1
pneumonia patients assessed and given pneumococcal vaccination,74%,991,341,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,83%,992,435,1
pneumonia patients given smoking cessation advice/counseling,83%,993,436,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,98%,994,261,4
pneumonia patients given the most appropriate initial antibiotic(s),77%,995,437,1
pneumonia patients assessed and given influenza vaccination,64%,996,438,1
surgery pxtients who were txking hexrt drugs cxlled betx blockers before coming to the hospitxl who were kept on the betx blockers during the period just before xnd xfter their surgery,25%,997,439,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,64%,998,440,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,88%,999,366,2
