beer-name,style,original_index,unique_index
Longboard Island Lager,American Amber / Red Lager,1183,1145
Longboard Island Lager,American Amber / Red Lager,1184,1145
Choc Beer (2003),American Dark Wheat Ale,1185,1146
Bellingham Beer Week 2013 Collaboration,Belgian Strong Dark Ale,1186,1147
A Slice of Hefen,Hefeweizen,1187,1148
Elevated IPA,American IPA,1188,1149
Rumspringa Golden Bock,Maibock / Helles Bock,1189,1150
Lancaster German Style Kölsch,Kölsch,1190,1151
Beach Cruiser,Hefeweizen,1191,1152
I.P. Eh!,American IPA,1192,1153
Schoolhouse Honey,American Amber / Red Ale,1193,1154
10 Degrees of Separation,English Brown Ale,1194,1155
Laughing Dog Cream Ale,Cream Ale,1195,1156
Two-One Niner,American Pilsner,1196,1157
Laughing Dog IPA,American IPA,1197,1158
Madra Allta,American IPA,1198,1159
Duluchan India Pale Ale,American IPA,1199,1160
Lazy Monk Bohemian Pilsner,Czech Pilsener,1200,1161
Yellowstone Golden Ale,Kölsch,1201,1162
Tumbleweed IPA,American IPA,1202,1163
Lewis & Clark Amber Ale,American Amber / Red Ale,1203,1164
Miner's Gold Hefeweizen,Hefeweizen,1204,1165
Back Country Scottish Ale,Scottish Ale,1205,1166
Getaway,German Pilsener,1206,1167
Farm Girl Saison,Saison / Farmhouse Ale,1207,1168
Adam's Stout,American Stout,1208,1169
American Hero,American Amber / Red Ale,1209,1170
Schweet Ale,Fruit / Vegetable Beer,1210,1171
Irregardless IPA,American IPA,1211,1172
Peach Pale Ale,American Pale Ale (APA),1212,1173
Deadeye Jack,American Porter,1213,1174
Pistols at Dawn,American Stout,1214,1175
Peacemaker Pale Ale,American Pale Ale (APA),1215,1176
Shotgun Betty,Hefeweizen,1216,1177
Sweet Josie,American Brown Ale,1217,1178
Long Trail IPA,English India Pale Ale (IPA),1218,1179
Long Trail Ale,American Amber / Red Ale,1219,1180
Double Bag,Altbier,1220,1181
Blackbeary Wheat,Fruit / Vegetable Beer,1221,1182
Long Trail Ale (1),Altbier,1222,1183
Gose,Gose,1223,1184
Vermont Pilsner,German Pilsener,1224,1185
Mosaic Single Hop IPA,American IPA,1225,1186
Lost Galaxy,American IPA,1226,1187
Face Plant IPA,American IPA,1227,1188
Rhino Chasers Pilsner,Czech Pilsener,1228,1189
Slow Hand Stout,American Stout,1229,1190
Hips Don't Lie,Hefeweizen,1230,1191
Ride Again Pale Ale,American Pale Ale (APA),1231,1192
The Farmer's Daughter,American Blonde Ale,1232,1193
Pub Ale,English Dark Mild Ale,1233,1194
Ballistic Blonde,Belgian Pale Ale,1234,1195
Knotty Pine,American Pale Ale (APA),1235,1196
Lumberyard Pilsner,American Pilsner,1236,1197
Lumberyard IPA,American IPA,1237,1198
Lumberyard Red Ale,American Amber / Red Ale,1238,1199
Mac's Highlander Pale Ale (2000),American Pale Ale (APA),1239,1200
Mac's Scottish Style Amber Ale (2000),American Amber / Red Ale,1240,1201
Macon Progress Ale,American Pale Ale (APA),1241,1202
Macon History Ale,American Brown Ale,1242,1203
Galaxy High,American Double / Imperial IPA,1243,1204
Sol Drifter,American Blonde Ale,1244,1205
Thunder Snow,Winter Warmer,1245,1206
The Great Pumpcan,Fruit / Vegetable Beer,1246,1207
LIFT,Kölsch,1247,1208
SPRYE,American Pale Ale (APA),1248,1209
Psychopathy,American IPA,1249,1210
Gnarly Brown,American Brown Ale,1250,1211
Happy Amber,American Amber / Red Ale,1251,1212
#9,Fruit / Vegetable Beer,1252,1213
Elder Betty,Hefeweizen,1253,1214
#9,Fruit / Vegetable Beer,1254,1213
High Country Pilsner (Current),German Pilsener,1255,1215
Epic IPA,American IPA,1256,1216
Golden Trout Pilsner,German Pilsener,1257,1217
Real McCoy Amber Ale (Current),American Amber / Red Ale,1258,1218
Festivus (1),Winter Warmer,1259,1219
Manayunk Oktoberfest,Märzen / Oktoberfest,1260,1220
Belgian Style Session Ale,Belgian Pale Ale,1261,1221
Manayunk IPA,American IPA,1262,1222
Yunkin' Punkin',Pumpkin Ale,1263,1223
Summer Paradise,American Pale Wheat Ale,1264,1224
Monk from the 'Yunk,Tripel,1265,1225
Schuylkill Punch,Fruit / Vegetable Beer,1266,1226
Dreamin' Double IPA,American Double / Imperial IPA,1267,1227
Chaotic Double IPA,American Double / Imperial IPA,1268,1228
Manzanita IPA,American IPA,1269,1229
Riverwalk Blonde Ale,American Blonde Ale,1270,1230
Gillespie Brown Ale,American Brown Ale,1271,1231
Manzanita Pale Ale,American Pale Ale (APA),1272,1232
Marble Pilsner,German Pilsener,1273,1233
Marble India Pale Ale,American IPA,1274,1234
Toughcats IPA,American IPA,1275,1235
Tug Pale Ale,American Pale Ale (APA),1276,1236
Sexy Chaos,Russian Imperial Stout,1277,1237
Ace Hole American Pale Ale,American Pale Ale (APA),1278,1238
Cant Dog Imperial Pale Ale,American Double / Imperial IPA,1279,1239
River House,Saison / Farmhouse Ale,1280,1240
Pretzel Stout,American Stout,1281,1241
Rubberneck Red,American Amber / Red Ale,1282,1242
The Imperial Texan,American Double / Imperial IPA,1283,1243
The Imperial Texan,American Double / Imperial IPA,1284,1243
Day Break 4-Grain Breakfast Beer,Rye Beer,1285,1244
River House Saison,Saison / Farmhouse Ale,1286,1245
There Will Be Stout,American Stout,1287,1246
Our Legacy IPA,American IPA,1288,1247
Saranac Shandy,Shandy,1289,1248
Our Legacy IPA,American IPA,1290,1247
Saranac Golden Pilsener (2003),German Pilsener,1291,1249
Saranac Adirondack Light (2002),Light Lager,1292,1250
DAX Light (1998),Light Lager,1293,1251
Saranac Traditional Lager (2000),American Pale Lager,1294,1252
Pomegranate Wheat (2008),Fruit / Vegetable Beer,1295,1253
Blueberry Blonde Ale,American Blonde Ale,1296,1254
Saranac White IPA,American IPA,1297,1255
Saranac Summer Ale (2011),American Pale Wheat Ale,1298,1256
Saranac Pale Ale (12 oz.),English Pale Ale,1299,1257
Saranac Pale Ale (16 oz.),English Pale Ale,1300,1258
Lahaina Town Brown,American Brown Ale,1301,1259
Pau Hana Pilsner,Czech Pilsener,1302,1260
Lemongrass Saison,Saison / Farmhouse Ale,1303,1261
Aloha B’ak’tun,Belgian Strong Dark Ale,1304,1262
Liquid Breadfruit,Fruit / Vegetable Beer,1305,1263
Sobrehumano Palena'ole,American Amber / Red Ale,1306,1264
La Perouse White,Witbier,1307,1265
Flyin' HI.P.Hay,American IPA,1308,1266
Mana Wheat,American Pale Wheat Ale,1309,1267
Bikini Blonde Lager,Munich Helles Lager,1310,1268
CoCoNut Porter,American Porter,1311,1269
Big Swell IPA,American IPA,1312,1270
Pit Stop Chocolate Porter,American Porter,1313,1271
Pace Setter Belgian Style Wit,Witbier,1314,1272
Back in the Saddle Rye Pale Ale,American Pale Ale (APA),1315,1273
Bushwhacker Cider,Cider,1316,1274
Weim-R-Iner,Cider,1317,1275
Cherry Bomb,Cider,1318,1276
Tsunami IPA,American IPA,1319,1277
Tsunami IPA,American IPA,1320,1277
Humpback Blonde Ale,American Blonde Ale,1321,1278
Hawaiian Crow Porter,American Porter,1322,1279
Volcano Red Ale,American Amber / Red Ale,1323,1280
Mauna Kea Pale Ale,American Pale Ale (APA),1324,1281
Shark Bait,Fruit / Vegetable Beer,1325,1282
Gator Tail Brown Ale,American Brown Ale,1326,1283
Miami Vice IPA,American IPA,1327,1284
Big Rod Coconut Ale,American Blonde Ale,1328,1285
Mickey Finn's Amber Ale,American Amber / Red Ale,1329,1286
Pleasure Town,American IPA,1330,1287
Pleasure Town IPA,American IPA,1331,1288
Snowshoe White Ale,Witbier,1332,1289
Kodiak Brown Ale,American Brown Ale,1333,1290
Sockeye Red IPA,American IPA,1334,1291
Habitus (2014),American Double / Imperial IPA,1335,1292
Solis,American IPA,1336,1293
Jucundus,Wheat Ale,1337,1294
Habitus,American Double / Imperial IPA,1338,1295
Grazias,Cream Ale,1339,1019
Claritas,Kölsch,1340,1296
Vinyl Frontier,American Double / Imperial IPA,1341,1297
Disco Superfly,American IPA,1342,1298
Misty Mountain Hop,American IPA,1343,1299
One-Hit Wonderful,Belgian IPA,1344,1300
En Parfaite Harmonie,Saison / Farmhouse Ale,1345,1301
Daft Funk,Berliner Weissbier,1346,1302
Love In An Ellavator,American IPA,1347,1303
Spin Doctor,American Pale Ale (APA),1348,1304
Keeper (Current),American Pilsner,1349,1305
Better Half,American IPA,1350,1306
SNO White Ale,Witbier,1351,1307
BRIK Irish Red Ale,Irish Red Ale,1352,1308
AXL Pale Ale,American Pale Ale (APA),1353,1309
Hop Freak,American Double / Imperial IPA,1354,1310
Louie's Demise Amber Ale,American Amber / Red Ale,1355,1311
Hop Happy,American IPA,1356,1312
Booyah Farmhouse Ale,Saison / Farmhouse Ale,1357,1313
O-Gii,Witbier,1358,1314
Flaming Damsel Lager (2010),Vienna Lager,1359,1315
Louie’s Demise Immort-Ale (2010),American Amber / Red Ale,1360,1316
Axe Head Malt Liquor,American Malt Liquor,1361,1317
Huber Bock (2014),Bock,1362,1318
Minhas Light (2012),Light Lager,1363,1319
Huber,American Pale Lager,1364,1320
Clear Creek Ice,American Pale Lager,1365,1321
Clear Creek Ice,American Pale Lager,1366,1321
Mountain Crest,American Pale Lager,1367,1322
Mountain Crest,American Pale Lager,1368,1322
Mountain Creek (2013),American Pale Lager,1369,1323
Boxer,American Adjunct Lager,1370,1324
Boxer Light,Light Lager,1371,1325
Boxer Ice,American Adjunct Lager,1372,1326
Boxer,American Adjunct Lager,1373,1324
Cortez Gold,Belgian Pale Ale,1374,1327
Mission IPA,American IPA,1375,1328
El Conquistador Extra Pale Ale,American Pale Ale (APA),1376,1329
Shipwrecked Double IPA,American Double / Imperial IPA,1377,1330
Squeaky Bike Nut Brown Ale,American Brown Ale,1378,1331
Dead Horse Amber,American Pale Wheat Ale,1379,1332
Rocket Bike American Lager,California Common / Steam Beer,1380,1333
Johnny's American IPA,American IPA,1381,1334
Boneshaker Brown Ale,English Brown Ale,1382,1335
Iron Mike Pale Ale,American Pale Ale (APA),1383,1336
Monkadelic,American Pale Ale (APA),1384,1337
City of the Sun,American IPA,1385,1338
Booming Rollers,American IPA,1386,1339
Oneida,American Pale Ale (APA),1387,1340
Aurora,American Amber / Red Ale,1388,1341
Lomaland,Saison / Farmhouse Ale,1389,1342
Fortunate Islands,American Pale Wheat Ale,1390,1343
Black House,American Stout,1391,1344
Blazing World,American Amber / Red Ale,1392,1345
Wapiti Amber Ale,American Amber / Red Ale,1393,1346
Sweet Georgia Brown,American Brown Ale,1394,1347
Rich Man's IIPA,American Double / Imperial IPA,1395,1348
Monkey Paw Oatmeal Pale Ale,American Pale Ale (APA),1396,1349
Montauk Summer Ale,American Blonde Ale,1397,1350
Driftwood Ale,Extra Special / Strong Bitter (ESB),1398,1351
When Helles Freezes Over,Munich Helles Lager,1399,1352
Morgan Street Oktoberfest,Märzen / Oktoberfest,1400,1353
Honey Wheat,American Pale Wheat Ale,1401,1354
Black Bear Dark Lager,Schwarzbier,1402,1355
Golden Pilsner,German Pilsener,1403,1356
Cali Creamin',Cream Ale,1404,1357
Second Wind Pale Ale,American Pale Ale (APA),1405,1358
Sunny Haze,Hefeweizen,1406,1359
Towhead,American Blonde Ale,1407,1360
Lil' Helper,American IPA,1408,1361
Train Wreck,American Amber / Red Ale,1409,1362
Full Moon Belgian White Ale,Witbier,1410,1363
Desert Magic IPA,American IPA,1411,1364
Up River Light,Light Lager,1412,1365
Full Moon Belgian White Ale (2007),Witbier,1413,1366
Dry Heat Hefeweizen (2006),Hefeweizen,1414,1367
Mustang Sixty-Six,American Amber / Red Lager,1415,1368
Mustang '33,American Pale Lager,1416,1369
Session '33 (2011),American Pale Lager,1417,1370
Mustang Golden Ale,American Blonde Ale,1418,1371
Washita Wheat,American Pale Wheat Ale,1419,1372
Gansett Light,Light Lager,1420,1373
Bohemian Pils,American Pilsner,1421,1374
Autocrat Coffee Milk Stout,Milk / Sweet Stout,1422,1375
Narragansett Bohemian Pilsner,German Pilsener,1423,1376
Narragansett Summer Ale,American Pale Wheat Ale,1424,1377
Narragansett Cream Ale,Cream Ale,1425,1378
Narragansett Summer Ale,American Pale Wheat Ale,1426,1377
Narragansett Porter,American Porter,1427,1379
Narragansett Bock,Bock,1428,1380
Narragansett Fest Lager,Märzen / Oktoberfest,1429,1381
Undun Blonde Ale,American Blonde Ale,1430,1382
CuDa Cascadian Dark Ale,American Black Ale,1431,1383
Old Grogham Imperial India Pale Ale,American Double / Imperial IPA,1432,1384
Old Grogham Imperial India Pale Ale (2012),American Double / Imperial IPA,1433,1385
CuDa Cascadian Dark Ale (2012),American Black Ale,1434,1386
Undun Blonde Ale (2012),American Blonde Ale,1435,1387
Wick For Brains,Pumpkin Ale,1436,1388
Nebraska India Pale Ale,American IPA,1437,1389
EOS Hefeweizen,Hefeweizen,1438,1390
Brunette Nut Brown Ale,English Brown Ale,1439,1391
Cardinal Pale Ale,American Pale Ale (APA),1440,1392
County Line IPA,American IPA,1441,1393
Trauger Pilsner,German Pilsener,1442,1394
Slow Ride,American IPA,1443,1395
Ranger IPA,American IPA,1444,1396
Shift,American Pale Lager,1445,1397
1554 Black Lager,Euro Dark Lager,1446,1398
Blue Paddle,Czech Pilsener,1447,1399
California Route,American Amber / Red Lager,1448,1400
Snapshot,American Pale Wheat Ale,1449,1401
Sunshine Wheat Beer,American Pale Wheat Ale,1450,1402
Fat Tire Amber Ale,American Amber / Red Ale,1451,1403
Shift (1),American Pale Lager,1452,1404
Fat Tire Amber Ale (2011),American Amber / Red Ale,1453,1405
Shift,American Pale Lager,1454,1397
Ranger IPA,American IPA,1455,1396
Fat Tire Amber Ale,American Amber / Red Ale,1456,1403
Ranger IPA (Current),American IPA,1457,1406
Sunshine Wheat Beer (2009),American Pale Wheat Ale,1458,1407
Fat Tire Amber Ale (2008),American Amber / Red Ale,1459,1408
Weiss Trash Culture,Berliner Weissbier,1460,1409
Sea Hag IPA,American IPA,1461,1410
Elm City Pilsner,American Pilsner,1462,1411
Atlantic Amber Ale (2004),American Amber / Red Ale,1463,1412
668 Neighbor of the Beast12 oz.,Belgian Pale Ale,1464,1413
Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,1465,1414
668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,1466,1415
Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,1467,1416
Elm City Lager (2007),American Pilsner,1468,1417
Atlantic Amber Ale (2007),American Amber / Red Ale,1469,1418
Sea Hag IPA (Current),American IPA,1470,1419
Rebirth Pale Ale,American Pale Ale (APA),1471,1420
Irish Channel Stout,American Stout,1472,1421
MechaHopzilla,American Double / Imperial IPA,1473,1422
Hopitoulas IPA,American IPA,1474,1423
NOLA Brown Ale,English Dark Mild Ale,1475,1424
NOLA Blonde Ale,American Blonde Ale,1476,1425
Skylight,Dunkelweizen,1477,1426
Kadigan,American Blonde Ale,1478,1427
Dammit Jim!,American Amber / Red Ale,1479,1428
Nut Brown Ale,English Brown Ale,1480,1429
White Ale,Witbier,1481,1430
Cream Ale,Cream Ale,1482,1431
Green Head IPA,American IPA,1483,1432
Plum Island Belgian White,Witbier,1484,1433
Newburyport Pale Ale,American Pale Ale (APA),1485,1434
Marblehead,American Amber / Red Ale,1486,1435
Jam Session,American Pale Ale (APA),1487,1436
Hop Drop 'N Roll IPA,American IPA,1488,1437
Paleo IPA,English India Pale Ale (IPA),1489,1438
Buck Snort Stout,American Stout,1490,1439
Station 33 Firehouse Red,Irish Red Ale,1491,1440
Slimy Pebble Pils,German Pilsener,1492,1441
Get Together,American IPA,1493,1442
Maggie's Leap,Milk / Sweet Stout,1494,1443
Wall's End,English Brown Ale,1495,1444
Pumpion,Pumpkin Ale,1496,1445
Stronghold,American Porter,1497,1446
Parapet ESB,Extra Special / Strong Bitter (ESB),1498,1447
Blue Boots IPA,American IPA,1499,1448
Hoppy Bitch IPA,American IPA,1500,1449
Three Skulls Ale Pale Ale,American Pale Ale (APA),1501,1450
Walter's Premium Pilsener Beer,German Pilsener,1502,1451
Floppin' Crappie,American Pale Wheat Ale,1503,1452
Left of the Dial IPA,American IPA,1504,1453
Notch Session Pils,Czech Pilsener,1505,1454
O'Fallon Pumpkin Beer,Pumpkin Ale,1506,1455
5 Day IPA,American IPA,1507,1456
O'Fallon Wheach,Fruit / Vegetable Beer,1508,1457
Watershed IPA,American IPA,1509,1458
Oakshire Amber Ale,American Amber / Red Ale,1510,1459
Overcast Espresso Stout,American Stout,1511,1460
Watershed IPA (2013),American IPA,1512,1461
Lake Monster,Baltic Porter,1513,1462
London Homesick Ale,English Bitter,1514,1463
Luchesa Lager,Keller Bier / Zwickel Bier,1515,1464
Slow Ride,American Pale Ale (APA),1516,1465
Occidental Hefeweizen,American Pale Wheat Ale,1517,1466
Occidental Dunkel,Dunkelweizen,1518,1467
Occidental Altbier,Altbier,1519,1468
Occidental Kölsch,Kölsch,1520,1469
Perpetual Darkness,Belgian Strong Dark Ale,1521,1470
Clan Warrior,Scotch Ale / Wee Heavy,1522,1471
Psycho Penguin Vanilla Porter,American Porter,1523,1472
Heliocentric Hefeweizen,Hefeweizen,1524,1473
Ghose Drifter Pale Ale,American Pale Ale (APA),1525,1474
Ghost Rider Pale Ale (2013),American Pale Ale (APA),1526,1475
Helios Hefeweizen (2013),Hefeweizen,1527,1476
The Hole in Hadrian's Wall,Scottish Ale,1528,1477
33 Select Brown Ale,American Brown Ale,1529,1478
Midwest Charm Farmhouse Ale,Saison / Farmhouse Ale,1530,1479
Boji Blue Pale Ale,American Pale Ale (APA),1531,1480
Winter Games Select #32 Stout,American Stout,1532,1481
Boji Beach Golden Rye Ale,Rye Beer,1533,1482
Hopsmith Pale Lager,American Pale Lager,1534,1483
Falling Down Brown Ale,American Brown Ale,1535,1484
Resolution Rye Stout,American Stout,1536,1485
Plowshare Porter,American Porter,1537,1486
Old Forge Pumpkin Ale,Pumpkin Ale,1538,1487
Endless Sun Ale,American Pale Wheat Ale,1539,1488
Celestial Blonde Ale,American Blonde Ale,1540,1489
Overbite IPA,American IPA,1541,1490
T-Rail Pale Ale,American Pale Ale (APA),1542,1491
Endless Summer Ale (2011),American Pale Wheat Ale,1543,1492
Clem's Gold,American Pale Lager,1544,1493
Lizzy's Red,American Amber / Red Lager,1545,1494
Orlison India Pale Lager,American Pale Lager,1546,1495
Brünette,Euro Dark Lager,1547,1496
Havanüther,Light Lager,1548,1497
Lyric Ale,Saison / Farmhouse Ale,1549,1498
Atalanta,Saison / Farmhouse Ale,1550,1499
Pinner Throwback IPA,American IPA,1551,1500
Centennial State Pale Ale,American Pale Ale (APA),1552,1501
Old Chub NITRO,Scotch Ale / Wee Heavy,1553,1502
The CROWLER™,,1554,1503
CAN'D AID Foundation,,1555,1504
Icey.P.A.,American IPA,1556,1505
One Nut Brown,English Brown Ale,1557,1506
Birth IPA,American IPA,1558,1507
Dale's Pale Ale,American Pale Ale (APA),1559,1508
Dale's Pale Ale,American Pale Ale (APA),1560,1508
Mama's Little Yella Pils,Czech Pilsener,1561,1509
oSKAr the G'Rauch,American IPA,1562,1510
oSKAr the G'Rauch,American IPA,1563,1510
Dale's Pale Ale,American Pale Ale (APA),1564,1508
The Deuce,American Brown Ale,1565,1511
Dale's Pale Ale (10 Year Anniversary),American Pale Ale (APA),1566,1512
Dale's Pale Ale (2012),American Pale Ale (APA),1567,1513
Gordon Imperial Red (2010),American Double / Imperial IPA,1568,1514
Dale's Pale Ale (2011),American Pale Ale (APA),1569,1515
Dale's Pale Ale (2010),American Pale Ale (APA),1570,1516
G'KNIGHT (16 oz.),American Double / Imperial IPA,1571,1517
15th Anniversary Abbey Ale (2012),Belgian Dark Ale,1572,1518
Chaka,Belgian Strong Pale Ale,1573,1519
HGH (Home Grown Hops): Part Duh,American Strong Ale,1574,1520
Deviant Dale's IPA,American Double / Imperial IPA,1575,1521
One Hit Wonder,American Double / Imperial IPA,1576,1522
G'KNIGHT (12 oz.),American Double / Imperial IPA,1577,1523
Ten Fidy Imperial Stout,Russian Imperial Stout,1578,1524
Mama's Little Yella Pils,Czech Pilsener,1579,1509
GUBNA Imperial IPA,American Double / Imperial IPA,1580,1525
Old Chub,Scottish Ale,1581,1526
Gordon Ale (2009),American Double / Imperial IPA,1582,1527
Dale's Pale Ale,American Pale Ale (APA),1583,1508
Gordon (2005),American Double / Imperial IPA,1584,1528
Ten Fidy Imperial Stout (2008),Russian Imperial Stout,1585,1529
Ten Fidy Imperial Stout (2007),Russian Imperial Stout,1586,1530
Old Chub (2008),Scottish Ale,1587,1531
Old Chub (2004),Scottish Ale,1588,1532
Old Chub (2003),Scottish Ale,1589,1533
Dale's Pale Ale (2008),American Pale Ale (APA),1590,1534
Dale's Pale Ale (2006),American Pale Ale (APA),1591,1535
Dale's Pale Ale (2004),American Pale Ale (APA),1592,1536
Dale's Pale Ale (2003),American Pale Ale (APA),1593,1537
Dale's Pale Ale (2002),American Pale Ale (APA),1594,1538
Leroy (2005),American Brown Ale,1595,1539
Gordon Beer (2006),American Double / Imperial IPA,1596,1540
G'KNIGHT,American Double / Imperial IPA,1597,1541
Ten Fidy,Russian Imperial Stout,1598,1542
Deviant Dale's IPA,American Double / Imperial IPA,1599,1521
Old Chub,Scottish Ale,1600,1526
Dale's Pale Ale,American Pale Ale (APA),1601,1508
Dale's Pale Ale,American Pale Ale (APA),1602,1508
Fresh Slice White IPA,American White IPA,1603,1543
Overgrown American Pale Ale,American Pale Ale (APA),1604,1544
Ozark American Pale Ale,American Pale Ale (APA),1605,1545
Hula Hoppie Session IPA,American IPA,1606,1546
Dirty Hippie Dark Wheat,American Dark Wheat Ale,1607,1547
Rustic Red,Irish Red Ale,1608,1548
Stimulator Pale Ale,American Pale Ale (APA),1609,1549
Old Town Ale,Kölsch,1610,1550
Car 21,English Bitter,1611,1551
Cache La Porter,American Porter,1612,1552
Rodeo Rye Pale Ale,American Pale Ale (APA),1613,1553
Outlaw IPA,American IPA,1614,1554
North Fork Lager,American Pale Lager,1615,1555
Payette Pale Ale,American Pale Ale (APA),1616,1556
Mutton Buster,American Brown Ale,1617,1557
Side Kick Kölsch,Kölsch,1618,1558
Fresh Cut Pilsner,American Pilsner,1619,1559
Summer Session Ale,American Pale Wheat Ale,1620,1560
Lobo Lito,Light Lager,1621,1561
Robert Earl Keen Honey Pils,American Pilsner,1622,1562
Mound Builder IPA,American IPA,1623,1563
Amazon Princess IPA,American IPA,1624,1564
Farmer's Daughter Wheat,American Pale Wheat Ale,1625,1565
People's Pilsner,German Pilsener,1626,1566
Hotbox Brown,American Brown Ale,1627,1567
Gold,American Blonde Ale,1628,1568
Black,American Black Ale,1629,1569
98 Problems (Cuz A Hop Ain't One),American IPA,1630,1570
Veteran’s Pale Ale (VPA),American Pale Ale (APA),1631,1571
Grapefruit IPA,American IPA,1632,1572
Pete's ESP Lager (1998),American Pale Lager,1633,1573
Pete's Wicked Summer Brew (1995),American Pale Wheat Ale,1634,1574
Pete's Wicked Bohemian Pilsner (1997),Czech Pilsener,1635,1575
Pete's Wicked Pale Ale (1997),American Pale Ale (APA),1636,1576
Pete's Wicked Summer Brew (2002),American Pale Wheat Ale,1637,1577
Pete's Wicked Summer Brew (1997),American Pale Wheat Ale,1638,1578
Pete's Wicked Summer Brew (1996),American Pale Wheat Ale,1639,1579
Sparkle,American Pale Lager,1640,1580
North 45 Amber Ale,American Amber / Red Ale,1641,1581
Horny Monk,Dubbel,1642,1582
Mind's Eye PA,American IPA,1643,1583
Camelback,American IPA,1644,1584
Local 5 Pale Ale,American Pale Ale (APA),1645,1585
Devils Head Red Ale,American Amber / Red Ale,1646,1586
Elephant Rock IPA,American IPA,1647,1587
Black Bay Milk Stout,Milk / Sweet Stout,1648,1588
Atom Splitter Pale Ale,American Pale Ale (APA),1649,1589
Hot Date Ale,Chile Beer,1650,1590
Masked Bandit IPA,American Black Ale,1651,1591
Sweet Potato Ale,Fruit / Vegetable Beer,1652,1592
Float Trip Ale,American Blonde Ale,1653,1593
Old Tom Porter,American Porter,1654,1594
Black Walnut Wheat,American Dark Wheat Ale,1655,1595
McKinney Eddy Amber Ale,American Amber / Red Ale,1656,1596
Missouri Mule India Pale Ale,American IPA,1657,1597
Blood of the Unicorn,American Amber / Red Ale,1658,1598
GreyBeard™ IPA,American IPA,1659,1599
Pisgah Pale Ale,American Pale Ale (APA),1660,1600
PONTO S.I.P.A.,American IPA,1661,1601
Chronic Ale,American Amber / Red Ale,1662,1602
Swami's India Pale Ale,American IPA,1663,1603
New Cleveland Palesner,American Pilsner,1664,1604
Mazzie,American Pale Ale (APA),1665,1605
Big Chuck Barleywine,American Barleywine,1666,1606
Ponderosa IPA,American IPA,1667,1607
Liquid Amber Ale,American Amber / Red Ale,1668,1608
Morning Wood Wheat (Current),American Pale Wheat Ale,1669,1609
Hideout Helles,Munich Helles Lager,1670,1610
Dead Eye Dunkel,Munich Dunkel Lager,1671,1611
Peacemaker Pilsner,Czech Pilsener,1672,1612
Over the Rail Pale Ale,American Pale Ale (APA),1673,1613
Pallavicini Pilsner (2009),Czech Pilsener,1674,1614
Morning Wood Wheat (Current),American Pale Wheat Ale,1675,1609
Pyramid Hefeweizen (2011),Hefeweizen,1676,1615
Haywire Hefeweizen (2010),Hefeweizen,1677,1616
Golden Fleece,Belgian Pale Ale,1678,1617
Smoking Mirror,American Porter,1679,1618
Rahr's Blonde,Munich Helles Lager,1680,1619
Pride of Texas Pale Ale,American Pale Ale (APA),1681,1620
18th Anniversary Gose,Gose,1682,1621
White (2015),Witbier,1683,1622
BLAKKR,American Black Ale,1684,1623
Firemans #4 Blonde Ale (2013),American Blonde Ale,1685,1624
The Sword Iron Swan Ale,English Pale Ale,1686,1625
Hans' Pils (2015),German Pilsener,1687,1626
Four Squared (2015),American Blonde Ale,1688,1627
Firemans #4 Blonde Ale (2015),American Blonde Ale,1689,1628
Watership Brown Ale,American Brown Ale,1690,1629
Gangway IPA,American IPA,1691,1630
Long Day Lager,Czech Pilsener,1692,1631
Farmer's Daughter Blonde,American Blonde Ale,1693,1632
Pump House IPA,American IPA,1694,1633
Suicide Blonde IPA,Belgian IPA,1695,1634
Vanilla Porter,American Porter,1696,885
Honey Rye,Rye Beer,1697,1635
Happy Cider,Cider,1698,1636
Long Hammer IPA,American IPA,1699,1637
Long Hammer IPA,American IPA,1700,1637
Copper Hook (2011),American Amber / Red Ale,1701,1638
Nectar of the Hops,Mead,1702,1639
Sunshine Nectar,Mead,1703,1640
Black Raspberry Nectar,Mead,1704,1641
Blood Orange Wit,Witbier,1705,1642
Consilium,American Pale Ale (APA),1706,1643
Hammer & Sickle,Russian Imperial Stout,1707,1644
Redacted Rye IPA,American IPA,1708,1645
Elevation Triple India Pale Ale,American Double / Imperial IPA,1709,1646
5:00 O'Clock Afternoon Ale,American Blonde Ale,1710,1647
Ryeteous Rye IPA (2012),American IPA,1711,1648
Stout Ol' Friend,American Stout,1712,1649
Stout Ol' Friend (2012),American Stout,1713,1650
Rye Porter,American Porter,1714,401
Miner's Gold,American Blonde Ale,1715,1651
Vienna Lager,Vienna Lager,1716,1652
Jessie's Garage,American Pale Ale (APA),1717,1653
Colorado Red Ale,American Amber / Red Ale,1718,279
Miner's Gold,American Blonde Ale,1719,1651
Fist City,American Pale Ale (APA),1720,1654
A Little Crazy,Belgian Pale Ale,1721,1655
Rosa Hibiscus Ale,Herbed / Spiced Beer,1722,1656
Fistmas Ale,Herbed / Spiced Beer,1723,1657
Oktoberfest Revolution,Märzen / Oktoberfest,1724,1658
Eugene Porter,American Porter,1725,1659
Anti-Hero IPA,American IPA,1726,1660
Bottom Up Belgian Wit,Witbier,1727,1661
Hustle,American Amber / Red Ale,1728,1662
Pure Fury,American Pale Ale (APA),1729,1663
Dad,American Amber / Red Ale,1730,1664
