Director,Actors,original_index,unique_index
"Mark A.Z. Dippé,Taedong Park","Audrey Wasilewski,Matthew Willig,Busy Philipps",2981,2946
John Carpenter,"Donald Pleasence,Lisa Blount,Jameson Parker",2982,2947
John Carpenter,"Adrienne Barbeau,Jamie Lee Curtis,Janet Leigh",2983,2948
Rustam Branaman,"Stacy Stas Hurst,Eric Roberts,David Frye",2984,2949
"Vincent Kesteloot,Ben Stassen","Pat Carroll,Carlos McCullers II,Cinda Adams",2985,2950
Ben Stassen,"Trevor Gagnon,Philip Bolden,David Gore",2986,2951
Kyung Ho Lee,"Charlie Bewley,Lielle Tova Blinkoff,Alan Cumming",2987,2952
Brian Kosisky,"Tony Guerrero,Kenny Alfonso,Rose Bianco",2988,2953
Tom Marshall,"John Lee Ames,Christopher Angel Brannan,Dennis Christen",2989,2954
John Carpenter,"Kurt Russell,Steve Buscemi,Stacy Keach",2990,2955
"Leon D'Usseau,Robert Z. Leonard","Marion Davies,Ralph Kellard,Carlyle Blackwell",2991,2956
"Ray Ashley,Morris Engel","Richard Brewster,Winifred Cushing,Jay Williams",2992,2957
Henry Koster,"Debbie Reynolds,Ricardo Montalban,Greer Garson",2993,2958
Jean Yarbrough,"Wallace Ford,June Vincent,Mark Roberts",2994,2959
Michael Cimino,"Kris Kristofferson,Christopher Walken,John Hurt",2995,2960
Phillip Rhee,"Phillip Rhee,Mirelly Taylor,Max Gail",2996,2961
Henry Levin,"George Brent,Joan Blondell,Adele Jergens",2997,2962
"Neil Nightingale,Pierre De Lespinios,Barry Cook","Charlie Rowe,Karl Urban,Angourie Rice",2998,2963
Courtney Everette,"Lauren Smith,Bennie Lee,Kara Young",2999,2964
Berenika Maciejewicz,"Michela Crayton,Keith Nagel,Adia Dinh",3000,2965
Gil Kenan,"Saoirse Ronan,Toby Jones,Bill Murray",3001,2966
Victor Salva,"Gina Philips,Justin Long,Jonathan Breck",3002,2967
Gregory Nava,"Jennifer Lopez,Antonio Banderas,Maya Zapata",3003,2968
Gabor Csupo,"Ioan Gruffudd,Dakota Blue Richards,Tim Curry",3004,2969
Tommy Lee Wallace,"Jon Bon Jovi,Cristián de la Fuente,Natasha Gregson Wagner",3005,2970
John Ward,"Jana Kramer,Gerald McRaney,Randy Wayne",3006,2971
Troy Kotsur,"Marlee Matlin,Emjay Anthony,Ryan Lane",3007,2972
Chuck Williams,"Kimberly Hester Huffstetler,Yvonne Miranda,Brice Anthony Heller",3008,2973
Rozemyn Afman,"Frans J. Afman,Dino De Laurentiis,Martha De Laurentiis",3009,2974
Dallas Jenkins,"Kevin Sorbo,Kristy Swanson,John Ratzenberger",3010,2975
Kriv Stenders,"Josh Lucas,Rachael Taylor,Rohan Nichol",3011,2976
"Daniel Chuba,Mark A.Z. Dippé","Illeana Douglas,Mackenzie Foy,Zachary Gordon",3012,2977
David Butler,"Shirley Temple,Lionel Barrymore,Evelyn Venable",3013,2978
Aaron Pope,"Desmond Harrington,Estella Warren,Danny Trejo",3014,2979
Roberto Benabib,"Jon Bon Jovi,Penelope Ann Miller,Joe Bellan",3015,2980
Charles Matthau,"Estella Warren,Christian Kane,Michael Weatherly",3016,2981
Corbin Billings,"Davion Bland,Moy Gutierrez,Emily Patrick",3017,2982
Qasim Basir,"Evan Ross,Nia Long,Roger Guenveur Smith",3018,2983
Sollace Mitchell,"Jon Bon Jovi,Bai Ling,William Forsythe",3019,2984
Tamara Tunie,"Estella Warren,Justin Kirk,Liza Lapira",3020,2985
Robert Z. Leonard,"Claudette Colbert,Walter Pidgeon,June Allyson",3021,2986
James Cruze,"Ralph Graves,Helen Chandler,Sally O'Neil",3022,2987
Jack Donohue,"Doris Day,Robert Cummings,Phil Silvers",3023,2988
"Michael Curtiz,Busby Berkeley","Jack Carson,Janis Paige,Doris Day",3024,2989
Michael Gordon,"Rock Hudson,Doris Day,Tony Randall",3025,2990
Charles Vidor,"Doris Day,James Cagney,Cameron Mitchell",3026,2991
David Butler,"Doris Day,Ray Bolger,Claude Dauphin",3027,2992
Roy Del Ruth,"Doris Day,Gordon MacRae,Jack Smith",3028,2993
Norman Jewison,"Rock Hudson,Doris Day,Tony Randall",3029,2994
Delbert Mann,"Rock Hudson,Doris Day,Tony Randall",3030,2995
Richard Quine,"Doris Day,Jack Lemmon,Ernie Kovacs",3031,2996
David Butler,"Doris Day,Gene Nelson,S.Z. Sakall",3032,2997
David Butler,"Doris Day,Gordon MacRae,Gene Nelson",3033,2998
Gene Kelly,"Doris Day,Richard Widmark,Gig Young",3034,2999
George Sidney,"Frank Sinatra,Kathryn Grayson,Gene Kelly",3035,3000
Charles Walters,"Judy Garland,Fred Astaire,Peter Lawford",3036,3001
George Cukor,"Gene Kelly,Mitzi Gaynor,Kay Kendall",3037,3002
Vincente Minnelli,"Judy Garland,Gene Kelly,Walter Slezak",3038,3003
Busby Berkeley,"Frank Sinatra,Esther Williams,Gene Kelly",3039,3004
Charles Walters,"Judy Garland,Gene Kelly,Eddie Bracken",3040,3005
Sue Corcoran,"Elliott Gould,David DeLuise,Elijah Nelson",3041,3006
Kevan Peterson,"Jason London,Julian Feder,Alicia Witt",3042,3007
Harold Cronk,"Derek Brandon,Francesca Derosa,Patrika Darbo",3043,3008
Stanley Donen,"José Ferrer,Merle Oberon,Helen Traubel",3044,3009
"Kyle Lawrence,Caleb Doyle","Leo Howard,Booboo Stewart,Patrick Probst",3045,3010
"Joel Fendelman,Patrick Daly","Marjorie Austrian,Akram Basuni,Gamze Ceylan",3046,3011
M. Night Shyamalan,"Noah Ringer,Nicola Peltz,Jackson Rathbone",3047,3012
"Lemuel Ayers,Roy Del Ruth","William Powell,Judy Garland,Lucille Ball",3048,3013
"Stanley Donen,Gene Kelly","Gene Kelly,Dan Dailey,Cyd Charisse",3049,3014
M. Night Shyamalan,"Joseph Cross,Timothy Reifsnyder,Dana Delany",3050,3015
Sean McNamara,"Kim Coates,Penelope Ann Miller,David Eigenberg",3051,3016
Fred Olen Ray,"David DeLuise,David Chokachi,Daniel Zykov",3052,3017
Bob Dolman,"Luke Benward,Hallie Kate Eisenberg,Adam Hicks",3053,3018
Busby Berkeley,"Judy Garland,George Murphy,Gene Kelly",3054,3019
Rob Diamond,"Brian Wimmer,Danny Trejo,Chris Laird",3055,3020
Dave Moody,"Bill Cobbs,Lee Meriwether,Blake Michael",3056,3021
Clayton Miller,"Bradley Dorsey,Chris Ebling,Misty Lockheart",3057,3022
Drew Nudi,"Becket,Jeff Diner,Steve Longmuir",3058,3023
Brad Keller,"Charisma Carpenter,Patrick Muldoon,Dominique Swain",3059,3024
Mark Cartier,"Denise Richards,Caitlin Carmichael,Chris Browning",3060,3025
Michael J. Sarna,"Adrienne Barbeau,Kim Rhodes,Richard Riehle",3061,3026
Robert Stevenson,"David Hartman,Donald Sinden,Jacques Marin",3062,3027
Robert Stevenson,"Hal Stalmaster,Luana Patten,Jeff York",3063,3028
Larry Lansburgh,"George Fenneman,Dorian Williams,Slim Pickens",3064,3029
Ken Annakin,"Richard Todd,Glynis Johns,James Robertson Justice",3065,3030
Norman Foster,"Fess Parker,Buddy Ebsen,Basil Ruysdael",3066,3031
William Beaudine,"Fess Parker,Kathleen Crowley,Jeff York",3067,3032
Charles Barton,"Kevin Corcoran,Henry Calvin,Gene Sheldon",3068,3033
Herschel Daugherty,"Fess Parker,Wendell Corey,Joanne Dru",3069,3034
Harold French,"Richard Todd,Glynis Johns,James Robertson Justice",3070,3035
Francis D. Lyon,"Fess Parker,Jeffrey Hunter,Jeff York",3071,3036
Norman Foster,"Fess Parker,Buddy Ebsen,Jeff York",3072,3037
Ken Annakin,"Michael Rennie,James MacArthur,Janet Munro",3073,3038
"Paul Kenworthy,Ralph Wright",Winston Hibler,3074,3039
Robert Stevenson,"Albert Sharpe,Janet Munro,Sean Connery",3075,3040
Norman Z. McLeod,"Bing Crosby,Bob Hope,Dorothy Lamour",3076,3041
Norman Tokar,"Steve Forrest,Bill Mumy,Pamela Toll",3077,3042
Mitchell Leisen,"W.C. Fields,Martha Raye,Dorothy Lamour",3078,3043
Norman Z. McLeod,"Bob Hope,Hedy Lamarr,Francis L. Sullivan",3079,3044
Norman Z. McLeod,"Bob Hope,Jane Russell,Robert Armstrong",3080,3045
David Heeley,"Jean Arthur,Fred Astaire,Ernest Borgnine",3081,3046
Hal Walker,"Bing Crosby,Bob Hope,Dorothy Lamour",3082,3047
Victor Schertzinger,"Bing Crosby,Bob Hope,Dorothy Lamour",3083,2423
Frank Tashlin,"Bob Hope,Jane Russell,Roy Rogers",3084,3048
"Sidney Lanfield,Frank Tashlin","Bob Hope,Marilyn Maxwell,Lloyd Nolan",3085,3049
John Needham,"Chuck Jones,Maurice Noble,Lloyd Vaughan",3086,3050
"David Butler,Sidney Lanfield","Bob Hope,Virginia Mayo,Walter Brennan",3087,3051
George Marshall,"Bob Hope,Paulette Goddard,Richard Carlson",3088,3052
Sidney Lanfield,"Bob Hope,Madeleine Carroll,Gale Sondergaard",3089,3053
"Greg Ford,Friz Freleng","Mel Blanc,Mel Tormé,Roy Firestone",3090,3054
Don Hartman,"Cary Grant,Betsy Drake,Franchot Tone",3091,3055
Richard Brooks,"Cary Grant,José Ferrer,Paula Raymond",3092,3056
"Shane Acker,Mark Andrews",,3093,3057
Sidney Sheldon,"Cary Grant,Deborah Kerr,Walter Pidgeon",3094,3058
Henry Koster,"Cary Grant,Loretta Young,David Niven",3095,3059
Charles Walters,"Cary Grant,Samantha Eggar,Jim Hutton",3096,3060
S. Sylvan Simon,"Lana Turner,Richard Carlson,Artie Shaw and His Orchestra",3097,3061
Norman Taurog,"Cary Grant,Betsy Drake,Lurene Tuttle",3098,3062
H.C. Potter,"Cary Grant,Laraine Day,Charles Bickford",3099,3063
Sam Wood,"Freddie Bartholomew,Mickey Rooney,Charles Coburn",3100,3064
Mike Binder,"Adam Sandler,Don Cheadle,Jada Pinkett Smith",3101,3065
Allan Dwan,"Marion Davies,Norman Kerry,Matt Moore",3102,3066
Leo McCarey,"Charley Chase,Katherine Grant,Walter James",3103,3067
Henry King,"Ronald Colman,Vilma Bánky,Gary Cooper",3104,3068
Lloyd Bacon,"Al Jolson,Betty Bronson,Josephine Dunn",3105,3069
Joshua Logan,"Rossano Brazzi,Mitzi Gaynor,John Kerr",3106,3070
Kevin Brodie,"Jack Warden,Jeremy James Kissner,Jesse James",3107,3071
Gene Saks,"Lucille Ball,Robert Preston,Bea Arthur",3108,3072
James B. Clark,"David Ladd,Donald Crisp,Theodore Bikel",3109,3073
Arthur Hiller,"Peter O'Toole,Sophia Loren,James Coco",3110,3074
Richard Thorpe,"Robert Taylor,Ava Gardner,Mel Ferrer",3111,3075
George Roy Hill,"Julie Andrews,James Fox,Mary Tyler Moore",3112,3076
Elliot Silverstein,"Richard Harris,Judith Anderson,Jean Gascon",3113,3077
Morton DaCosta,"Robert Preston,Shirley Jones,Buddy Hackett",3114,3078
Walter Lang,"Yul Brynner,Deborah Kerr,Rita Moreno",3115,3079
George Roy Hill,"Julie Andrews,Max von Sydow,Richard Harris",3116,3080
Anthony Mann,"Dennis O'Keefe,Wallace Ford,Alfred Ryder",3117,3081
John Sturges,"Ricardo Montalban,Sally Forrest,Bruce Bennett",3118,3082
André De Toth,"Gene Nelson,Sterling Hayden,Phyllis Kirk",3119,3083
Don Siegel,"Robert Mitchum,Jane Greer,William Bendix",3120,3084
Richard Thorpe,"Stewart Granger,Deborah Kerr,Louis Calhern",3121,3085
John Berry,"Richard Basehart,Audrey Totter,Cyd Charisse",3122,3086
"John Cromwell,W.S. Van Dyke","Ronald Colman,Madeleine Carroll,C. Aubrey Smith",3123,3087
"Chad Stahelski,David Leitch","Keanu Reeves,Michael Nyqvist,Alfie Allen",3124,3088
Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Bill Paxton",3125,3089
Clint Eastwood,"Bradley Cooper,Sienna Miller,Kyle Gallner",3126,3090
Robert Zemeckis,"Denzel Washington,Nadine Velazquez,Don Cheadle",3127,3091
Baltasar Kormákur,"Denzel Washington,Mark Wahlberg,Paula Patton",3128,3092
Anthony Mann,"Farley Granger,Cathy O'Donnell,James Craig",3129,3093
Peter Berg,"Mark Wahlberg,Taylor Kitsch,Emile Hirsch",3130,3094
Joon-ho Bong,"Chris Evans,Jamie Bell,Tilda Swinton",3131,3095
Richard Schenkman,"David Lee Smith,Tony Todd,John Billingsley",3132,3096
"Peter Spierig,Michael Spierig","Ethan Hawke,Willem Dafoe,Sam Neill",3133,3097
Alfonso Cuarón,"Sandra Bullock,George Clooney,Ed Harris",3134,3098
James Ward Byrkit,"Emily Baldoni,Maury Sterling,Nicholas Brendon",3135,3099
Fred Zinnemann,"Van Heflin,Robert Ryan,Janet Leigh",3136,3100
Robert Schwentke,"Shailene Woodley,Ansel Elgort,Theo James",3137,3101
Wes Ball,"Dylan O'Brien,Kaya Scodelario,Will Poulter",3138,3102
Josh Boone,"Shailene Woodley,Ansel Elgort,Nat Wolff",3139,3103
Lewis Allen,"Edward G. Robinson,Nina Foch,Hugh Marlowe",3140,3104
John Farrow,"Robert Mitchum,Claude Rains,Faith Domergue",3141,3105
Andrew L. Stone,"Steve Cochran,Virginia Grey,Gaby André",3142,3106
"John Cromwell,Mel Ferrer","Robert Mitchum,Lizabeth Scott,Robert Ryan",3143,3107
Michael Gottlieb,"Thomas Ian Nicholas,Joss Ackland,Art Malik",3144,3108
Caroline Thompson,"Sean Bean,David Thewlis,Docs Keepin Time",3145,3109
Carroll Ballard,"Kelly Reno,Mickey Rooney,Teri Garr",3146,3110
Christopher Cain,"Stephen Lang,Ryan Slater,Yi Ding",3147,3111
Carroll Ballard,"Hugh Bigney,Vanessa Sharp,Patricia Barker",3148,3112
Jeff Blyth,"Keith Coogan,Lucy Deakins,Colin Mothupi",3149,3113
Sidney Poitier,"Bill Cosby,Kimberly Russell,Denise Nicholas",3150,3114
Stephen Herek,"Charlie Sheen,Kiefer Sutherland,Chris O'Donnell",3151,3115
Howard Franklin,"Bill Murray,Matthew McConaughey,Jerry Adler",3152,3116
Phil Alden Robinson,"Kevin Costner,James Earl Jones,Ray Liotta",3153,3117
John Stainton,"Steve Irwin,Terri Irwin,Magda Szubanski",3154,3118
Ron Underwood,"Bill Paxton,Charlize Theron,Rade Serbedzija",3155,3119
Frederick King Keller,"Margaret Chamberlain,Paul Flessa,Fred A. Keller",3156,3120
Agnieszka Holland,"Kate Maberly,Maggie Smith,Heydon Prowse",3157,3121
Bronwen Hughes,"Michelle Trachtenberg,Rosie O'Donnell,Gregory Smith",3158,3122
Joseph Pevney,"Debbie Reynolds,Walter Brennan,Leslie Nielsen",3159,3123
John Berry,"Clint Walker,Jay North,I.S. Johar",3160,3124
Ivan Tors,"Jay North,Martin Milner,Andy Devine",3161,3125
Harry Lachman,"Shirley Temple,James Dunn,Claire Trevor",3162,3126
Jerry Paris,"James Garner,Debbie Reynolds,Maurice Ronet",3163,3127
Don Chaffey,"Donald Crisp,Laurence Naismith,Alex Mackenzie",3164,3128
"Jack Couffer,Don Haldane","Jean Coutu,Émile Genest,Uriel Luft",3165,3129
George Marshall,"Glenn Ford,Debbie Reynolds,Carl Reiner",3166,3130
Fletcher Markle,"Émile Genest,John Drainie,Tommy Tweed",3167,3131
Henry Koster,"Nancy Kwan,James Shigeta,Benson Fong",3168,3132
Craig Clyde,"James Read,John Denver,David Tom",3169,3133
Terry Gilliam,"Jeff Bridges,Robin Williams,Adam Bryant",3170,3134
Richard C. Sarafian,"Gary Busey,Cynthia Leake,Carmen Thomas",3171,3135
"Norman Taurog,George Cukor","Tommy Kelly,Ann Gillis,May Robson",3172,3136
S. Sylvan Simon,"Peter Lawford,Donald Crisp,June Lockhart",3173,3137
George Marshall,"Debbie Reynolds,Tony Randall,Paul Douglas",3174,3138
Roy Rowland,"Jane Powell,Tony Martin,Debbie Reynolds",3175,3139
Richard Fleischer,"Stephen Boyd,Raquel Welch,Edmond O'Brien",3176,3140
Richard Brooks,"Bette Davis,Ernest Borgnine,Debbie Reynolds",3177,3141
David R. Ellis,"Michael J. Fox,Sally Field,Ralph Waite",3178,3142
John Roberts,"Gena Rowlands,Tony Shalhoub,Cheech Marin",3179,3143
George Miller,"Tina Majorino,Keith Carradine,Chelsea Field",3180,3144
Noah Baumbach,"Owen Kline,Jeff Daniels,Laura Linney",3181,3145
Norman Jewison,"Topol,Norma Crane,Leonard Frey",3182,3146
Winston Hibler,"Ron Brown,Brian Russell,Linda Wallace",3183,3147
Christopher Leitch,"Juliette Caton,Charlie Sheen,Joanna Clarke",3184,3148
David Butler,"Bing Crosby,Bob Hope,Dorothy Lamour",3185,3149
"Melvin Frank,Norman Panama","Danny Kaye,Glynis Johns,Basil Rathbone",3186,3150
Melville Shavelson,"Cary Grant,Sophia Loren,Martha Hyer",3187,3151
Henry King,"Tyrone Power,Maureen O'Hara,Laird Cregar",3188,3152
Dean DeBlois,"Kristen Wiig,Cate Blanchett,Gerard Butler",3189,3153
"Kirk De Micco,Chris Sanders","Emma Stone,Ryan Reynolds,Nicolas Cage",3190,3154
Don Weis,"Debbie Reynolds,Bobby Van,Barbara Ruick",3191,3155
John Sayles,"Jeni Courtney,Eileen Colgan,Mick Lally",3192,3156
Steve Carr,"Ice Cube,Nia Long,John C. McGinley",3193,3157
Arlene Sanford,"Jonathan Taylor Thomas,Jessica Biel,Adam LaVorgna",3194,3158
John Whitesell,"Matthew Broderick,Danny DeVito,Kristin Chenoweth",3195,3159
John Schultz,"Shad Moss,Jonathan Lipnicki,Morris Chestnut",3196,3160
John Schultz,"Cedric the Entertainer,Mike Epps,Gabrielle Union",3197,3161
Charles Walters,"Frank Sinatra,Debbie Reynolds,David Wayne",3198,3162
Nils Gaup,"Stian Smestad,Gabriel Byrne,Louisa Milwood-Haigh",3199,3163
Charles Sturridge,"John Lynch,Samantha Morton,Peter O'Toole",3200,3164
"George Sidney,Busby Berkeley","Betty Hutton,Howard Keel,Louis Calhern",3201,3165
Richard Thorpe,"Fred Astaire,Vera-Ellen,Red Skelton",3202,3166
Ron Howard,"Tommy Lee Jones,Cate Blanchett,Evan Rachel Wood",3203,3167
Sam Raimi,"Sharon Stone,Gene Hackman,Russell Crowe",3204,3168
Sam Raimi,"Bill Paxton,Billy Bob Thornton,Bridget Fonda",3205,3169
Ralph C. Bluemke,"John Garces,Rita Elliot,Warren Raum",3206,3170
Robert Zemeckis,"Harrison Ford,Michelle Pfeiffer,Katharine Towne",3207,3171
Iain Softley,"Kate Hudson,Peter Sarsgaard,Joy Bryant",3208,3172
"Soman Chainani,Lisa Marie Gamlem","Kamini Khanna,Bryan Fox,Casey Graf",3209,3173
Jennifer Chambers Lynch,"Mallika Sherawat,Irrfan Khan,Jeff Doucette",3210,3174
Frank Kerr,"Jeff Fahey,Chad Lowe,Sherilyn Fenn",3211,3175
Jennifer Chambers Lynch,"Julia Ormond,Bill Pullman,Pell James",3212,3176
Amir Bar-Lev,"Marla Olmstead,Laura Olmstead,Mark Olmstead",3213,3177
Yurek Bogayevicz,"William Baldwin,Kelly Lynch,Sherilyn Fenn",3214,3178
"Shana Betz,Beth Grant","Annemette Andersen,Mary Chieffo,Cynthia Ettinger",3215,3179
Woody Allen,"Woody Allen,Diane Keaton,Mariel Hemingway",3216,3180
Wes Anderson,"Jared Gilman,Kara Hayward,Bruce Willis",3217,3181
Woody Allen,"Rebecca Hall,Scarlett Johansson,Javier Bardem",3218,3182
Woody Allen,"Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer",3219,3183
Darren Aronofsky,"Natalie Portman,Mila Kunis,Vincent Cassel",3220,3184
Woody Allen,"Woody Allen,Penélope Cruz,Jesse Eisenberg",3221,3185
Woody Allen,"Scarlett Johansson,Hugh Jackman,Jim Dunk",3222,3186
David O. Russell,"Bradley Cooper,Jennifer Lawrence,Robert De Niro",3223,3187
Woody Allen,"Woody Allen,Diane Keaton,Tony Roberts",3224,3188
Woody Allen,"Evan Rachel Wood,Larry David,Henry Cavill",3225,3189
Woody Allen,"Cate Blanchett,Alec Baldwin,Peter Sarsgaard",3226,3190
Ben Affleck,"Ben Affleck,Bryan Cranston,John Goodman",3227,3191
Kathryn Bigelow,"Jeremy Renner,Anthony Mackie,Brian Geraghty",3228,3192
Clint Eastwood,"Hilary Swank,Clint Eastwood,Morgan Freeman",3229,3193
Steve McQueen,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",3230,3194
Tony Gilroy,"George Clooney,Tilda Swinton,Tom Wilkinson",3231,3195
Sofia Coppola,"Bill Murray,Scarlett Johansson,Giovanni Ribisi",3232,3196
"Jonathan Dayton,Valerie Faris","Steve Carell,Toni Collette,Greg Kinnear",3233,3197
Jason Reitman,"Ellen Page,Michael Cera,Jennifer Garner",3234,3198
Taylor Hackford,"Jamie Foxx,Regina King,Kerry Washington",3235,3199
Joe Wright,"Keira Knightley,James McAvoy,Brenda Blethyn",3236,3200
George Clooney,"David Strathairn,George Clooney,Patricia Clarkson",3237,3201
Alexander Payne,"Paul Giamatti,Thomas Haden Church,Virginia Madsen",3238,3202
Ang Lee,"Jake Gyllenhaal,Heath Ledger,Michelle Williams",3239,3203
Steven Spielberg,"Jeremy Irvine,Emily Watson,David Thewlis",3240,3204
Paul Thomas Anderson,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",3241,3205
Clint Eastwood,"Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara",3242,3206
Gary Ross,"Tobey Maguire,Jeff Bridges,Elizabeth Banks",3243,3207
Steven Spielberg,"Eric Bana,Daniel Craig,Marie-Josée Croze",3244,3208
Bennett Miller,"Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener",3245,3209
Martin Scorsese,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale",3246,3210
Marilyn Agrelo,"Jessica Alba,Chris Messina,Sonia Braga",3247,3211
Anthony Hickox,"Julian Sands,Chris Young,Paula Marshall",3248,3212
Zalman King,"Sherilyn Fenn,Richard Tyson,Louise Fletcher",3249,3213
John Herzfeld,"Teri Hatcher,Jeff Daniels,Danny Aiello",3250,3214
Michael Caton-Jones,"Robert De Niro,James Franco,Frances McDormand",3251,3215
Luis Mandoki,"Kevin Bacon,Charlize Theron,Courtney Love",3252,3216
Renny Harlin,"Sylvester Stallone,John Lithgow,Michael Rooker",3253,3217
Stephen Kay,"Sylvester Stallone,Rachael Leigh Cook,Miranda Richardson",3254,3218
Jim Gillespie,"Sylvester Stallone,Charles S. Dutton,Polly Walker",3255,3219
George P. Cosmatos,"Sylvester Stallone,Brigitte Nielsen,Reni Santoni",3256,3220
Richard Donner,"Sylvester Stallone,Antonio Banderas,Julianne Moore",3257,3221
Menahem Golan,"Sylvester Stallone,Robert Loggia,Susan Blakely",3258,3222
John Flynn,"Sylvester Stallone,Donald Sutherland,John Amos",3259,3223
George Stevens,"Barbara Stanwyck,Preston Foster,Melvyn Douglas",3260,3224
Brian Stillman,"Tom Beaumont,Tom Berges,John Booth",3261,3225
Alex Stapleton,"Roger Corman,Martin Scorsese,Quentin Tarantino",3262,3226
Mark Hartley,"Sam Firstenberg,David Paulsen,Luigi Cozzi",3263,3227
Rob Kuhns,"George A. Romero,Fred Rogers,H. Rap Brown",3264,3228
Michael Robert Wolf,"Anna Lasbury,Rob Weidenfeld,Faith Yesner",3265,3229
Simon Wincer,"Mary Beth Hurt,Michael McKean,Kathryn Walker",3266,3230
Francis Ford Coppola,"Matt Damon,Danny DeVito,Claire Danes",3267,3231
Edward Norton,"Ben Stiller,Edward Norton,Jenna Elfman",3268,3232
Edward Zwick,"Denzel Washington,Meg Ryan,Lou Diamond Phillips",3269,3233
Benh Zeitlin,"Quvenzhané Wallis,Dwight Henry,Levy Easterly",3270,3234
"Glenn Holsten,Daniel Traub",,3271,3235
Chico Colvard,,3272,3236
Tim Blake Nelson,"Edward Norton,Keri Russell,Henry Max Nelson",3273,3237
"Marcia Jarmel,Ken Schneider",,3274,3238
David Jacobson,"Edward Norton,Evan Rachel Wood,David Morse",3275,3239
Mike Nichols,"Alan Arkin,Martin Balsam,Richard Benjamin",3276,3240
Lee Sholem,"George Reeves,Phyllis Coates,Jeff Corey",3277,3241
William Monahan,"Colin Farrell,Keira Knightley,Ray Winstone",3278,3242
Robert Wise,"Michael Rennie,Patricia Neal,Hugh Marlowe",3279,3243
John Curran,"Edward Norton,Milla Jovovich,Robert De Niro",3280,3244
David Zucker,"Leslie Nielsen,Priscilla Presley,George Kennedy",3281,3245
Andrew V. McLaglen,"Maurice Chevalier,Dean Jones,Yvette Mimieux",3282,3246
Kurt Hale,"Will Swenson,Connie Young,Daryn Tufts",3283,3247
Robert Stevenson,"Fred MacMurray,Nancy Olson,Keenan Wynn",3284,3248
Charles Chaplin,"Charles Chaplin,Edna Purviance,Jackie Coogan",3285,3249
Terry Gilliam,"Matt Damon,Heath Ledger,Monica Bellucci",3286,3250
"Fred Schepisi,Robert Young","John Cleese,Jamie Lee Curtis,Kevin Kline",3287,3251
Ivan Reitman,"Kevin Kline,Sigourney Weaver,Frank Langella",3288,3252
David Zucker,"Leslie Nielsen,Priscilla Presley,O.J. Simpson",3289,3253
Frank Oz,"Kevin Kline,Joan Cusack,Tom Selleck",3290,3254
Frank Oz,"Steve Martin,Michael Caine,Glenne Headly",3291,3255
Douglas Hickox,"Burt Lancaster,Simon Ward,Denholm Elliott",3292,3256
Mike Hodges,"Michael Caine,Ian Hendry,Britt Ekland",3293,3257
John Huston,"Sean Connery,Michael Caine,Christopher Plummer",3294,3258
Janice Karman,"Ross Bagdasarian Jr.,Janice Karman,Dody Goodman",3295,3259
Tuck Tucker,"Spencer Klein,Francesca Smith,Jamil Walker Smith",3296,3260
Lee Toland Krieger,"Josh Janowicz,Alex Thayer,Justin Matthews",3297,3261
Josh Radnor,"Josh Radnor,Elizabeth Olsen,Zac Efron",3298,3262
Gia Coppola,"Emma Roberts,James Franco,Jack Kilmer",3299,3263
Lee Toland Krieger,"Adam Scott,Brittany Snow,Alex Frost",3300,3264
"Anna Boden,Ryan Fleck","Keir Gilchrist,Zach Galifianakis,Emma Roberts",3301,3265
Colin Trevorrow,"Aubrey Plaza,Mark Duplass,Jake Johnson",3302,3266
Peter Sollett,"Michael Cera,Kat Dennings,Aaron Yoo",3303,3267
Joe Swanberg,"Olivia Wilde,Jake Johnson,Anna Kendrick",3304,3268
Gavin Wiesen,"Freddie Highmore,Emma Roberts,Michael Angarano",3305,3269
"Jonathan Dayton,Valerie Faris","Paul Dano,Zoe Kazan,Annette Bening",3306,3270
Fred M. Wilcox,"Margaret O'Brien,Herbert Marshall,Dean Stockwell",3307,3271
Mervyn LeRoy,"June Allyson,Peter Lawford,Margaret O'Brien",3308,3272
"Walter Lang,William A. Seiter","Shirley Temple,Richard Greene,Anita Louise",3309,3273
William A. Seiter,"Shirley Temple,Robert Young,Alice Faye",3310,3274
Dave McKean,"Stephanie Leonidas,Jason Barry,Rob Brydon",3311,3275
Henry Koster,"Richard Todd,Jean Peters,Marjorie Rambeau",3312,3276
Roy Rowland,"Edward G. Robinson,Margaret O'Brien,James Craig",3313,3277
Clarence Brown,"Mickey Rooney,Frank Morgan,James Craig",3314,3278
John Ford,"Shirley Temple,Victor McLaglen,C. Aubrey Smith",3315,3279
King Vidor,"Wallace Beery,Jackie Cooper,Irene Rich",3316,3280
David Butler,"Shirley Temple,James Dunn,Jane Darwell",3317,3281
Edwin L. Marin,"Judy Garland,Freddie Bartholomew,Mary Astor",3318,3282
Steve 'Spaz' Williams,,3319,3283
"Tony Bancroft,Scott Christian Sava","Emily Blunt,Sylvester Stallone,John Krasinski",3320,3284
"Mike Mitchell,Walt Dohrn","Anna Kendrick,Justin Timberlake",3321,3285
