Release Date,original_index,unique_index
10 May 1996 (USA),3857,2895
28 March 2003 (USA),3858,2896
12 May 2006 (USA),3859,510
30 June 2000 (USA),3860,2897
12 December 1986 (USA),3861,2291
28 July 2000 (USA),3862,2898
8 June 1990 (USA),3863,2899
4 December 1992 (USA),3864,2900
10 November 2011 (USA),3865,2901
13 August 1999 (USA),3866,2902
28 June 1996 (USA),3867,1874
1 July 1992 (USA),3868,2903
16 August 2002 (USA),3869,2287
1 November 2002 (USA),3870,2185
6 September 1985 (USA),3871,2904
16 July 1993 (USA),3872,1212
14 March 2014 (UK),3873,2905
28 November 2010 (USA),3874,700
26 January 2003 (USA),3875,2906
January 2002 (USA),3876,2907
3 January 2006 (USA),3877,2908
9 October 2008 (Thailand),3878,2909
23 March 2011 (Brazil),3879,2910
11 May 2001 (USA),3880,2911
2010 (USA),3881,1155
2 August 2007 (Israel),3882,2912
17 August 2002 (USA),3883,2913
28 April 2006 (USA),3884,283
10 July 2014 (Germany),3885,2914
2 October 2014 (USA),3886,2915
15 June 2012 (USA),3887,2916
28 August 2014 (USA),3888,2917
15 December 2013 (USA),3889,2918
24 October 2014 (USA),3890,2081
14 November 2014 (USA),3891,927
12 September 2014 (USA),3892,869
17 October 2014 (USA),3893,1785
11 November 2015 (USA),3894,2919
17 October 2014 (Bulgaria),3895,2920
3 October 2014 (USA),3896,2921
14 December 2001 (USA),3897,2922
21 December 2012 (USA),3898,2923
23 June 2010 (USA),3899,2924
29 June 2001 (USA),3900,2925
17 April 2009 (USA),3901,2684
12 April 2002 (USA),3902,1601
9 February 1996 (USA),3903,1463
25 February 2000 (USA),3904,2926
12 March 1993 (USA),3905,2927
6 November 1998 (USA),3906,541
23 September 1994 (USA),3907,2928
10 March 2000 (USA),3908,958
7 February 2013 (USA),3909,2929
4 March 1994 (USA),3910,1772
10 November 2000 (USA),3911,1975
13 February 1998 (USA),3912,2151
26 November 2008 (USA),3913,2930
7 June 2013 (USA),3914,661
2 June 2006 (USA),3915,2931
,3916,47
20 January 2012 (USA),3917,640
23 March 2007 (USA),3918,574
October 2009 (USA),3919,2932
13 January 2004 (Finland),3920,2933
25 December 2015 (USA),3921,2766
13 May 1977 (USA),3922,2934
24 March 2011 (Kuwait),3923,2935
July 1977 (USA),3924,2936
21 May 1976 (USA),3925,2937
16 October 2009 (USA),3926,546
5 October 1984 (USA),3927,2938
13 May 1977 (USA),3928,2934
2 October 1981 (USA),3929,2939
May 1980 (USA),3930,2940
9 May 2014 (USA),3931,677
18 November 1977 (USA),3932,2941
12 March 2005 (USA),3933,2942
13 May 2014 (USA),3934,2083
2015 (USA),3935,258
24 September 2013 (USA),3936,2943
11 April 2008 (UK),3937,2944
6 April 2013 (USA),3938,2945
24 June 1959 (USA),3939,2946
2 May 2015 (USA),3940,2947
4 November 2014 (USA),3941,2354
24 January 2011 (USA),3942,2948
12 January 2007 (USA),3943,2949
26 February 2003 (France),3944,2950
4 February 2005 (USA),3945,2050
17 June 1964 (France),3946,2951
10 February 2006 (USA),3947,123
10 July 2009 (Denmark),3948,2952
16 February 1990 (USA),3949,1410
26 July 1990 (West Germany),3950,2953
9 September 1982 (Netherlands),3951,2954
14 April 1979 (Japan),3952,2955
1 July 1989 (USA),3953,2956
2 June 1989 (USA),3954,2957
28 May 2001 (USA),3955,2958
14 February 2003 (USA),3956,2709
11 April 1997 (USA),3957,2248
28 July 1999 (USA),3958,2959
19 January 1990 (USA),3959,2960
17 July 2002 (USA),3960,2961
27 August 2004 (USA),3961,732
18 July 1990 (USA),3962,2962
9 June 1995 (USA),3963,2963
14 October 1989 (USA),3964,2964
21 October 1994 (USA),3965,2965
7 July 1995 (USA),3966,1913
12 May 2006 (Canada),3967,2966
23 January 1998 (USA),3968,2967
24 December 2003 (Bahrain),3969,2968
1 October 2014 (USA),3970,2969
11 September 2009 (USA),3971,2970
1 July 2015 (USA),3972,2213
13 April 2012 (USA),3973,2971
1 July 2014 (USA),3974,2972
9 October 2015 (USA),3975,737
10 January 2009 (USA),3976,11
29 May 2015 (USA),3977,2223
,3978,47
October 2006 (USA),3979,2973
October 1974 (USA),3980,2974
5 May 2006 (USA),3981,1809
23 August 1985 (USA),3982,2975
7 April 1989 (USA),3983,1184
24 July 1981 (USA),3984,2976
6 November 2015 (USA),3985,751
31 January 1997 (USA),3986,2977
16 September 1994 (USA),3987,2978
22 December 1995 (USA),3988,1322
2015 (USA),3989,258
7 November 2013 (Germany),3990,2979
22 April 2011 (UK),3991,2980
6 September 2013 (UK),3992,2981
23 August 2010 (USA),3993,2982
12 December 2014 (UK),3994,2983
18 March 2011 (USA),3995,386
27 February 1998 (USA),3996,2984
25 December 1977 (USA),3997,2256
11 July 1997 (USA),3998,2985
1 November 2013 (USA),3999,1781
24 October 1997 (USA),4000,2246
15 August 1997 (USA),4001,253
27 July 2007 (USA),4002,894
13 March 1981 (USA),4003,2986
22 August 1986 (USA),4004,126
16 August 1985 (USA),4005,1406
6 June 1986 (USA),4006,1267
27 August 1996 (USA),4007,2987
5 August 1988 (USA),4008,1445
2 October 1987 (USA),4009,441
16 November 1984 (USA),4010,2856
21 February 1986 (USA),4011,1870
1993 (Canada),4012,2988
30 August 1985 (USA),4013,2989
11 September 2009 (USA),4014,2970
16 January 1987 (USA),4015,2990
7 April 2010 (USA),4016,2991
16 March 1990 (USA),4017,1612
5 October 1990 (USA),4018,109
3 September 1993 (USA),4019,2025
4 April 1981 (USA),4020,2992
23 February 1990 (USA),4021,2993
3 February 1995 (USA),4022,2533
September 1988 (Italy),4023,2994
19 May 2011 (USA),4024,2995
7 October 2005 (USA),4025,755
2 October 2015 (USA),4026,2427
11 December 1998 (USA),4027,1460
30 March 1999 (USA),4028,2996
11 March 2012 (USA),4029,2997
25 February 1994 (Brazil),4030,2998
"Oct 21, 1959 Wide",4031,2999
1 May 2014 (USA),4032,3000
27 June 1991 (USA),4033,3001
14 June 2007 (USA),4034,3002
8 July 1990 (UK),4035,3003
18 October 1985 (USA),4036,3004
January 2014 (USA),4037,3005
18 June 1982 (USA),4038,770
14 December 1973 (USA),4039,3006
7 November 1986 (USA),4040,3007
7 February 1986 (USA),4041,3008
1 March 2013 (USA),4042,3009
5 August 1987 (USA),4043,3010
8 March 1991 (USA),4044,1526
9 February 1979 (West Germany),4045,3011
23 February 1990 (USA),4046,2993
23 March 2006 (Thailand),4047,3012
27 October 1965 (USA),4048,3013
10 April 2015 (USA),4049,1953
18 August 2015 (USA),4050,3014
28 August 1963 (USA),4051,3015
1 May 2015 (USA),4052,3016
5 November 1932 (USA),4053,3017
5 October 2013 (USA),4054,3018
2 April 1993 (USA),4055,3019
14 October 1981 (USA),4056,3020
6 November 1981 (USA),4057,3021
8 May 1981 (USA),4058,3022
2008 (USA),4059,193
23 May 2008 (USA),4060,3023
13 August 2015 (USA),4061,3024
9 October 2003 (USA),4062,3025
1 August 2010 (USA),4063,3026
24 July 2006 (USA),4064,3027
9 April 2004 (USA),4065,540
18 September 1987 (USA),4066,1136
15 January 1988 (USA),4067,125
3 December 1997 (USA),4068,3028
18 November 1988 (USA),4069,938
11 April 2014 (USA),4070,812
"Apr 1, 1995 Wide",4071,3029
13 May 2005 (USA),4072,1563
15 February 2013 (USA),4073,1288
6 June 2006 (USA),4074,3030
24 July 2008 (USA),4075,3031
3 October 2009 (USA),4076,3032
10 March 1993 (USA),4077,3033
18 April 2003 (USA),4078,3034
1 March 2008 (USA),4079,3035
7 December 1979 (USA),4080,3036
17 July 2015 (USA),4081,212
14 August 2015 (USA),4082,463
6 December 2013 (USA),4083,3037
11 September 2002 (France),4084,3038
22 April 2009 (USA),4085,3039
15 May 2015 (USA),4086,2222
"Nov 13, 2012 Wide",4087,3040
22 April 2011 (USA),4088,3041
9 June 1948 (USA),4089,2372
23 May 1950 (USA),4090,3042
26 November 1946 (Argentina),4091,3043
"Apr 23, 1955 Limited",4092,3044
30 March 1944 (USA),4093,3045
2 May 1946 (USA),4094,3046
20 October 1945 (USA),4095,3047
14 December 2012 (UK),4096,2799
26 September 2014 (USA),4097,754
19 September 2003 (USA),4098,18
12 December 2001 (France),4099,3048
22 October 2014 (USA),4100,3049
24 November 1997 (Australia),4101,3050
3 April 2003 (Netherlands),4102,3051
March 2013 (France),4103,3052
28 July 1995 (USA),4104,1408
17 April 1978 (Sweden),4105,3053
6 April 2011 (Egypt),4106,3054
7 April 2006 (USA),4107,1896
26 April 2014 (Japan),4108,3055
9 September 1988 (USA),4109,3056
6 April 1990 (USA),4110,1347
16 July 1993 (USA),4111,1212
4 October 1991 (USA),4112,3057
15 January 1988 (Japan),4113,3058
8 February 2014 (Germany),4114,3059
6 October 2000 (USA),4115,895
30 January 2009 (USA),4116,488
29 September 1995 (Spain),4117,3060
15 April 1988 (USA),4118,3061
5 April 2006 (France),4119,3062
19 July 1995 (USA),4120,3063
4 January 2013 (USA),4121,3064
22 May 1998 (USA),4122,396
26 June 2009 (Spain),4123,3065
,4124,47
2 March 2007 (USA),4125,560
8 August 1997 (USA),4126,1417
14 November 2003 (Austria),4127,3066
21 September 2001 (USA),4128,3067
16 October 1998 (USA),4129,2137
11 June 2004 (USA),4130,139
7 September 2010 (Italy),4131,3068
9 September 2013 (UK),4132,3069
14 June 2008 (USA),4133,3070
27 June 2013 (USA),4134,3071
29 October 2004 (USA),4135,498
1 October 1993 (USA),4136,511
1 February 2002 (USA),4137,3072
5 October 2007 (UK),4138,3073
23 April 2004 (USA),4139,207
3 October 2007 (USA),4140,3074
September 1982 (USA),4141,3075
23 September 1988 (USA),4142,3076
"Jan 1, 1979 Wide",4143,3077
21 March 1980 (USA),4144,2625
17 November 1993 (USA),4145,3078
29 February 1980 (USA),4146,3079
25 March 1983 (USA),4147,195
15 October 1993 (USA),4148,1345
8 November 1985 (USA),4149,1661
12 August 1988 (USA),4150,1149
10 October 1986 (USA),4151,3080
14 December 1984 (USA),4152,130
27 August 1969 (USA),4153,3081
16 August 1985 (USA),4154,1406
6 August 1982 (Sweden),4155,3082
8 May 1987 (USA),4156,1988
12 January 2001 (USA),4157,1152
16 November 2005 (France),4158,3083
3 October 2008 (USA),4159,2121
18 January 2007 (Singapore),4160,3084
"Nov 15, 1978 Wide",4161,3085
2010 (USA),4162,1155
,4163,47
4 March 1994 (USA),4164,1772
15 January 1993 (USA),4165,3086
2 July 1980 (USA),4166,2278
11 October 1996 (USA),4167,3087
12 June 1997 (Singapore),4168,3088
26 September 1997 (USA),4169,1517
30 July 1972 (USA),4170,3089
8 July 2011 (USA),4171,1285
"Sep 15, 1987 Wide",4172,3090
December 2015 (USA),4173,2746
"Jul 24, 2015 Wide",4174,3091
18 January 1991 (USA),4175,3092
13 October 1971 (USA),4176,3093
19 September 2014 (South Africa),4177,3094
27 May 2005 (Spain),4178,3095
13 September 1978 (USA),4179,3096
22 October 1971 (USA),4180,3097
"Aug 17, 2007 Wide",4181,3098
15 August 2014 (Ireland),4182,3099
18 September 2015 (USA),4183,42
22 November 2006 (USA),4184,2177
21 July 1971 (France),4185,3100
15 June 2012 (Spain),4186,3101
17 June 2010 (South Korea),4187,3102
16 October 1972 (Sweden),4188,3103
3 December 1982 (UK),4189,3104
9 October 2009 (UK),4190,3105
September 1956 (USA),4191,3106
3 August 2012 (UK),4192,3107
17 February 1968 (USA),4193,3108
28 June 2013 (UK),4194,3109
8 April 2011 (USA),4195,1485
3 September 2014 (Netherlands),4196,3110
9 December 2011 (USA),4197,1484
22 October 2004 (USA),4198,3111
9 May 1973 (USA),4199,3112
15 August 1986 (USA),4200,3113
22 October 1982 (USA),4201,252
28 July 2006 (USA),4202,1289
11 March 1971 (USA),4203,3114
25 June 2015 (Italy),4204,3115
13 October 2012 (Brazil),4205,3116
7 March 2003 (USA),4206,3117
15 February 2002 (USA),4207,404
1 March 2002 (USA),4208,3118
19 July 2002 (USA),4209,885
30 November 2001 (USA),4210,3119
12 May 1995 (USA),4211,3120
20 January 2006 (USA),4212,19
6 December 2013 (USA),4213,3037
14 April 2000 (USA),4214,2162
15 January 2010 (USA),4215,914
8 October 1993 (USA),4216,932
22 December 2010 (USA),4217,1263
20 December 2013 (USA),4218,2788
2 July 1971 (USA),4219,3121
11 October 1996 (USA),4220,3087
30 July 1997 (USA),4221,3122
16 June 2000 (USA),4222,1617
11 June 2004 (USA),4223,139
"Sep 6, 2013 Wide",4224,3123
17 October 2003 (USA),4225,3124
25 December 1997 (USA),4226,273
8 November 1996 (USA),4227,787
7 April 2006 (USA),4228,1896
21 February 2003 (USA),4229,2161
4 September 2009 (USA),4230,1904
14 November 1997 (USA),4231,3125
15 October 2010 (USA),4232,3126
3 April 1998 (USA),4233,3127
"Mar 11, 2005 Wide",4234,3128
1938 (USA),4235,3129
21 February 2003 (USA),4236,2161
"Sep 21, 2012 Wide",4237,3130
15 December 1976 (USA),4238,3131
16 June 1978 (USA),4239,3132
January 2000 (USA),4240,3133
25 July 2011 (USA),4241,3134
5 February 2010 (USA),4242,3135
9 October 1968 (USA),4243,3136
6 October 1978 (USA),4244,555
17 December 1982 (USA),4245,935
22 December 1971 (USA),4246,3137
23 December 1970 (USA),4247,3138
10 November 1974 (USA),4248,3139
24 September 1975 (USA),4249,3140
21 May 1975 (USA),4250,3141
20 May 1998 (USA),4251,3142
11 March 2005 (USA),4252,817
23 January 2009 (Brazil),4253,3143
25 December 2006 (USA),4254,3144
20 November 2009 (USA),4255,913
23 January 2004 (Finland),4256,3145
8 December 2009 (USA),4257,3146
30 August 1972 (USA),4258,3147
31 October 2007 (USA),4259,3148
21 January 1933 (USA),4260,3149
19 December 1986 (USA),4261,3150
5 October 2007 (USA),4262,237
13 June 1953 (USA),4263,3151
22 February 2007 (Netherlands),4264,3152
29 August 1949 (Sweden),4265,3153
16 February 2007 (UK),4266,3154
17 November 1939 (USA),4267,100
3 July 1991 (USA),4268,994
13 April 2000 (Australia),4269,3155
13 December 1972 (USA),4270,3156
20 February 2015 (UK),4271,3157
18 May 2012 (USA),4272,400
27 December 1940 (USA),4273,3158
26 January 1940 (USA),4274,3159
7 July 1944 (USA),4275,3160
9 June 1944 (USA),4276,3161
7 August 1942 (USA),4277,3162
1946 (Turkey),4278,3163
20 January 1936 (USA),4279,3164
8 July 1935 (USA),4280,3165
December 1932 (USA),4281,3166
21 February 1932 (USA),4282,3167
7 May 1934 (USA),4283,3168
17 May 1946 (USA),4284,3169
18 February 1921 (Japan),4285,3170
30 October 2015 (USA),4286,2782
September 1941 (USA),4287,3171
26 August 2015 (USA),4288,3172
19 June 2015 (USA),4289,232
11 April 2008 (USA),4290,2007
13 March 2004 (USA),4291,3173
18 March 2005 (Austria),4292,3174
11 January 2002 (USA),4293,3175
22 May 2007 (USA),4294,3176
13 July 2007 (USA),4295,3177
31 January 2014 (USA),4296,383
10 August 2012 (USA),4297,389
2012 (USA),4298,3178
"Feb 16, 2007 Wide",4299,3179
29 July 2009 (Philippines),4300,3180
20 November 2009 (USA),4301,913
4 March 2011 (USA),4302,150
21 November 2008 (USA),4303,767
12 March 2010 (USA),4304,1868
1 June 2012 (USA),4305,3181
30 June 2010 (USA),4306,3182
5 February 2010 (USA),4307,3135
29 March 2013 (USA),4308,1511
21 August 2013 (USA),4309,3183
5 March 2004 (USA),4310,679
14 January 2000 (USA),4311,53
October 1978 (USA),4312,3184
14 October 1994 (USA),4313,998
16 January 2014 (Italy),4314,3185
21 October 1983 (USA),4315,196
2 August 1985 (USA),4316,378
8 October 1981 (USA),4317,3186
1930 (Germany),4318,3187
22 November 2012 (Portugal),4319,3188
2010 (USA),4320,1155
26 July 1996 (USA),4321,2316
30 August 2011 (USA),4322,3189
7 October 1999 (Germany),4323,3190
2006 (USA),4324,3191
1 April 2015 (USA),4325,3192
May 2004 (USA),4326,3193
30 May 2004 (USA),4327,3194
2008 (USA),4328,193
18 March 2015 (Belgium),4329,3195
20 May 2011 (UK),4330,3196
31 August 2005 (USA),4331,3197
4 September 2004 (Germany),4332,3198
21 December 2012 (USA),4333,2923
5 January 1929 (USA),4334,3199
25 February 1936 (USA),4335,3200
22 September 1995 (USA),4336,413
1925 (Germany),4337,3201
15 June 1997 (USA),4338,3202
23 June 1955 (USA),4339,3203
8 August 1941 (USA),4340,3204
7 March 1951 (USA),4341,3205
6 April 1953 (USA),4342,3206
1 August 1953 (USA),4343,3207
25 September 1950 (Sweden),4344,3208
"Jul 16, 1958 Wide",4345,3209
27 April 1951 (USA),4346,3210
12 September 1958 (USA),4347,3211
5 February 1956 (USA),4348,3212
July 1955 (USA),4349,3213
April 1957 (USA),4350,688
25 May 1953 (USA),4351,3214
January 1988 (USA),4352,3215
7 December 2000 (Germany),4353,3216
27 March 2006 (Germany),4354,3217
1 August 2014 (USA),4355,1067
27 April 1990 (USA),4356,354
3 March 1999 (USA),4357,3218
16 August 1985 (USA),4358,1406
September 1985 (USA),4359,3219
8 September 1988 (West Germany),4360,3220
16 March 1999 (USA),4361,3221
30 October 1981 (USA),4362,514
12 May 1989 (USA),4363,3222
October 1989 (USA),4364,1017
30 October 1987 (USA),4365,2722
15 November 1985 (USA),4366,2181
23 July 1982 (USA),4367,3223
10 August 1984 (USA),4368,2866
27 April 1979 (USA),4369,3224
"Aug 5, 1988 Wide",4370,3225
25 July 1986 (USA),4371,3226
30 September 1988 (USA),4372,373
March 1984 (USA),4373,3227
29 October 1964 (USA),4374,3228
11 September 1963 (USA),4375,3229
28 August 1987 (USA),4376,325
6 June 2005 (USA),4377,3230
12 October 1990 (USA),4378,3231
13 December 2013 (USA),4379,1083
21 December 2011 (Sweden),4380,3232
15 May 1968 (USA),4381,3233
20 May 1953 (USA),4382,3234
9 July 2014 (France),4383,3235
1 October 2008 (France),4384,3236
20 July 2007 (UK),4385,3237
11 January 2009 (USA),4386,3238
24 February 1960 (USA),4387,3239
1 September 2000 (USA),4388,114
30 August 2013 (UK),4389,3240
16 March 1963 (USA),4390,3241
22 July 2011 (USA),4391,1071
1 December 1951 (West Germany),4392,3242
22 August 1973 (USA),4393,3243
20 December 1978 (USA),4394,3244
28 June 1985 (USA),4395,3245
9 December 1983 (USA),4396,1048
13 July 1988 (USA),4397,3246
22 June 1979 (USA),4398,524
30 June 1976 (USA),4399,3247
9 July 1993 (USA),4400,3248
21 December 1977 (USA),4401,3249
14 August 2015 (USA),4402,463
28 May 1971 (Finland),4403,3250
21 May 1975 (USA),4404,3141
17 December 1980 (USA),4405,3251
14 February 1997 (USA),4406,2292
7 December 1990 (USA),4407,3252
14 September 1990 (USA),4408,2634
11 June 1980 (USA),4409,3253
12 November 1971 (USA),4410,3254
17 August 1984 (USA),4411,3255
24 May 1974 (USA),4412,3256
14 September 2005 (Philippines),4413,3257
31 August 2001 (USA),4414,2379
8 November 1962 (USA),4415,3258
December 1956 (USA),4416,628
18 August 1960 (Japan),4417,3259
11 February 1955 (Belgium),4418,3260
September 1965 (Austria),4419,3261
2 April 1963 (USA),4420,3262
February 1954 (USA),4421,3263
22 August 1952 (West Germany),4422,3264
October 1966 (Austria),4423,3265
30 March 1961 (USA),4424,3266
September 1950 (Italy),4425,3267
20 December 1957 (Japan),4426,3268
17 May 1953 (USA),4427,3269
18 February 1953 (France),4428,3270
1 March 1935 (USA),4429,3271
2 October 1963 (USA),4430,3272
20 January 1950 (USA),4431,3273
27 January 1951 (USA),4432,3274
15 August 1945 (France),4433,3275
26 October 1950 (USA),4434,3276
25 November 1932 (USA),4435,3277
8 April 1932 (USA),4436,3278
8 January 1958 (Japan),4437,3279
11 November 1943 (USA),4438,3280
,4439,47
30 July 1943 (USA),4440,3281
26 November 1945 (Denmark),4441,3282
,4442,47
27 May 1942 (USA),4443,3283
6 October 1995 (USA),4444,1528
12 January 1984 (Australia),4445,3284
November 1987 (UK),4446,3285
20 December 1978 (USA),4447,3244
4 October 1985 (USA),4448,1295
23 November 1979 (USA),4449,3286
18 March 2011 (UK),4450,3287
14 September 1979 (USA),4451,3288
21 September 1984 (USA),4452,1377
26 March 2010 (USA),4453,27
23 August 2013 (USA),4454,2554
10 October 1999 (USA),4455,3289
10 July 2015 (USA),4456,460
"Jul 3, 2015 Limited",4457,3290
31 July 2015 (USA),4458,1307
10 July 2015 (USA),4459,460
16 August 2014 (Japan),4460,3291
7 June 2012 (Germany),4461,3292
13 July 2012 (UK),4462,717
21 June 2013 (Canada),4463,3293
26 December 2001 (UK),4464,3294
17 June 1997 (USA),4465,3295
4 August 2015 (USA),4466,3296
"May 1, 1988 Wide",4467,3297
2015 (USA),4468,258
15 May 2015 (USA),4469,2222
24 April 2015 (USA),4470,368
15 September 1993 (USA),4471,3298
12 November 2010 (Brazil),4472,3299
,4473,47
13 September 2013 (USA),4474,676
24 July 2015 (USA),4475,462
19 January 2014 (USA),4476,3300
1 August 1936 (USA),4477,3301
October 1987 (USA),4478,3302
9 April 1943 (USA),4479,3303
29 November 1940 (USA),4480,3304
28 December 1940 (USA),4481,3305
9 March 1979 (USA),4482,3306
November 1979 (USA),4483,3307
9 October 1947 (USA),4484,3308
24 May 1940 (USA),4485,3309
24 July 1939 (USA),4486,3310
9 June 1939 (USA),4487,3311
25 March 1956 (USA),4488,3312
13 November 1976 (USA),4489,3313
December 1978 (USA),4490,3314
2 April 2004 (USA),4491,654
14 February 2003 (USA),4492,2709
24 January 1999 (USA),4493,3315
15 June 1994 (France),4494,3316
27 June 1958 (West Germany),4495,3317
10 May 1940 (USA),4496,3318
20 June 1935 (Argentina),4497,3319
17 September 1947 (France),4498,3320
April 1956 (USA),4499,3321
1 March 1940 (USA),4500,3322
18 May 1960 (USA),4501,3323
16 March 1951 (USA),4502,3324
15 January 1943 (USA),4503,3325
7 November 2009 (Argentina),4504,3326
22 October 1949 (USA),4505,3327
2 March 1939 (USA),4506,3328
5 June 2015 (USA),4507,1991
26 January 1957 (USA),4508,3329
13 December 2002 (Turkey),4509,3330
22 June 1966 (USA),4510,1413
1 March 1949 (USA),4511,3331
18 November 1949 (USA),4512,3332
31 May 2002 (Italy),4513,3333
28 December 1945 (USA),4514,3334
25 December 2000 (USA),4515,3335
November 1960 (USA),4516,3336
20 August 2013 (USA),4517,2383
8 May 1992 (USA),4518,3337
13 December 1996 (USA),4519,1893
20 January 2009 (USA),4520,3338
"Feb 26, 1988 Wide",4521,3339
24 September 2004 (USA),4522,2168
31 October 1997 (Spain),4523,3340
June 1949 (USA),4524,3341
17 September 1971 (USA),4525,3342
9 October 1998 (Canada),4526,3343
October 1979 (West Germany),4527,3344
21 March 2002 (Germany),4528,3345
16 March 1950 (USA),4529,3346
9 April 1948 (USA),4530,3347
6 April 1990 (USA),4531,1347
22 January 1943 (USA),4532,3348
June 1972 (USA),4533,3349
April 1945 (USA),4534,3350
11 January 1978 (France),4535,3351
February 1976 (USA),4536,3352
26 February 1976 (UK),4537,3353
8 June 2006 (Netherlands),4538,3354
6 August 1971 (USA),4539,3355
14 October 1955 (Ireland),4540,3356
30 May 1956 (USA),4541,3357
3 November 1944 (USA),4542,3358
29 May 1936 (USA),4543,3359
15 June 2014 (USA),4544,3360
28 December 1945 (USA),4545,3334
27 May 1954 (USA),4546,3361
27 September 1947 (USA),4547,3362
27 September 1958 (USA),4548,3363
25 January 1941 (USA),4549,3364
25 January 1931 (USA),4550,3365
23 April 1931 (USA),4551,3366
23 October 1939 (USA),4552,3367
9 April 1932 (USA),4553,3368
15 April 1933 (USA),4554,3369
9 February 1931 (USA),4555,3370
February 1974 (USA),4556,3371
1 March 1996 (USA),4557,319
10 February 1950 (Sweden),4558,3372
22 March 1953 (USA),4559,3373
24 November 1956 (USA),4560,3374
20 September 1958 (USA),4561,3375
20 December 1957 (USA),4562,3376
4 November 1960 (USA),4563,3377
22 December 1959 (USA),4564,3378
4 July 2014 (USA),4565,3379
September 1974 (USA),4566,3380
9 December 2014 (USA),4567,3381
1973 (USA),4568,3382
5 October 1969 (USA),4569,3383
March 1975 (USA),4570,3384
14 December 1972 (West Germany),4571,3385
14 November 2014 (USA),4572,927
1 May 1963 (USA),4573,3386
13 September 1961 (USA),4574,3387
1 May 1993 (South Korea),4575,3388
22 January 1999 (USA),4576,2539
28 October 1970 (USA),4577,3389
25 April 1953 (USA),4578,3390
1988 (USA),4579,3391
28 April 1973 (Japan),4580,3392
,4581,47
1 June 1988 (USA),4582,3393
10 April 1987 (USA),4583,3394
,4584,47
18 November 1983 (USA),4585,3395
19 April 1989 (USA),4586,3396
25 August 2000 (UK),4587,3397
19 May 1989 (USA),4588,3398
13 February 1950 (Brazil),4589,3399
21 May 1976 (West Germany),4590,3400
15 September 1967 (Finland),4591,3401
27 November 1953 (USA),4592,3402
15 July 1983 (Australia),4593,3403
13 January 1956 (Finland),4594,3404
19 July 1945 (USA),4595,3405
5 September 1942 (USA),4596,3406
11 March 1944 (USA),4597,3407
3 August 1940 (USA),4598,3408
29 September 1967 (West Germany),4599,3409
18 August 1971 (France),4600,3410
15 June 1945 (USA),4601,3411
8 February 1936 (USA),4602,3412
,4603,47
24 June 1954 (USA),4604,3413
8 September 1960 (USA),4605,0
20 September 1956 (Argentina),4606,3414
"Apr 30, 1954 Wide",4607,3415
August 1953 (USA),4608,3416
February 1953 (USA),4609,3417
5 November 1953 (USA),4610,3418
16 December 1954 (USA),4611,3419
1 February 1961 (USA),4612,3420
13 June 1957 (USA),4613,3421
19 December 1961 (USA),4614,3422
18 July 1959 (USA),4615,3423
29 June 1979 (USA),4616,3424
3 September 1959 (West Germany),4617,3425
8 October 1999 (USA),4618,3426
10 July 1991 (USA),4619,3427
10 February 2006 (USA),4620,123
26 February 1988 (USA),4621,3428
12 June 1998 (USA),4622,2149
21 December 1988 (USA),4623,3429
21 August 1956 (USA),4624,3430
December 1974 (USA),4625,3431
28 November 2006 (USA),4626,3432
6 April 1960 (USA),4627,3433
6 October 1927 (USA),4628,3434
27 November 1963 (Argentina),4629,3435
14 May 1993 (Italy),4630,3436
August 1945 (USA),4631,3437
10 February 1944 (USA),4632,3438
8 April 1929 (USA),4633,3439
26 March 1943 (USA),4634,3440
15 January 1942 (USA),4635,3441
20 March 1943 (USA),4636,3442
7 April 1945 (USA),4637,3443
13 June 1942 (USA),4638,3444
29 December 1944 (USA),4639,3445
30 May 1953 (USA),4640,3446
17 September 1943 (USA),4641,3447
10 March 1972 (USA),4642,119
22 August 1998 (USA),4643,3448
28 August 1981 (USA),4644,3449
30 January 1980 (USA),4645,3450
,4646,47
14 August 1981 (USA),4647,3451
27 August 1937 (USA),4648,3452
15 July 2008 (USA),4649,3453
7 October 1960 (USA),4650,3454
September 1973 (USA),4651,3455
25 May 1988 (France),4652,3456
18 February 1944 (Australia),4653,3457
7 May 1937 (USA),4654,3458
17 April 1946 (Mexico),4655,3459
22 April 1949 (USA),4656,2667
December 1946 (USA),4657,3460
12 February 1932 (USA),4658,3461
20 February 1950 (USA),4659,3462
27 August 1943 (USA),4660,3463
13 August 1949 (USA),4661,3464
26 October 1945 (USA),4662,3465
31 August 1934 (USA),4663,3466
15 August 1986 (USA),4664,3113
15 March 1991 (USA),4665,3467
16 February 2012 (USA),4666,3468
1982 (USA),4667,3469
28 May 1999 (USA),4668,1489
30 December 1935 (USA),4669,3470
1 September 1937 (USA),4670,3471
1 January 1937 (USA),4671,3472
21 November 1980 (USA),4672,104
26 June 1942 (USA),4673,3473
28 January 1981 (USA),4674,3474
8 August 1948 (USA),4675,3475
27 March 1953 (USA),4676,3476
21 April 1954 (USA),4677,3477
3 April 1955 (Japan),4678,3478
16 November 1954 (UK),4679,3479
27 April 1951 (USA),4680,3210
29 July 1948 (USA),4681,3480
23 February 1952 (USA),4682,3481
16 June 1950 (USA),4683,3482
29 August 1947 (USA),4684,3483
27 January 2012 (USA),4685,2655
17 August 2012 (USA),4686,816
1973 (USA),4687,3382
28 February 2014 (USA),4688,3484
