abv,ibu,original_index,unique_index
0.05,,2362,0
0.052,27.0,2363,651
0.082,100.0,2364,1027
0.082,100.0,2365,1027
0.042%,13.0,2366,1028
0.06,23.0,2367,99
0.045%,,2368,6
0.055999999999999994%,41.0,2369,1029
0.068%,21.0,2370,1030
0.057,20.0,2371,1031
0.045,25.0,2372,1032
0.051,45.0,2373,154
0.054000000000000006%,,2374,92
0.075,,2375,4
0.05,,2376,0
0.072,,2377,10
0.05%,,2378,94
0.07400000000000001%,83.0,2379,1033
0.08,31.0,2380,1034
0.055%,,2381,35
0.071%,60.0,2382,428
0.052,,2383,102
0.048,38.0,2384,240
0.059000000000000004%,,2385,78
0.062,61.0,2386,1035
0.045,23.0,2387,1036
0.057999999999999996%,72.0,2388,1037
0.045%,,2389,6
0.059000000000000004%,135.0,2390,1038
0.047,15.0,2391,1039
0.05,,2392,0
0.065%,82.0,2393,1040
0.028,15.0,2394,1041
0.065,69.0,2395,1042
0.069,69.0,2396,162
0.045,25.0,2397,1032
0.077%,30.0,2398,1043
0.069,69.0,2399,162
0.06,50.0,2400,557
0.042,,2401,81
0.08199999999999999%,,2402,264
0.055%,,2403,35
0.075,,2404,4
0.067,45.0,2405,1044
0.052,,2406,102
0.055%,,2407,35
0.055%,40.0,2408,1045
0.052,,2409,102
