Creator,Cast,original_index,unique_index
"Nikolaj Arcel,Akiva Goldsman",,3546,3525
David Guggenheim,"Will Smith,Martin Lawrence",3547,3526
"Duncan Brantley,Rick Reilly","John Krasinski,David de Vries,Rick Forrester,Craig S. Harper,George Clooney,Malcolm Goodwin,Matt Bushell,Tommy Hinkley,Tim Griffin,Robert Baker,Nick Paonessa,Lance Barber,Wayne Duvall,Nicholas Bourdages,Jason Drago",3548,3527
,"Tony Grisoni,Philip A. Patterson,René Cleitman,Terry Gilliam,Nicola Pecorini,José Luis Escolar,Bárbara Pérez-Solero,Benjamín Fernández,Andrea Calderwood,Ray Cooper,Gabriella Pescucci,Carlo Poggioli,Bernard Bouix,Fred Millstein,Jeff Bridges",3549,3528
"Justin Zackham,Jean-Stéphane Bron","Robert De Niro,Katherine Heigl,Diane Keaton,Amanda Seyfried,Topher Grace,Susan Sarandon,Robin Williams,Ben Barnes,Christine Ebersole,David Rasche,Patricia Rae,Ana Ayora,Kyle Bornheimer,Megan Ketch,Christa Campbell",3550,3529
Moe Jelline,"Kristen Bell,Jamie Lee Curtis,Sigourney Weaver,Odette Annable,Victor Garber,Betty White,James Wolk,Kristin Chenoweth,Sean Wing,Kyle Bornheimer,Billy Unger,Christine Lakin,Meagan Holder,Patrick Duffy,Anna A. White",3551,3530
"Fina Torres,Luis Alfaro","Camilla Belle,Alexa PenaVega,Tina French,Luis Rosales,Pablo Martínez de Velasco,Alexis Ayala,Norma Reyna,Adriana Barraza,Catalina López,José María Negri,Mario Zaragoza,Pablo Cruz,April Bowlby,Nicholas D'Agosto,Begoña Narváez",3552,3531
"Sarah Dessen,Neena Beber","Mandy Moore,Allison Janney,Trent Ford,Alexandra Holden,Dylan Baker,Nina Foch,Mackenzie Astin,Connie Ray,Mary Catherine Garrison,Sonja Smits,Laura Catalano,Ray Kahnert,Andrew Gillies,John White,Alison MacLeod",3553,3532
Jason Lew,"Boyd Holbrook,Elisabeth Moss,Seth Gabel,Sue-Lynn Ansari,Waleed Zuaiter,Vivian Fleming-Alvarez,Nazeema Bartek,James Moses Black,Darren Pettie,Tony Beard,Jean Claude Leuyer",3554,3533
Noah Oppenheim,Natalie Portman,3555,3534
"Roxanne Beck,Robert Boswell","Rico Rodriguez,Matthew Modine,James Franco,Abigail Spencer,Kate Mara,Amber Tamblyn,Kristen Wiig,Tony Cox,Jimmy Kimmel,Jim Parrack,Natalie Portman,Keir Gilchrist,Thomas Mann,Bo Mitchell,Jacob Loeb",3556,3535
"Julia Dahl,Mo Ogrodnik","Brittany Murphy,Dakota Fanning,Marley Shelton,Donald Faison,Jesse Spencer,Austin Pendleton,Heather Locklear,Will Toale,Marceline Hugot,Pell James,Quddus,Russell Steinberg,Fisher Stevens,Susanna Frazer,Wynter Kullman",3557,3536
Jeremy Leven,"Luke Wilson,Derek Barbosa,Lobo Sebastian,Rob Reiner,Kate Hudson,Paul Willson,David Paymer,Sophie Marceau,Alexander Wauthier,Leili Kramer,Rip Taylor,Gigi Bermingham,Jordan Lund,François Giroday,Robert Costanzo",3558,3537
Jeff Nichols,"Joel Edgerton,Michael Shannon,Marton Csokas,Nick Kroll,Ruth Negga,Bill Camp,David Jensen,Alano Miller,Christopher Mann,Chris Greene,Terri Abney,Michael Abbott Jr.,Coby Batty,Jon Bass",3559,3538
Terrence Malick,"Christian Bale,Michael Fassbender,Rooney Mara,Boyd Holbrook,Natalie Portman,Ryan Gosling,Benicio Del Toro,Cate Blanchett,Val Kilmer,Bérénice Marlohe,Haley Bennett,Holly Hunter,Tom Sturridge,Clifton Collins Jr.,Dora Madison",3560,3539
"Steven Baigelman,Don Cheadle","Ewan McGregor,Don Cheadle,Keith Stanfield,Emayatzy Corinealdi,Michael Stuhlbarg,Austin Lyon,Morgan Wolk,Leticia Martinez,Christina Karis,Chris Hahn,Nina Smilow,William Willet,JT Thigpen,Jeffrey Grover,Chinn Gary",3561,3540
Mae West,"Mae West,Edmund Lowe,Charles Butterworth,Charles Winninger,Walter Catlett,Lloyd Nolan,Louis Armstrong,George Rector,Herman Bing,Roger Imhof,Chester Conklin,Lucien Prival,Adrian Morris,Francis McDonald,John Indrisano",3562,3541
Max Winkler,"Michael Angarano,Uma Thurman,Reece Thompson,Lee Pace,Jake Johnson,Brooke Bloom,Harper Dill,Rebecca Mader,Nathalie Love,Charlie Moss,Lisby Larson,Paul Amodeo,Philip Carlson,Catherine Russell,Jack Koenig",3563,3542
Angus MacLachlan,"Embeth Davidtz,David Kuhn,Alessandro Nivola,Alicia Van Couvering,Jerry Minor,Matt Besser,Will Oldham,Frank Hoyt Taylor,Scott Wilson,Ben McKenzie,Celia Weston,Amy Adams,Bobby Tisdale,Beth Bostic,Joanne Pankow",3564,3543
"Michael Petroni,Won-mi Byun","Sarah Michelle Gellar,Lee Pace,Michael Landes,Tuva Novotny,Chelah Horsdal,Dhirendra,Paul Jarrett,William B. Davis,Veena Sood,Peter Bryant,Jörgen Sandell,Donna Yamamoto,Suzanne Bastien,Mark Louie,Michael Jonsson",3565,3544
"Deborah Kaplan,Harry Elfont","Amy Adams,Matthew Goode,Adam Scott,John Lithgow,Noel O'Donovan,Tony Rohr,Pat Laffan,Alan Devlin,Ian McElhinney,Dominique McElligott,Mark O'Regan,Maggie McCarthy,Peter O'Meara,Macdara Ó Fátharta,Kaitlin Olson",3566,3545
"Jennie Snyder Urman,Emily Giffin","Ginnifer Goodwin,Kate Hudson,Colin Egglesfield,John Krasinski,Steve Howey,Ashley Williams,Geoff Pierson,Jill Eikenberry,Jonathan Epstein,Leia Thompson,Sarah Baldwin,Mark La Mura,Lindsay Ryan,Kirsten Day,Christopher Peuler",3567,3546
"Dan Gilroy,Nico Soultanakis","Catinca Untaru,Justine Waddell,Lee Pace,Kim Uylenbroek,Aiden Lithgow,Sean Gilder,Ronald France,Andrew Roussouw,Michael Huff,Grant Swanby,Emil Hostina,Robin Smith,Jeetu Verma,Leo Bill,Marcus Wesley",3568,3547
Megan Holley,"Amy Adams,Emily Blunt,Alan Arkin,Jason Spevack,Steve Zahn,Mary Lynn Rajskub,Clifton Collins Jr.,Eric Christian Olsen,Paul Dooley,Kevin Chapman,Judith Jones,Amy Redford,Christopher Dempsey,Vic Browder,Ivan Brutsche",3569,3548
Matt Byrne,"Chris Elliott,Marielle Heller,Bridey Elliott,Duncan Birmingham,Matt Byrne,Dave Hill,Paula Niedert Elliott,Nona Niedert,Nico Chiotellis,Annie Barclay,Catherine Byrne",3570,3549
"Carol Fuchs,Sandra Nettelbeck","Catherine Zeta-Jones,Aaron Eckhart,Abigail Breslin,Patricia Clarkson,Jenny Wade,Bob Balaban,Brían F. O'Byrne,Lily Rabe,Eric Silver,Arija Bareikis,John McMartin,Celia Weston,Zoë Kravitz,Matthew Rauch,Dearbhla Molloy",3571,3550
"Marilyn Fu,Steven Millhauser","Georgie Henley,Kara Hayward,Willa Cuthrell,Olivia DeJonge,Kal Penn,Laura Fraser,Gary Wilmes,Neal Huff,Hudson Yang,Louis Ozawa Changchien,Morgan Turner,Juliana Sass,Evan Kuzma,Orlagh Cassidy,Deema Aitken",3572,3551
"Emma McLaughlin,Nicola Kraus","Scarlett Johansson,Donna Murphy,John Henry Cox,Alicia Keys,Lewis Payton Jr.,Sonnie Brown,Georgina Chapman,Nicholas Art,Jodi Michelle Pynn,Mike Rad,Laura Linney,Joanna Heimbold,Marla Sucharetza,Phoebe Jonas,Allison Sarofim",3573,3552
"Tony Aloupis,Tony Aloupis","Evan Peters,Juno Temple,Kevin Alejandro,Meaghan Martin,Christine Lahti,Ariel Winter,Will Peltz,Don Stark,Joel Gretsch,Ever Carradine,Jason Beghe,Matthew Ziff,Roma Maffia,Gigi Rice,Taylor Boggan",3574,3553
Gren Wells,"Kate Hudson,Gael García Bernal,Kathy Bates,Lucy Punch,Romany Malco,Rosemarie DeWitt,Whoopi Goldberg,Treat Williams,Steven Weber,Peter Dinklage,Alan Dale,Jason Davis,Bailey Bass,Charlotte Bass,Brett Rice",3575,3554
Jon Kasdan,"Britt Robertson,Dylan O'Brien,Craig Roberts,Joshua Malina,James Frecheville,Christine Taylor,Victoria Justice,Lamarcus Tinker,Maggie Elizabeth Jones,Halston Sage,Molly C. Quinn,Matthew Fahey,Chase Levy",3576,3555
Naomi Foner,"Dakota Fanning,Elizabeth Olsen,Sterling Jones,Lenny Platt,Boyd Holbrook,Ellen Barkin,Kiernan Shipka,Clare Foley,Roslyn Curry,Clark Gregg,Demi Moore,Richard Dreyfuss,Owen Campbell,Peter Sarsgaard,Brandin Steffesen",3577,3556
Mark Hammer,"Analeigh Tipton,Miles Teller,Jessica Szohr,Scott Mescudi,Berto Colon,Josh Salatin,Kellyn Lindsay,Michael Showalter,Leven Rambin,Joey Lauren Adams,Brian Petsos,Chris Conroy,Jeremy Rishe,Victor Cruz,David Weiss",3578,3557
"Spike Lee,Kevin Willmott","Nick Cannon,Teyonah Parris,Anya Engel-Adams,Wesley Snipes,Angela Bassett,Michelle Mitchenor,Ebony Joy,Felicia Pearson,Samuel L. Jackson,La La Anthony,Val Warner,Jennifer Hudson,David Patrick Kelly,Sarunas J. Jackson,Corey Hendrix",3579,3558
"Joey Sagal,Hanala Sagal","Evan Peters,Ashley Benson,Colin Hanks,Kevin Spacey,Michael Shannon,Alex Pettyfer,Sky Ferreira,Tate Donovan,Johnny Knoxville,Ahna O'Reilly,Tracy Letts,Kamal Angelo Bolden,Dylan Penn,Candice Harrison,Jenny Lacey",3580,3559
"Peter Tolan,Leslie Dixon","Reese Witherspoon,Mark Ruffalo,Donal Logue,Dina Spybey-Waters,Ben Shenkman,Jon Heder,Ivana Milicevic,Caroline Aaron,Rosalind Chao,Ron Canada,Willie Garson,Gabrielle Made,William Caploe,Shulie Cowen,Billy Beck",3581,3560
Berkeley Anderson,"Corin Nemec,Yancy Butler,Skye Lourie,Robert Englund,Oliver Walker,Annabel Wright,Laura Dale,Ali Eagle,Georgina Philipps,Heather Gilbert,Jenny May Darcy,Nigel Barber,Kalina Stoimenova,Carolina Bratanova,Sophia Lorenti",3582,3561
"Alan Martin,Jamie Hewlett","Lori Petty,Ice-T,Naomi Watts,Don Harvey,Jeff Kober,Reg E. Cathey,Scott Coffey,Malcolm McDowell,Stacy Linn Ramsower,Ann Cusack,Brian Wimmer,Iggy Pop,Dawn Robinson,Billy L. Sullivan,James Hong",3583,3562
"Walter Kirn,Mike Mills","Ted Beckman,Benjamin Bratt,Vincent D'Onofrio,Arvin V. Entena,Tyler Gannon,Kelli Garner,Allen Go,Dakota Goldhor,Walter Kirn,Kit Koenig,Sarah Lucht,Eric Normington,Nancy O'Dell,Lanette Prazeau,Lou Taylor Pucci",3584,3563
Laurie Collyer,"Norman Reedus,Naomi Watts,Matt Dillon,Tess Harper,Victoria Vodar,Vivian Fleming-Alvarez,Antoni Corone,Adrienne Lovette,Michele Simms,Nicolette Noble,William Haze,Andrea Preisler Crouch,Jannette Sepwa,Fernando Martinez,Dayton Sinkia",3585,3564
"Rebecca Miller,Rebecca Miller","Robin Wright,Mike Binder,Alan Arkin,Winona Ryder,Ryan McDonald,Cornel West,Maria Bello,Arnie Burton,Tim Guinee,Drew Beasley,Madeline McNulty,Beckett Melville,Zoe Kazan,Billy Wheelan,Shirley Knight",3586,3565
"Gabrielle Allan,Jennifer Crittenden","Anna Faris,Chris Evans,Ari Graynor,Blythe Danner,Ed Begley Jr.,Oliver Jackson-Cohen,Heather Burns,Eliza Coupe,Kate Simses,Tika Sumpter,Joel McHale,Jacquelyn Doucette,Chris Pratt,Denise Vasi,Sondra James",3587,3566
Rodrigo García,"Alexandria M. Salling,Connor Kramme,Annette Bening,Eileen Ryan,Samuel L. Jackson,Naomi Watts,Cherry Jones,Kerry Washington,David Ramsey,Kay D'Arcy,Bradford Alex,Jimmy Smits,Elpidia Carrillo,Simone Lopez,Carla Gallo",3588,3567
Barry Levinson,"Robin Williams,Christopher Walken,Laura Linney,Lewis Black,Jeff Goldblum,David Alpay,Faith Daniels,Tina Fey,Amy Poehler,Doug Murray,Chris Matthews,James Carville,Catherine Crier,Rick Roberts,Karen Hines",3589,3568
Mark Mann,"Keanu Reeves,Adelaide Clemens,Daniel Sunjata,Bojana Novakovic,Sarita Choudhury,Jake Hoffman,Ashley Austin Morris,Courtney Cooper,Karen Olivo,Landon Beard,Jonny Orsini,Ivan Martin,Michael Nathanson,Gurdeep Singh,Stephanie DiMaggio",3590,3569
"Francis Veber,Lowell Ganz","Robin Williams,Billy Crystal,Julia Louis-Dreyfus,Nastassja Kinski,Charlie Hofheimer,Bruce Greenwood,Dennis Burkley,Haylie Johnson,Charles Rocket,Patti D'Arbanville,Jared Harris,Louis Lombardi,Mark McGrath,Craig Bullock,Charles Stan Frazier",3591,3570
,"Matt Ashcraft,Dave Baker,Bob Braudis,Gerald Burk,Steve Cohen,Bill Daniels,Jon Equis,Gregg Lacy,Tom McClain,Matt Moseley,Michael Owsley,Christi Palazzi,Martin Phillips,Robert Quinton,Jeff Rolfe",3592,3571
"Peter Markle,John Whitman","Rob Lowe,Cynthia Gibb,Patrick Swayze,Ed Lauter,Jim Youngs,Eric Nesterenko,George J. Finn,Fionnula Flanagan,Ken James,Peter Faussett,Walker Boone,Keanu Reeves,Martin Donlevy,Harry Spiegel,Rob Sapienza",3593,3572
"Patch Adams,Maureen Mylander","Robin Williams,Daniel London,Monica Potter,Philip Seymour Hoffman,Bob Gunton,Josef Sommer,Irma P. Hall,Frances Lee McCain,Harve Presnell,Daniella Kuhn,Peter Coyote,James Greene,Michael Jeter,Harold Gould,Bruce Bohne",3594,3573
"Isaac Asimov,Isaac Asimov","Robin Williams,Embeth Davidtz,Sam Neill,Oliver Platt,Kiersten Warren,Wendy Crewson,Hallie Kate Eisenberg,Lindze Letherman,Angela Landis,John Michael Higgins,Bradley Whitford,Igor Hiller,Joe Bellan,Brett Wagner,Stephen Root",3595,3574
"Neva Friedenn,Robert Easter","Cameron Mitchell,Pamelyn Ferdin,Wesley Eure,Nicolas Beauvy,Tim Donnelly,Aneta Corsaut,Faith McSwain,Marciee Drake,Evelyn Guerrero,Victoria Perry,Robert Bartlett,Betty Cole,John Hawker,Don Diamond,Alisa Powell",3596,3575
Stephanie Rothman,"Dorothy Buhrman,Sterling Frazier,Jillian Kesner,Peter Liapis,Anthony Mannino,Paul Ryan,Al Hopson,Dick Miller,Don Maxwell,Benjamin Stewart,Larry Robb,Stuart I. Berton,Matthew Bright,Robert P. Lieb",3597,3576
"Patrick Braoudé,Chris Columbus","Hugh Grant,Julianne Moore,Tom Arnold,Joan Cusack,Jeff Goldblum,Robin Williams,Mia Cottet,Joey Simmrin,Ashley Johnson,Alexa PenaVega,Aislin Roche,Priscilla Alden,Edward Ivory,James Brady,Charles Martinet",3598,3577
Jack Speirs,Mayf Nutter,3599,3578
"James DeMonaco,Gary Nadeau","Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez,Bill Cosby,Fran Drescher,Adam Zolotin,Todd Bosley,Seth Smith,Mario Yedidia,Jeremy Lelliott,Jurnee Smollett-Bell,Dani Faith,Hugo Hernandez,Rickey D'Shon Collins",3600,3579
Aline Brosh McKenna,"Rachel McAdams,Noah Bean,Jack Davidson,Vanessa Aspillaga,Jeff Hiller,Linda Powell,Mike Hydeck,Joseph J. Vargas,Mario Frieson,Kevin Herbst,Jerome Weinstein,Steve Park,David Fonteno,Patti D'Arbanville,Jeff Goldblum",3601,3580
Reginald Hudlin,"Christopher Reid,Robin Harris,Christopher Martin,Martin Lawrence,Tisha Campbell-Martin,A.J. Johnson,Paul Anthony,Bowlegged Lou,B-Fine,Edith Fields,Kelly Jo Minter,Clifton Powell,Verda Bridges,Desi Arnez Hines II,Lou B. Washington",3602,3581
"Reginald Hudlin,David Toney","Christopher Reid,Christopher Martin,David Edwards,Angela Means,Tisha Campbell-Martin,Immature,Ketty Lester,Bernie Mac,Michael Colyar,Chris Tucker,Tionne 'T-Boz' Watkins,Lisa 'Left Eye' Lopes,Rozonda 'Chilli' Thomas,Khandi Alexander,Anthony Johnson",3603,3582
"Rusty Cundieff,Daryl G. Nickens","Christopher Reid,Christopher Martin,Martin Lawrence,Bowlegged Lou,Paul Anthony,B-Fine,Tisha Campbell-Martin,Kamron,Iman,Queen Latifah,Georg Stanford Brown,Helen Martin,William Schallert,Tony Burton,Louie Louie",3604,3583
"Michael Swerdlick,Wayne Allan Rice","Christopher Reid,Christopher Martin,Andre Rosey Brown,Meshach Taylor,Mariann Aalda,Loretta Devine,Rick Ducommun,Tony Simotes,Jeff Jensen,Simply Marvalous,Jack 'The Rapper' Gibson,Raye Birk,Rhea Perlman,Graham Galloway,Gabe Green",3605,3584
Cody Duckworth,"Dimitrius Pulido,Tina Rodriguez,Paeka Campos,Joseph T. Campos,Anne Frances,Gerard Flores,Roland Uribe,Steve Uzzell,Joshua Gage,Amparo García,Nathan Gage,John Everett Button,Alex Ybarra",3606,3585
Ted Griffin,"Jennifer Aniston,Kevin Costner,Shirley MacLaine,Mark Ruffalo,Richard Jenkins,Christopher McDonald,Steve Sandvoss,Mena Suvari,Mike Vogel,Rob Lanza,Lisa Vachon,Trevor Stock,Jennifer Taylor,Marcia Ann Burrs,Lynn Wanlass",3607,3586
"Ira Sachs,Oren Moverman","Chris Cooper,Annabel Kershaw,Pierce Brosnan,Patricia Clarkson,Rachel McAdams,Sheila Paterson,David Richmond-Peck,Erin Boyes,Elijah St. Germain,Terence Kelly,Timothy Webber,Rebecca Codling,David Wenham,Dolores Drake,Malcolm Boddington",3608,3587
"Neil Burger,Dirk Wittenborn","Rachel McAdams,Tim Robbins,Michael Peña,Molly Hagan,Mark L. Young,Howard Platt,Arden Myrin,Coburn Goss,John Heard,Jennifer Joan Taylor,Katherine LaNasa,Leo Ford,Susan Yeagley,Emily Swallow,John Diehl",3609,3588
"Bruce Joel Rubin,Audrey Niffenegger","Michelle Nolden,Alex Ferris,Arliss Howard,Eric Bana,Katherine Trowell,Bart Bedford,Esther Jun,Matt Birman,Craig Snoyer,Rachel McAdams,Carly Street,Romyen Tangsubutra,Brooklynn Proulx,Jane McLean,Ron Livingston",3610,3589
"Geoff Deane,Steve Hamilton Shaw","Samaire Armstrong,Kevin Zegers,Sherry Miller,Robert Joy,Sharon Osbourne,Maury Chaykin,Mpho Koaho,Dan Warry-Smith,Balázs Koós,Emily Hampshire,Brooke D'Orsay,Kathryn Haggis,Genelle Williams,Alex Nussbaum,Jack Duffy",3611,3590
Rick Ramage,"Nathan Anderson,Marnie Brooks,Martina Brunat,Jessica Duffy,Daniel S. Ehrlich,Scott Richard Foster,Samara Frame,Steve Grojahn,Bob Gunton,Ed McBride,Peter O'Meara,Paul Rohrer,Erik Sandvold,Alan Shackelford,Charisse Stewart",3612,3591
"Justin Marks,Rudyard Kipling","Scarlett Johansson,Bill Murray,Idris Elba,Giancarlo Esposito,Ben Kingsley,Christopher Walken,Lupita Nyong'o,Neel Sethi,Emjay Anthony,Ralph Ineson,Ritesh Rajan,Brandon Henschel,Sara Arrington",3613,3592
"Kurt Wimmer,Rick King","Teresa Palmer,Luke Bracey,Édgar Ramírez,Ray Winstone,James Le Gros,Delroy Lindo,Bojesse Christopher,Tobias Santelmann,Matias Varela,Clemens Schick,Judah Lewis,Senta Dorothea Kirschner,Nikolai Kinski,Jaymes Butler,Glynis Barber",3614,3593
Ondi Timoner,"Simon Amstell,Andrew Antonio,Barbara Brand,Ron Brand,Russell Brand,Elia Diaz,Shepard Fairey,Noel Gallagher,David Lynch,Stephen Merchant,Matt Morgan,John Noel,James Ohene-Djan,Noreen Oliver,Jeremy Paxman",3615,3594
"Todd Casey,Michael Dougherty","Adam Scott,Toni Collette,Allison Tolman,David Koechner,Emjay Anthony,Conchata Ferrell,Stefania Owen,Gareth Ruck,Leith Towers,Maverick Flack,Mark Atkin,Krista Stadler,Lolo Owen,Queenie Samuel,Luke Hawker",3616,3595
"Noah Oppenheim,Veronica Roth","Shailene Woodley,Theo James,Zoë Kravitz,Naomi Watts,Miles Teller,Ansel Elgort,Maggie Q,Jeff Daniels,Jonny Weston,Bill Skarsgård,Nadia Hilker,Robert Dane Goodwin,Keiynan Lonsdale,Autumn Dial,Courtney Hope",3617,3596
"Charles Leavitt,Charles Leavitt","Chris Hemsworth,Frank Dillane,Cillian Murphy,Tom Holland,Charlotte Riley,Ben Whishaw,Brendan Gleeson,Paul Anderson,Michelle Fairley,Benjamin Walker,Jordi Mollà,Joseph Mawle,Donald Sumpter,Jamie Sives,Sam Keeley",3618,3597
"Akiva Goldsman,Susannah Grant","Chloë Grace Moretz,Liev Schreiber,Maika Monroe,Nick Robinson,Maria Bello,Maggie Siff,Ron Livingston,Alex Roe,Marc John Jefferies,Tony Revolori,Nadji Jeter,Kelly Rose,Terry Serpico,Talitha Bateman,Alex MacNicoll",3619,3598
Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Lucas Dawson,Ellie Grainger,Julian Richings,Bathsheba Garnett,Sarah Stephens,Wahab Chaudhry,Brooklyn Herd,Derek Herd,Viv Moore,Jeff Smith,Madlen Sopadzhiyan",3620,3599
Tim Talbott,"Billy Crudup,Michael Angarano,Moises Arias,Nicholas Braun,Gaius Charles,Keir Gilchrist,Ki Hong Lee,Thomas Mann,Ezra Miller,Logan Miller,Tye Sheridan,Johnny Simmons,James Wolk,Nelsan Ellis,Olivia Thirlby",3621,3600
"Jake Johnson,Joe Swanberg","Jane Adams,Jeff Baena,Steve Berg,Mike Birbiglia,Orlando Bloom,David Bly,Tom Bower,Lindsay Burdge,Padraic Cassidy,Rosemarie DeWitt,Sam Elliott,Jake Johnson,Anna Kendrick,Brie Larson,Judith Light",3622,3601
Rodrigo García,"Susan Gray,Ciarán Hinds,Ewan McGregor,Tye Sheridan,Ayelet Zurer",3623,3602
Leslye Headland,"Alison Brie,Jason Sudeikis,Jordan Carlos,Margarita Levieva,Charles Cain,Adam Brody,Michael Cyril Creighton,Billy Eichner,Jason Mantzoukas,Margaret Odette,Amanda Peet,Victoria Frings,Adam Scott,Natasha Lyonne,Andrea Savage",3624,3603
Julia Hart,"Brit Marling,Hailee Steinfeld,Sam Worthington,Muna Otaru,Kyle Soller,Ned Dennehy,Amy Nuttall,Nicholas Pinnock,Anna-Maria Nabirye,Luminita Filimon,Charles Jarman,Delia Riciu,Zefir",3625,3604
"Donald Margulies,David Lipsky","Anna Chlumsky,Jesse Eisenberg,Jason Segel,Joan Cusack,Mamie Gummer,Ron Livingston,Mickey Sumner,Becky Ann Baker,Punnavith Koy,Dan John Miller,Chelsea Anne Lawrence,Noel Fletcher,Jennifer Jelsema,Gina Ferwerda,Johnny Otto",3626,3605
Andrew Bujalski,"Guy Pearce,Cobie Smulders,Kevin Corrigan,Giovanni Ribisi,Brooklyn Decker,Anthony Michael Hall,Constance Zimmer,Tishuan Scott,Zoe Graham,David Bernon,Donn Adelman,Matt Adelman,Leslie Asaka,Rebecca Beegle,Tucker Bernon",3627,3606
"Stephen J. Anderson,Clio Chiang","John Cleese,Jim Cummings,Bud Luckey,Craig Ferguson,Jack Boulter,Travis Oates,Kristen Anderson-Lopez,Wyatt Dean Hall,Tom Kenny,Huell Howser,Lisa Linder Silver,Robert Lopez",3628,3607
"A.A. Milne,Eddie Guzelian","Jim Cummings,Nikita Hopkins,Ken Sansom,John Fiedler,Peter Cullen,Andre Stojka,Kath Soucie,Tom Attenborough,John Hurt",3629,3608
Charlie Kaufman,"Jennifer Jason Leigh,David Thewlis,Tom Noonan",3630,3609
"Brian Hohlfeld,A.A. Milne","John Fiedler,Jim Cummings,Andre Stojka,Kath Soucie,Nikita Hopkins,Peter Cullen,Ken Sansom,Tom Wheatley",3631,3610
Jeremy Saulnier,"Imogen Poots,Alia Shawkat,Anton Yelchin,Patrick Stewart,Mark Webber,Joe Cole,Eric Edelstein,Macon Blair,Callum Turner,Kai Lennox,Taylor Tunes,October Moore,David W. Thompson,Brent Werzner,Lj Klink",3632,3611
Woody Allen,"Joaquin Phoenix,Emma Stone,Joe Stapleton,Nancy Carroll,Allison Gallerani,Brigette Lundy-Paine,Katelyn Semer,Betsy Aidem,Ethan Phillips,Jamie Blackley,Leah Anderson,Paula Plum,Nancy Giles,Henry Stram,Geoff Schuppert",3633,3612
,"Elizabeth Banks,Michael Ian Black,Bradley Cooper,Janeane Garofalo,David Hyde Pierce,Joe Lo Truglio,Ken Marino,Christopher Meloni,A.D. Miles,Marguerite Moreau,Zak Orth,Amy Poehler,Paul Rudd,Molly Shannon,Michael Showalter",3634,3613
Jon Robin Baitz,"Ron Perlman,Jonathan Rhys Meyers,Joey King,Jeremy Irvine,Jonny Beauchamp,Caleb Landry Jones,Atticus Mitchell,Karl Glusman,Matt Craven,David Cubitt,Nathaly Thibault,Otoja Abit,Mark Camacho,Alan C. Peterson,Kwasi Songui",3635,3614
"Max Brooks,Steven Knight",Brad Pitt,3636,3615
Michael Hastings,"Brad Pitt,Will Poulter,Anthony Michael Hall,Topher Grace,RJ Cyler,Scoot McNairy,John Magaro,Anthony Hayes,Alexander Furno,Justin Rosniak,Andrew Byron,Elham Ehsas,Teresa Shaughnessy",3637,3616
,,3638,654
"William Cooke,Paul Talbot","Gunnar Hansen,Shannon Michelle Parsons,Brian Kelly,Jeff Jordan,Rand Courtney,Patrick Baxley,David G. Holland,Harrison Saunders,Jennifer Peluso,Gene Aimone,Jasi Cotton Lanier,Michael R. Smith,Josh Craig,Cecil Rigby,Irene Baxter Rigby",3639,3617
"William Cooke,Paul Talbot","Gunnar Hansen,Robin Roberts,Tres Holton,Courtney Ballard,Lora Podell,H. Ray York,Johnny Tamblyn,Jeff Jordan,David Avin,Kevin Draine,Michael R. Smith,Terrill Douglas,Bob Gonzalez,Walter Kaufmann,Paul Kaufmann",3640,3618
"Cory Goodman,Cory Goodman,Matt Sazama,Burk Sharpless,Melissa Wallack","Vin Diesel,Rose Leslie,Elijah Wood,Ólafur Darri Ólafsson,Rena Owen,Julie Engelbrecht,Michael Caine,Joseph Gilgun,Isaach De Bankolé,Michael Halsey,Lotte Verbeek,Inbar Lavi,Bex Taylor-Klaus,David Whalen,Jack Erdie",3641,3619
"Aaron Sorkin,Walter Isaacson","Michael Fassbender,Kate Winslet,Seth Rogen,Jeff Daniels,Sarah Snook,Katherine Waterston,Michael Stuhlbarg,Perla Haney-Jardine,John Ortiz,Vanessa Ross,Makenzie Moss,Adam Shapiro,Jackie Dallas,Alice Aoki,Phillip E. Walker",3642,3620
"Cary Joji Fukunaga,Uzodinma Iweala","Idris Elba,Abraham Attah,Ama K. Abebrese,Opeyemi Fagbohungbe,Richard Pepple",3643,3621
"David Ebershoff,Lucinda Coxon","Amber Heard,Alicia Vikander,Matthias Schoenaerts,Eddie Redmayne,Ben Whishaw,Rebecca Root,Emerald Fennell,Sebastian Koch,Jeanne Abraham,Cosima Shaw,Victoria Emslie,Adrian Schiller,Ole Dupont,Michael Gade Thomsen,Maya Lindh",3644,3622
"Sean Moynihan,Peter Farrelly","Gwyneth Paltrow,Jack Black,Jason Alexander,Joe Viterelli,Rene Kirby,Bruce McGill,Anthony Robbins,Susan Ward,Zen Gesner,Brooke Burns,Rob Moran,Joshua 'Li'iBoy' Shintani,Kyle Gass,Laura Kightlinger,Nan Martin",3645,3623
Bryan Sipe,"Jake Gyllenhaal,Naomi Watts,Chris Cooper,Heather Lind,Wass Stevens,Polly Draper,Judah Lewis,Celia Au,Hani Avital,Brendan Dooling,C.J. Wilson,Tom Kemp,Nancy Ellen Shore,Stephen Badalamenti,Alfredo Narciso",3646,3624
