MeasureName,Sample,original_index,unique_index,count
heart attack patients given aspirin at discharge,4 patients,692,353,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,693,133,8
heart attack patients given smoking cessation advice/counseling,0 patients,694,46,14
heart attack patients given beta blocker at discharge,4 patients,695,576,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,696,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,697,14,23
heart failure patients given discharge instructions,65 patients,698,577,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,87 patients,699,578,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),30 patients,700,579,1
heart failure patients given smoking cessation advice/counseling,9 patients,701,580,1
pneumonia patients assessed and given pneumococcal vaccination,70 patients,702,581,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,76 patients,703,582,1
pneumonia patients given smoking cessation advice/counseling,41 patients,704,583,1
pxeumoxia patiexts givex ixitial axtibiotic(s) withix 6 hours after arrival,71 patients,705,584,1
pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),52 patients,706,585,1
pneumonia patients assessed and given influenza vaccination,56 patients,707,211,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,3 patients,708,146,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,10 patients,709,365,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,10 patients,710,366,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),9 patients,711,586,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,712,62,18
surgery paxienxs needing hair removed from xhe surgical area before surgery who had hair removed using a safer mexhod (elecxric clippers or hair removal cream c nox a razor),33 patients,713,587,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,24 patients,714,588,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,24 patients,715,589,1
heart attack patients given aspirin at arrival,51 patients,716,590,1
heart attack patients given aspirin at discharge,26 patients,717,591,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),3 patients,718,354,3
heart attack patients given smoking cessation advice/counseling,3 patients,719,413,2
heart attack patients given beta blocker at discharge,23 patients,720,592,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,721,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,722,14,23
heart failure patients given discharge instructions,158 patients,723,593,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,200 patients,724,594,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),37 patients,725,595,1
heart failure patients given smoking cessation advice/counseling,42 patients,726,596,1
pneumonia patients assessed and given pneumococcal vaccination,155 patients,727,597,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,138 patients,728,360,2
pneumonia patients given smoking cessation advice/counseling,90 patients,729,598,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,160 patients,730,599,1
pneumonia patients given the most appropriate initial antibiotic(s),136 patients,731,600,1
pneumonia patients assessed and given influenza vaccination,125 patients,732,601,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,68 patients,733,602,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,411 patients,734,603,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,417 patients,735,604,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),405 patients,736,605,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,737,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),598 patients,738,606,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,298 patients,739,607,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,298 patients,740,608,1
heart attack patients given aspirin at arrival,8 patients,741,153,2
heart attack patients given aspirin at discharge,5 patients,742,44,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),3 patients,743,354,3
heart attack patients given smoking cessation advice/counseling,0 patients,744,46,14
heart attack patients given beta blocker at discharge,6 patients,745,155,3
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,746,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,747,14,23
heart failure patients given discharge instructions,121 patients,748,609,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,139 patients,749,610,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),21 patients,750,611,1
heart failure patients given smoking cessation advice/counseling,32 patients,751,416,2
pneumonia patients assessed and given pneumococcal vaccination,77 patients,752,612,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,55 patients,753,613,1
pneumonia patients given smoking cessation advice/counseling,43 patients,754,614,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,93 patients,755,615,1
pneumonia patients given the most appropriate initial antibiotic(s),64 patients,756,616,1
pneumonia patients assessed and given influenza vaccination,52 patients,757,617,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,19 patients,758,335,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,139 patients,759,213,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,141 patients,760,618,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),136 patients,761,215,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,762,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),204 patients,763,619,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,66 patients,764,620,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,66 patients,765,621,1
children who received reliever medication while hospitalized for asthma,9 patients,766,622,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96 patients,767,623,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,98 patients,768,624,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95 patients,769,625,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,770,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),195 patients,771,626,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,117 patients,772,627,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,116 patients,773,628,1
children who received reliever medication while hospitalized for asthma,193 patients,774,629,1
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,193 patients,775,630,1
children and their caregivers who received a home management plan of care document while hospitalized for asthma,193 paxienxs,776,631,1
heart attack patients given aspirin at arrival,155 patients,777,632,1
heart attack patients given aspirin at discharge,323 patients,778,633,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),77 patients,779,634,1
heart attack patients given smoking cessation advice/counseling,135 patients,780,635,1
heart attack patients given beta blocker at discharge,301 patients,781,636,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,782,13,28
heart attack patients given pci within 90 minutes of arrival,44 patients,783,637,1
heart failure patients given discharge instructions,264 patients,784,638,1
heaxt failuxe patients given an evaluation of left ventxiculax systolic (lvs) function,303 patients,785,639,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),102 patients,786,640,1
heart failure patients given smoking cessation advice/counseling,51 patients,787,641,1
pneumonia patients assessed and given pneumococcal vaccination,509 patients,788,642,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,496 patients,789,643,1
pneumonia patients given smoking cessation advice/counseling,294 patients,790,644,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,511 patients,791,645,1
pneumonia patients given the most appropriate initial antibiotic(s),313 patients,792,646,1
pneumonia patients assessed and given influenza vaccination,409 patients,793,647,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,123 patients,794,648,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,601 patients,795,649,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,603 patients,796,650,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),561 patients,797,651,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,149 patients,798,652,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),852 patients,799,653,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,269 patients,800,654,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,269 patients,801,655,1
heart attack patxents gxven aspxrxn at arrxval,123 patients,802,656,1
heart attack patients given aspirin at discharge,134 patients,803,657,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),18 patients,804,658,1
heart attack patients given smoking cessation advice/counseling,79 patients,805,659,1
heart attack patients given beta blocker at discharge,117 patients,806,660,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,25 patients,807,661,1
heart attack patients given pci within 90 minutes of arrival,12 patients,808,662,1
heart failure patients given discharge instructions,211 patients,809,663,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,259 patients,810,73,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),69 patients,811,50,2
heart failure patients given smoking cessation advice/counseling,70 patients,812,664,1
pneumonia patients assessed and given pneumococcal vaccination,255 patients,813,665,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,187 patients,814,666,1
pneumonia patients given smoking cessation advice/counseling,130 patients,815,667,1
pneumonix pxtients given initixl antibiotic(s) within 6 hours after arrivxl,266 patients,816,668,1
pneumonia patients given the most appropriate initial antibiotic(s),153 patients,817,669,1
pneumonia patients assessed and given influenza vaccination,187 patients,818,670,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,109 patients,819,671,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,557 patients,820,672,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,564 patients,821,673,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),520 patients,822,674,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,186 patients,823,675,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),854 patients,824,676,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,315 patients,825,677,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,315 patients,826,678,1
heart attack patients given aspirin at arrival,1 patients,827,679,1
heart attack patients given aspirin at discharge,1 patients,828,112,4
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,829,133,8
heart attack patients given smoking cessation advice/counseling,0 patients,830,46,14
heart attack patients given beta blocker at discharge,1 patients,831,113,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,832,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,833,14,23
heart failure patients given discharge instructions,19 patients,834,680,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,28 patients,835,681,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),4 patients,836,682,1
heart failure patients given smoking cessation advice/counseling,4 patients,837,683,1
pneumonia patients assessed and given pneumococcal vaccination,47 patients,838,684,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,36 patients,839,685,1
pneumonia patients given smoking cessation advice/counseling,16 patients,840,686,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,44 patients,841,687,1
pneumonia patients given the most appropriate initial antibiotic(s),38 patients,842,688,1
pneumonia patients assessed and given influenza vaccination,37 patients,843,689,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,2 patients,844,690,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,4 patiexts,845,691,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,4 patients,846,692,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),4 patients,847,693,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,848,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),5 patients,849,694,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,0 patients,850,695,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,0 patients,851,696,1
heart attack patients given aspirin at arrival,3 patients,852,697,1
heart attack patients given aspirin at discharge,3 patients,853,371,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,854,133,8
heart attack patients given smoking cessation advice/counseling,0 patients,855,46,14
heart attack patients given beta blocker at discharge,3 patients,856,135,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,857,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,858,14,23
heart failure patients given discharge instructions,38 patients,859,698,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,46 patients,860,699,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),18 patients,861,357,3
heart failure patients given smoking cessation advice/counseling,10 patients,862,159,2
pneumonia patients assessed and given pneumococcal vaccination,101 patients,863,700,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78 patients,864,701,1
pneumonia patients given smoking cessation advice/counseling,42 patients,865,702,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,121 patiexts,866,703,1
pneumonia patients given the most appropriate initial antibiotic(s),97 patients,867,480,2
pneumonia patients assessed and given influenza vaccination,85 patients,868,81,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,3 patients,869,146,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,15 patients,870,704,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,15 patients,871,705,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),15 patiexts,872,706,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,873,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),19 patients,874,707,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,4 patients,875,129,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,4 patients,876,130,2
heart attack patients given aspirin at arrival,18 patients,877,708,1
heart attack patients given aspirin at discharge,12 patients,878,709,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,879,133,8
heart attack patients given smoking cessation advice/counseling,1 patients,880,323,2
heart attack patients given beta blocker at discharge,11 patients,881,710,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,882,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,883,14,23
heart failure patients given discharge instructions,67 patients,884,711,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,85 patients,885,712,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),19 patients,886,713,1
heart failure patients given smoking cessation advice/counseling,16 patients,887,714,1
pneumonia patients assessed and given pneumococcal vaccination,117 patients,888,715,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,41 patients,889,716,1
pneumonia patients given smoking cessation advice/counseling,34 patients,890,499,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,109 patients,891,717,1
pneumonia patients given the most appropriate initial antibiotic(s),79 patients,892,718,1
pneumonia patients assessed and given influenza vaxxination,86 patients,893,719,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0 patients,894,720,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,0 patients,895,721,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,0 patients,896,722,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0 patients,897,723,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,898,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),7 patients,899,724,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,3 patients,900,725,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,3 patients,901,726,1
childrenxwhoxreceivedxrelieverxmedicationxwhilexhospitalizedxforxasthma,4 patients,902,727,1
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,4 patients,903,728,1
children and their caregivers who received a home management plan of care document while hospitalized for asthma,4 patients,904,729,1
heart attack patients given aspirin at arrival,126 patxents,905,730,1
heart attack patients given aspirin at discharge,145 patients,906,731,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),25 patients,907,732,1
heart attack patients given smoking cessation advice/counseling,68 patients,908,733,1
heart attack patients given beta blocker at discharge,125 patients,909,734,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,8 patients,910,735,1
heart attack patients given pci within 90 minutes of arrival,16 patients,911,347,2
heart failure patients given discharge instructions,268 patients,912,736,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,350 patients,913,737,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90 patients,914,738,1
hearx failure paxienxs given smoking cessaxion advice/counseling,85 patients,915,739,1
pneumonia patients assessed and given pneumococcal vaccination,239 patients,916,740,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,196 patients,917,741,1
pneumonia patients given smoking cessation advice/counseling,109 patients,918,742,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,261 patients,919,743,1
pneumonia patients given the most appropriate initial antibiotic(s),212 patients,920,744,1
pneumonia patients assessed and given influenza vaccination,178 patients,921,745,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,107 patients,922,82,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,402 patients,923,746,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,404 patients,924,747,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),352 patients,925,748,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,114 patients,926,749,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),607 patients,927,750,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,280 patients,928,751,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,280 patients,929,752,1
heart attack patients given aspirin at arrival,19 patients,930,753,1
heart attack patients given aspirin at discharge,16 patients,931,754,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,932,133,8
heart attack patients given smoking cessation advice/counseling,6 patients,933,755,1
heart attack patients given beta blocker at discharge,15 patients,934,756,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,935,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,936,14,23
heart failure patients given discharge instructions,51 patients,937,757,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,59 patients,938,326,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),6 patients,939,758,1
heart failure patients given smoking cessation advice/counseling,8 patients,940,97,2
pneumonia patients assessed and given pneumococcal vaccination,39 patients,941,759,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,2 patients,942,760,1
pneumonia patients given smoking cessation advice/counseling,5 patients,943,761,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,36 patients,944,762,1
pneumonia patients given the most appropriate initial antibiotic(s),30 patients,945,517,2
pneumonia patients assessed and given influenza vaccination,31 patients,946,763,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,947,232,5
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,948,1,4
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,949,2,4
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,950,3,4
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,951,4,3
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,952,5,4
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,953,6,4
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,954,7,4
heart attack patients given aspirin at arrival,4 patients,955,543,2
heart attack patients given aspirin at discharge,1 patients,956,112,4
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,957,92,6
heart attack patients given smoking cessation advice/counseling,0 patients,958,46,14
heart attack patients given beta blocker at discharge,2 patients,959,93,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,960,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,961,14,23
heart failure patients given discharge instructions,70 patients,962,764,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,82 patients,963,765,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),34 patients,964,766,1
heart failure patients given smoking cessation advice/counseling,15 patients,965,205,3
pneumonia patients assessed and given pneumococcal vaccination,72 patients,966,767,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,49 patients,967,768,1
pneumonia patients given smoking cessation advice/counseling,24 patients,968,769,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,85 patients,969,332,2
pneumonia patients given the most appropriate initial antibiotic(s),67 patients,970,770,1
pneumonia patients assessed and given influenza vaccination,37 patients,971,689,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,27 paxienxs,972,771,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,397 patients,973,772,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,399 patients,974,773,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),391 patients,975,774,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,976,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),485 patients,977,775,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,196 patients,978,776,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,196 patients,979,777,1
heart attack patients given aspirin at arrival,7 patients,980,778,1
heart attack patients given aspirin at discharge,2 patients,981,91,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),2 patients,982,45,4
heart attack patients given smoking cessation advice/counseling,0 patients,983,46,14
heart attack patients given beta blocker at discharge,3 patients,984,135,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,985,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,986,14,23
heart failure patients given discharge instructions,24 patients,987,779,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,34 patients,988,780,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),7 patients,989,781,1
heart failure patients given smoking cessation advice/counseling,7 patients,990,782,1
pneumonia patients assessed and given pneumococcal vaccination,92 patients,991,783,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,103 patients,992,454,2
pneumonia patients given smoking cessation advice/counseling,29 patients,993,784,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,105 patients,994,785,1
pneumonia patients given the most appropriate initial antibiotic(s),74 patients,995,786,1
pneumonia patients assessed and given influenza vaccination,55 patients,996,787,1
surgery pxtients who were txking hexrt drugs cxlled betx blockers before coming to the hospitxl who were kept on the betx blockers during the period just before xnd xfter their surgery,8 patients,997,788,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,28 patients,998,789,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,25 patients,999,790,1
